"SC_ID","value"
1,2
2,3
3,9
4,0
5,11
6,0
7,3
8,1
9,-3
10,2
11,11
12,3
13,5
14,2
15,9
16,12
17,-5
18,6
19,10
20,-7
21,2
22,9
23,11
24,0
25,3
26,8
27,1
28,1
29,7
30,4
31,5
32,8
33,2
34,-6
35,7
36,8
37,0
38,3
39,9
40,2
41,-6
42,2
43,15
44,5
45,-2
46,11
47,-4
48,4
49,10
50,12
51,-1
52,5
53,-4
54,2
55,-4
56,6
57,13
58,12
59,1
60,2
61,9
62,-2
63,0
64,8
65,10
66,3
67,5
68,-3
69,-5
70,7
71,8
72,3
73,-1
74,3
75,7
76,11
77,0
78,7
79,8
80,10
81,3
82,7
83,9
84,12
85,1
86,10
87,12
88,6
89,6
90,1
91,0
92,8
93,10
94,2
95,4
96,2
97,12
98,11
99,-3
100,6
101,10
102,4
103,0
104,7
105,-8
106,-6
107,-7
108,11
109,12
110,-4
111,7
112,8
113,-1
114,1
115,7
116,10
117,-1
118,6
119,7
120,12
121,-19
122,4
123,9
124,13
125,0
126,8
127,9
128,10
129,-2
130,7
131,11
132,1
133,-4
134,9
135,-1
136,0
137,7
138,9
139,4
140,-3
141,6
142,1
143,-1
144,1
145,-7
146,12
147,3
148,6
149,-6
150,1
151,-3
152,10
153,11
154,-4
155,8
156,-15
157,0
158,-2
159,1
160,0
161,10
162,-1
163,-2
164,4
165,12
166,-1
167,-1
168,10
169,10
170,-1
171,8
172,10
173,8
174,10
175,8
176,12
177,-1
178,1
179,-1
180,4
181,10
182,0
183,8
184,10
185,3
186,9
187,8
188,12
189,0
190,8
191,0
192,8
193,-1
194,12
195,13
196,0
197,7
198,10
199,-3
200,9
201,12
202,0
203,7
204,8
205,13
206,-1
207,4
208,9
209,6
210,0
211,6
212,-4
213,8
214,10
215,10
216,2
217,2
218,0
219,0
220,6
221,0
222,-1
223,7
224,9
225,12
226,8
227,2
228,8
229,0
230,-1
231,2
232,8
233,3
234,-3
235,-8
236,11
237,-1
238,6
239,12
240,0
241,10
242,9
243,-4
244,6
245,8
246,10
247,0
248,-7
249,11
250,10
251,-3
252,8
253,1
254,0
255,7
256,4
257,8
258,0
259,7
260,10
261,0
262,7
263,5
264,0
265,3
266,0
267,7
268,6
269,10
270,15
271,4
272,2
273,2
274,0
275,1
276,13
277,0
278,6
279,12
280,12
281,-8
282,8
283,9
284,-3
285,-4
286,12
287,9
288,8
289,2
290,8
291,0
292,6
293,9
294,8
295,-7
296,7
297,9
298,5
299,7
300,10
301,-8
302,8
303,0
304,9
305,-1
306,7
307,9
308,2
309,-1
310,2
311,12
312,12
313,2
314,7
315,11
316,0
317,3
318,8
319,0
320,-1
321,6
322,-2
323,-2
324,0
325,8
326,11
327,4
328,-2
329,7
330,9
331,12
332,6
333,8
334,-10
335,2
336,5
337,8
338,13
339,-1
340,8
341,-4
342,12
343,2
344,-5
345,11
346,15
347,0
348,0
349,5
350,8
351,10
352,2
353,-2
354,6
355,10
356,9
357,-1
358,13
359,13
360,-1
361,1
362,8
363,0
364,9
365,7
366,-1
367,7
368,8
369,14
370,-1
371,9
372,9
373,0
374,0
375,8
376,3
377,-11
378,7
379,9
380,3
381,-10
382,6
383,-5
384,7
385,3
386,3
387,0
388,11
389,0
390,9
391,10
392,13
393,4
394,9
395,-1
396,2
397,-1
398,5
399,2
400,12
401,14
402,0
403,1
404,0
405,8
406,6
407,2
408,9
409,0
410,12
411,-1
412,0
413,6
414,11
415,9
416,0
417,9
418,1
419,0
420,11
421,0
422,6
423,10
424,1
425,6
426,7
427,0
428,11
429,0
430,9
431,3
432,0
433,7
434,0
435,6
436,3
437,6
438,9
439,0
440,10
441,9
442,-11
443,9
444,10
445,-2
446,0
447,8
448,11
449,10
450,0
451,11
452,10
453,-1
454,8
455,2
456,1
457,4
458,-2
459,0
460,8
461,12
462,11
463,0
464,2
465,13
466,0
467,11
468,-2
469,-8
470,9
471,0
472,8
473,7
474,11
475,0
476,3
477,7
478,0
479,7
480,5
481,9
482,5
483,6
484,0
485,-1
486,13
487,1
488,7
489,13
490,0
491,8
492,13
493,9
494,0
495,9
496,6
497,0
498,4
499,8
500,-3
501,-1
502,1
503,9
504,5
505,8
506,2
507,1
508,4
509,0
510,1
511,8
512,13
513,12
514,1
515,10
516,1
517,5
518,1
519,10
520,10
521,0
522,3
523,0
524,16
525,0
526,2
527,8
528,14
529,2
530,3
531,-1
532,0
533,8
534,11
535,0
536,8
537,1
538,0
539,-1
540,0
541,0
542,11
543,0
544,9
545,6
546,5
547,0
548,7
549,10
550,0
551,5
552,6
553,0
554,7
555,-3
556,-1
557,-1
558,8
559,11
560,15
561,-1
562,10
563,-5
564,10
565,13
566,-7
567,9
568,12
569,-1
570,9
571,8
572,6
573,7
574,8
575,-3
576,0
577,-1
578,0
579,10
580,11
581,0
582,9
583,11
584,11
585,-10
586,8
587,8
588,14
589,8
590,7
591,-7
592,2
593,2
594,9
595,9
596,0
597,-4
598,7
599,7
600,12
601,0
602,5
603,4
604,0
605,0
606,9
607,-4
608,4
609,-1
610,0
611,6
612,8
613,2
614,5
615,-4
616,1
617,10
618,-2
619,-1
620,-2
621,-12
622,9
623,-3
624,8
625,0
626,-3
627,0
628,10
629,0
630,1
631,0
632,5
633,5
634,-2
635,8
636,0
637,9
638,12
639,-1
640,9
641,8
642,-4
643,2
644,9
645,-1
646,12
647,6
648,8
649,10
650,3
651,-2
652,7
653,11
654,0
655,4
656,11
657,-6
658,7
659,2
660,7
661,12
662,4
663,1
664,8
665,1
666,12
667,-1
668,-8
669,11
670,-4
671,-9
672,10
673,4
674,-1
675,7
676,-7
677,2
678,1
679,4
680,9
681,0
682,0
683,9
684,9
685,0
686,8
687,0
688,11
689,2
690,-1
691,-3
692,-3
693,-3
694,0
695,8
696,5
697,2
698,3
699,8
700,6
701,9
702,0
703,8
704,12
705,14
706,6
707,-1
708,12
709,13
710,-1
711,8
712,-5
713,11
714,1
715,9
716,3
717,0
718,8
719,7
720,-7
721,12
722,1
723,7
724,11
725,0
726,0
727,10
728,-1
729,9
730,-1
731,8
732,2
733,5
734,11
735,13
736,-1
737,10
738,10
739,0
740,9
741,-7
742,12
743,0
744,9
745,11
746,10
747,-2
748,12
749,11
750,-10
751,9
752,0
753,4
754,0
755,7
756,-1
757,10
758,0
759,1
760,1
761,-6
762,8
763,5
764,-3
765,0
766,10
767,13
768,-1
769,10
770,3
771,0
772,9
773,12
774,0
775,0
776,9
777,7
778,2
779,0
780,9
781,6
782,7
783,-2
784,6
785,1
786,8
787,9
788,5
789,1
790,10
791,3
792,-2
793,6
794,0
795,9
796,-1
797,10
798,3
799,-1
800,10
801,3
802,0
803,9
804,-1
805,9
806,11
807,6
808,0
809,7
810,9
811,0
812,1
813,-1
814,8
815,9
816,0
817,9
818,8
819,4
820,5
821,11
822,3
823,17
824,-5
825,-5
826,1
827,0
828,9
829,7
830,0
831,8
832,0
833,1
834,24
835,9
836,0
837,11
838,-5
839,9
840,2
841,5
842,12
843,0
844,9
845,-1
846,0
847,12
848,1
849,-1
850,7
851,3
852,2
853,8
854,10
855,5
856,0
857,9
858,2
859,1
860,9
861,14
862,7
863,0
864,9
865,8
866,1
867,0
868,8
869,6
870,9
871,1
872,10
873,9
874,-2
875,10
876,1
877,11
878,0
879,8
880,0
881,4
882,9
883,-3
884,-4
885,-1
886,0
887,6
888,10
889,13
890,-1
891,0
892,6
893,-2
894,1
895,9
896,4
897,0
898,8
899,1
900,-4
901,0
902,7
903,6
904,-1
905,8
906,8
