"SC_ID","value"
1,0.007
2,0.032
3,0.043
4,0.046
5,0.039
6,0.062
7,0.029
8,0.002
9,-0.059
10,0.035
11,0.046
12,0.023
13,-0.019
14,0.026
15,0.045
16,0.048
17,-0.012
18,0.043
19,0.044
20,-0.005
21,0.032
22,0.042
23,0.046
24,0.047
25,0.029
26,0.04
27,0.062
28,0.014
29,0.04
30,-0.064
31,0.043
32,0.036
33,-0.014
34,-0.015
35,0.039
36,0.033
37,0.07
38,0.027
39,0.043
40,0.033
41,0
42,0.032
43,0.043
44,0.019
45,-0.109
46,0.047
47,0.008
48,0.041
49,0.032
50,0.049
51,0.044
52,0.041
53,-0.009
54,0.024
55,-0.036
56,0.04
57,0.048
58,0.046
59,-0.07
60,0.033
61,0.038
62,-0.004
63,0.667
64,0.039
65,0.047
66,-0.133
67,0.029
68,-0.002
69,-0.01
70,0.041
71,0.044
72,0.024
73,-0.096
74,0.037
75,0.044
76,0.042
77,0.035
78,0.043
79,0.043
80,0.039
81,0.014
82,0.042
83,0.046
84,0.048
85,-0.028
86,0.038
87,0.039
88,-0.025
89,0.024
90,0.078
91,-0.045
92,0.041
93,0.043
94,0.024
95,0.008
96,0.029
97,0.047
98,0.04
99,0.009
100,0.043
101,0.04
102,0.009
103,0.118
104,0.04
105,-0.016
106,-0.007
107,-0.023
108,0.044
109,0.042
110,0.016
111,0.043
112,0.035
113,0.062
114,-0.002
115,0.039
116,0.039
117,0.073
118,0.043
119,0.037
120,0.036
121,-0.247
122,0.038
123,0.036
124,0.046
125,0.545
126,0.044
127,0.037
128,0.052
129,0.065
130,0.043
131,0.042
132,0.03
133,0.025
134,0.04
135,0.023
136,0.135
137,0.035
138,0.037
139,0.011
140,0.011
141,0.047
142,0.076
143,-0.045
144,0.022
145,-0.006
146,0.045
147,-0.061
148,0.04
149,-0.034
150,-0.009
151,-0.034
152,0.04
153,0.048
154,0.015
155,0.038
156,-0.04
157,0.002
158,-0.022
159,0.061
160,-0.026
161,0.039
162,-0.031
163,0.076
164,0.021
165,0.048
166,0.076
167,0.01
168,0.04
169,0.032
170,0.063
171,0.035
172,0.037
173,0.033
174,-0.098
175,0.039
176,0.036
177,0.007
178,-0.019
179,0.053
180,0.037
181,0.045
182,0.097
183,0.035
184,0.039
185,-0.054
186,-0.092
187,0.038
188,0.054
189,-0.01
190,0.041
191,0.059
192,0.035
193,0.041
194,0.041
195,0.042
196,-0.026
197,0.036
198,0.038
199,0
200,0.041
201,0.042
202,0.095
203,0.036
204,0.04
205,0.043
206,-0.03
207,0.04
208,0.039
209,0.044
210,0.137
211,0.041
212,0
213,0.038
214,0.038
215,0.041
216,0
217,-0.003
218,0.093
219,0.039
220,0.04
221,-0.006
222,0.131
223,0.045
224,0.041
225,0.041
226,-0.067
227,0.028
228,0.039
229,-0.011
230,-0.002
231,0.019
232,0.035
233,0.009
234,-0.014
235,-0.047
236,0.041
237,0.071
238,0.042
239,0.051
240,0.128
241,0.041
242,0.035
243,0.014
244,0.051
245,0.04
246,0.051
247,0.5
248,-0.056
249,0.04
250,0.038
251,-0.008
252,0.042
253,0.003
254,-0.086
255,0.038
256,0.008
257,0.031
258,0.06
259,0.042
260,0.056
261,-0.041
262,0.029
263,0.024
264,0.037
265,0.044
266,0.078
267,-0.022
268,0.044
269,0.04
270,0.05
271,0.023
272,0.023
273,0.088
274,0.052
275,-0.027
276,0.046
277,0.304
278,0.044
279,0.042
280,0.049
281,-0.053
282,0.045
283,0.037
284,0.01
285,-0.021
286,0.038
287,0.053
288,-0.055
289,0.01
290,0.004
291,0.122
292,0.044
293,0.04
294,0.051
295,-0.122
296,0.039
297,0.049
298,-0.055
299,0.043
300,0.039
301,-0.086
302,0.045
303,0.016
304,0.046
305,-0.005
306,0.042
307,0.038
308,0.003
309,0.112
310,0.021
311,0.042
312,0.042
313,0
314,0.043
315,0.037
316,0.149
317,-0.014
318,0.044
319,-0.022
320,0.121
321,0.046
322,-0.019
323,-0.047
324,0.071
325,0.043
326,0.044
327,-0.047
328,0.07
329,0.044
330,0.042
331,0.047
332,-0.041
333,0.045
334,-0.029
335,0.08
336,-0.04
337,0.039
338,0.047
339,0.09
340,0.043
341,-0.077
342,0.044
343,-0.05
344,-0.052
345,0.045
346,0.046
347,0.171
348,0.137
349,-0.041
350,0.044
351,0.044
352,-0.002
353,0.044
354,0.042
355,0.043
356,0.048
357,0.092
358,0.048
359,0.045
360,0.055
361,0.024
362,0.03
363,0.108
364,0.041
365,0.046
366,0.14
367,0.043
368,0.038
369,0.052
370,0.078
371,0.042
372,0.045
373,-0.022
374,0.029
375,0.045
376,-0.024
377,-0.115
378,0.042
379,0.045
380,0.011
381,-0.055
382,0.041
383,-0.048
384,0.044
385,0.025
386,0.011
387,-0.018
388,0.043
389,0.122
390,0.046
391,0.044
392,0.045
393,-0.049
394,0.039
395,0.055
396,0.029
397,0.088
398,0.029
399,-0.055
400,0.044
401,0.044
402,0.048
403,-0.01
404,0.143
405,0.036
406,0.019
407,-0.024
408,-0.079
409,0.002
410,0.046
411,-0.008
412,0.153
413,0.047
414,0.044
415,0.033
416,0.046
417,0.042
418,0
419,0.086
420,0.04
421,0.115
422,-0.049
423,0.036
424,0.255
425,-0.04
426,0.044
427,0.024
428,0.051
429,0.174
430,0.043
431,0.001
432,0.081
433,0.043
434,0.03
435,0.041
436,-0.086
437,0.044
438,0.035
439,0.217
440,0.044
441,0.043
442,-0.117
443,0.037
444,0.047
445,-0.027
446,0.111
447,0.045
448,0.044
449,0.051
450,0.072
451,0.038
452,0.03
453,0.048
454,0.044
455,-0.005
456,-0.047
457,0.035
458,-0.015
459,0.147
460,0.045
461,0.043
462,0.047
463,0.097
464,-0.007
465,0.052
466,0.022
467,0.045
468,0.019
469,-0.039
470,0.043
471,0.058
472,-0.016
473,0.044
474,0.042
475,-0.087
476,0.004
477,0.041
478,0.132
479,0.042
480,-0.002
481,0.039
482,0.005
483,0.023
484,0.154
485,-0.022
486,0.044
487,0.005
488,0.044
489,0.051
490,0.055
491,0.04
492,0.046
493,0.053
494,0.019
495,0.044
496,0.023
497,0.182
498,-0.016
499,0.044
500,0.062
501,-0.059
502,0.086
503,0.024
504,-0.028
505,0.036
506,0.008
507,0.028
508,0.015
509,0.189
510,0.014
511,0.039
512,0.045
513,0.036
514,0.028
515,0.039
516,0.026
517,0.014
518,-0.005
519,0.038
520,0.033
521,0.056
522,-0.008
523,0.061
524,0.05
525,0.062
526,0.012
527,0.044
528,0.053
529,0.015
530,0.026
531,0.006
532,0.111
533,0.045
534,0.045
535,0.056
536,0.045
537,0.01
538,0.04
539,0.007
540,0.036
541,-0.014
542,0.053
543,0.118
544,0.044
545,0.025
546,0.027
547,0.037
548,0.046
549,0.046
550,0.018
551,0.016
552,0.019
553,0.024
554,0.041
555,0.077
556,0.007
557,0.034
558,0.046
559,0.042
560,0.055
561,-0.011
562,0.04
563,-0.115
564,0.038
565,0.043
566,-0.13
567,0.045
568,0.048
569,0.096
570,0.034
571,0.033
572,-0.085
573,0.045
574,0.04
575,0.006
576,0.368
577,-0.033
578,0.083
579,0.045
580,0.049
581,0.344
582,0.044
583,0.044
584,0.05
585,-0.056
586,0.044
587,0.036
588,0.039
589,-0.071
590,0.041
591,-0.023
592,-0.029
593,0.031
594,0.042
595,0.04
596,0.119
597,0.025
598,0.041
599,0.042
600,0.047
601,0.121
602,0.048
603,0.012
604,-0.09
605,0.2
606,0.034
607,0.004
608,0.019
609,-0.05
610,0.051
611,-0.28
