"SC_ID","value"
1,56
2,152
3,287
4,1
5,290
6,2
7,150
8,186
9,59
10,136
11,293
12,208
13,76
14,173
15,237
16,285
17,64
18,228
19,255
20,71
21,133
22,257
23,282
24,0
25,142
26,271
27,13
28,44
29,259
30,39
31,175
32,274
33,32
34,68
35,256
36,223
37,2
38,148
39,291
40,36
41,47
42,127
43,301
44,199
45,46
46,297
47,15
48,182
49,283
50,280
51,7
52,233
53,169
54,209
55,36
56,233
57,306
58,282
59,54
60,125
61,276
62,173
63,0
64,244
65,268
66,107
67,164
68,131
69,17
70,214
71,289
72,212
73,46
74,139
75,231
76,287
77,11
78,285
79,258
80,276
81,54
82,253
83,272
84,270
85,40
86,273
87,286
88,80
89,167
90,10
91,43
92,303
93,295
94,27
95,58
96,141
97,331
98,287
99,35
100,238
101,286
102,158
103,0
104,280
105,198
106,169
107,54
108,291
109,278
110,28
111,232
112,268
113,20
114,42
115,314
116,288
117,7
118,207
119,279
120,279
121,81
122,160
123,291
124,270
125,0
126,288
127,272
128,219
129,9
130,209
131,289
132,29
133,37
134,239
135,157
136,1
137,314
138,291
139,114
140,44
141,226
142,40
143,42
144,154
145,192
146,279
147,60
148,229
149,161
150,116
151,37
152,294
153,276
154,39
155,324
156,213
157,163
158,25
159,8
160,41
161,291
162,40
163,5
164,153
165,276
166,3
167,157
168,271
169,270
170,7
171,329
172,287
173,236
174,89
175,326
176,287
177,40
178,44
179,13
180,170
181,254
182,2
183,315
184,296
185,48
186,90
187,333
188,247
189,12
190,282
191,3
192,273
193,7
194,293
195,271
196,43
197,299
198,291
199,35
200,284
201,290
202,3
203,326
204,236
205,281
206,45
207,156
208,294
209,226
210,2
211,219
212,25
213,286
214,294
215,266
216,35
217,165
218,2
219,3
220,219
221,42
222,2
223,280
224,253
225,279
226,87
227,210
228,262
229,136
230,40
231,168
232,295
233,166
234,42
235,133
236,274
237,5
238,213
239,260
240,1
241,291
242,274
243,16
244,236
245,272
246,257
247,0
248,120
249,264
250,280
251,40
252,316
253,172
254,48
255,287
256,56
257,245
258,2
259,326
260,226
261,48
262,71
263,171
264,2
265,85
266,10
267,73
268,242
269,268
270,269
271,28
272,136
273,12
274,4
275,116
276,276
277,0
278,207
279,287
280,270
281,48
282,253
283,269
284,26
285,104
286,266
287,248
288,72
289,159
290,52
291,3
292,215
293,269
294,232
295,48
296,248
297,266
298,73
299,282
300,296
301,47
302,291
303,215
304,230
305,41
306,310
307,291
308,36
309,2
310,130
311,272
312,251
313,50
314,255
315,272
316,3
317,96
318,247
319,97
320,2
321,224
322,165
323,103
324,5
325,325
326,264
327,57
328,8
329,271
330,263
331,261
332,69
333,327
334,187
335,11
336,45
337,282
338,256
339,2
340,285
341,121
342,269
343,89
344,97
345,264
346,268
347,1
348,3
349,67
350,251
351,278
352,48
353,25
354,190
355,271
356,260
357,1
358,267
359,270
360,10
361,157
362,276
363,1
364,286
365,225
366,1
367,255
368,266
369,252
370,3
371,323
372,267
373,123
374,28
375,286
376,82
377,63
378,316
379,267
380,177
381,48
382,223
383,70
384,280
385,133
386,199
387,42
388,255
389,3
390,296
391,268
392,261
393,61
394,334
395,10
396,118
397,89
398,172
399,77
400,293
401,252
402,2
403,99
404,1
405,328
406,194
407,19
408,82
409,112
410,266
411,21
412,1
413,228
414,270
415,276
416,18
417,266
418,182
419,3
420,303
421,2
422,55
423,294
424,2
425,64
426,246
427,106
428,264
429,1
430,281
431,148
432,3
433,287
434,90
435,213
436,87
437,249
438,272
439,1
440,279
441,250
442,54
443,331
444,265
445,106
446,1
447,292
448,294
449,254
450,4
451,268
452,256
453,9
454,297
455,121
456,34
457,152
458,55
459,1
460,293
461,285
462,258
463,1
464,166
465,268
466,13
467,271
468,137
469,51
470,255
471,2
472,60
473,252
474,277
475,69
476,24
477,236
478,0
479,282
480,36
481,328
482,214
483,205
484,1
485,142
486,259
487,9
488,255
489,268
490,3
491,332
492,271
493,250
494,5
495,304
496,193
497,0
498,38
499,290
500,58
501,59
502,1
503,260
504,61
505,268
506,164
507,4
508,112
509,1
510,12
511,312
512,273
513,266
514,7
515,323
516,157
517,200
518,10
519,269
520,270
521,1
522,100
523,69
524,268
525,1
526,26
527,302
528,259
529,30
530,142
531,115
532,1
533,273
534,275
535,1
536,234
537,14
538,9
539,149
540,2
541,155
542,254
543,3
544,326
545,190
546,172
547,9
548,274
549,270
550,12
551,158
552,178
553,10
554,238
555,61
556,147
557,14
558,287
559,266
560,263
561,47
562,277
563,56
564,252
565,257
566,57
567,327
568,276
569,2
570,327
571,270
572,66
573,219
574,288
575,151
576,0
577,87
578,3
579,272
580,250
581,1
582,277
583,270
584,252
585,49
586,328
587,274
588,271
589,72
590,292
591,177
592,77
593,26
594,292
595,274
596,1
597,38
598,258
599,216
600,248
601,1
602,189
603,181
604,62
605,1
606,275
607,148
608,77
609,94
610,1
611,95
612,253
613,148
614,187
615,44
616,129
617,276
618,50
619,134
620,29
621,50
622,306
623,13
624,288
625,3
626,32
627,1
628,327
629,118
630,95
631,2
632,223
633,186
634,41
635,273
636,1
637,291
638,265
639,5
640,305
641,269
642,82
643,64
644,323
645,48
646,262
647,79
648,291
649,270
650,169
651,41
652,277
653,245
654,2
655,149
656,252
657,54
658,242
659,50
660,302
661,273
662,147
663,1
664,259
665,101
666,246
667,16
668,200
669,258
670,22
671,98
672,264
673,186
674,5
675,233
676,198
677,143
678,40
679,167
680,267
681,1
682,0
683,323
684,255
685,5
686,266
687,6
688,326
689,119
690,71
691,46
692,172
693,84
694,2
695,293
696,159
697,27
698,27
