"SC_ID","value"
1,113
2,173
3,323
4,5
5,282
6,11
7,164
8,226
9,117
10,146
11,346
12,260
13,111
14,192
15,275
16,302
17,103
18,250
19,283
20,109
21,147
22,283
23,294
24,2
25,154
26,344
27,47
28,92
29,267
30,61
31,201
32,351
33,87
34,96
35,290
36,284
37,15
38,164
39,348
40,96
41,88
42,145
43,349
44,275
45,81
46,346
47,50
48,209
49,329
50,302
51,28
52,245
53,180
54,251
55,35
56,272
57,353
58,282
59,100
60,142
61,297
62,205
63,0
64,292
65,365
66,169
67,159
68,211
69,51
70,251
71,343
72,255
73,84
74,155
75,273
76,300
77,25
78,331
79,285
80,287
81,111
82,297
83,298
84,368
85,90
86,344
87,299
88,138
89,159
90,48
91,95
92,330
93,345
94,87
95,112
96,143
97,377
98,322
99,90
100,270
101,341
102,225
103,1
104,321
105,206
106,222
107,137
108,339
109,290
110,79
111,256
112,293
113,51
114,95
115,339
116,337
117,54
118,239
119,312
120,289
121,144
122,172
123,340
124,296
125,0
126,332
127,306
128,244
129,63
130,249
131,342
132,91
133,80
134,276
135,213
136,6
137,339
138,341
139,207
140,70
141,242
142,63
143,88
144,160
145,208
146,283
147,98
148,248
149,175
150,158
151,35
152,338
153,302
154,83
155,347
156,256
157,215
158,74
159,36
160,92
161,342
162,84
163,40
164,155
165,302
166,14
167,146
168,347
169,279
170,59
171,351
172,329
173,295
174,119
175,348
176,317
177,98
178,91
179,64
180,163
181,313
182,11
183,335
184,343
185,89
186,118
187,353
188,290
189,54
190,314
191,13
192,305
193,39
194,339
195,283
196,94
197,330
198,342
199,56
200,319
201,336
202,12
203,345
204,276
205,296
206,93
207,152
208,355
209,270
210,9
211,247
212,44
213,323
214,321
215,270
216,51
217,186
218,41
219,18
220,247
221,83
222,10
223,308
224,314
225,282
226,113
227,216
228,292
229,173
230,77
231,175
232,328
233,211
234,62
235,130
236,346
237,15
238,250
239,295
240,6
241,329
242,305
243,40
244,249
245,307
246,270
247,1
248,116
249,318
250,307
251,54
252,370
253,230
254,90
255,325
256,79
257,287
258,7
259,352
260,242
261,79
262,100
263,204
264,8
265,28
266,70
267,105
268,255
269,318
270,279
271,35
272,153
273,61
274,23
275,129
276,304
277,2
278,241
279,330
280,310
281,96
282,294
283,312
284,51
285,117
286,337
287,255
288,100
289,176
290,84
291,5
292,241
293,346
294,248
295,86
296,281
297,286
298,93
299,325
300,338
301,94
302,328
303,288
304,274
305,62
306,337
307,323
308,93
309,5
310,131
311,327
312,287
313,47
314,294
315,337
316,9
317,129
318,304
319,149
320,5
321,244
322,178
323,154
324,15
325,353
326,324
327,99
328,19
329,316
330,299
331,293
332,67
333,353
334,214
335,60
336,59
337,322
338,284
339,5
340,326
341,131
342,278
343,100
344,117
345,327
346,277
347,4
348,37
349,70
350,296
351,359
352,102
353,25
354,215
355,314
356,286
357,8
358,321
359,295
360,16
361,181
362,261
363,7
364,333
365,275
366,6
367,277
368,313
369,283
370,9
371,380
372,343
373,192
374,27
375,325
376,129
377,89
378,341
379,307
380,197
381,99
382,250
383,99
384,309
385,75
386,249
387,33
388,301
389,10
390,335
391,330
392,293
393,70
394,359
395,11
396,137
397,34
398,189
399,81
400,328
401,281
402,5
403,108
404,3
405,351
406,191
407,77
408,116
409,117
410,326
411,92
412,2
413,247
414,340
415,283
416,15
417,303
418,233
419,8
420,321
421,41
422,53
423,326
424,24
425,67
426,286
427,75
428,306
429,3
430,320
431,184
432,4
433,328
434,23
435,269
436,87
437,275
438,318
439,2
440,320
441,257
442,82
443,356
444,323
445,186
446,2
447,322
448,328
449,293
450,4
451,336
452,248
453,11
454,336
455,194
456,40
457,159
458,100
459,7
460,321
461,320
462,310
463,5
464,144
465,319
466,15
467,326
468,167
469,75
470,298
471,42
472,48
473,291
474,343
475,115
476,24
477,256
478,1
479,315
480,43
481,353
482,206
483,282
484,3
485,117
486,292
487,10
488,280
489,295
490,5
491,356
492,322
493,265
494,6
495,340
496,196
497,11
498,37
499,313
500,18
501,98
502,1
503,268
504,48
505,309
506,187
507,6
508,122
509,12
510,14
511,352
512,321
513,269
514,9
515,346
516,166
517,266
518,13
519,303
520,279
521,3
522,118
523,12
524,310
525,2
526,22
527,354
528,314
529,27
530,145
531,154
532,2
533,354
534,326
535,2
536,260
537,72
538,7
539,181
540,4
541,120
542,295
543,4
544,357
545,185
546,192
547,9
548,321
549,326
550,10
551,142
552,212
553,9
554,274
555,20
556,189
557,10
558,318
559,316
560,283
561,103
562,324
563,82
564,304
565,287
566,84
567,358
568,332
569,7
570,352
571,304
572,90
573,245
574,335
575,226
576,1
577,139
578,6
579,330
580,289
581,5
582,357
583,325
584,303
585,92
586,356
587,328
588,307
589,102
590,354
591,212
592,120
593,27
594,355
595,327
596,16
597,109
598,281
599,265
600,303
601,7
602,209
603,184
604,103
605,5
606,310
607,222
608,115
609,114
610,29
611,107
612,278
613,131
614,241
615,99
616,150
617,330
618,54
619,82
620,95
621,101
622,347
623,61
624,320
625,54
626,94
627,5
628,354
629,123
630,122
631,7
632,257
633,200
634,91
635,316
636,4
637,327
638,300
639,41
640,345
641,308
642,117
643,103
644,353
645,25
646,293
647,146
648,320
649,322
650,187
651,104
652,300
653,288
654,8
655,144
656,265
657,82
658,264
659,98
660,351
661,307
662,157
663,8
664,282
665,97
666,256
667,64
668,268
669,321
670,37
671,111
672,325
673,197
674,45
675,257
676,209
677,145
678,86
679,156
680,323
681,20
682,1
683,352
684,296
685,5
686,288
687,15
688,350
689,75
690,103
691,59
692,191
693,119
694,12
695,358
696,154
697,88
698,26
699,353
700,250
701,257
702,3
703,280
704,328
705,300
706,67
707,10
708,352
709,278
710,77
711,320
712,191
713,299
714,88
715,354
716,160
717,1
718,353
719,257
720,88
721,281
722,1
723,274
724,327
725,88
726,3
727,352
728,75
729,353
730,77
731,259
732,99
733,157
734,327
735,288
736,2
737,298
738,277
739,1
740,359
741,214
742,280
743,9
744,343
745,320
746,261
747,31
748,329
749,281
750,123
751,290
752,87
753,174
754,4
755,285
756,238
757,262
758,1
759,190
760,94
761,132
762,351
763,51
764,112
765,30
766,345
767,275
768,6
769,299
770,207
771,1
772,327
773,321
774,33
775,31
776,350
777,59
778,116
779,10
780,313
781,261
782,252
783,38
784,222
785,68
786,107
