"SC_ID","value"
1,32
2,29
3,29
4,27
5,23
6,20
7,22
8,22
9,22
10,22
11,22
12,21
13,21
14,20
15,19
16,21
17,21
18,19
19,20
20,19
21,20
22,19
23,20
24,30
25,34
26,27
27,22
28,22
29,20
30,28
31,21
32,22
33,24
34,27
35,22
36,22
37,21
38,23
39,22
40,28
41,31
42,31
43,32
44,28
45,20
46,21
47,22
48,33
49,29
50,24
51,22
52,22
53,22
54,22
55,23
56,23
57,23
58,23
59,23
60,23
61,22
62,27
63,31
64,33
65,38
66,36
67,31
68,38
69,35
70,36
71,30
72,38
73,44
74,41
75,51
76,22
77,23
78,29
79,29
80,28
81,24
82,28
83,21
84,20
85,21
86,20
87,21
88,23
89,23
90,22
91,21
92,22
93,31
94,33
95,33
96,41
97,21
98,37
99,33
100,27
101,27
102,29
103,29
104,23
105,24
106,26
107,28
108,34
109,32
110,44
111,25
112,24
113,23
114,23
115,41
116,39
117,29
118,39
119,23
120,38
121,39
122,38
123,36
124,37
