"SC_ID","value"
1,-10
2,7
3,15
4,1
5,14
6,2
7,6
8,1
9,-28
10,6
11,15
12,16
13,5
14,6
15,13
16,16
17,1
18,11
19,13
20,3
21,6
22,14
23,16
24,1
25,6
26,16
27,5
28,-11
29,12
30,-31
31,9
32,16
33,-5
34,2
35,13
36,13
37,1
38,5
39,16
40,7
41,3
42,5
43,16
44,10
45,-38
46,16
47,4
48,8
49,16
50,16
51,4
52,11
53,1
54,13
55,-4
56,12
57,17
58,15
59,-9
60,6
61,14
62,2
63,1
64,15
65,15
66,-25
67,8
68,3
69,5
70,11
71,16
72,15
73,-36
74,6
75,13
76,17
77,-3
78,14
79,14
80,17
81,-6
82,14
83,15
84,16
85,-16
86,16
87,13
88,2
89,8
90,5
91,-14
92,13
93,16
94,6
95,-7
96,5
97,15
98,17
99,6
100,13
101,16
102,11
103,1
104,14
105,-2
106,4
107,-4
108,15
109,15
110,3
111,13
112,14
113,7
114,-10
115,13
116,15
117,8
118,11
119,14
120,16
121,-59
122,7
123,15
124,16
125,1
126,14
127,13
128,13
129,7
130,12
131,15
132,7
133,7
134,13
135,10
136,4
137,13
138,16
139,11
140,6
141,12
142,8
143,-1
144,6
145,2
146,15
147,-25
148,12
149,-4
150,3
151,-3
152,14
153,15
154,7
155,13
156,-9
157,3
158,-13
159,6
160,-15
161,16
162,-12
163,6
164,6
165,16
166,1
167,3
168,16
169,16
170,7
171,12
172,14
173,14
174,-11
175,13
176,17
177,8
178,-7
179,5
180,8
181,16
182,3
183,14
184,16
185,-16
186,-11
187,13
188,14
189,-10
190,13
191,2
192,14
193,3
194,15
195,15
196,2
197,13
198,16
199,3
200,14
201,15
202,4
203,13
204,14
205,15
206,3
207,8
208,13
209,11
210,5
211,13
212,5
213,14
214,16
215,16
216,-10
217,-1
218,5
219,2
220,13
221,-12
222,5
223,15
224,16
225,14
226,-5
227,7
228,13
229,3
230,-8
231,4
232,15
233,8
234,4
235,-3
236,16
237,3
238,13
239,15
240,3
241,14
242,16
243,5
244,13
245,14
246,16
247,1
248,-3
249,15
250,17
251,5
252,15
253,1
254,-8
255,14
256,-1
257,15
258,2
259,14
260,12
261,2
262,8
263,10
264,2
265,8
266,7
267,2
268,13
269,14
270,16
271,-7
272,5
273,4
274,3
275,0
276,16
277,1
278,12
279,14
280,16
281,-15
282,14
283,14
284,7
285,-6
286,16
287,14
288,-6
289,2
290,-17
291,2
292,12
293,16
294,14
295,-39
296,14
297,17
298,-5
299,13
300,14
301,-24
302,14
303,8
304,14
305,1
306,14
307,16
308,5
309,2
310,5
311,16
312,16
313,4
314,14
315,15
316,2
317,-14
318,15
319,3
320,3
321,12
322,2
323,-2
324,2
325,14
326,14
327,-14
328,6
329,14
330,14
331,16
332,-1
333,14
334,-8
335,4
336,-7
337,14
338,16
339,2
340,13
341,-25
342,16
343,-7
344,-10
345,14
346,16
347,3
348,8
349,1
350,15
351,16
352,4
353,8
354,9
355,14
356,15
357,4
358,15
359,16
360,2
361,5
362,17
363,3
364,15
365,14
366,4
367,13
368,15
369,17
370,5
371,15
372,15
373,3
374,1
375,14
376,1
377,-38
378,14
379,14
380,3
381,-14
382,13
383,-16
384,14
385,0
386,5
387,-3
388,16
389,3
390,14
391,13
392,15
393,1
394,15
395,4
396,4
397,6
398,7
399,-7
400,15
401,15
402,2
403,-3
404,2
405,14
406,8
407,-8
408,-12
409,4
410,15
411,5
412,1
413,12
414,16
415,17
416,3
417,15
418,0
419,0
420,15
421,8
422,-1
423,15
424,13
425,-7
426,14
427,5
428,17
429,0
430,15
431,6
432,3
433,15
434,4
435,13
436,-24
437,12
438,15
439,0
440,14
441,16
442,-14
443,14
444,15
445,-8
446,3
447,15
448,15
449,15
450,4
451,15
452,14
453,3
454,13
455,7
456,-8
457,7
458,5
459,2
460,15
461,14
462,16
463,3
464,2
465,15
466,3
467,15
468,7
469,-6
470,14
471,6
472,-1
473,15
474,16
475,-23
476,2
477,13
478,3
479,14
480,2
481,14
482,7
483,7
484,2
485,-3
486,16
487,3
488,13
489,18
490,4
491,15
492,14
493,16
494,4
495,14
496,8
497,7
498,-1
499,13
500,9
501,-16
502,3
503,11
504,-3
505,14
506,4
507,5
508,3
509,7
510,4
511,14
512,17
513,17
514,4
515,14
516,9
517,4
518,5
519,14
520,17
521,2
522,-9
523,9
524,17
525,2
526,4
527,15
528,17
529,5
530,7
531,3
532,1
533,14
534,15
535,3
536,14
537,-2
538,5
539,4
540,3
541,2
542,17
543,0
544,14
545,11
546,7
547,5
548,14
549,15
550,3
551,10
552,10
553,3
554,14
555,13
556,4
557,2
558,14
559,15
560,16
561,-16
562,14
563,-11
564,14
565,16
566,-13
567,14
568,15
569,4
570,15
571,15
572,-11
573,12
574,16
575,7
576,1
577,1
578,1
579,15
580,15
581,1
582,14
583,15
584,15
585,-12
586,15
587,15
588,16
589,-9
590,15
591,-5
592,-9
593,6
594,15
595,15
596,5
597,6
598,14
599,13
600,16
601,3
602,9
603,7
604,-22
605,4
606,15
607,4
608,8
609,-18
610,3
611,-97
612,12
613,9
614,5
615,6
616,6
617,15
618,4
619,3
620,7
621,-16
622,13
623,6
624,14
625,5
626,8
627,2
628,14
629,4
630,4
631,0
632,12
633,11
634,-3
635,15
636,3
637,14
638,14
639,6
640,14
641,15
642,3
643,-57
644,14
645,16
646,13
647,1
648,15
649,16
650,7
651,-16
652,13
653,14
654,2
655,10
656,15
657,-9
658,13
659,-9
660,14
661,14
662,7
663,-1
664,13
665,-1
666,14
667,-8
668,-7
669,16
670,9
671,-17
672,16
673,10
674,7
675,13
676,-6
677,6
678,-15
679,9
680,15
681,4
682,1
683,15
684,15
685,1
686,14
687,0
688,14
689,9
690,-8
691,-5
692,3
