"SC_ID","value"
1,128
2,1408
3,1009
4,0
5,416
6,3
7,1903
8,884
9,247
10,1131
11,1025
12,702
13,159
14,2231
15,1312
16,544
17,243
18,2054
19,1236
20,237
21,1124
22,1241
23,530
24,0
25,1698
26,1045
27,17
28,145
29,1808
30,217
31,2491
32,941
33,191
34,206
35,1366
36,745
37,11
38,1891
39,963
40,217
41,188
42,945
43,942
44,1038
45,239
46,959
47,154
48,2381
49,1083
50,433
51,62
52,2126
53,1577
54,743
55,107
56,1430
57,762
58,489
59,220
60,1128
61,1131
62,873
63,0
64,1200
65,791
66,190
67,749
68,590
69,190
70,1452
71,964
72,748
73,245
74,2061
75,1293
76,511
77,58
78,1526
79,1197
80,602
81,81
82,1473
83,1105
84,818
85,304
86,1016
87,480
88,87
89,761
90,8
91,188
92,1177
93,937
94,213
95,130
96,1077
97,873
98,497
99,262
100,1355
101,1025
102,335
103,0
104,1222
105,1130
106,1358
107,94
108,979
109,500
110,322
111,1380
112,1142
113,3
114,284
115,1321
116,1037
117,280
118,1608
119,1024
120,467
121,294
122,2366
123,917
124,488
125,0
126,1533
127,1073
128,1353
129,256
130,1652
131,983
132,208
133,199
134,1227
135,778
136,0
137,1331
138,746
139,208
140,220
141,1842
142,38
143,290
144,698
145,769
146,515
147,143
148,1532
149,977
150,273
151,96
152,917
153,477
154,248
155,1337
156,739
157,865
158,311
159,0
160,251
161,861
162,246
163,212
164,871
165,486
166,8
167,744
168,760
169,693
170,308
171,1431
172,958
173,918
174,200
175,1292
176,455
177,143
178,246
179,232
180,1741
181,1031
182,4
183,1330
184,877
185,299
186,209
187,1430
188,1607
189,199
190,1175
191,31
192,1070
193,180
194,952
195,447
196,139
197,1243
198,901
199,166
200,1106
201,907
202,0
203,1435
204,1271
205,439
206,213
207,1400
208,720
209,1437
210,0
211,1463
212,127
213,1164
214,945
215,659
216,121
217,1506
218,37
219,131
220,1438
221,212
222,0
223,1370
224,971
225,425
226,262
227,1666
228,1145
229,400
230,203
231,1890
232,935
233,423
234,206
235,970
236,805
237,31
238,1534
239,524
240,0
241,891
242,537
243,80
244,1542
245,1025
246,817
247,0
248,856
249,992
250,601
251,165
252,1221
253,1469
254,248
255,1159
256,438
257,912
258,1
259,1420
260,1958
261,217
262,466
263,515
264,54
265,362
266,48
267,105
268,1338
269,961
270,460
271,76
272,825
273,30
274,100
275,338
276,394
277,0
278,1515
279,960
280,694
281,106
282,1364
283,1060
284,108
285,1054
286,858
287,807
288,117
289,1908
290,464
291,0
292,1444
293,799
294,1012
295,188
296,1160
297,695
298,202
299,1171
300,896
301,188
302,1262
303,1023
304,1129
305,137
306,1306
307,971
308,275
309,5
310,1043
311,875
312,556
313,67
314,1370
315,844
316,0
317,169
318,1026
319,190
320,7
321,1594
322,1339
323,305
324,7
325,1315
326,927
327,414
328,23
329,1114
330,958
331,573
332,91
333,1344
334,639
335,51
336,62
337,972
338,582
339,17
340,1252
341,330
342,418
343,179
344,552
345,955
346,428
347,0
348,17
349,122
350,1598
351,1033
352,419
353,47
354,2026
355,912
356,804
357,9
358,976
359,465
360,23
361,1994
362,291
363,33
364,920
365,1578
366,8
367,1329
368,990
369,637
370,3
371,1090
372,897
373,369
374,36
375,1217
376,181
377,227
378,1270
379,955
380,1285
381,156
382,1425
383,125
384,1180
385,368
386,1512
387,33
388,1007
389,3
390,1190
391,916
392,563
393,93
394,1376
395,9
396,1077
397,23
398,1293
399,116
400,853
401,665
402,3
403,130
404,0
405,1289
406,1082
407,284
408,256
409,110
410,960
411,308
412,0
413,1544
414,898
415,351
416,8
417,931
418,1219
419,0
420,833
421,31
422,68
423,859
424,0
425,29
426,1509
427,156
428,1143
429,0
430,860
431,661
432,0
433,1262
434,167
435,1652
436,72
437,1538
438,921
439,0
440,852
441,825
442,164
443,1389
444,979
445,401
446,0
447,1141
448,837
449,1107
450,0
451,868
452,382
453,1
454,1186
455,401
456,49
457,1365
458,448
459,0
460,1380
461,871
462,678
463,0
464,350
465,1172
466,13
467,939
468,1497
469,76
470,1197
471,59
472,11
473,1570
474,832
475,336
476,23
477,1366
478,0
479,1230
480,2
481,1308
482,1004
483,1499
484,0
485,291
486,527
487,7
488,1375
489,498
490,0
491,1221
492,917
493,1045
494,0
495,1146
496,1236
497,0
498,20
499,1376
500,22
501,451
502,0
503,368
504,20
505,906
506,1452
507,0
508,81
509,1
510,0
511,1180
512,884
513,327
514,0
515,1189
516,676
517,1174
518,1
519,876
520,261
521,0
522,98
523,64
524,452
525,0
526,4
527,1327
528,784
529,7
530,867
531,479
532,0
533,1269
534,907
535,0
536,982
537,216
538,0
539,1674
540,0
541,311
542,1343
543,0
544,1263
545,744
546,1508
547,0
548,1369
549,945
550,0
551,440
552,705
553,0
554,1384
555,4
556,1567
557,0
558,1347
559,927
560,370
561,169
562,779
563,131
564,1175
565,410
566,200
567,1468
568,844
569,3
570,1151
571,818
572,232
573,1427
574,721
575,1029
576,0
577,267
578,0
579,878
580,391
581,0
582,1200
583,916
584,1283
585,94
586,1271
587,808
588,483
589,134
590,1168
591,618
592,353
593,1
594,1142
595,763
596,2
597,170
598,1351
599,666
600,1360
601,1
602,1988
603,552
604,358
605,2
606,813
607,856
608,150
609,129
610,43
611,299
612,1302
613,418
614,910
615,203
616,874
617,724
618,52
619,51
620,247
621,206
622,1116
623,120
624,1117
625,133
626,259
627,16
628,1156
629,209
630,302
631,0
632,806
633,955
634,334
635,821
636,0
637,1249
638,913
639,224
640,1094
641,815
642,583
643,260
644,1200
645,0
646,461
647,88
648,1199
649,1034
650,1064
651,195
652,821
653,493
654,0
655,350
656,753
657,106
658,945
659,178
660,1274
661,916
662,840
663,0
664,1458
665,240
666,775
667,245
668,430
669,1367
670,80
671,327
672,1070
673,915
674,224
675,1357
676,588
677,510
678,289
679,851
680,876
681,33
682,0
683,1152
684,622
685,0
686,1333
687,0
688,1031
689,15
690,312
691,39
692,1642
693,434
694,53
695,1018
696,267
697,183
698,3
699,1222
700,694
701,1573
702,0
703,1174
704,857
705,477
706,38
707,0
708,1056
709,569
710,184
711,1191
712,882
713,519
714,328
715,1048
716,1009
717,0
718,1186
719,1391
720,131
721,609
722,0
723,1316
724,1022
725,421
726,0
727,1020
728,200
729,1175
730,44
731,1440
732,163
733,947
734,1026
735,649
736,0
737,847
738,617
739,0
740,1218
741,764
742,663
743,0
744,1083
745,873
746,887
747,57
748,1020
749,708
750,275
751,1209
752,210
753,550
754,0
755,1410
756,435
757,855
758,0
759,1296
760,357
761,62
762,1159
763,54
764,511
765,132
766,1058
767,758
768,8
769,893
770,873
771,0
772,1038
773,887
774,15
775,141
776,1137
777,47
778,204
779,0
780,1290
781,835
782,1802
783,39
784,521
785,130
786,110
787,1155
788,314
789,57
790,1267
791,720
792,1269
793,6
794,472
795,1766
796,10
797,854
798,749
799,0
800,690
801,685
802,257
803,1281
804,10
805,1171
806,858
807,920
808,0
809,1412
810,708
811,0
812,242
813,352
814,1097
815,879
816,0
817,1218
818,1242
819,74
820,1287
821,892
822,709
823,344
824,314
825,320
826,253
827,249
828,1229
829,291
830,0
831,1265
832,0
833,174
834,248
835,1109
836,431
837,696
838,140
839,1105
840,234
841,143
842,910
843,0
844,1096
845,274
846,177
847,800
848,855
849,173
850,1273
851,702
852,137
853,1043
854,815
855,843
856,0
857,1072
858,822
859,36
860,1002
861,761
862,994
863,0
864,1015
865,870
866,749
867,71
868,1403
869,728
870,777
871,0
872,1266
873,672
874,304
875,911
876,31
877,937
878,0
879,1112
880,543
881,158
882,1088
883,228
884,155
885,324
886,919
887,6
888,1047
889,774
890,2
891,6
892,630
893,351
894,0
895,1071
896,561
897,50
898,1480
899,322
900,597
901,0
902,655
903,1074
904,37
905,1150
906,944
907,995
908,311
909,1036
910,770
911,883
912,9
913,1179
914,0
915,943
916,898
917,202
918,300
919,1348
920,668
921,968
922,188
923,1193
924,688
925,256
926,0
927,1350
928,250
929,0
930,397
931,406
932,54
933,74
934,1139
935,908
936,239
937,92
938,1099
939,803
940,951
941,192
942,1
943,31
944,0
945,983
946,777
947,1013
948,0
949,1464
950,0
951,1282
952,404
953,608
954,181
955,1098
956,39
957,0
958,1021
959,968
960,0
961,1023
962,357
963,2
964,746
965,186
966,1087
967,17
968,840
969,11
970,348
971,1002
972,0
973,1270
974,670
975,897
976,0
977,901
978,0
979,320
980,859
981,450
982,0
983,1024
984,997
985,338
986,0
987,816
988,708
989,14
990,1075
991,848
992,0
993,1004
994,15
995,851
996,0
997,1008
998,0
999,371
1000,2
1001,324
1002,259
1003,0
1004,998
1005,262
1006,0
1007,328
1008,0
1009,1031
1010,717
1011,0
1012,944
1013,285
1014,0
1015,269
1016,0
1017,1179
1018,701
1019,914
1020,0
1021,996
1022,178
1023,0
1024,317
1025,575
1026,0
1027,603
1028,368
1029,0
1030,254
1031,0
1032,1018
1033,833
1034,1264
1035,0
1036,285
1037,868
1038,0
1039,0
1040,0
1041,835
1042,20
1043,1147
1044,0
1045,1105
1046,699
1047,451
1048,139
1049,1298
1050,676
1051,280
1052,0
1053,1237
1054,115
1055,1430
1056,0
1057,712
1058,594
1059,0
1060,1285
1061,694
1062,65
1063,0
1064,1385
1065,286
1066,1128
1067,125
1068,1259
1069,668
1070,170
1071,137
1072,1179
1073,533
1074,238
1075,0
1076,1168
1077,244
1078,1201
1079,0
1080,1126
1081,43
1082,1550
1083,145
1084,140
1085,150
1086,1012
1087,1143
1088,674
1089,314
1090,1397
1091,366
1092,407
1093,982
1094,253
1095,985
1096,512
1097,1168
1098,389
1099,429
1100,2541
1101,561
1102,1222
1103,404
1104,1432
1105,1020
1106,3
1107,199
1108,1495
1109,688
1110,285
1111,1033
1112,102
1113,1295
1114,246
1115,1427
1116,1315
1117,685
1118,1629
1119,1
1120,717
1121,1214
1122,2519
1123,458
1124,847
1125,1693
1126,715
1127,1443
1128,1144
1129,627
1130,1504
1131,1534
1132,349
1133,486
1134,261
1135,73
1136,1380
1137,1196
1138,700
1139,257
1140,1714
1141,24
1142,95
1143,0
1144,1413
1145,612
1146,193
1147,1453
1148,286
1149,1465
1150,215
1151,1698
1152,254
1153,595
1154,2160
1155,1430
1156,322
1157,559
1158,461
1159,282
1160,1922
1161,1425
1162,110
1163,203
