"SC_ID","value"
1,47
2,389
3,333
4,0
5,160
6,0
7,565
8,225
9,63
10,321
11,347
12,228
13,44
14,676
15,412
16,195
17,65
18,648
19,396
20,58
21,333
22,401
23,202
24,0
25,496
26,346
27,8
28,35
29,575
30,59
31,736
32,322
33,68
34,53
35,424
36,212
37,2
38,568
39,333
40,68
41,48
42,278
43,311
44,285
45,65
46,328
47,41
48,727
49,339
50,159
51,19
52,657
53,498
54,234
55,35
56,449
57,240
58,177
59,73
60,338
61,371
62,237
63,0
64,368
65,235
66,64
67,244
68,164
69,51
70,459
71,319
72,237
73,68
74,606
75,405
76,199
77,16
78,492
79,388
80,213
81,22
82,460
83,336
84,244
85,73
86,337
87,185
88,29
89,247
90,4
91,55
92,355
93,309
94,67
95,38
96,309
97,306
98,192
99,62
100,426
101,325
102,99
103,0
104,375
105,339
106,380
107,22
108,325
109,181
110,77
111,427
112,382
113,2
114,74
115,427
116,318
117,68
118,512
119,339
120,176
121,74
122,690
123,311
124,177
125,0
126,495
127,363
128,390
129,59
130,520
131,322
132,72
133,50
134,389
135,210
136,0
137,435
138,261
139,72
140,57
141,574
142,22
143,81
144,183
145,232
146,186
147,46
148,487
149,314
150,90
151,33
152,272
153,176
154,62
155,440
156,233
157,222
158,73
159,0
160,56
161,297
162,55
163,53
164,275
165,180
166,1
167,208
168,263
169,229
170,72
171,472
172,310
173,264
174,59
175,428
176,185
177,44
178,85
179,57
180,509
181,322
182,1
183,409
184,299
185,102
186,59
187,450
188,462
189,48
190,376
191,7
192,361
193,48
194,313
195,155
196,33
197,385
198,289
199,38
200,348
201,293
202,0
203,444
204,398
205,163
206,58
207,424
208,239
209,411
210,0
211,462
212,28
213,360
214,279
215,227
216,24
217,455
218,14
219,35
220,445
221,49
222,0
223,417
224,304
225,157
226,72
227,497
228,369
229,112
230,48
231,577
232,291
233,110
234,54
235,268
236,274
237,9
238,461
239,187
240,0
241,280
242,193
243,16
244,471
245,349
246,270
247,0
248,249
249,313
250,213
251,43
252,409
253,401
254,65
255,360
256,209
257,271
258,0
259,445
260,570
261,55
262,202
263,132
264,9
265,223
266,20
267,34
268,406
269,319
270,164
271,16
272,269
273,13
274,19
275,122
276,143
277,0
278,464
279,313
280,249
281,25
282,404
283,348
284,25
285,316
286,295
287,260
288,39
289,580
290,226
291,0
292,448
293,279
294,288
295,45
296,372
297,233
298,64
299,362
300,281
301,49
302,378
303,310
304,329
305,31
306,398
307,295
308,89
309,0
310,320
311,289
312,186
313,19
314,410
315,280
316,0
317,62
318,323
319,56
320,0
321,498
322,417
323,89
324,0
325,418
326,307
327,136
328,3
329,344
330,324
331,198
332,34
333,429
334,196
335,26
336,18
337,334
338,188
339,1
340,387
341,163
342,146
343,59
344,175
345,308
346,152
347,0
348,8
349,36
350,480
351,336
352,131
353,13
354,637
355,304
356,259
357,0
358,318
359,174
360,5
361,617
362,104
363,3
364,323
365,435
366,0
367,412
368,327
369,208
370,0
371,365
372,309
373,96
374,9
375,362
376,55
377,61
378,390
379,322
380,360
381,39
382,436
383,37
384,365
385,234
386,416
387,9
388,325
389,0
390,353
391,287
392,201
393,29
394,460
395,1
396,325
397,15
398,359
399,38
400,268
401,213
402,0
403,38
404,0
405,418
406,324
407,100
408,78
409,23
410,313
411,115
412,0
413,474
414,306
415,129
416,2
417,316
418,322
419,0
420,258
421,19
422,23
423,264
424,0
425,8
426,445
427,116
428,364
429,0
430,290
431,166
432,0
433,398
434,126
435,451
436,22
437,465
438,316
439,0
440,290
441,246
442,38
443,460
444,315
445,106
446,0
447,361
448,256
449,340
450,0
451,291
452,134
453,0
454,357
455,106
456,13
457,417
458,139
459,0
460,439
461,273
462,217
463,0
464,171
465,398
466,3
467,308
468,414
469,18
470,356
471,31
472,5
473,468
474,291
475,105
476,7
477,414
478,0
479,385
480,1
481,425
482,311
483,425
484,0
485,161
486,175
487,1
488,421
489,165
490,0
491,404
492,306
493,314
494,0
495,350
496,386
497,0
498,6
499,416
500,13
501,140
502,0
503,125
504,5
505,297
506,405
507,0
508,21
509,0
510,0
511,380
512,273
513,107
514,0
515,365
516,216
517,327
518,0
519,306
520,90
521,0
522,39
523,41
524,156
525,0
526,0
