"SC_ID","value"
1,0
2,262
3,188
4,0
5,1
6,0
7,393
8,189
9,1
10,210
11,177
12,112
13,0
14,472
15,293
16,26
17,0
18,441
19,268
20,0
21,230
22,267
23,26
24,0
25,354
26,146
27,0
28,0
29,394
30,0
31,525
32,127
33,28
34,0
35,283
36,99
37,0
38,415
39,165
40,34
41,0
42,195
43,145
44,219
45,0
46,155
47,0
48,552
49,195
50,4
51,0
52,486
53,346
54,125
55,0
56,303
57,112
58,3
59,0
60,236
61,230
62,176
63,0
64,262
65,70
66,0
67,137
68,128
69,0
70,322
71,161
72,122
73,0
74,461
75,278
76,16
77,0
78,321
79,257
80,50
81,0
82,312
83,230
84,72
85,2
86,158
87,2
88,0
89,134
90,0
91,0
92,236
93,150
94,34
95,0
96,221
97,129
98,17
99,0
100,297
101,203
102,53
103,0
104,245
105,258
106,270
107,0
108,166
109,16
110,11
111,313
112,240
113,0
114,1
115,259
116,184
117,0
118,356
119,195
120,7
121,21
122,543
123,154
124,12
125,0
126,324
127,215
128,239
129,2
130,365
131,165
132,36
133,0
134,272
135,196
136,0
137,260
138,93
139,19
140,0
141,426
142,0
143,0
144,126
145,172
146,5
147,0
148,342
149,189
150,45
151,0
152,148
153,12
154,0
155,257
156,148
157,196
158,11
159,0
160,0
161,135
162,0
163,0
164,164
165,13
166,0
167,144
168,93
169,67
170,1
171,272
172,170
173,140
174,0
175,247
176,6
177,0
178,46
179,2
180,399
181,223
182,0
183,267
184,139
185,62
186,0
187,266
188,304
189,1
190,220
191,0
192,220
193,0
194,155
195,8
196,0
197,248
198,142
199,0
200,206
201,140
202,0
203,277
204,273
205,1
206,0
207,305
208,121
209,303
210,0
211,322
212,0
213,232
214,176
215,57
216,0
217,333
218,0
219,0
220,319
221,0
222,0
223,310
224,216
225,1
226,0
227,390
228,245
229,89
230,0
231,435
232,171
233,85
234,0
235,201
236,104
237,0
238,344
239,21
240,0
241,145
242,29
243,0
244,358
245,204
246,82
247,0
248,179
249,171
250,30
251,0
252,237
253,327
254,0
255,226
256,1
257,132
258,0
259,257
260,394
261,0
262,10
263,103
264,0
265,0
266,0
267,0
268,304
269,171
270,6
271,0
272,155
273,0
274,0
275,60
276,5
277,0
278,334
279,156
280,44
281,0
282,295
283,221
284,0
285,222
286,101
287,90
288,0
289,448
290,0
291,0
292,320
293,95
294,166
295,0
296,258
297,54
298,0
299,225
300,148
301,0
302,247
303,209
304,194
305,0
306,256
307,184
308,48
309,0
310,217
311,129
312,32
313,0
314,295
315,116
316,0
317,18
318,237
319,27
320,0
321,357
322,280
323,52
324,0
325,226
326,149
327,78
328,0
329,222
330,184
331,32
332,0
333,231
334,137
335,0
336,0
337,185
338,30
339,0
340,240
341,12
342,8
343,0
344,102
345,154
346,6
347,0
348,0
349,0
350,338
351,200
352,69
353,0
354,467
355,156
356,84
357,0
358,162
359,8
360,0
361,463
362,0
363,0
364,163
365,326
366,0
367,295
368,186
369,42
370,0
371,202
372,106
373,58
374,0
375,231
376,15
377,0
378,242
379,180
380,269
381,0
382,316
383,0
384,240
385,0
386,316
387,0
388,136
389,0
390,226
391,143
392,17
393,0
394,234
395,0
396,233
397,0
398,271
399,0
400,131
401,44
402,0
403,9
404,0
405,216
406,215
407,37
408,0
409,9
410,158
411,20
412,0
413,348
414,107
415,0
416,0
417,176
418,242
419,0
420,139
421,0
422,0
423,145
424,0
425,0
426,323
427,0
428,174
429,0
430,138
431,127
432,0
433,244
434,0
435,342
436,0
437,343
438,164
439,0
440,135
441,114
442,0
443,235
444,158
445,76
446,0
447,222
448,136
449,158
450,0
451,117
452,26
453,0
454,221
455,61
456,0
457,309
458,73
459,0
460,272
461,136
462,50
463,0
464,9
465,171
466,0
467,143
468,331
469,0
470,255
471,0
472,0
473,333
474,89
475,55
476,0
477,300
478,0
479,244
480,0
481,206
482,185
483,286
484,0
485,0
486,14
487,0
488,300
489,10
490,0
491,206
492,139
493,158
494,0
495,209
496,235
497,0
498,0
499,272
500,0
501,84
502,0
503,17
504,0
505,170
506,306
507,0
508,4
509,0
510,0
511,201
512,141
513,2
514,0
515,208
516,115
517,201
518,0
519,159
520,0
521,0
522,5
523,0
524,8
525,0
526,0
527,202
528,75
529,0
530,187
531,101
532,0
533,193
534,127
535,0
536,206
537,19
538,0
539,366
540,0
541,0
542,231
543,0
544,209
545,107
546,319
547,0
548,262
549,141
550,0
551,24
552,123
553,0
554,301
555,0
556,348
557,0
558,268
559,149
560,2
561,0
562,120
563,0
564,246
565,2
566,0
567,244
568,102
569,0
570,199
571,150
572,0
573,314
574,95
575,223
576,0
577,36
578,0
579,118
580,6
581,0
582,173
583,120
584,222
585,0
586,203
587,133
588,8
589,0
590,233
591,127
592,79
593,0
594,226
595,113
596,0
597,0
598,292
599,133
600,239
601,0
602,447
603,96
604,61
605,0
606,140
607,172
608,0
609,8
610,0
611,0
612,279
613,20
614,156
615,0
616,193
617,98
618,0
619,0
620,12
621,0
622,193
623,0
624,220
625,1
626,0
627,0
628,175
629,2
630,54
631,0
632,158
633,168
634,0
635,130
636,0
637,234
638,156
639,0
640,185
641,146
642,76
643,0
644,196
645,0
646,5
647,0
648,236
649,130
650,194
651,0
652,127
653,17
654,0
655,21
656,58
657,0
658,186
659,0
660,209
661,144
662,159
663,0
664,311
665,1
666,66
667,5
668,79
669,211
670,0
671,56
672,154
673,166
674,0
675,290
676,122
677,84
678,0
679,183
680,105
681,0
682,0
683,177
684,31
685,0
686,290
687,0
688,166
689,0
690,65
691,0
692,371
693,58
694,0
695,127
696,16
697,7
698,0
699,196
700,139
701,288
702,0
703,245
704,107
705,13
706,0
707,0
708,171
709,29
710,0
711,235
712,195
713,24
714,1
715,147
716,192
717,0
718,186
719,239
720,0
721,37
722,0
723,286
724,145
725,72
726,0
727,166
728,0
729,189
730,0
731,241
732,0
733,209
734,140
735,49
736,0
737,145
738,51
739,0
740,164
741,178
742,52
743,0
