"SC_ID","value"
1,0
2,-0.03
3,-0.157
4,0
5,-0.833
6,0
7,-0.041
8,-0.055
9,1
10,-0.041
11,-0.169
12,-0.17
13,0
14,-0.035
15,-0.098
16,-0.409
17,0
18,-0.035
19,-0.092
20,0
21,-0.053
22,-0.089
23,-0.35
24,0
25,-0.038
26,-0.198
27,0
28,0
29,-0.06
30,0
31,-0.037
32,-0.211
33,0.217
34,0
35,-0.057
36,-0.214
37,0
38,-0.044
39,-0.191
40,0.097
41,0
42,-0.044
43,-0.237
44,-0.048
45,0
46,-0.213
47,0
48,-0.03
49,-0.133
50,-0.8
51,0
52,-0.043
53,0.018
54,-0.138
55,0
56,-0.041
57,-0.217
58,-0.842
59,0
60,-0.041
61,-0.112
62,-0.059
63,0
64,-0.112
65,-0.333
66,0
67,0.022
68,-0.038
69,0
70,-0.05
71,-0.203
72,-0.135
73,0
74,-0.023
75,-0.1
76,-0.467
77,0
78,-0.056
79,-0.098
80,-0.296
81,0
82,-0.031
83,-0.112
84,-0.333
85,1
86,-0.194
87,-0.778
88,0
89,0.023
90,0
91,0
92,-0.103
93,-0.223
94,0.133
95,0
96,-0.039
97,-0.189
98,-0.452
99,0
100,-0.051
101,-0.158
102,0.039
103,0
104,-0.086
105,0.024
106,-0.056
107,0
108,-0.174
109,-0.5
110,1.2
111,-0.049
112,-0.094
113,0
114,1
115,-0.091
116,-0.124
117,0
118,-0.027
119,-0.126
120,-0.65
121,1
122,-0.02
123,-0.218
124,-0.647
125,0
126,-0.058
127,-0.119
128,-0.137
129,1
130,-0.016
131,-0.179
132,0.125
133,0
134,-0.078
135,-0.005
136,0
137,-0.085
138,-0.262
139,0.188
140,0
141,-0.027
142,0
143,0
144,-0.031
145,0.018
146,-0.792
147,0
148,-0.042
149,0.027
150,0.098
151,0
152,-0.145
153,-0.556
154,0
155,-0.076
156,0.072
157,-0.049
158,1.2
159,0
160,0
161,-0.246
162,0
163,0
164,0.058
165,-0.536
166,0
167,0.007
168,-0.25
169,-0.239
170,1
171,-0.052
172,-0.119
173,-0.172
174,0
175,-0.078
176,-0.5
177,0
178,0.179
179,1
180,-0.027
181,-0.115
182,0
183,-0.089
184,-0.24
185,0.265
186,0
187,-0.076
188,-0.124
189,1
190,-0.091
191,0
192,-0.087
193,0
194,-0.193
195,-0.733
196,0
197,-0.081
198,-0.224
199,0
200,-0.1
201,-0.227
202,0
203,-0.048
204,-0.096
205,-0.909
206,0
207,-0.041
208,-0.123
209,-0.082
210,0
211,-0.05
212,0
213,-0.079
214,-0.102
215,-0.269
216,0
217,-0.003
218,0
219,0
220,-0.036
221,0
222,0
223,-0.061
224,-0.118
225,-0.889
226,0
227,-0.035
228,-0.089
229,0.047
230,0
231,-0.031
232,-0.086
233,0.024
234,0
235,0.02
236,-0.293
237,0
238,-0.034
239,-0.5
240,0
241,-0.181
242,-0.356
243,0
244,-0.053
245,-0.136
246,-0.248
247,0
248,0.041
249,-0.178
250,-0.412
251,0
252,-0.088
253,-0.063
254,0
255,-0.089
256,1
257,-0.185
258,0
259,-0.082
260,-0.092
261,0
262,0.429
263,-0.055
264,0
265,0
266,0
267,0
268,-0.035
269,-0.145
270,-0.739
271,0
272,0.013
273,0
274,0
275,0.176
276,-0.545
277,0
278,-0.029
279,-0.192
280,-0.353
281,0
282,-0.061
283,-0.102
284,0
285,0.009
286,-0.303
287,-0.211
288,0
289,-0.034
290,0
291,0
292,-0.027
293,-0.312
294,-0.157
295,0
296,-0.079
297,-0.299
298,0
299,-0.089
300,-0.14
301,0
302,-0.095
303,-0.059
304,-0.126
305,0
306,-0.082
307,-0.089
308,0.231
309,0
310,0
311,-0.283
312,-0.429
313,0
314,-0.054
315,-0.293
316,0
317,0.385
318,-0.109
319,0.35
320,0
321,-0.051
322,0.011
323,0.13
324,0
325,-0.121
326,-0.236
327,0.3
328,0
329,-0.101
330,-0.144
331,-0.418
332,0
333,-0.128
334,0.054
335,0
336,0
337,-0.106
338,-0.483
339,0
340,-0.091
341,2
342,-0.6
343,0
344,0.074
345,-0.185
346,-0.667
347,0
348,0
349,0
350,-0.051
351,-0.149
352,0.255
353,0
354,-0.035
355,-0.157
356,-0.243
357,0
358,-0.194
359,-0.6
360,0
361,-0.031
362,0
363,0
364,-0.128
365,-0.082
366,0
367,-0.061
368,-0.07
369,-0.425
370,0
371,-0.098
372,-0.284
373,0.055
374,0
375,-0.115
376,0.875
377,0
378,-0.1
379,-0.155
380,-0.025
381,0
382,-0.019
383,0
384,-0.101
385,0
386,-0.06
387,0
388,-0.223
389,0
390,-0.117
391,-0.183
392,-0.528
393,0
394,-0.107
395,0
396,-0.009
397,0
398,-0.029
399,0
400,-0.196
401,-0.429
402,0
403,0.8
404,0
405,-0.115
406,0.009
407,0.194
408,0
409,0.5
410,-0.177
411,0.429
412,0
413,-0.049
414,-0.301
415,-1
416,0
417,-0.162
418,-0.062
419,0
420,-0.142
421,0
422,0
