"SC_ID","value"
1,0
2,458
3,186
4,0
5,0
6,0
7,566
8,69
9,0
10,373
11,124
12,8
13,0
14,612
15,263
16,2
17,0
18,547
19,223
20,0
21,320
22,246
23,1
24,0
25,471
26,111
27,0
28,0
29,454
30,0
31,673
32,91
33,0
34,0
35,441
36,20
37,0
38,488
39,107
40,0
41,0
42,257
43,112
44,63
45,0
46,101
47,0
48,564
49,181
50,0
51,0
52,516
53,275
54,15
55,0
56,453
57,91
58,0
59,0
60,306
61,192
62,63
63,0
64,235
65,33
66,0
67,123
68,28
69,0
70,449
71,101
72,14
73,0
74,518
75,232
76,2
77,0
78,371
79,218
80,4
81,0
82,411
83,184
84,34
85,0
86,90
87,0
88,0
89,114
90,0
91,0
92,403
93,90
94,0
95,0
96,309
97,122
98,2
99,0
100,440
101,186
102,2
103,0
104,407
105,186
106,108
107,0
108,107
109,1
110,0
111,441
112,189
113,0
114,0
115,422
116,153
117,0
118,474
119,161
120,0
121,1
122,567
123,90
124,0
125,0
126,361
127,178
128,75
129,0
130,439
131,118
132,0
133,0
134,204
135,56
136,0
137,428
138,48
139,0
140,0
141,412
142,0
143,0
144,217
145,117
146,0
147,0
148,459
149,168
150,2
151,0
152,126
153,1
154,0
155,421
156,111
157,66
158,0
159,0
160,0
161,81
162,0
163,0
164,142
165,1
166,0
167,199
168,73
169,6
170,0
171,434
172,132
173,24
174,0
175,404
176,1
177,0
178,0
179,0
180,414
181,181
182,0
183,417
184,85
185,0
186,0
187,432
188,84
189,0
190,382
191,0
192,159
193,0
194,98
195,0
196,0
197,393
198,86
199,0
200,372
201,104
202,0
203,434
204,215
205,0
206,0
207,341
208,102
209,64
210,0
211,443
212,0
213,385
214,111
215,4
216,0
217,263
218,0
219,0
220,425
221,0
222,0
223,327
224,159
225,0
226,0
227,364
228,183
229,10
230,0
231,418
232,108
233,5
234,0
235,217
236,82
237,0
238,402
239,1
240,0
241,97
242,3
243,0
244,327
245,162
246,11
247,0
248,165
249,126
250,3
251,0
252,287
