"SC_ID","value"
1,0
2,-2
3,-36
4,0
5,0
6,0
7,-2
8,-8
9,0
10,1
11,-29
12,-5
13,0
14,-3
15,-34
16,-2
17,0
18,-13
19,-37
20,0
21,8
22,-33
23,-3
24,0
25,1
26,-29
27,0
28,0
29,-12
30,0
31,-8
32,-27
33,0
34,0
35,-25
36,-2
37,0
38,5
39,-33
40,0
41,0
42,3
43,-28
44,-13
45,0
46,-33
47,0
48,-4
49,-35
50,-1
51,0
52,-10
53,0
54,-4
55,0
56,-24
57,-14
58,-1
59,0
60,0
61,-35
62,-5
63,0
64,-31
65,-4
66,0
67,-6
68,0
69,0
70,-23
71,-34
72,-3
73,0
74,-1
75,-30
76,-3
77,0
78,-32
79,-36
80,-6
81,0
82,-30
83,-28
84,-2
85,0
86,-31
87,0
88,0
89,-5
90,0
91,0
92,-29
93,-34
94,0
95,0
96,-4
97,-24
98,-5
99,0
100,-28
101,-32
102,0
103,0
104,-28
105,2
106,-4
107,0
108,-29
109,-2
110,0
111,-24
112,-34
113,0
114,0
115,-31
116,-32
117,0
118,-25
119,-33
120,-2
121,1
122,-16
123,-28
124,-2
125,0
126,-31
127,-35
128,-12
129,0
130,-28
131,-25
132,0
133,0
134,-35
135,-2
136,0
137,-32
138,-23
139,0
140,0
141,-27
142,0
143,0
144,-5
145,-2
146,-1
147,0
148,-21
149,3
150,1
151,0
152,-28
153,-1
154,0
155,-28
156,4
157,-7
158,0
159,0
160,0
161,-29
162,0
163,0
164,-4
165,-1
166,0
167,2
168,-20
169,-3
170,0
171,-26
172,-30
173,-5
174,0
175,-31
176,-4
177,0
178,0
179,0
180,-18
181,-31
182,0
183,-33
184,-30
185,0
186,0
187,-27
188,-15
189,0
190,-20
191,0
192,-30
193,0
194,-27
195,-1
196,0
197,-32
198,-31
199,0
200,-22
201,-25
202,0
203,-25
204,-33
205,0
206,0
207,-14
208,-17
209,-18
210,0
211,-20
212,0
213,-29
214,-20
215,-4
216,0
217,-18
218,0
219,0
220,-27
221,0
222,0
223,-31
224,-29
225,0
226,0
227,-17
228,-33
229,1
230,0
231,-9
232,-24
233,0
234,0
235,14
236,-26
237,0
238,-28
239,-1
240,0
241,-24
242,-3
243,0
244,-24
245,-32
246,-4
247,0
248,15
249,-26
250,-4
251,0
252,-29
253,-12
254,0
255,-31
256,0
257,-5
258,0
259,-32
260,-21
261,0
262,0
263,-2
264,0
265,0
266,0
267,0
268,-27
269,-27
270,0
271,0
272,-5
273,0
274,0
275,5
276,0
277,0
278,-27
279,-27
280,-5
281,0
282,-27
283,-30
284,0
285,6
286,-22
287,-4
288,0
289,-4
290,0
291,0
292,-26
293,-20
294,-5
295,0
296,-24
297,-5
298,0
299,-35
300,-18
301,0
302,-38
303,-11
304,-8
305,0
306,-35
307,-19
308,0
309,0
310,-4
311,-27
312,-2
313,0
314,-26
315,-26
316,0
317,3
318,-27
319,0
320,0
321,-29
322,-1
323,1
324,0
325,-31
326,-26
327,0
328,0
329,-24
330,-29
331,-2
332,0
333,-33
334,1
335,0
336,0
337,-23
338,-1
339,0
340,-35
341,3
342,0
343,0
344,12
345,-29
346,0
347,0
348,0
349,0
350,-29
351,-23
352,0
353,0
354,-28
355,-23
356,-5
357,0
358,-28
359,-1
360,0
361,-5
362,0
363,0
364,-25
365,-22
366,0
367,-24
368,-13
369,-2
370,0
371,-29
372,-22
373,1
374,0
375,-36
376,0
377,0
378,-33
379,-29
380,-6
381,0
382,-25
383,0
384,-33
385,0
386,-11
387,0
388,-6
389,0
390,-40
391,-23
392,0
393,0
394,-31
395,0
396,-6
397,0
398,-11
399,0
400,-22
401,-1
402,0
403,2
404,0
405,-31
406,-8
407,0
408,0
409,6
410,-29
411,0
412,0
413,-26
414,-23
415,0
416,0
417,-27
418,-3
419,0
420,-17
421,0
422,0
423,-17
424,0
425,0
426,-26
427,0
428,-6
429,0
430,-20
431,2
432,0
433,-27
434,0
435,-20
436,0
437,-27
438,-13
439,0
440,-21
441,-4
442,0
443,-30
444,-28
445,3
446,0
447,-27
448,-21
449,-6
450,0
451,-21
452,0
453,0
454,-41
455,1
456,0
457,-7
458,0
459,0
460,-27
461,-22
462,-2
463,0
464,0
465,-4
466,0
467,-29
468,-5
469,0
470,-20
471,0
472,0
473,-27
474,-16
475,0
476,0
477,-24
478,0
479,-25
480,0
481,-37
482,-8
483,-14
484,0
485,0
486,-1
487,0
488,-28
489,-1
490,0
491,-28
492,-30
493,-4
494,0
495,-42
496,-15
497,0
498,0
499,-39
500,0
501,1
502,0
503,1
504,0
505,-12
506,-6
507,0
508,1
509,0
510,0
511,-35
512,-23
513,0
514,0
515,-29
516,-3
517,-5
518,0
519,-22
520,0
521,0
522,3
523,0
524,-1
525,0
526,0
527,-36
528,-3
529,0
530,-3
531,2
532,0
533,-35
534,-25
535,0
536,-18
537,0
538,0
539,-8
540,0
541,0
542,-6
543,0
544,-32
545,-11
546,-12
547,0
548,-27
549,-28
550,0
551,-3
552,2
553,0
554,-24
555,0
556,-6
557,0
558,-26
559,-25
560,0
561,0
562,-16
563,0
564,-25
565,0
566,0
567,-37
568,-23
569,0
570,-29
571,-15
572,0
573,-23
574,-12
575,1
576,0
577,0
578,0
579,-21
580,-1
581,0
582,-38
583,-14
584,-5
585,0
586,-34
587,-12
588,-1
589,0
590,-32
591,-2
592,3
593,0
594,-29
595,-15
596,0
597,0
598,-23
599,-14
600,-6
601,0
602,-14
603,-8
604,0
605,0
606,-12
607,3
608,0
609,5
610,0
611,0
612,-25
613,-1
614,-1
615,0
616,2
617,-15
618,0
619,0
620,0
621,0
622,-38
623,0
624,-28
625,0
626,0
627,0
628,-34
629,0
630,0
631,0
632,-12
633,-1
634,0
635,-16
636,0
637,-33
638,-24
639,0
640,-35
641,-13
642,0
643,0
644,-32
645,0
646,-1
647,0
648,-30
649,-16
650,0
651,0
652,-11
653,-1
654,0
655,-2
656,1
657,0
658,-14
659,0
660,-32
661,-26
662,-5
663,0
664,-24
665,0
666,-2
667,0
668,6
669,-5
670,0
671,7
672,-15
673,2
674,0
675,-23
676,5
677,-1
678,0
679,-9
680,-16
681,0
682,0
683,-32
684,1
685,0
686,-27
687,0
688,-30
689,0
690,2
691,0
692,-1
693,0
694,0
695,-37
696,-1
697,0
698,0
699,-42
700,-13
701,-4
702,0
703,-21
704,-22
705,-1
706,0
707,0
708,-31
709,-2
710,0
711,-28
712,3
713,0
714,0
715,-38
716,-3
717,0
718,-42
719,-1
720,0
721,-2
722,0
723,-23
724,-22
725,0
726,0
727,-31
728,0
729,-39
730,0
731,-1
732,0
733,-10
734,-19
735,-3
736,0
737,-24
738,0
739,0
740,-46
741,8
742,-3
743,0
744,-32
745,-15
746,1
747,0
748,-19
749,-5
750,0
751,-27
752,0
753,-3
754,0
755,-27
756,3
757,0
758,0
759,-8
760,0
761,0
762,-26
763,0
764,0
765,0
766,-28
767,-1
768,0
769,-23
770,-2
771,0
772,-28
773,-21
774,0
775,0
776,-26
777,0
778,0
779,0
780,-38
781,-12
782,-4
783,0
784,-9
785,0
786,0
787,-33
788,-2
789,0
790,-43
791,-5
792,2
793,0
794,0
795,-4
796,0
797,-14
798,-2
799,0
800,-12
801,-4
802,0
803,-34
804,0
805,-31
806,-22
807,0
808,0
809,-20
810,-2
811,0
812,0
813,0
814,-24
815,0
816,0
817,-28
818,1
819,0
820,-14
821,-18
822,-5
823,0
824,2
825,1
826,0
827,0
828,-37
829,0
830,0
831,-30
832,0
833,0
834,0
835,-29
836,2
837,0
838,0
839,-34
840,0
841,0
842,-6
843,0
844,-35
845,0
846,0
847,-16
848,0
849,0
850,-29
851,-2
852,0
853,-38
854,-16
855,1
856,0
857,-36
858,-1
859,0
860,-28
861,-18
862,-1
863,0
864,-22
865,-18
866,1
867,0
868,-33
869,-14
870,0
871,0
872,-35
873,-10
874,0
875,-28
876,0
877,-6
878,0
879,-40
880,-2
881,0
882,-42
883,2
884,0
885,1
886,0
887,0
888,-42
889,-20
890,0
891,0
892,-8
893,1
894,0
895,-31
896,-5
897,0
898,-30
899,-1
900,0
901,0
902,-11
903,-1
904,0
905,-32
906,-15
907,-8
908,0
909,-33
910,-11
911,-5
912,0
913,-33
914,0
915,-31
916,-19
917,0
918,0
919,-10
920,-7
921,-8
922,0
923,-30
924,-8
925,0
926,0
927,-8
928,0
929,0
930,5
931,0
932,0
933,0
934,-28
935,-15
936,0
937,0
938,-37
939,-17
940,-1
941,0
942,0
943,0
944,0
945,-6
946,-16
947,-9
948,0
949,-35
950,0
951,-29
952,-2
953,0
954,0
955,-35
956,0
957,0
958,-25
959,-6
960,0
961,-34
962,0
963,0
964,-13
965,0
966,-31
967,0
968,-19
969,0
970,1
971,1
972,0
973,-29
974,3
975,1
976,0
977,0
978,0
979,1
980,-17
981,1
982,0
983,-24
984,-19
985,1
986,0
987,-12
988,0
989,0
990,-34
991,1
992,0
993,-33
994,0
995,1
996,0
997,-34
998,0
999,0
1000,0
1001,2
1002,-1
1003,0
1004,-30
1005,0
1006,0
1007,0
1008,0
1009,-35
1010,-4
1011,0
1012,-10
1013,0
1014,0
1015,0
1016,0
1017,-34
1018,-17
1019,0
1020,0
1021,-28
1022,0
1023,0
1024,0
1025,0
1026,0
1027,5
1028,2
1029,0
1030,0
1031,0
1032,-31
1033,-20
1034,1
1035,0
1036,1
1037,0
1038,0
1039,0
1040,0
1041,-32
1042,0
1043,-13
1044,0
1045,-35
1046,-12
1047,1
1048,0
1049,-28
1050,-12
1051,0
1052,0
1053,-26
1054,0
1055,-9
1056,0
1057,-13
1058,1
1059,0
1060,-5
1061,-14
1062,0
1063,0
1064,-27
1065,1
1066,-16
1067,0
1068,-27
1069,-10
1070,0
1071,0
1072,-30
1073,-4
1074,0
1075,0
1076,-28
1077,1
1078,-18
1079,0
1080,-39
1081,0
1082,-10
1083,0
1084,1
1085,0
1086,0
1087,-29
1088,0
1089,0
1090,-31
1091,1
1092,1
1093,-33
1094,0
1095,-31
1096,-1
1097,-30
1098,2
1099,1
1100,-11
1101,1
1102,-31
1103,2
1104,-8
1105,-24
1106,0
1107,0
1108,-20
1109,-8
1110,0
1111,-35
1112,0
1113,-29
1114,0
1115,-20
1116,-24
1117,-12
1118,-13
1119,0
1120,-12
1121,-14
1122,-10
1123,1
1124,1
1125,-3
1126,-13
1127,-21
1128,-27
1129,-6
1130,-19
1131,-32
1132,-2
1133,2
1134,2
1135,0
1136,-24
1137,-35
1138,-11
1139,0
1140,-19
1141,0
1142,0
1143,0
1144,-30
1145,-4
1146,0
1147,-10
1148,0
1149,-26
1150,3
1151,-20
1152,7
1153,-5
1154,-14
1155,-31
1156,0
1157,0
1158,9
1159,1
1160,-13
1161,-27
1162,0
1163,0
1164,0
1165,-12
1166,-18
1167,-6
1168,0
1169,4
1170,0
1171,6
1172,2
1173,-43
1174,-4
1175,1
1176,0
1177,-25
1178,0
1179,-9
1180,-19
1181,-3
1182,0
1183,-26
1184,1
1185,0
1186,-14
1187,0
1188,-19
1189,-38
1190,1
1191,-21
1192,6
1193,0
1194,-1
1195,-35
1196,0
1197,6
1198,0
1199,-11
1200,-38
1201,-4
1202,0
1203,-30
1204,0
1205,0
1206,-14
1207,-6
1208,0
1209,-18
1210,1
1211,0
1212,-6
1213,0
1214,-28
1215,-2
1216,-17
1217,-15
1218,4
1219,-1
1220,-26
1221,0
1222,-2
1223,-26
1224,0
1225,0
1226,-29
1227,0
1228,0
1229,-38
1230,1
1231,0
1232,-28
1233,-1
1234,0
1235,4
1236,-1
1237,-13
1238,1
1239,0
1240,-32
1241,0
1242,0
1243,-2
1244,-1
1245,-1
1246,-30
1247,2
1248,0
1249,-38
1250,0
1251,0
1252,-36
1253,0
1254,0
1255,-27
1256,-2
1257,-1
1258,7
1259,0
1260,-4
1261,2
1262,-1
1263,0
1264,-38
1265,0
1266,-2
1267,-30
1268,-2
1269,0
1270,-31
1271,1
1272,0
1273,-28
1274,0
1275,1
1276,-24
1277,1
1278,0
1279,-10
1280,1
1281,-1
1282,6
1283,0
1284,0
1285,-33
1286,0
1287,-14
1288,-25
1289,-1
1290,0
1291,2
1292,0
1293,-20
1294,0
1295,0
1296,-33
1297,1
1298,0
1299,-24
1300,0
1301,-3
1302,-41
1303,0
1304,2
1305,-5
1306,-2
1307,0
1308,-3
1309,-2
1310,0
1311,-5
1312,-2
1313,0
1314,-28
1315,3
1316,0
1317,-27
1318,1
1319,1
1320,0
1321,1
1322,-2
1323,-6
1324,-22
1325,0
1326,-1
1327,-27
1328,-1
1329,0
1330,-30
1331,0
1332,-27
1333,-1
1334,0
1335,-37
1336,1
1337,0
1338,-26
1339,0
1340,3
1341,-31
1342,0
1343,0
1344,-8
1345,0
1346,0
1347,-35
1348,0
1349,0
1350,-22
1351,-1
1352,0
1353,-28
1354,0
1355,0
1356,-1
1357,0
1358,5
1359,-15
1360,1
1361,-8
1362,-29
1363,-3
1364,0
1365,-33
1366,-4
1367,0
1368,-41
1369,1
1370,3
1371,-34
1372,-3
1373,5
1374,-22
1375,0
1376,0
1377,7
1378,-2
1379,0
1380,-27
1381,0
1382,0
1383,-31
1384,0
1385,0
1386,0
1387,7
1388,-10
1389,0
1390,0
1391,-43
1392,2
1393,0
1394,-26
1395,0
1396,0
1397,-40
1398,0
1399,0
1400,-40
1401,0
1402,0
1403,-31
1404,-2
1405,1
1406,0
1407,-1
1408,0
1409,-26
1410,0
1411,0
1412,-25
1413,0
1414,0
1415,-15
1416,0
1417,-28
1418,-10
1419,0
1420,-37
1421,-1
1422,0
1423,-30
1424,-1
1425,0
1426,-8
1427,0
1428,0
1429,-27
1430,0
1431,-19
1432,0
1433,0
1434,-37
1435,-4
1436,0
1437,0
1438,0
1439,-25
1440,0
1441,0
1442,-25
1443,-14
1444,0
1445,-24
1446,-6
1447,0
1448,0
1449,0
1450,0
1451,0
1452,4
1453,1
1454,0
1455,-1
1456,0
1457,3
1458,-2
1459,0
1460,-32
1461,-1
1462,0
1463,-32
1464,0
1465,0
1466,-9
1467,-1
1468,0
1469,1
1470,0
1471,-16
1472,0
1473,0
1474,-33
1475,-3
1476,0
1477,-1
1478,0
1479,-35
1480,3
1481,0
1482,-2
1483,0
1484,0
1485,-34
1486,0
1487,0
1488,0
1489,-4
1490,0
1491,-24
1492,-11
1493,0
1494,-6
1495,-1
1496,0
1497,-34
1498,-4
1499,0
1500,-25
1501,0
1502,0
1503,-27
1504,0
1505,-34
1506,1
1507,0
1508,-20
1509,-4
1510,0
1511,-31
1512,-4
1513,0
1514,0
1515,0
1516,-30
1517,-14
1518,0
1519,-33
1520,-2
1521,0
1522,-34
1523,-5
1524,0
1525,-34
1526,0
1527,0
1528,-31
1529,-3
1530,0
1531,-34
1532,-2
1533,-11
1534,-34
1535,-2
1536,-24
1537,-1
1538,0
1539,-27
1540,-1
1541,0
1542,-31
1543,-1
1544,0
1545,-36
1546,0
1547,1
1548,-3
1549,0
1550,-24
1551,-5
1552,0
1553,-32
1554,1
1555,0
1556,-25
1557,0
1558,15
1559,-34
1560,-1
1561,-5
1562,-27
1563,-1
1564,0
1565,-30
1566,0
1567,0
1568,-31
1569,-5
1570,3
1571,-32
1572,-1
1573,-29
1574,0
1575,0
1576,-34
1577,-2
