"SC_ID","value"
1,0.474
2,0.026
3,-0.013
4,NA
5,-0.267
6,1
7,0.033
8,0
9,0.399
10,0.025
11,-0.019
12,0.006
13,0.326
14,0.018
15,0.003
16,-0.108
17,0.303
18,0.043
19,-0.003
20,0.298
21,0.027
22,0.014
23,-0.111
24,NA
25,0.011
26,-0.002
27,0.667
28,0.314
29,0.041
30,0.46
31,0.011
32,-0.019
33,0.075
34,0.356
35,0.155
36,-0.011
37,0.75
38,0.015
39,-0.038
40,0.061
41,0.327
42,0.027
43,-0.02
44,0.026
45,0.556
46,-0.047
47,0.37
48,0.006
49,-0.013
50,-0.228
51,0.286
52,0.018
53,-0.012
54,0.006
55,0.889
56,0.135
57,-0.026
58,-0.255
59,0.592
60,0.031
61,0.004
62,0.008
63,NA
64,-0.01
65,-0.045
66,1.938
67,0.034
68,0.038
69,0.382
70,0.044
71,-0.042
72,0.006
73,0.492
74,0.018
75,-0.009
76,-0.13
77,0.478
78,-0.003
79,-0.003
80,-0.05
81,0.486
82,0.051
83,-0.042
84,-0.031
85,0.211
86,-0.017
87,-0.275
88,1.107
89,0.047
90,1
91,0.538
92,0.062
93,-0.039
94,0.062
95,0.286
96,0.01
97,-0.073
98,-0.1
99,0.242
100,0.026
101,-0.034
102,0.051
103,NA
104,0.023
105,-0.016
106,0.005
107,0.882
108,-0.03
109,-0.133
110,0.139
111,0.042
112,-0.022
113,Inf
114,0.228
115,0.02
116,-0.01
117,0.131
118,0.045
119,0
120,-0.172
121,1.341
122,0.002
123,-0.039
124,-0.171
125,NA
126,-0.003
127,-0.015
128,0.005
129,0.103
130,0.028
131,-0.017
132,0.071
133,0.248
134,-0.022
135,0.01
136,NA
137,0.088
138,-0.045
139,0.112
140,0.246
141,-0.002
142,0.375
143,0.341
144,0.05
145,-0.032
146,-0.231
147,0.923
148,0.019
149,0.008
150,0.085
151,0.938
152,-0.007
153,-0.199
154,0.265
155,0.079
156,-0.032
157,0.034
158,0.139
159,NA
160,0.298
161,-0.045
162,0.275
163,0.162
164,0.035
165,-0.193
166,0.667
167,0.059
168,-0.049
169,-0.023
170,0.127
171,0.065
172,0.004
173,-0.002
174,0.75
175,0.096
176,-0.172
177,0.315
178,0.081
179,0.123
180,0.005
181,-0.054
182,1
183,0.039
184,-0.054
185,0.13
186,0.645
187,0.039
188,-0.001
189,0.181
190,0.013
191,0.583
192,-0.036
193,0.138
