"SC_ID","value"
1,40
2,378
3,333
4,0
5,161
6,0
7,551
8,222
9,51
10,312
11,334
12,222
13,38
14,665
15,406
16,199
17,58
18,640
19,388
20,53
21,320
22,389
23,205
24,0
25,492
26,342
27,8
28,30
29,570
30,46
31,733
32,325
33,66
34,46
35,423
36,214
37,2
38,563
39,327
40,69
41,42
42,261
43,307
44,282
45,49
46,323
47,42
48,724
49,338
50,167
51,21
52,653
53,484
54,231
55,34
56,447
57,234
58,182
59,65
60,320
61,366
62,231
63,0
64,371
65,233
66,37
67,236
68,161
69,49
70,459
71,316
72,233
73,53
74,595
75,408
76,204
77,17
78,490
79,379
80,212
81,18
82,452
83,348
84,243
85,68
86,342
87,187
88,20
89,239
90,3
91,49
92,351
93,307
94,68
95,32
96,300
97,318
98,195
99,61
100,427
101,336
102,96
103,0
104,376
105,328
106,370
107,15
108,319
109,189
110,72
111,429
112,373
113,2
114,72
115,421
116,317
117,68
118,505
119,337
120,186
121,39
122,690
123,308
124,181
125,0
126,493
127,359
128,382
129,57
130,512
131,314
132,74
133,47
134,387
135,208
136,0
137,428
138,255
139,70
140,55
141,577
142,24
143,77
144,173
145,225
146,190
147,35
148,480
149,298
150,86
151,30
152,270
153,179
154,60
155,435
156,221
157,216
158,64
159,0
160,51
161,299
162,48
163,54
164,263
165,184
166,1
167,197
168,256
169,228
170,72
171,467
172,309
173,267
174,42
175,421
176,193
177,43
178,81
179,54
180,502
181,335
182,0
183,405
184,299
185,93
186,43
187,453
188,460
189,40
190,367
191,7
192,353
193,46
194,308
195,161
196,29
197,378
198,288
199,35
200,341
201,288
202,0
203,439
204,398
205,171
206,54
207,414
208,242
209,415
210,0
211,453
212,25
213,352
214,278
215,229
216,22
217,433
218,14
219,35
220,438
221,44
222,0
223,416
224,318
225,162
226,61
227,493
228,364
229,108
230,45
231,568
232,293
233,110
234,51
235,244
236,271
237,11
238,455
239,192
240,0
241,277
242,197
243,14
244,467
245,346
246,271
247,0
248,229
249,306
250,215
251,40
252,409
253,400
254,58
255,353
256,207
257,274
258,0
259,444
260,569
261,49
262,200
263,132
264,10
265,227
266,22
267,29
268,401
269,319
270,168
271,13
272,259
273,14
274,19
275,112
276,146
277,0
278,457
279,305
280,258
281,19
282,399
283,348
284,21
285,293
286,290
287,261
288,28
289,570
290,218
291,0
292,440
293,271
294,285
295,37
296,374
297,237
298,54
299,356
300,274
301,41
302,378
303,314
304,327
305,28
306,396
307,291
308,89
309,0
310,305
311,296
312,191
313,11
314,402
315,285
316,0
317,48
318,339
319,53
320,0
321,498
322,392
323,83
324,0
325,421
326,310
327,124
