"SC_ID","value"
1,0
2,464
3,215
4,0
5,5
6,0
7,563
8,91
9,2
10,377
11,157
12,25
13,0
14,613
15,284
16,15
17,0
18,551
19,244
20,2
21,335
22,272
23,15
24,0
25,480
26,140
27,0
28,0
29,463
30,0
31,683
32,117
33,0
34,0
35,457
36,48
37,0
38,504
39,139
40,0
41,0
42,271
43,144
44,90
45,0
46,134
47,0
48,579
49,209
50,7
51,0
52,521
53,303
54,36
55,0
56,472
57,124
58,6
59,0
60,318
61,218
62,80
63,0
64,267
65,64
66,0
67,153
68,43
69,0
70,466
71,134
72,32
73,0
74,537
75,261
76,15
77,0
78,403
79,238
80,19
81,0
82,438
83,219
84,63
85,0
86,123
87,6
88,0
89,147
90,0
91,0
92,429
93,123
94,0
95,0
96,322
97,157
98,16
99,0
100,460
101,226
102,7
103,0
104,432
105,207
106,134
107,0
108,148
109,13
110,2
111,455
112,213
113,0
114,0
115,448
116,182
117,0
118,496
119,192
120,11
121,3
122,598
123,123
124,8
125,0
126,396
127,205
128,112
129,0
130,462
131,155
132,0
133,0
134,231
135,67
136,0
137,450
138,83
139,1
140,0
141,444
142,0
143,0
144,235
145,138
146,6
147,0
148,475
149,189
150,5
151,0
152,162
153,7
154,0
155,439
156,128
157,81
158,1
159,0
160,0
161,116
162,0
163,0
164,168
165,7
166,0
167,218
168,108
169,20
170,0
171,453
172,158
173,53
174,0
175,426
176,13
177,0
178,1
179,0
180,447
181,216
182,0
183,442
184,116
185,2
186,0
187,440
188,126
189,0
190,401
191,0
192,190
193,0
194,140
195,6
196,0
197,417
198,118
199,0
200,387
201,145
202,0
203,453
204,250
205,5
206,0
207,378
208,129
209,107
210,0
211,458
212,0
213,405
214,141
215,18
216,0
217,300
218,0
219,0
220,447
221,0
222,0
223,369
224,192
225,5
226,0
227,400
228,213
229,16
230,0
231,457
232,138
233,15
234,0
235,241
236,115
237,0
238,430
239,9
240,0
241,138
242,16
243,0
244,366
245,194
246,28
247,0
248,190
249,162
250,17
251,0
252,331
253,112
254,0
255,398
256,2
257,46
258,0
259,427
260,158
261,0
262,2
263,31
264,0
265,1
266,0
267,0
268,409
269,171
270,6
271,0
272,155
273,0
274,0
275,35
276,5
277,0
278,432
279,140
280,18
281,0
282,374
283,194
284,0
285,284
286,105
287,27
288,0
289,450
290,1
291,0
292,432
293,108
294,53
295,0
296,201
297,20
298,0
299,386
300,113
301,0
302,387
303,189
304,63
305,0
306,395
307,135
308,0
309,0
310,269
311,125
312,11
313,0
314,385
315,122
316,0
317,16
318,187
319,0
320,0
321,388
322,254
323,5
324,0
325,360
326,140
327,4
328,0
329,382
330,170
331,12
332,0
333,370
334,114
335,0
336,0
337,162
338,9
339,0
340,392
341,8
342,5
343,0
344,162
345,154
346,6
347,0
348,0
349,0
350,455
351,194
352,0
353,0
354,454
355,153
356,24
357,0
358,148
359,6
360,0
361,465
362,2
363,0
364,148
365,107
366,0
367,410
368,143
369,12
370,0
371,294
372,107
373,8
374,0
375,363
376,0
377,0
378,357
379,173
380,90
381,0
382,416
383,0
384,373
385,1
386,94
387,0
388,29
389,0
390,348
391,146
392,7
393,0
394,322
395,0
396,291
397,0
398,89
399,0
400,123
401,11
402,0
403,15
404,0
405,316
406,190
407,0
408,0
409,33
410,149
411,0
412,0
413,367
414,106
415,3
416,0
417,164
418,70
419,0
420,98
421,0
422,0
423,105
424,0
425,0
426,411
427,0
428,31
429,0
430,132
431,23
432,0
433,383
434,1
435,113
436,0
437,354
438,132
439,0
440,134
441,26
442,0
443,282
444,149
445,13
446,0
447,343
448,116
449,39
450,0
451,118
452,2
453,0
454,328
455,8
456,0
457,303
458,1
459,0
460,405
461,128
462,15
463,0
464,5
465,31
466,0
467,138
468,112
469,0
470,199
471,0
472,0
473,438
474,102
475,1
476,0
477,390
478,0
479,354
480,0
481,251
482,162
483,88
484,0
485,1
486,7
487,0
488,332
489,7
490,0
491,278
492,136
493,37
494,0
495,306
496,205
497,0
498,0
499,374
500,0
501,4
502,0
503,6
504,0
505,131
506,112
507,0
508,13
509,0
510,0
511,296
512,140
513,4
514,0
515,298
516,97
517,57
518,0
519,129
520,2
521,0
522,14
523,0
524,9
525,0
526,0
527,261
528,20
529,0
530,202
531,16
532,0
533,262
534,130
535,0
536,151
537,0
538,0
539,140
540,0
541,2
542,46
543,0
544,257
545,106
546,90
547,0
548,399
549,137
550,0
551,23
552,25
553,0
554,367
555,0
556,124
557,0
558,378
559,138
560,5
561,0
562,113
563,0
564,189
565,5
566,0
567,278
568,102
569,0
570,252
571,108
572,0
573,382
574,106
575,59
576,0
577,0
578,0
579,113
580,6
581,0
582,237
583,107
584,40
585,0
586,230
587,114
588,8
589,0
590,305
591,107
592,8
593,0
594,303
595,104
596,0
597,0
598,370
599,112
600,46
601,0
602,446
603,88
604,1
605,0
606,109
607,38
608,0
609,19
610,0
611,0
612,312
613,16
614,32
615,0
616,220
617,98
618,0
619,0
620,0
621,0
622,271
623,0
624,306
625,0
626,0
627,0
628,189
629,4
630,3
631,0
632,123
633,25
634,0
635,106
636,0
637,330
638,128
639,0
640,249
641,108
642,1
643,0
644,204
645,0
646,7
647,0
648,321
649,106
650,37
651,0
652,112
653,11
654,0
655,21
656,18
657,0
658,135
659,0
660,227
661,125
662,35
663,0
664,396
665,5
666,19
667,0
668,75
669,52
670,0
671,69
672,118
673,23
674,0
675,356
676,96
677,17
678,0
679,205
680,97
681,0
682,0
683,181
684,15
685,0
686,325
687,0
688,234
689,0
690,9
691,0
692,372
693,1
694,0
695,154
696,20
697,0
698,0
699,218
700,108
701,53
702,0
703,275
704,100
705,10
706,0
707,0
708,214
709,13
710,0
711,314
712,147
713,12
714,0
715,167
716,44
717,0
718,191
719,41
720,1
721,18
722,0
723,350
724,115
725,2
726,0
727,227
728,0
729,192
730,0
731,41
732,0
733,224
734,120
735,22
736,0
737,112
738,17
739,0
740,185
741,113
742,20
743,0
744,183
745,89
746,23
747,0
748,105
749,24
750,0
751,288
752,3
753,18
754,0
755,355
756,64
757,23
758,0
759,270
760,1
761,0
762,201
763,0
764,3
765,0
766,231
767,24
768,0
769,123
770,32
771,0
772,268
773,110
774,0
775,0
776,190
777,0
778,2
779,0
780,308
781,121
782,72
783,0
784,61
785,0
786,0
787,196
788,26
789,0
790,300
791,115
792,47
793,0
794,74
795,62
796,0
797,87
798,27
799,0
800,83
801,25
802,0
803,319
804,0
805,192
806,112
807,18
808,0
809,304
810,21
811,0
812,0
813,0
814,241
815,28
816,0
817,309
818,35
819,0
820,297
821,99
822,27
823,0
824,76
825,22
826,0
827,0
828,282
829,0
830,0
831,310
832,0
833,0
834,0
835,196
836,55
837,19
838,0
839,173
840,0
841,0
842,42
843,0
844,173
845,0
846,0
847,83
848,14
849,0
850,331
851,21
852,0
853,197
854,79
855,21
856,0
857,165
858,20
859,0
860,196
861,85
862,33
863,0
864,217
865,111
866,25
867,0
868,342
869,98
870,22
871,0
872,181
873,73
874,0
875,143
876,0
877,48
878,0
879,190
880,63
881,0
882,164
883,5
884,0
885,22
886,15
887,0
888,178
889,90
890,0
891,0
892,81
893,8
894,0
895,157
896,70
897,0
898,369
899,15
900,17
901,0
902,74
903,37
904,0
905,184
906,114
907,54
908,0
909,153
910,93
911,51
912,0
913,272
914,0
915,145
916,86
917,0
918,0
919,298
920,70
921,58
922,0
923,285
924,73
925,0
926,0
927,271
928,0
929,0
930,53
931,35
932,0
933,0
934,257
935,77
936,0
937,0
938,183
939,77
940,16
941,0
942,0
943,0
944,0
945,238
946,76
947,56
948,0
949,346
950,0
951,312
952,39
953,16
954,0
955,166
956,0
957,0
958,180
959,57
960,0
961,147
962,0
963,0
964,85
965,0
966,157
967,0
968,158
969,0
970,38
971,19
972,0
973,324
974,64
975,32
976,0
977,21
978,0
979,31
980,91
981,9
982,0
983,174
984,102
985,5
986,0
987,95
988,22
989,0
990,224
991,22
992,0
993,137
994,0
995,27
996,0
997,218
998,0
999,7
1000,0
1001,23
1002,12
1003,0
1004,149
1005,0
1006,0
1007,26
1008,0
1009,130
1010,69
1011,0
1012,200
1013,0
1014,0
1015,4
1016,0
1017,250
1018,65
1019,13
1020,0
1021,153
1022,0
1023,0
1024,9
1025,2
1026,0
1027,107
1028,30
1029,0
1030,0
1031,0
1032,149
1033,82
1034,53
1035,0
1036,8
1037,14
1038,0
1039,0
1040,0
1041,104
1042,0
1043,78
1044,0
1045,303
1046,57
1047,14
1048,0
1049,454
1050,55
1051,0
1052,0
1053,438
1054,1
1055,78
1056,0
1057,58
1058,14
1059,0
1060,327
1061,62
1062,0
1063,0
1064,437
1065,41
1066,77
1067,0
1068,409
1069,54
1070,0
1071,0
1072,262
1073,51
1074,0
1075,0
1076,386
1077,31
1078,100
1079,0
1080,303
1081,0
1082,91
1083,0
1084,15
1085,2
1086,33
1087,344
1088,63
1089,0
1090,295
1091,28
1092,11
1093,140
1094,0
1095,214
1096,49
1097,270
1098,16
1099,4
1100,656
1101,8
1102,309
1103,13
1104,93
1105,147
1106,0
1107,3
1108,442
1109,72
1110,0
1111,159
1112,0
1113,337
1114,16
1115,125
1116,342
1117,53
1118,124
1119,0
1120,62
1121,79
1122,641
1123,36
1124,15
1125,421
1126,60
1127,151
1128,201
1129,58
1130,130
1131,446
1132,31
1133,18
1134,30
1135,0
1136,116
1137,316
1138,69
1139,0
1140,367
1141,0
1142,0
1143,0
1144,332
1145,50
1146,0
1147,336
1148,1
1149,483
1150,33
1151,165
1152,57
1153,55
1154,227
1155,440
1156,6
1157,2
1158,54
1159,16
1160,197
1161,430
1162,0
1163,3
1164,0
1165,197
1166,386
1167,50
1168,0
1169,26
1170,0
1171,42
1172,81
1173,216
1174,85
1175,20
1176,0
1177,377
1178,0
1179,258
1180,419
1181,48
1182,0
1183,177
1184,20
1185,3
1186,561
1187,26
1188,153
1189,400
1190,5
1191,182
1192,65
1193,3
1194,104
1195,424
1196,0
1197,23
1198,37
1199,189
1200,410
1201,41
1202,0
1203,352
1204,1
1205,1
1206,594
1207,55
1208,1
1209,388
1210,16
1211,1
1212,302
1213,5
1214,360
1215,17
1216,135
1217,452
1218,16
1219,34
1220,385
1221,24
1222,137
1223,366
1224,1
1225,0
1226,431
1227,1
1228,1
1229,269
1230,15
1231,0
1232,417
1233,16
1234,5
1235,28
1236,119
1237,631
1238,27
1239,0
1240,330
1241,0
1242,0
1243,133
1244,28
1245,77
1246,343
1247,21
1248,0
1249,232
1250,1
1251,0
1252,235
1253,38
1254,0
1255,501
1256,37
1257,69
1258,37
1259,18
1260,72
1261,658
1262,35
1263,0
1264,204
1265,1
1266,12
1267,150
1268,37
1269,0
1270,268
1271,14
1272,0
1273,433
1274,2
1275,66
1276,339
1277,17
1278,0
1279,409
1280,28
1281,95
1282,85
1283,0
1284,0
1285,387
1286,1
1287,120
1288,195
1289,24
1290,77
1291,17
1292,0
1293,420
1294,0
1295,0
1296,350
1297,28
1298,0
1299,403
1300,14
1301,29
1302,215
1303,1
1304,65
1305,379
1306,21
1307,0
1308,567
1309,34
1310,0
1311,543
1312,30
1313,4
1314,419
1315,25
1316,0
1317,381
1318,47
1319,34
1320,21
1321,8
1322,28
1323,50
1324,489
1325,10
1326,47
1327,327
1328,27
1329,0
1330,368
1331,0
1332,373
1333,24
1334,0
1335,155
1336,27
1337,0
1338,399
1339,0
1340,33
1341,138
1342,0
1343,0
1344,549
1345,52
1346,0
