"SC_ID","value"
1,0
2,-1
3,-16
4,0
5,0
6,0
7,0
8,-4
9,0
10,0
11,-25
12,-2
13,0
14,-1
15,-13
16,1
17,0
18,-16
19,-17
20,0
21,6
22,-12
23,0
24,0
25,3
26,-20
27,0
28,0
29,-16
30,0
31,-5
32,-22
33,0
34,0
35,-22
36,-1
37,0
38,7
39,-25
40,0
41,0
42,4
43,-23
44,-5
45,0
46,-26
47,0
48,-1
49,-15
50,0
51,0
52,-11
53,16
54,-2
55,0
56,-21
57,-11
58,0
59,0
60,2
61,-15
62,-3
63,0
64,-8
65,-2
66,0
67,5
68,1
69,0
70,-16
71,-24
72,-2
73,0
74,2
75,-11
76,-1
77,0
78,-7
79,-15
80,-2
81,0
82,-13
83,-17
84,-5
85,0
86,-25
87,0
88,0
89,4
90,0
91,0
92,-30
93,-25
94,0
95,0
96,6
97,-14
98,-2
99,0
100,-22
101,-11
102,0
103,0
104,-23
105,11
106,-2
107,0
108,-23
109,0
110,0
111,-19
112,-12
113,0
114,0
115,-26
116,-14
117,0
118,-19
119,-17
120,0
121,0
122,1
123,-20
124,-1
125,0
126,-7
127,-16
128,-7
129,0
130,-9
131,-20
132,0
133,0
134,-14
135,-3
136,0
137,-27
138,-18
139,0
140,0
141,-7
142,0
143,0
144,5
145,5
146,0
147,0
148,-19
149,6
150,1
151,0
152,-10
153,0
154,0
155,-22
156,4
157,-4
158,0
159,0
160,0
161,-20
162,0
163,0
164,-2
165,0
166,0
167,13
168,-14
169,-1
170,0
171,-19
172,-17
173,-2
174,0
175,-25
176,-2
177,0
178,0
179,0
180,1
181,-18
182,0
183,-27
184,-22
185,0
186,0
187,-20
188,-10
189,0
190,-14
191,0
192,-7
193,0
194,-20
195,0
196,0
197,-22
198,-24
199,0
200,-16
201,-16
202,0
203,-17
204,-12
205,0
206,0
207,7
208,-9
209,-9
210,0
211,-19
212,0
213,-20
214,-11
215,-1
216,0
217,-7
218,0
219,0
220,-17
221,0
222,0
223,-3
224,-13
225,0
226,0
227,2
228,-9
229,0
230,0
231,8
232,-11
233,0
234,0
235,23
236,-18
237,0
238,-7
239,0
240,0
241,-11
242,-1
243,0
244,-4
245,-16
246,-3
247,0
248,23
249,-18
250,-1
251,0
252,-4
253,-5
254,0
255,-22
256,0
257,-2
258,0
259,-15
260,-8
261,0
262,0
263,-2
264,0
265,0
266,0
267,0
268,-15
269,-12
270,0
271,0
272,-2
273,0
274,0
275,4
276,0
277,0
278,-8
279,-18
280,-3
281,0
282,-6
283,-10
284,0
285,18
286,-15
287,-3
288,0
289,16
290,0
291,0
292,-14
293,-12
294,0
295,0
296,-9
297,-2
298,0
299,-21
300,-11
301,0
302,-25
303,-7
304,-1
305,0
306,-23
307,-10
308,0
309,0
310,10
311,-16
312,-2
313,0
314,-8
315,-17
316,0
317,2
318,-13
319,0
320,0
321,-7
322,0
323,0
324,0
325,-22
326,-16
327,0
328,0
329,-13
330,-15
331,-1
332,0
333,-23
334,2
335,0
336,0
337,-3
338,0
339,0
340,-26
341,2
342,0
343,0
344,13
345,-16
346,0
347,0
348,0
349,0
350,-11
351,-11
352,0
353,0
354,-6
355,-11
356,-2
357,0
358,-17
359,-1
360,0
361,9
362,0
363,0
364,-5
365,-7
366,0
367,-11
368,-8
369,-1
370,0
371,-7
372,-15
373,0
374,0
