"SC_ID","value"
1,7
2,11
3,0
4,0
5,-1
6,0
7,14
8,3
9,12
10,9
11,13
12,6
13,6
14,11
15,6
16,-4
17,7
18,8
19,8
20,5
21,13
22,12
23,-3
24,0
25,4
26,4
27,0
28,5
29,5
30,13
31,3
32,-3
33,2
34,7
35,1
36,-2
37,0
38,5
39,6
40,-1
41,6
42,17
43,4
44,3
45,16
46,5
47,-1
48,3
49,1
50,-8
51,-2
52,4
53,14
54,3
55,1
56,2
57,6
58,-5
59,8
60,18
61,5
62,6
63,0
64,-3
65,2
66,27
67,8
68,3
69,2
70,0
71,3
72,4
73,15
74,11
75,-3
76,-5
77,-1
78,2
79,9
80,1
81,4
82,8
83,-12
84,1
85,5
86,-5
87,-2
88,9
89,8
90,1
91,6
92,4
93,2
94,-1
95,6
96,9
97,-12
98,-3
99,1
100,-1
101,-11
102,3
103,0
104,-1
105,11
106,10
107,7
108,6
109,-8
110,5
111,-2
112,9
113,0
114,2
115,6
116,1
117,0
118,7
119,2
120,-10
121,35
122,0
123,3
124,-4
125,0
126,2
127,4
128,8
129,2
130,8
131,8
132,-2
133,3
134,2
135,2
136,0
137,7
138,6
139,2
140,2
141,-3
142,-2
143,4
144,10
145,7
146,-4
147,11
148,7
149,16
150,4
151,3
152,2
153,-3
154,2
155,5
156,12
157,6
158,9
159,0
160,5
161,-2
162,7
163,-1
164,12
165,-4
166,0
167,11
168,7
169,1
170,0
171,5
172,1
173,-3
174,17
175,7
176,-8
177,1
178,4
179,3
180,7
181,-13
182,1
183,4
184,0
185,9
186,16
187,-3
188,2
189,8
190,9
191,0
192,8
193,2
194,5
195,-6
196,4
197,7
198,1
199,3
200,7
201,5
202,0
203,5
204,0
205,-8
206,4
207,10
208,-3
209,-4
210,0
211,9
212,3
213,8
214,1
215,-2
216,2
217,22
218,0
219,0
220,7
221,5
222,0
223,1
224,-14
225,-5
226,11
227,4
228,5
229,4
230,3
231,9
232,-2
233,0
234,3
235,24
236,3
237,-2
238,6
239,-5
240,0
241,3
242,-4
243,2
244,4
245,3
246,-1
247,0
248,20
249,7
250,-2
251,3
252,0
253,1
254,7
255,7
256,2
257,-3
258,0
259,1
260,1
261,6
262,2
263,0
264,-1
265,-4
266,-2
267,5
268,5
269,0
270,-4
271,3
272,10
273,-1
274,0
275,10
276,-3
277,0
278,7
279,8
280,-9
281,6
282,5
283,0
284,4
285,23
286,5
287,-1
288,11
289,10
290,8
291,0
292,8
293,8
294,3
295,8
296,-2
297,-4
298,10
299,6
300,7
301,8
302,0
303,-4
304,2
305,3
306,2
307,4
308,0
309,0
310,15
311,-7
312,-5
313,8
314,8
315,-5
316,0
317,14
318,-16
319,3
320,0
321,0
322,25
323,6
324,0
325,-3
326,-3
327,12
328,0
329,-1
330,-2
331,-6
332,9
333,-3
334,14
335,-2
336,11
337,2
338,-4
339,-1
340,9
341,14
342,-3
343,8
344,18
345,10
346,-4
347,0
348,0
349,6
350,11
351,-18
352,5
353,4
354,12
355,2
356,-5
357,0
358,6
359,-1
360,2
361,21
362,-1
363,-1
364,0
365,5
366,0
367,10
368,6
369,-4
370,0
371,-2
372,1
373,5
374,3
375,0
376,5
377,7
378,1
379,-1
380,7
381,4
382,13
383,4
384,1
385,0
386,8
387,4
388,-9
389,0
390,-1
391,4
392,0
393,5
394,7
395,0
396,12
397,-1
398,9
399,6
400,1
401,1
402,0
403,8
404,0
405,6
406,18
407,4
408,11
409,7
410,7
411,-2
412,0
413,2
414,-2
415,-1
416,1
417,-3
418,8
419,0
420,2
421,-1
422,9
423,6
424,0
425,7
426,6
427,-10
428,-8
429,0
430,3
431,5
432,0
433,4
434,-7
435,7
436,13
437,4
438,5
439,0
440,2
441,-3
442,9
443,17
444,-1
445,9
446,0
447,4
448,4
449,-6
450,0
451,1
452,-1
453,0
454,-1
455,4
456,5
457,16
458,7
459,0
460,7
461,0
462,7
463,0
464,6
465,6
466,2
467,0
468,11
469,5
470,-14
471,-2
472,5
473,12
474,6
475,14
476,3
477,11
478,0
479,8
480,1
481,-3
482,18
483,6
484,0
485,-2
486,-2
487,1
488,-2
489,-2
490,0
491,6
492,6
493,-4
494,0
495,-2
496,20
497,0
498,3
499,2
500,0
501,13
502,0
503,4
504,3
505,6
506,10
507,0
508,6
509,0
510,0
511,5
512,5
513,-1
514,0
515,-3
516,7
517,1
518,0
519,-3
520,-2
521,0
522,10
523,-2
524,-1
525,0
526,0
527,1
528,7
529,1
530,11
531,3
532,0
533,1
534,3
535,0
536,-11
537,3
538,0
539,7
540,0
541,-2
542,-2
543,0
544,11
545,7
546,6
547,0
548,8
549,0
550,0
551,-3
552,4
553,0
554,3
555,0
556,10
557,0
558,11
559,5
560,-5
561,5
562,-10
563,8
564,-6
565,-3
566,9
567,15
568,-5
569,0
570,3
571,2
572,12
573,9
574,-12
575,0
576,0
577,5
578,0
579,-1
580,-3
581,0
582,0
583,4
584,7
585,7
586,3
587,-5
588,0
589,9
590,-6
591,9
592,6
593,0
594,-6
595,-4
596,-1
597,0
598,5
599,-4
600,3
601,0
602,24
603,7
604,9
605,0
606,0
607,0
608,2
609,16
610,-2
611,8
612,1
613,-3
614,1
615,3
616,13
617,-2
618,1
619,2
620,2
621,10
622,-5
623,1
624,8
625,-1
626,1
627,-1
628,-2
629,-6
630,4
631,0
632,-2
633,1
634,6
635,0
636,0
637,6
638,3
639,0
640,-4
641,-1
642,1
643,7
644,-1
645,0
646,-2
647,10
648,9
649,2
650,5
651,2
652,-5
653,0
654,0
655,-2
656,5
657,6
658,-8
659,8
660,5
661,3
662,7
663,0
664,6
665,1
666,5
667,8
668,5
669,-3
670,2
671,19
672,-1
673,8
674,0
675,4
676,9
677,4
678,5
679,10
680,0
681,-1
682,0
683,0
684,1
685,0
686,4
687,0
688,-4
689,0
690,6
691,2
692,24
693,9
694,0
695,-3
696,2
697,3
698,0
699,4
700,2
701,2
702,0
703,-2
704,-6
705,-2
706,10
707,0
708,0
709,1
710,3
711,9
712,4
713,1
714,6
715,-3
716,9
717,0
718,3
719,5
720,5
721,0
722,0
723,8
724,-8
725,17
726,0
727,-2
728,3
729,6
730,5
731,4
732,8
733,11
734,-7
735,2
736,0
737,-2
738,1
739,0
740,-2
741,4
742,0
743,0
744,-4
745,0
746,3
747,2
748,-8
749,3
750,19
751,-2
752,1
753,1
754,0
755,11
756,3
757,2
758,0
759,5
760,6
761,5
762,12
763,-1
764,8
765,0
766,-2
767,1
768,0
769,3
770,10
771,0
772,7
773,0
774,-1
775,2
776,13
777,-2
778,3
779,0
780,-3
781,-4
782,-8
783,4
784,-1
785,1
786,8
787,10
788,0
789,7
790,-1
791,4
792,5
793,1
794,10
795,-1
796,0
797,-3
798,8
799,0
800,0
801,-1
802,4
803,7
804,1
805,5
806,2
807,8
808,0
809,-1
810,3
811,0
812,11
813,9
814,1
815,-1
816,0
817,3
818,3
819,12
820,11
821,-5
822,-1
823,25
824,13
825,8
826,11
827,6
828,2
829,10
830,0
831,8
832,0
833,4
834,21
835,8
836,4
837,2
838,7
839,4
840,10
841,5
842,3
843,0
844,7
845,6
846,5
847,-7
848,7
849,3
850,6
851,1
852,3
853,-4
854,-7
855,5
856,0
857,8
858,8
859,4
860,0
861,-8
862,1
863,0
864,-2
865,-4
866,3
867,1
868,10
869,-3
870,3
871,0
872,-4
873,-2
874,4
875,1
876,-3
877,6
878,0
879,-3
880,0
881,7
882,4
883,5
884,3
885,3
886,7
887,1
888,-4
889,-5
890,0
891,0
892,-4
893,7
894,0
895,5
896,3
897,0
898,16
899,-4
900,0
901,0
902,3
903,1
904,0
905,11
906,-6
907,6
908,7
909,0
910,-8
911,2
912,1
913,-3
914,0
915,-1
916,-3
917,7
918,6
919,14
920,1
921,2
922,7
923,1
924,-2
925,13
926,0
927,10
928,11
929,0
930,2
931,3
932,2
933,1
934,0
935,-9
936,9
937,7
938,-3
939,-8
940,7
941,8
942,0
943,1
944,0
945,7
946,-7
947,7
948,0
949,14
950,0
951,5
952,4
953,9
954,5
955,10
956,4
957,0
958,2
959,3
960,0
961,-1
962,10
963,0
964,-7
965,5
966,11
967,-1
968,6
969,0
970,-1
971,7
972,0
973,2
974,5
975,14
976,0
977,5
978,0
979,-1
980,-7
981,5
982,0
983,5
984,-8
985,14
986,0
987,-4
988,11
989,0
990,0
991,3
992,0
993,0
994,-1
995,12
996,0
997,-3
998,0
999,4
1000,0
1001,1
1002,3
1003,0
1004,11
1005,15
1006,0
1007,-3
1008,0
1009,-4
1010,1
1011,0
1012,12
1013,14
1014,0
1015,3
1016,0
1017,-3
1018,-9
1019,6
1020,0
1021,1
1022,4
1023,0
1024,4
1025,5
1026,0
1027,5
1028,4
1029,0
1030,9
1031,0
1032,12
1033,-7
1034,16
1035,0
1036,5
1037,5
1038,0
1039,0
1040,0
1041,-1
1042,-1
1043,5
1044,0
1045,2
1046,-8
1047,7
1048,3
1049,-2
1050,-8
1051,1
1052,0
1053,3
1054,0
1055,8
1056,0
1057,-8
1058,4
1059,0
1060,13
1061,-9
1062,0
1063,0
1064,2
1065,-6
1066,0
1067,6
1068,7
1069,-7
1070,-2
1071,6
1072,-3
1073,0
1074,5
1075,0
1076,3
1077,5
1078,7
1079,0
1080,0
1081,-1
1082,11
1083,4
1084,9
1085,3
1086,16
1087,4
1088,0
1089,14
1090,6
1091,3
1092,5
1093,9
1094,7
1095,-1
1096,4
1097,7
1098,5
1099,6
1100,3
1101,6
1102,1
1103,5
1104,11
1105,13
1106,0
1107,1
1108,11
1109,-7
1110,10
1111,7
1112,-3
1113,-1
1114,2
1115,5
1116,2
1117,-7
1118,9
1119,0
1120,-5
1121,5
1122,2
1123,2
1124,9
1125,13
1126,-6
1127,6
1128,9
1129,-4
1130,5
1131,7
1132,-1
1133,6
1134,1
1135,-1
1136,-1
1137,-2
1138,-6
1139,6
1140,17
1141,1
1142,0
1143,0
1144,1
1145,3
1146,2
1147,20
1148,4
1149,1
1150,-2
1151,3
1152,7
1153,-5
1154,11
1155,5
1156,6
1157,7
1158,5
1159,1
1160,9
1161,-2
1162,-1
1163,3
1164,1
1165,10
1166,9
1167,0
1168,-2
1169,2
1170,-3
1171,1
1172,13
1173,-1
1174,7
1175,5
1176,2
1177,-1
1178,-4
1179,12
1180,4
1181,2
1182,3
1183,12
1184,-6
1185,2
1186,8
1187,-2
1188,-2
1189,6
1190,2
1191,5
1192,6
1193,5
1194,10
1195,5
1196,8
1197,5
1198,4
1199,5
1200,3
1201,1
1202,5
1203,10
1204,5
1205,3
1206,8
1207,-6
1208,2
1209,8
1210,4
1211,2
1212,14
1213,3
1214,1
1215,-6
1216,-3
1217,7
1218,7
1219,9
1220,12
1221,2
1222,12
1223,4
1224,5
1225,7
1226,4
1227,-5
1228,4
1229,-4
1230,2
1231,1
1232,5
1233,3
1234,2
1235,4
1236,10
1237,1
1238,-2
1239,0
1240,0
1241,-5
1242,5
1243,4
1244,2
1245,10
1246,-4
1247,5
1248,9
1249,-2
1250,4
1251,2
1252,12
1253,4
1254,1
1255,13
1256,1
1257,9
1258,9
1259,-1
1260,3
1261,5
1262,3
1263,3
1264,-2
1265,3
1266,3
1267,10
1268,4
1269,12
1270,-2
1271,3
1272,-3
1273,11
1274,2
1275,8
1276,2
1277,1
1278,4
1279,4
1280,0
1281,8
1282,7
1283,0
1284,10
1285,0
1286,4
1287,-6
1288,1
1289,5
1290,13
1291,4
1292,0
1293,6
1294,0
1295,9
1296,0
1297,1
1298,-1
1299,10
1300,0
1301,1
1302,7
1303,5
1304,11
1305,16
1306,-5
1307,3
1308,8
1309,-3
1310,0
1311,-2
1312,1
1313,6
1314,10
1315,1
1316,5
1317,9
1318,3
1319,7
1320,4
1321,11
1322,-1
1323,3
1324,5
1325,1
1326,6
1327,4
1328,-1
1329,0
1330,10
1331,3
1332,9
1333,7
1334,11
1335,-6
1336,3
1337,2
1338,9
1339,0
1340,12
1341,7
1342,-1
1343,3
1344,-1
1345,0
1346,-1
1347,6
1348,0
1349,4
1350,5
1351,9
1352,4
1353,13
1354,1
1355,2
1356,21
1357,6
1358,11
1359,7
1360,1
1361,1
1362,-2
1363,1
1364,10
1365,1
1366,-4
1367,-2
1368,5
1369,3
1370,13
1371,0
1372,0
1373,19
1374,5
1375,1
1376,6
1377,7
1378,9
1379,4
1380,7
1381,2
1382,4
1383,-3
1384,2
1385,7
1386,3
1387,17
1388,5
1389,-2
1390,10
1391,0
1392,3
1393,6
1394,7
1395,3
1396,8
1397,-2
1398,3
1399,4
1400,7
1401,-2
1402,0
1403,10
1404,5
1405,15
1406,18
1407,3
1408,3
1409,8
1410,5
1411,6
1412,6
1413,3
1414,17
1415,5
1416,4
1417,7
1418,6
1419,0
1420,-3
1421,0
1422,0
1423,2
1424,10
1425,9
1426,18
1427,3
1428,11
1429,2
1430,-1
1431,-7
1432,3
1433,2
1434,3
1435,-1
1436,0
1437,4
1438,4
1439,6
1440,-3
1441,-1
1442,5
1443,5
1444,1
1445,4
1446,3
1447,16
1448,1
1449,-1
1450,2
1451,4
1452,12
1453,-1
1454,12
1455,6
1456,6
1457,15
1458,-2
1459,5
1460,0
1461,8
1462,12
1463,-1
1464,3
1465,3
1466,7
1467,9
1468,2
1469,4
1470,6
1471,1
1472,2
1473,4
1474,-3
1475,-3
1476,3
1477,12
1478,3
1479,-4
1480,3
1481,4
1482,20
1483,2
1484,6
1485,6
1486,1
1487,5
1488,0
1489,0
1490,5
1491,3
1492,8
1493,4
1494,7
1495,4
1496,1
1497,-3
1498,-9
1499,0
1500,-8
1501,1
1502,8
1503,12
1504,5
1505,-4
1506,4
1507,1
1508,-3
1509,-4
1510,6
1511,8
1512,0
1513,5
1514,1
1515,5
1516,1
1517,-3
1518,-2
1519,6
1520,2
1521,15
1522,-3
1523,-4
1524,13
1525,-5
1526,2
1527,0
1528,-2
1529,-4
1530,0
1531,-1
1532,2
1533,6
1534,-2
1535,-4
1536,2
1537,-6
1538,0
1539,-6
1540,12
1541,6
1542,1
1543,3
1544,0
1545,-1
1546,0
1547,4
1548,-3
1549,0
1550,2
1551,-6
1552,0
1553,2
1554,4
1555,1
1556,8
1557,4
1558,21
1559,-3
1560,-6
1561,0
1562,-6
1563,-3
1564,4
1565,7
1566,-1
1567,0
1568,4
1569,5
1570,3
1571,5
1572,1
1573,-9
1574,0
1575,0
1576,-3
1577,-6
1578,18
1579,7
1580,6
1581,11
1582,3
1583,0
1584,10
1585,9
1586,3
1587,7
1588,6
1589,0
1590,1
1591,-2
1592,-2
1593,0
1594,5
1595,-3
1596,11
1597,6
1598,0
1599,0
1600,8
1601,0
1602,1
1603,-12
1604,-1
1605,5
1606,8
1607,-5
1608,0
1609,1
1610,1
1611,-1
1612,2
1613,8
1614,-4
1615,3
1616,-1
1617,-3
1618,-10
1619,1
1620,-4
1621,-2
1622,16
1623,3
1624,6
1625,4
1626,6
1627,1
1628,-9
1629,0
1630,-3
1631,0
1632,0
1633,8
1634,-9
1635,0
1636,6
1637,-2
1638,13
1639,13
1640,5
1641,8
1642,4
1643,0
1644,3
1645,12
1646,0
1647,-5
1648,3
1649,2
1650,12
1651,9
1652,-6
1653,0
1654,11
1655,-1
1656,10
1657,5
1658,-2
1659,9
1660,2
1661,1
1662,7
1663,8
1664,-1
1665,9
1666,5
1667,-6
1668,9
1669,1
1670,-4
1671,6
1672,13
1673,0
1674,0
1675,7
1676,-1
1677,6
1678,12
1679,-6
1680,-1
1681,9
1682,-2
1683,0
1684,2
1685,-3
1686,9
1687,9
1688,-1
1689,0
1690,3
1691,-7
1692,16
1693,2
1694,0
1695,1
1696,7
1697,10
1698,3
1699,4
1700,-2
1701,-4
1702,4
1703,13
1704,-1
1705,10
1706,-6
1707,-5
1708,-5
1709,2
1710,0
1711,7
1712,0
1713,1
1714,-2
1715,2
1716,4
1717,0
1718,0
1719,4
1720,2
1721,2
1722,0
1723,8
1724,3
1725,7
1726,0
1727,-1
1728,-3
1729,-1
1730,-1
1731,13
1732,10
1733,10
1734,-7
1735,8
1736,-6
1737,2
1738,2
1739,-6
1740,-3
1741,0
1742,-6
1743,1
1744,15
1745,3
1746,-1
1747,0
1748,0
1749,2
1750,4
1751,-5
1752,1
1753,5
1754,2
1755,-6
1756,7
1757,3
1758,0
1759,25
1760,5
1761,12
1762,-1
1763,-3
1764,-2
1765,0
1766,7
1767,-1
1768,1
1769,5
1770,-4
1771,-7
1772,5
1773,2
1774,2
1775,6
1776,3
1777,5
1778,11
1779,6
1780,-10
1781,0
1782,-3
1783,0
1784,-4
1785,-4
1786,11
1787,8
1788,9
1789,-16
1790,3
1791,2
1792,-2
1793,0
1794,10
1795,5
1796,11
1797,15
1798,0
1799,-3
1800,11
1801,0
1802,2
1803,7
1804,9
1805,7
1806,4
1807,9
1808,0
1809,14
1810,5
1811,2
1812,5
1813,4
1814,-4
1815,-4
1816,3
1817,-1
1818,-1
1819,5
1820,4
1821,0
1822,0
1823,-2
1824,8
1825,-1
1826,0
1827,1
1828,-1
1829,0
1830,3
1831,0
1832,2
1833,9
1834,0
1835,4
1836,-1
1837,-2
1838,-1
1839,2
1840,-1
1841,0
1842,-1
1843,3
1844,-2
1845,5
1846,11
1847,2
1848,-5
1849,0
1850,4
