"SC_ID","value"
1,0.068
2,0.021
3,-0.003
4,0
5,0.036
6,0
7,0.013
8,0.022
9,0.208
10,0.022
11,0
12,-0.004
13,0.146
14,0.009
15,0.01
16,0.019
17,0.133
18,0.033
19,-0.005
20,0.093
21,0.025
22,-0.005
23,0.014
24,0
25,0.01
26,-0.014
27,0.167
28,0.125
29,0.037
30,0.235
31,0.005
32,0.003
33,0.028
34,0.149
35,0.046
36,-0.018
37,0
38,0.012
39,-0.009
40,-0.014
41,0.14
42,0.033
43,0.006
44,0.017
45,0.278
46,-0.006
47,0.042
48,0
49,-0.048
50,-0.011
51,-0.04
52,0.005
53,0.006
54,0.013
55,0.071
56,0.043
57,-0.024
58,0.026
59,0.121
60,0.021
61,-0.003
62,0.026
63,0
64,-0.011
65,-0.028
66,0.535
67,0.008
68,0.031
69,0.074
70,0.009
71,-0.022
72,0.008
73,0.263
74,0.008
75,-0.024
76,-0.005
77,-0.043
78,0.01
79,-0.01
80,-0.005
81,0.182
82,0.022
83,-0.011
84,-0.019
85,0.101
86,-0.015
87,0.036
88,0.333
89,0.004
90,0.143
91,0.057
92,0.014
93,-0.026
94,0
95,0.143
96,0.01
97,-0.009
98,-0.01
99,0.082
100,0.014
101,-0.015
102,0.05
103,0
104,0.003
105,0.009
106,0.011
107,0.25
108,-0.012
109,0.015
110,0.041
111,0.002
112,-0.013
113,0
114,0.068
115,0.007
116,-0.025
117,0.043
118,0.022
119,-0.023
120,0.01
121,0.702
122,0.01
123,-0.029
124,0.016
125,0
126,0.016
127,-0.008
128,-0.005
129,0.051
130,0.018
131,-0.006
132,0
133,0.041
134,-0.018
135,0.019
136,0
137,0.014
138,0.019
139,0.041
140,0.071
141,0
142,-0.037
143,0.09
144,-0.005
145,0.004
146,0.02
147,0.244
148,0.015
149,0.016
150,0.068
151,0.167
152,-0.025
153,-0.005
154,0.066
155,0.012
156,0.035
157,0.018
158,0.123
159,1
160,0.109
161,-0.034
162,0.113
163,0.035
164,-0.007
165,-0.005
166,0
167,0.029
168,0.019
169,-0.012
170,0.054
171,0
172,-0.047
173,-0.018
174,0.265
175,0.022
176,-0.005
177,0.043
178,0.06
179,0.036
180,0.002
181,-0.024
182,0
183,0.01
184,-0.01
185,0.113
186,0.216
187,-0.013
188,-0.009
189,0.19
190,0.005
191,0.091
192,-0.025
193,0.042
194,-0.01
195,0.012
196,0.152
197,0.005
198,-0.021
199,0.081
200,0.006
201,-0.007
202,0
203,-0.007
204,-0.017
205,-0.032
206,0.085
207,-0.007
208,-0.024
209,0.002
210,0
211,0.011
212,0.069
213,-0.006
214,-0.024
215,-0.017
216,0.08
217,0.011
218,0
219,0
220,0.018
221,0.082
222,0
223,0.022
224,-0.028
225,-0.023
226,0.134
227,0.006
228,-0.016
229,0.054
230,0.061
231,0.005
232,-0.01
233,0.035
234,0.111
235,0.057
236,-0.015
237,0
238,0.004
239,0.01
240,0
241,-0.017
242,-0.01
243,0.059
244,0.008
245,-0.028
246,-0.014
247,0
248,0.053
249,-0.01
250,-0.013
251,0.091
252,0.017
253,0.02
254,0.111
255,-0.006
256,0.009
257,-0.007
258,0
259,-0.016
260,0
261,0.135
262,0
263,0.023
264,0
265,0
266,-0.042
267,0.182
268,0.007
269,-0.018
270,-0.027
271,0.176
272,-0.011
273,-0.059
274,0
275,0.066
276,0.019
277,0
278,0.009
279,-0.01
280,-0.03
281,0.292
282,0.007
283,-0.025
284,0.077
285,0.055
286,-0.01
287,-0.029
288,0.303
289,0.01
290,0.036
291,0
292,0.014
293,0.007
294,0.01
295,0.209
296,-0.023
297,-0.051
298,0.133
299,0.023
300,-0.017
301,0.152
302,0
303,-0.006
304,0.006
305,0.03
306,-0.013
307,-0.027
308,0.033
309,1
310,0.025
311,-0.014
312,-0.039
313,0.412
314,0.007
315,-0.025
316,0
317,0.237
318,-0.003
319,0.111
320,0
321,0
322,-0.002
323,0.08
324,0
325,-0.012
326,-0.013
327,0.115
328,-0.143
329,0.036
330,-0.021
331,-0.047
332,0.226
333,-0.005
334,0.042
335,0
336,0.769
337,-0.032
338,0.005
339,0
340,0.005
341,0.071
342,0.012
343,0.123
344,0.085
345,-0.026
346,-0.04
347,0
348,0
349,0.143
350,0.015
351,0.003
352,0.053
353,0.071
354,0.014
355,-0.016
356,-0.057
357,0
358,-0.022
359,0.016
360,0.143
361,0.005
362,-0.057
363,-0.125
364,-0.042
365,0.018
366,0
367,0.02
368,-0.025
369,-0.018
370,0
371,0.014
372,-0.026
373,0.074
374,0.182
375,0
376,0.137
377,0.097
378,-0.015
379,-0.027
380,0.028
381,0.128
382,0.012
383,0.158
384,0.011
385,0.021
386,0.021
387,0.4
388,-0.043
389,0
