"SC_ID","value"
1,87
2,284
3,243
4,3
5,214
6,5
7,378
8,358
9,204
10,216
11,363
12,318
13,116
14,464
15,319
16,265
17,198
18,392
19,310
20,195
21,235
22,293
23,245
24,0
25,361
26,414
27,10
28,123
29,369
30,178
31,536
32,354
33,89
34,172
35,186
36,371
37,14
38,413
39,326
40,107
41,157
42,200
43,344
44,419
45,198
46,338
47,127
48,537
49,305
50,228
51,47
52,470
53,417
54,330
55,85
56,198
57,275
58,269
59,160
60,239
61,288
62,370
63,0
64,295
65,386
66,138
67,190
68,240
69,153
70,203
71,344
72,335
73,197
74,459
75,342
76,233
77,48
78,313
79,298
80,289
81,59
82,273
83,310
84,400
85,238
86,396
87,251
88,59
89,207
90,6
91,140
92,146
93,344
94,105
95,96
96,223
97,254
98,232
99,210
100,177
101,261
102,163
103,0
104,154
105,320
106,563
107,66
108,355
109,248
110,246
111,190
112,277
113,3
114,214
115,179
116,316
117,213
118,248
119,280
120,232
121,184
122,530
123,328
124,262
125,0
126,324
127,266
128,592
129,197
130,310
131,353
132,95
133,165
134,317
135,298
136,2
137,193
138,293
139,108
140,180
141,413
142,17
143,229
144,154
145,222
146,281
147,111
148,231
149,255
150,127
151,78
152,293
153,254
154,199
155,205
156,222
157,365
158,239
159,1
160,203
161,308
162,207
163,165
164,248
165,255
166,13
167,169
168,286
169,352
170,237
171,246
172,291
173,448
174,148
175,195
176,210
177,103
178,111
179,180
180,386
181,272
182,7
183,211
184,315
185,134
186,151
187,274
188,695
189,157
190,170
191,29
192,271
193,141
194,356
195,239
196,113
197,181
198,342
199,141
200,150
201,342
202,2
203,267
204,342
205,230
206,164
207,284
208,212
209,602
210,1
211,226
212,108
213,161
214,317
215,323
216,108
217,403
218,22
219,103
220,240
221,178
222,3
223,275
224,254
225,220
226,185
227,369
228,295
229,178
230,174
231,408
232,306
233,200
234,172
235,251
236,302
237,26
238,300
239,273
240,0
241,331
242,258
243,72
244,334
245,268
246,414
247,0
248,224
249,359
250,303
251,138
252,235
253,626
254,197
255,170
256,235
257,450
258,4
259,301
260,821
261,181
262,252
263,238
264,48
265,153
266,30
267,80
268,225
269,280
270,243
271,64
272,242
273,18
274,83
275,111
276,188
277,0
278,282
279,358
280,354
281,92
282,276
283,271
284,96
285,226
286,340
287,408
288,93
289,408
290,241
291,1
292,251
