"SC_ID","value"
1,27
2,7
3,-3
4,0
5,-68
6,1
7,12
8,0
9,55
10,5
11,-7
12,2
13,28
14,8
15,1
16,-32
17,43
18,16
19,-1
20,42
21,6
22,4
23,-30
24,0
25,4
26,-1
27,2
28,27
29,14
30,52
31,6
32,-7
33,6
34,42
35,22
36,-4
37,3
38,6
39,-13
40,6
41,36
42,5
43,-7
44,11
45,65
46,-17
47,30
48,3
49,-4
50,-62
51,8
52,8
53,-5
54,2
55,32
56,21
57,-7
58,-79
59,58
60,7
61,1
62,3
63,0
64,-3
65,-18
66,93
67,6
68,9
69,39
70,8
71,-15
72,2
73,61
74,8
75,-3
76,-34
77,11
78,-1
79,-1
80,-15
81,18
82,12
83,-14
84,-13
85,41
86,-7
87,-82
88,31
89,9
90,1
91,49
92,7
93,-14
94,6
95,20
96,2
97,-20
98,-25
99,40
100,4
101,-9
102,8
103,0
104,3
105,-5
106,3
107,30
108,-11
109,-37
110,29
111,7
112,-6
113,1
114,39
115,3
116,-3
117,24
118,10
119,0
120,-45
121,110
122,1
123,-13
124,-51
125,0
126,-1
127,-4
128,3
129,18
130,8
131,-6
132,6
133,30
134,-7
135,3
136,0
137,14
138,-13
139,11
140,33
141,-1
142,3
143,56
144,7
145,-7
146,-74
147,48
148,4
149,2
150,10
151,30
152,-2
153,-58
154,40
155,14
156,-7
157,12
158,28
159,0
160,45
161,-14
162,42
163,22
164,8
165,-57
166,2
167,9
168,-14
169,-8
170,26
171,14
172,1
173,-1
174,63
175,16
176,-41
177,23
178,8
179,19
180,2
181,-15
182,1
183,7
184,-18
185,15
186,60
187,10
188,-1
189,23
190,2
191,7
192,-10
193,16
194,-10
195,-57
196,34
197,-1
198,-15
199,27
200,-7
201,-15
202,0
203,15
204,-1
205,-85
206,38
207,7
208,-11
209,-1
210,0
211,7
212,22
213,0
214,2
215,-9
216,20
217,5
218,4
219,13
220,13
221,34
222,0
223,-1
224,-12
225,-95
226,46
227,-2
228,-8
229,8
230,36
231,0
232,2
233,5
234,38
235,17
236,-16
237,4
238,6
239,-46
240,0
241,-14
242,-21
243,13
244,-3
245,-5
246,-1
247,0
248,18
249,-13
250,-20
251,33
252,-6
253,5
254,52
255,0
256,14
257,-6
258,0
259,6
260,-1
261,48
