"SC_ID","value"
1,0
2,0.048
3,-0.087
4,0
5,-0.4
6,0
7,0.031
8,0.011
9,1
10,0.07
11,-0.072
12,0
13,0
14,0.037
15,-0.062
16,0.133
17,0
18,0.039
19,-0.072
20,0
21,0.11
22,-0.063
23,0.067
24,0
25,0.049
26,-0.026
27,0
28,0
29,0.066
30,0
31,0.031
32,-0.059
33,0
34,-1
35,-0.026
36,0.154
37,0
38,0.059
39,-0.086
40,0
41,0
42,0.109
43,0.013
44,0.022
45,0
46,-0.095
47,0
48,0.042
49,-0.106
50,-0.25
51,0
52,0.05
53,0.106
54,0.114
55,0
56,-0.019
57,0.071
58,-0.167
59,0
60,0.084
61,-0.105
62,0.092
63,0
64,-0.036
65,0.054
66,0
67,0.162
68,0.077
69,0
70,0.008
71,-0.088
72,0.091
73,0
74,0.056
75,-0.022
76,0
77,0
78,-0.02
79,-0.074
80,-0.043
81,0
82,-0.02
83,-0.023
84,0
85,0
86,0.007
87,-0.333
88,0
89,0.169
90,0
91,0
92,0.028
93,-0.106
94,0
95,0
96,0.013
97,-0.038
98,-0.059
99,0
100,-0.004
101,-0.065
102,0.375
103,0
104,-0.007
105,0.127
106,0.079
107,0
108,-0.02
109,0.083
110,0.5
111,0.006
112,-0.077
113,0
114,0
115,0.036
116,-0.11
117,0
118,0.016
119,-0.093
120,0
121,1
122,0.003
123,-0.072
124,-0.2
125,0
126,-0.01
127,-0.124
128,0.028
129,0
130,-0.015
131,-0.019
132,0
133,0
134,-0.061
135,0.075
136,0
137,-0.031
138,-0.021
139,1
140,0
141,0.02
142,0
143,0
144,0.031
145,0.118
146,-0.286
147,0
148,0.006
149,0.194
150,0.4
151,0
152,-0.112
153,-0.125
154,0
155,-0.04
156,0.226
157,0.049
158,1
159,0
160,0
161,-0.097
162,0
163,0
164,0.15
165,-0.125
166,0
167,0.087
168,0
169,-0.083
170,0
171,-0.048
172,-0.069
173,0.122
174,0
175,-0.05
176,-0.071
177,0
178,1
179,0
180,0.005
181,-0.041
182,0
183,0
184,-0.098
185,3
186,0
187,-0.068
188,0.025
189,0
190,0.002
191,0
192,-0.065
193,0
194,-0.014
195,-0.286
196,0
197,0.019
198,-0.097
199,0
200,0.013
201,0.028
202,0
203,-0.044
204,-0.035
205,-0.286
206,0
207,0.005
208,0.039
209,-0.019
210,0
211,-0.009
212,0
213,0.012
214,-0.046
215,-0.143
216,0
217,0.098
218,0
219,0
220,-0.007
221,0
222,0
223,0.008
224,-0.041
225,-0.25
226,0
227,0.008
228,-0.079
229,0.188
230,0
231,0.018
232,-0.067
233,0.118
234,0
235,0.151
236,-0.031
237,0
238,-0.005
239,0
240,0
241,0.045
242,-0.111
243,0
244,0.008
245,-0.058
246,-0.152
247,0
248,0.188
249,-0.024
250,-0.19
251,0
252,0.022
253,0.019
254,0
255,0.007
256,3
257,0.171
258,0
259,-0.041
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,-0.022
269,-0.037
270,0
271,0
272,0.071
273,0
274,0
275,0.7
276,-0.167
277,0
278,0.005
279,-0.007
280,-0.15
281,0
282,0.011
283,-0.05
284,0
285,0.106
286,0.009
287,-0.067
288,0
289,0.048
290,1
291,0
292,-0.012
293,0
294,0.128
295,0
296,-0.019
297,-0.208
298,0
299,-0.031
300,-0.031
301,0
302,-0.025
303,0.048
304,0.052
305,0
306,-0.029
307,-0.021
308,0
309,0
310,0.079
311,-0.108
312,0
313,0
314,0.003
315,-0.081
316,0
317,0.8
318,-0.021
319,0
320,0
321,-0.008
322,0.15
323,0.25
324,0
325,-0.068
326,-0.068
327,2.5
328,0
329,-0.052
330,-0.043
331,0.111
332,0
333,-0.071
334,0.171
335,0
336,0
337,-0.023
338,0
339,0
340,-0.015
341,1.167
342,-0.2
343,0
344,0.158
345,0.019
346,-0.167
347,0
348,0
349,0
350,0.011
351,-0.025
352,1
353,0
354,0.002
355,-0.047
356,-0.222
357,0
358,-0.013
359,0
360,0
361,0.054
362,-0.5
363,0
364,-0.044
365,-0.035
366,0
367,-0.02
368,-0.033
