"SC_ID","value"
1,0
2,-7
3,-45
4,0
5,-6
6,0
7,-12
8,-9
9,1
10,-8
11,-51
12,-36
13,0
14,-9
15,-51
16,-33
17,0
18,-14
19,-45
20,0
21,-7
22,-44
23,-29
24,0
25,-9
26,-36
27,0
28,0
29,-14
30,0
31,-13
32,-42
33,5
34,0
35,-27
36,-31
37,0
38,-10
39,-47
40,2
41,0
42,-4
43,-45
44,-11
45,0
46,-48
47,0
48,-7
49,-39
50,-19
51,0
52,-13
53,17
54,-34
55,0
56,-26
57,-36
58,-17
59,1
60,-5
61,-44
62,-10
63,0
64,-42
65,-44
66,0
67,10
68,-5
69,0
70,-27
71,-48
72,-34
73,0
74,-6
75,-40
76,-23
77,0
78,-42
79,-47
80,-38
81,0
82,-35
83,-36
84,-47
85,2
86,-46
87,-8
88,0
89,7
90,0
91,0
92,-34
93,-50
94,4
95,0
96,-9
97,-41
98,-24
99,0
100,-29
101,-47
102,4
103,0
104,-32
105,12
106,-19
107,0
108,-47
109,-24
110,6
111,-26
112,-44
113,0
114,2
115,-31
116,-34
117,0
118,-21
119,-45
120,-18
121,58
122,-15
123,-50
124,-29
125,0
126,-40
127,-46
128,-52
129,0
130,-34
131,-46
132,3
133,0
134,-44
135,-3
136,0
137,-40
138,-40
139,4
140,0
141,-30
142,0
143,0
144,-2
145,10
146,-21
147,0
148,-27
149,16
150,7
151,0
152,-34
153,-21
154,0
155,-36
156,24
157,-17
158,7
159,0
160,1
161,-52
162,0
163,0
164,7
165,-21
166,0
167,2
168,-40
169,-40
170,0
171,-33
172,-40
173,-40
174,0
175,-36
176,-11
177,0
178,7
179,1
180,-16
181,-36
182,0
183,-35
184,-48
185,15
186,0
187,-38
188,-59
189,1
190,-27
191,0
192,-46
193,0
194,-50
195,-27
196,0
197,-30
198,-46
199,0
200,-32
201,-47
202,0
203,-33
204,-40
205,-11
206,0
207,-12
208,-15
209,-38
210,0
211,-27
212,0
213,-32
214,-29
215,-37
216,0
217,12
218,0
219,0
220,-28
221,0
222,0
223,-33
224,-38
225,-9
226,0
227,-17
228,-47
229,6
230,0
231,-12
232,-34
233,4
234,0
235,9
236,-51
237,0
238,-33
239,-30
240,0
241,-45
242,-29
243,0
244,-25
245,-48
246,-47
247,0
248,11
249,-49
250,-36
251,0
252,-36
253,-32
254,1
255,-33
256,1
257,-45
258,0
259,-44
260,-58
261,0
262,2
263,-8
264,0
265,0
266,0
267,0
268,-35
269,-48
270,-23
271,0
272,-1
273,0
274,0
275,12
276,-11
277,0
278,-30
279,-50
280,-36
281,0
282,-31
283,-47
284,0
285,6
286,-51
287,-46
288,0
289,-10
290,0
291,0
292,-33
293,-51
294,-44
295,0
296,-43
297,-39
298,0
299,-31
300,-35
301,0
302,-36
303,-9
304,-40
305,0
306,-39
307,-30
308,7
309,0
310,5
311,-53
312,-33
313,0
314,-30
315,-52
316,0
317,9
318,-45
319,9
320,0
321,-30
322,13
323,9
324,0
325,-52
326,-54
327,23
328,0
329,-41
330,-48
331,-33
332,0
333,-56
334,12
335,0
336,0
337,-48
338,-39
339,0
340,-34
341,10
342,-19
343,0
344,15
345,-52
346,-18
347,0
348,0
349,0
350,-34
351,-46
352,12
353,0
354,-22
355,-48
356,-39
357,0
358,-56
359,-19
360,0
361,-10
362,0
363,0
364,-47
365,-37
366,0
367,-38
368,-28
369,-42
370,0
371,-37
372,-44
373,5
374,0
375,-38
376,9
377,0
378,-44
379,-49
380,-6
381,0
382,-32
383,0
384,-34
385,0
386,-17
387,0
388,-54
389,0
390,-43
391,-50
392,-31
393,0
394,-51
395,0
396,3
397,0
398,-11
399,0
400,-50
401,-44
402,0
403,7
404,0
405,-47
406,6
407,6
408,0
409,8
410,-54
411,7
412,0
413,-30
414,-50
415,-1
416,0
417,-49
418,-13
419,0
420,-39
421,0
422,0
423,-36
424,0
425,0
426,-36
427,0
428,-63
429,0
430,-45
431,6
432,0
433,-40
434,0
435,-36
436,0
437,-31
438,-31
439,0
440,-47
441,-36
442,0
443,-35
444,-58
445,8
446,0
447,-42
448,-46
449,-57
450,0
451,-50
452,-7
453,0
454,-42
455,9
456,0
457,7
458,9
459,0
460,-42
461,-48
462,-34
463,0
464,4
465,-58
466,0
467,-65
468,-8
469,0
470,-15
471,0
472,0
473,-32
474,-61
475,20
476,0
477,-32
478,0
479,-44
480,0
481,-44
482,16
483,-20
484,0
485,0
486,-31
487,0
488,-39
489,-27
490,0
491,-46
492,-62
493,-49
494,0
495,-46
496,12
497,0
498,0
499,-39
500,0
501,14
502,0
503,0
504,0
505,-30
506,-4
507,0
508,5
509,0
510,0
511,-42
512,-50
513,-8
514,0
515,-47
516,-2
517,-16
518,0
519,-41
520,-1
521,0
522,6
523,0
524,-22
525,0
526,0
527,-43
528,-37
529,0
530,12
531,8
532,0
533,-37
534,-65
535,0
536,-35
537,5
538,0
539,-19
540,0
541,0
542,-53
543,0
544,-45
545,3
546,-23
547,0
548,-51
549,-66
550,0
551,7
552,2
553,0
554,-41
555,0
556,-20
557,0
558,-52
559,-49
560,-16
561,0
562,-41
563,0
564,-1
565,-18
566,0
567,-45
568,-63
569,0
570,-45
571,-34
572,0
573,-31
574,-38
575,-18
576,0
577,8
578,0
579,-55
580,-19
581,0
582,-34
583,-58
584,-48
585,0
586,-41
587,-26
588,-27
589,0
590,-36
591,10
592,10
593,0
594,-40
595,-37
596,0
597,0
598,-35
599,-20
600,-50
601,0
602,-9
603,8
604,19
605,0
606,-45
607,-14
608,0
609,9
610,0
611,0
612,-28
613,6
614,-18
615,0
616,10
617,-41
618,0
619,0
620,6
621,2
622,-45
623,0
624,-51
625,1
626,0
627,0
628,-44
629,1
630,11
631,0
632,-17
633,-33
634,0
635,-31
636,0
637,-53
638,-54
639,0
640,-44
641,-36
642,28
643,0
644,-39
645,0
646,-24
647,0
648,-55
649,-66
650,-19
651,0
652,-36
653,-32
654,0
655,4
656,-47
657,0
658,-24
659,1
660,-36
661,-62
662,-3
663,0
664,-38
665,1
666,-41
667,3
668,10
669,-56
670,0
671,15
672,-54
673,-9
674,0
675,-30
676,12
677,6
678,1
679,11
680,-60
681,0
682,0
683,-40
684,-36
685,0
686,-37
687,0
688,-48
689,0
690,10
691,0
692,1
693,27
694,0
695,-36
696,3
697,6
698,0
699,-47
700,-16
701,-53
702,0
703,-28
704,-60
705,-30
706,0
707,0
708,-50
709,-51
710,0
711,-47
712,3
713,-38
714,3
715,-34
716,-2
717,0
718,-53
719,-50
720,0
721,-53
722,0
723,-33
724,-66
725,25
726,0
727,-51
728,0
729,-54
730,0
731,-49
732,0
733,7
734,-65
735,-59
736,0
737,-57
738,-44
739,0
740,-36
741,3
742,-59
743,0
744,-28
745,-63
746,-47
747,0
748,-65
749,-59
750,19
751,-34
752,3
753,-13
754,0
755,-41
756,6
757,-45
758,0
759,-17
760,14
761,0
762,-50
763,0
764,26
765,0
766,-44
767,-44
768,0
769,-59
770,-2
771,0
772,-46
773,-59
774,0
775,0
776,-51
777,0
778,8
779,0
780,-51
781,-19
782,-42
783,0
784,-5
785,2
786,0
787,-52
788,1
789,0
790,-50
791,1
792,-18
793,0
794,-3
795,-45
796,0
797,-57
798,-4
799,0
800,-39
801,-17
802,0
803,-56
804,0
805,-38
806,-64
807,-9
808,0
809,-26
810,-50
811,0
812,20
813,0
814,-36
815,-43
816,0
817,-39
818,-47
819,0
820,10
821,-61
822,-16
823,7
824,7
825,11
826,14
827,0
828,-44
829,6
830,0
831,-36
832,0
833,10
834,0
835,-47
836,-6
837,-33
