"SC_ID","value"
1,0.467
2,0.007
3,0.05
4,0.5
5,-0.141
6,0.5
7,0
8,-0.005
9,0.451
10,0.01
11,-0.016
12,-0.046
13,0.389
14,-0.013
15,0.016
16,-0.048
17,0.34
18,-0.045
19,0.03
20,0.333
21,0.035
22,0.049
23,-0.052
24,0
25,-0.008
26,-0.022
27,0.5
28,0.396
29,-0.039
30,0.52
31,-0.023
32,-0.014
33,0.145
34,0.433
35,-0.018
36,-0.037
37,0.5
38,-0.01
39,-0.029
40,0.129
41,0.389
42,0.047
43,0.009
44,0.002
45,0.614
46,-0.033
47,0.347
48,-0.026
49,0.007
50,-0.148
51,0.205
52,-0.046
53,0.027
54,-0.038
55,0.571
56,-0.034
57,0.022
58,-0.115
59,0.598
60,0.03
61,0.037
62,0.005
63,0
64,-0.043
65,-0.061
66,2
67,0.12
68,0.012
69,0.407
70,0.02
71,-0.028
72,-0.046
73,0.565
74,0.018
75,0
76,-0.069
77,0.351
78,-0.013
79,0.034
80,-0.059
81,0.5
82,0.02
83,-0.046
84,-0.029
85,0.231
86,-0.017
87,-0.127
88,1.088
89,0.11
90,1
91,0.474
92,-0.028
93,-0.036
94,0.111
95,0.355
96,0.01
97,-0.056
98,-0.075
99,0.228
100,0.011
101,-0.048
102,0.056
103,0
104,-0.013
105,0.013
106,-0.009
107,1.05
108,-0.022
109,-0.044
110,0.163
111,0.005
112,0.051
113,0.5
114,0.234
115,-0.023
116,0.025
117,0.141
118,0.017
119,-0.011
120,-0.043
121,1.205
122,-0.006
123,-0.018
124,-0.181
125,0
126,-0.019
127,0.027
128,-0.005
129,0.119
130,0
131,0.016
132,0.126
133,0.32
134,0.013
135,0.023
136,1
137,0.066
138,-0.024
139,0.16
140,0.255
141,-0.03
142,0.286
143,0.31
144,0.056
145,0.018
146,-0.096
147,0.867
148,0.009
149,0.09
150,0.109
151,0.729
152,0.031
153,-0.085
154,0.236
155,0.078
156,0.041
157,0.029
158,0.167
159,0
160,0.295
161,-0.022
162,0.293
163,0.178
164,0.097
165,-0.087
166,0.5
167,0.108
168,-0.027
169,-0.053
170,0.137
171,0.058
172,0.024
173,-0.041
174,0.791
175,0.071
176,-0.051
177,0.26
178,0.139
179,0.153
180,-0.018
181,-0.022
182,0.4
183,-0.005
184,-0.051
185,0.203
186,0.683
187,0.046
188,0.001
189,0.215
190,-0.006
191,0.333
192,0.022
193,0.131
194,-0.016
195,-0.145
196,0.354
197,0.005
198,-0.039
199,0.318
200,-0.026
201,0.02
202,1
203,0.04
204,0.009
205,-0.207
206,0.285
207,0.011
208,0
209,-0.033
210,0
211,0.009
212,0.301
213,-0.012
214,0.041
215,-0.053
216,0.346
217,0.072
218,0.211
219,0.151
220,0.036
221,0.283
222,0.5
223,-0.067
224,-0.024
225,-0.185
226,0.353
227,-0.027
228,0.013
229,0.064
230,0.295
231,-0.015
232,0.039
233,0.046
234,0.366
235,0.119
236,-0.032
237,0.333
238,0
239,-0.103
240,0
241,0.015
242,-0.054
243,0.309
244,-0.026
245,0.011
246,-0.052
247,0
248,0.144
249,0.003
250,-0.047
251,0.412
252,-0.06
253,-0.018
254,0.376
255,0.006
256,0.052
257,-0.041
258,0
259,0
260,0.001
261,0.411
262,0.042
263,0.013
264,0.179
265,0.059
266,0.364
267,0.415
268,0.048
269,0.044
270,-0.175
271,0.283
272,0.081
273,0.538
274,0.11
275,0.266
276,-0.19
277,0
278,0.004
279,0.008
280,-0.046
281,0.648
282,-0.039
283,-0.029
284,0.412
285,0.09
286,-0.028
287,-0.067
288,0.66
289,0.012
290,0.026
291,0
292,0.03
293,-0.028
294,-0.02
295,0.794
296,-0.034
297,-0.088
298,0.465
299,0.005
300,0.034
301,0.566
302,0
303,0.02
304,-0.017
305,0.434
306,0.004
307,0.04
308,0.122
309,0.8
310,0.059
311,-0.06
312,-0.075
313,1.031
314,-0.029
315,-0.036
316,0
317,0.432
318,-0.064
319,0.167
320,0.625
321,-0.04
322,0.064
323,0.127
324,0.625
325,-0.019
326,-0.052
327,0.177
328,0.211
329,-0.006
330,0.034
331,-0.067
332,0.806
333,-0.019
334,0.048
335,0.409
336,1.375
337,-0.026
338,-0.092
339,0.429
340,-0.004
341,0.233
342,-0.151
343,0.488
344,0.262
345,-0.014
346,-0.182
347,2
348,0.625
349,0.435
350,-0.019
351,-0.068
352,0.144
353,0.467
354,-0.024
355,0.041
356,-0.082
357,0.636
358,-0.033
359,-0.152
360,0.588
361,-0.005
362,-0.239
363,0.192
364,-0.038
365,-0.034
366,0.571
367,0.047
368,0.036
369,-0.071
370,0.8
371,-0.075
372,-0.035
373,0.102
374,0.542
375,-0.004
376,0.255
377,0.699
378,0.004
379,0.019
380,0.024
381,0.356
382,-0.016
383,0.581
384,0
385,0.081
386,-0.016
387,0.889
388,-0.024
389,0.6
390,-0.004
391,-0.003
392,-0.107
393,0.595
394,-0.026
395,0.25
396,0.033
397,0.5
398,0.025
399,0.694
400,-0.003
401,-0.064
402,0.6
403,0.364
404,0
405,-0.011
406,0.05
407,0.123
408,0.374
409,0.652
410,-0.028
411,0.128
412,0
413,-0.032
414,-0.029
415,-0.232
416,0.833
417,0.028
418,0.007
419,0
420,0.033
421,0.417
422,1.04
423,0.033
424,1
425,2.444
426,-0.031
427,0.128
428,-0.028
429,0
430,0.056
431,0.078
432,1
433,0.008
434,0.15
435,-0.032
436,2.045
437,-0.032
438,0.039
439,0
440,0.05
441,-0.056
442,0.802
443,-0.033
444,-0.053
445,0.106
446,0
447,0
448,0.04
449,-0.05
450,0
451,-0.017
452,-0.194
453,2
454,-0.007
455,0.118
456,1.091
457,0.029
458,0.128
459,0
460,0.015
461,0.009
462,-0.035
463,0
464,0.192
465,-0.022
466,0.556
467,-0.057
468,0.022
469,0.763
470,0.025
471,0.172
472,4.667
473,-0.025
474,-0.042
475,0.188
476,0.5
477,-0.012
478,0
479,0.008
480,8
481,-0.034
482,0.048
483,-0.01
484,0
485,0.372
486,-0.096
487,0.667
488,-0.065
489,-0.129
490,0
491,-0.012
492,-0.032
493,-0.049
494,1
495,0.01
496,0.034
497,1
498,1
499,0.003
500,0.333
501,0.108
502,0
503,-0.196
504,2.125
505,0.043
506,0.018
507,1
508,0.941
509,2
510,2
511,-0.016
512,0.006
513,-0.189
514,1
515,-0.018
516,0.062
517,-0.007
518,3
519,0.053
520,-0.242
521,0
522,0.765
523,0.174
524,-0.133
525,0
526,1
527,-0.048
528,-0.034
529,0.667
530,0.065
531,0.089
532,0
533,-0.038
534,-0.047
535,0
536,-0.041
537,0.129
538,1
539,-0.006
540,0
541,0.221
542,-0.032
543,0
544,-0.036
545,0.054
546,-0.01
547,0
548,0.038
549,-0.058
550,0
