"SC_ID","value"
1,301
2,614
3,635
4,38
5,664
6,71
7,832
8,1292
9,333
10,588
11,719
12,660
13,284
14,916
15,714
16,673
17,326
18,908
19,694
20,310
21,587
22,687
23,656
24,24
25,852
26,790
27,92
28,272
29,870
30,214
31,983
32,727
33,330
34,280
35,593
36,854
37,92
38,944
39,721
40,334
41,270
42,532
43,715
44,1122
45,267
46,717
47,177
48,1144
49,645
50,677
51,142
52,986
53,906
54,668
55,153
56,593
57,667
58,653
59,301
60,608
61,651
62,1229
63,3
64,725
65,927
66,334
67,549
68,850
69,189
70,629
71,718
72,671
73,282
74,927
75,710
76,663
77,128
78,826
79,687
80,677
81,271
82,698
83,809
84,955
85,296
86,790
87,662
88,286
89,522
90,95
91,288
92,585
93,714
94,332
95,274
96,509
97,873
98,675
99,280
100,584
101,724
102,765
103,14
104,582
105,912
106,1147
107,287
108,712
109,663
110,267
111,599
112,655
113,109
114,296
115,613
116,654
117,201
118,635
119,641
120,655
121,355
122,921
123,704
124,685
125,4
126,821
127,647
128,1071
129,234
130,717
131,713
132,336
133,251
134,699
135,1195
136,43
137,621
138,667
139,575
140,241
141,909
142,161
143,285
144,379
145,869
146,659
147,283
148,608
149,647
150,579
151,149
152,666
153,678
154,268
155,635
156,845
157,1279
158,262
159,77
160,292
161,694
162,287
163,165
164,518
165,679
166,80
167,386
168,689
169,682
170,218
171,660
172,647
173,871
174,301
175,624
176,660
177,292
178,332
179,221
180,772
181,784
182,67
183,623
184,715
185,311
186,311
187,675
188,1373
189,197
190,569
191,80
192,657
193,150
194,710
195,672
196,292
197,606
198,715
199,204
200,568
201,700
202,56
203,660
204,717
205,632
206,284
207,633
208,879
209,1300
210,47
211,617
212,168
213,591
214,680
215,684
216,183
217,766
218,94
219,102
220,629
221,271
222,55
223,779
224,765
225,622
226,308
227,882
228,679
229,780
230,263
231,848
232,667
233,901
234,223
235,422
236,710
237,83
238,708
239,675
240,37
241,691
242,677
243,160
244,867
245,644
246,688
247,5
248,386
249,708
250,680
251,203
252,772
253,1158
254,267
255,590
256,259
257,864
258,43
259,673
260,1486
261,254
262,284
263,1120
264,68
265,135
266,169
267,275
268,634
269,640
270,630
271,131
272,501
273,145
274,104
275,302
276,653
277,9
278,691
279,707
280,711
281,277
282,731
283,678
284,188
285,472
286,752
287,698
288,251
289,864
290,262
291,30
292,638
293,716
294,844
295,254
296,690
297,699
298,264
299,605
300,676
301,256
302,640
303,889
304,949
305,205
306,653
307,680
308,316
309,43
310,540
311,711
312,692
313,160
314,710
315,729
316,33
317,256
318,791
319,469
320,42
321,812
322,762
323,596
324,76
325,664
326,710
327,327
328,84
329,605
330,631
331,710
332,203
333,663
334,814
335,147
336,169
337,648
338,680
339,47
340,615
341,303
342,650
343,267
344,280
345,702
346,619
347,27
348,91
349,219
