"SC_ID","value"
1,0.039
2,0.022
3,-0.013
4,0.035
5,-0.009
6,0.02
7,0.012
8,0.013
9,0.036
10,0.021
11,-0.006
12,-0.009
13,0.051
14,0.012
15,-0.001
16,0
17,0.035
18,0.017
19,0.009
20,0.039
21,0.017
22,0.01
23,0
24,0.045
25,0.016
26,0.001
27,0.006
28,0.054
29,0.014
30,0.039
31,0.016
32,-0.011
33,0.027
34,0.047
35,0.02
36,-0.002
37,0.019
38,0.009
39,-0.012
40,0.034
41,0.049
42,0.022
43,-0.01
44,0.017
45,0.037
46,-0.016
47,0.031
48,-0.002
49,0
50,-0.01
51,0.014
52,0.006
53,0.016
54,-0.005
55,0.013
56,0.02
57,-0.004
58,-0.013
59,0.042
60,0.011
61,-0.002
62,0.005
63,0.333
64,-0.016
65,0.009
66,0.046
67,0.034
68,0.019
69,0.044
70,0.01
71,-0.011
72,-0.006
73,0.035
74,0.008
75,-0.004
76,0.004
77,0.016
78,0.004
79,0.008
80,-0.003
81,0.045
82,0.011
83,-0.011
84,0.008
85,0.057
86,-0.011
87,-0.009
88,0.051
89,0.036
90,0.008
91,0.046
92,0.013
93,-0.015
94,0.026
95,0.043
96,0.018
97,-0.012
98,0.005
99,0.057
100,0.007
101,-0.017
102,0.02
103,0.08
104,0.008
105,0.012
106,0.007
107,0.058
108,-0.011
109,0
110,0.041
111,0.006
112,0.005
113,0
114,0.052
115,0.017
116,0.01
117,0.045
118,0.009
119,-0.008
120,-0.002
121,0.046
122,0.003
123,-0.014
124,-0.007
125,0.182
126,0.003
127,-0.004
128,0.011
129,0.042
130,0.013
131,-0.009
132,0.031
133,0.048
134,0.01
135,0.01
136,0.051
137,0.007
138,-0.003
139,0.023
140,0.047
141,0.001
142,0.017
143,0.049
144,0.019
145,0.006
146,-0.013
147,0.038
148,0.007
149,0.032
150,0.026
151,0.033
152,0.018
153,-0.002
154,0.055
155,0.013
156,0.002
157,0.01
158,0.041
159,0.014
160,0.047
161,-0.014
162,0.044
163,0.045
164,0.019
165,-0.001
166,0.029
167,0.018
168,-0.004
169,-0.003
170,0.042
171,0.014
172,0.007
173,0.003
174,0.06
175,0.007
176,0.001
177,0.039
178,0.037
179,0.044
180,0.001
181,-0.013
182,0.035
183,0.013
184,-0.015
185,0.043
186,0.058
187,0
188,0.014
189,0.042
190,0.007
191,0.046
192,0.01
193,0.035
194,-0.012
195,-0.011
196,0.038
197,0.016
198,-0.017
199,0.044
200,0.007
201,-0.01
202,0.036
203,0.015
204,-0.006
205,-0.023
206,0.036
207,0.017
208,-0.003
209,0.001
210,0.045
211,0.01
212,0.04
213,0.011
214,0.012
215,-0.001
216,0.046
217,0.011
218,0.043
219,0.042
220,0.01
221,0.047
222,0.044
223,-0.003
224,-0.007
225,-0.021
226,0.051
227,-0.006
228,0.013
229,0.013
230,0.049
231,0
232,0.013
233,0.011
234,0.042
235,0.036
236,-0.011
237,0.027
238,0.003
239,-0.002
240,0.049
241,-0.01
242,-0.001
243,0.051
244,-0.005
245,-0.011
246,-0.002
247,0.273
248,0.043
249,-0.01
250,-0.002
251,0.052
252,-0.003
253,0.002
254,0.031
255,0.008
256,-0.021
257,0.003
258,0.019
259,0.006
260,0.01
261,0.05
262,-0.006
263,0.01
264,0.05
265,-0.017
266,0.046
267,0.035
268,0.006
269,-0.008
270,-0.018
271,0.047
272,0.007
273,0.048
274,0.04
275,0.049
276,-0.013
277,0.182
278,0.013
279,-0.005
280,-0.011
281,0.034
282,0.006
283,0.011
284,0.059
285,0.035
286,-0.01
287,-0.006
288,0.039
289,0.015
290,-0.02
291,0.058
292,0.008
293,-0.007
294,0.01
295,0.042
296,0.004
297,-0.009
298,0.046
299,0.004
300,0.011
301,0.039
302,0.004
303,-0.007
304,0.011
305,0.055
306,0.001
307,0.013
308,0.03
309,0.079
310,0.033
311,-0.014
312,-0.007
313,0.071
314,0.012
315,-0.015
316,0.096
317,0.056
318,-0.022
319,0.02
320,0.072
321,0.004
322,0.014
323,0.02
324,0.053
325,-0.007
326,-0.01
327,0.034
328,0.035
329,0.003
330,-0.012
331,-0.006
332,0.048
333,-0.01
334,0
335,0.047
336,0.067
337,0.009
338,-0.014
339,0.062
340,0.009
341,-0.001
342,-0.011
343,0.032
344,0.069
345,-0.002
346,-0.016
347,0.15
348,0.07
349,0.038
350,0.015
351,-0.019
352,0.023
353,0.071
354,0.005
355,-0.003
356,-0.012
357,0.063
358,-0.006
359,-0.013
360,0.066
361,0.013
362,-0.009
363,0.064
364,0.011
365,0.009
366,0.125
367,0.003
368,0.019
369,-0.008
370,0.078
371,0.001
372,-0.001
373,0.031
374,0.047
375,-0.001
376,0.029
377,0.031
378,-0.008
379,-0.01
380,0.019
381,0.03
382,0.023
383,0.024
384,-0.002
385,-0.009
386,0.013
387,0.037
388,-0.013
389,0.055
390,-0.002
391,-0.001
392,-0.012
393,0.036
394,0.003
395,0.015
396,0.038
397,0.006
398,0.02
399,0.03
400,0.001
401,-0.01
402,0.017
403,0.042
404,0.027
405,-0.005
406,0.016
407,0.01
408,0.024
409,0.06
410,-0.002
411,0.017
412,0.034
413,0
414,-0.009
415,-0.01
416,0.061
417,-0.011
418,0.011
419,0
420,0.013
421,0.047
422,0.038
423,0.014
424,0.123
425,0.03
426,0.013
427,-0.018
428,-0.012
429,0.045
430,0.005
431,0.028
432,0.064
433,-0.008
434,-0.015
435,0.011
436,0.023
437,-0.002
438,0.018
439,0.043
440,0.001
441,-0.007
442,0.019
443,0.004
444,-0.008
445,0.038
446,0.113
447,-0.008
448,0.013
449,-0.011
450,0.069
451,-0.006
452,-0.018
453,0.049
454,-0.001
455,0.036
456,0.034
457,0.034
458,0.024
459,0.182
460,-0.008
461,0.002
462,0.002
463,0.069
464,0
465,0.003
466,0.048
467,-0.01
468,0.021
469,0.026
470,-0.003
471,0.02
472,0.031
473,0.022
474,-0.01
475,0.027
476,0.05
477,0.026
478,0.13
479,-0.002
480,0.041
481,-0.004
482,0.015
483,0.01
484,0.154
485,-0.016
486,-0.013
487,0.05
488,-0.004
489,-0.013
490,0.06
491,-0.008
492,-0.005
493,-0.01
494,0.055
495,-0.003
496,0.009
497,0.058
498,0.034
499,-0.002
500,-0.013
501,0.019
502,0.143
503,-0.007
504,0.036
505,0.014
506,0.025
507,0.073
508,0.054
509,0.076
510,0.065
511,-0.005
512,0.003
513,-0.01
514,0.07
515,-0.006
516,0.007
517,0.005
518,0.064
519,-0.009
520,-0.01
521,0.097
522,0.063
523,-0.004
524,-0.015
525,0.128
526,0.032
527,-0.006
528,0.001
529,0.039
530,0.043
531,0.033
532,0.148
533,-0.004
534,-0.008
535,0.099
536,-0.016
537,0.01
538,0.06
539,0.016
540,0.071
541,-0.022
542,-0.002
543,0.176
544,-0.002
545,0
546,0.008
547,0.05
548,0.004
549,-0.005
550,0.027
551,-0.008
552,0.025
553,0.036
554,0.011
555,0
556,0.012
557,0.008
558,0.006
559,0
560,-0.012
561,0.057
562,0.002
563,0.024
564,0.012
565,-0.011
566,0.024
567,-0.002
568,-0.002
569,0.077
570,-0.006
571,0.023
572,0.045
573,0.018
574,0.003
575,0.006
576,0.222
577,0.02
578,0.102
579,0
580,-0.009
581,0.242
582,-0.004
583,0
584,0.005
585,0.037
586,-0.013
587,0.007
588,-0.019
589,0.021
590,0
591,0.009
592,0.037
593,0.034
594,0
595,0.008
596,0.031
597,0.061
598,0.017
599,-0.006
600,0.004
601,0.049
602,0.016
603,0.017
604,0.011
605,0.132
606,0.011
607,0.002
608,0.043
609,0.061
610,0.003
611,0.03
612,0.001
613,-0.008
614,0.004
615,0.036
616,0.046
617,0.007
618,0.024
619,-0.005
620,0.022
621,0.068
622,-0.006
623,0.043
624,0.009
625,0.016
626,0.061
627,0.067
628,-0.008
629,-0.017
630,0.051
631,0
632,0.005
633,0.007
634,0.054
635,0.005
636,0.082
637,0.006
638,0
639,0.044
640,-0.005
641,0.006
642,0.014
643,0.043
644,-0.011
645,-0.01
646,-0.01
647,0.051
648,0.005
649,-0.013
650,0.014
651,0.042
652,0.005
653,-0.011
654,0.113
655,-0.016
656,-0.011
657,0.027
658,0.004
659,0.045
660,-0.011
661,-0.009
662,0.029
663,0.045
664,0.018
665,-0.015
666,-0.007
667,0.044
668,0.011
669,0.005
670,0.052
671,0.054
672,-0.003
673,0.025
674,0.047
675,0.016
676,0.019
677,0.027
678,0.054
679,0.052
680,-0.013
681,-0.004
682,0.273
683,-0.005
684,-0.014
685,0.067
686,0.002
687,-0.021
688,-0.009
689,-0.006
690,0.044
691,0.017
692,0.019
693,0.023
694,0.046
695,-0.001
696,-0.004
697,0.023
698,0.037
699,-0.013
700,0.003
701,0.001
702,0.109
703,0.002
704,-0.003
705,-0.015
706,0.029
707,0
708,-0.011
709,-0.012
710,0.053
711,0.008
712,0.002
713,-0.011
714,0.052
715,-0.003
716,0.039
717,0.178
718,-0.02
719,0.003
720,0.025
721,-0.012
722,0.188
723,0.012
724,-0.007
725,0.039
726,0.133
727,-0.009
728,0.046
729,-0.018
730,0.003
731,0.004
732,0.03
733,0.051
734,-0.007
735,-0.012
736,0.25
737,-0.006
738,-0.007
739,0.158
740,-0.007
741,0.008
742,-0.011
743,0.022
744,-0.002
745,-0.01
746,-0.003
747,0.061
748,-0.008
749,-0.009
750,0.044
751,-0.001
752,-0.027
753,0.011
754,0
755,0.013
756,0.012
757,-0.004
758,0.071
759,0.006
760,0.045
761,0.051
762,-0.007
763,-0.003
764,0.015
765,0.04
766,-0.011
767,-0.004
768,0.024
769,-0.007
770,0.042
771,0.308
772,0.007
773,-0.005
774,0.021
775,0.034
776,-0.004
777,-0.017
778,0.035
779,0.028
780,-0.006
781,0.004
782,0.004
783,0.03
784,0.009
785,0.021
786,0.04
787,-0.014
788,-0.001
789,0.071
790,-0.007
791,0.016
792,0.021
793,0.029
794,0.017
795,0.004
796,0.06
797,-0.006
798,0.04
799,0.044
800,0.006
801,0.011
802,0.034
803,0.003
804,0.05
805,-0.002
806,-0.008
807,0.038
808,0.04
809,0.005
810,-0.007
811,0.118
812,0.059
813,0.054
814,0.005
815,-0.006
816,0.182
817,0.003
818,0.001
819,0.026
820,0.041
821,-0.006
822,0.012
823,0.044
824,0.043
825,0.031
826,0.049
827,0.045
828,0.003
829,0.017
830,0.075
831,0.01
832,0.013
833,0.045
834,0.034
835,-0.013
836,0.02
837,-0.002
838,0.027
839,0
840,0.058
841,0.058
842,-0.019
843,0
844,-0.016
845,0.019
846,0.042
847,-0.002
848,0.041
849,0.051
850,0.013
851,0.011
852,0.049
853,-0.005
854,-0.006
855,0.013
856,0.182
857,-0.015
858,0.043
859,0.036
860,-0.009
861,-0.002
862,0.008
863,0.041
864,0.004
865,0.011
866,0.011
867,0.049
868,0.009
869,0.011
870,0.005
871,0.103
872,-0.001
873,0.004
874,0.054
875,0
876,-0.028
877,-0.018
878,0.154
879,-0.004
880,0.022
881,0.034
882,-0.019
883,0.036
884,0.056
885,0.018
886,0.04
887,0.057
888,-0.006
889,-0.004
890,0.052
891,0.043
892,0.012
893,0.052
894,0.333
895,-0.001
896,0.02
897,0.049
898,0.011
899,-0.008
900,0.011
901,0.086
902,0.012
903,0.007
904,0.059
905,0
906,0.013
907,-0.016
908,0.055
909,-0.005
910,0.004
911,-0.011
912,0.042
913,-0.008
914,0.13
915,-0.001
916,-0.003
917,0.014
918,0.056
919,0.041
920,0.014
921,-0.012
922,0.034
923,0
924,0.005
925,0.065
926,0.167
927,0.007
928,0.06
929,0.238
930,0.031
931,0.021
932,0.027
933,0.058
934,0.011
935,-0.017
936,0.042
937,0.037
938,-0.004
939,-0.009
940,0.041
941,0.037
942,0.014
943,0.02
944,0.267
945,0.049
946,-0.002
947,-0.017
948,0.133
949,0.002
950,0.136
951,-0.001
952,0.025
953,0.025
954,0.035
955,-0.01
956,0.021
957,0.133
958,-0.016
959,-0.006
960,0.154
961,-0.005
962,0.046
963,0.023
964,0.009
965,0.032
966,-0.004
967,0.057
968,-0.004
969,0.074
970,0.017
971,0.038
972,0.167
973,-0.006
974,0.023
975,0.024
976,0.047
977,0.025
978,0.08
979,0.016
980,-0.006
981,0.024
982,0.053
983,-0.013
984,-0.008
985,0.059
986,0.107
987,0.014
988,0.021
989,0.058
990,-0.006
991,0.029
992,0.067
993,-0.009
994,-0.005
995,0.024
996,0.211
997,-0.006
998,0
999,0.027
1000,0.085
1001,0.022
1002,0.027
1003,0.034
1004,-0.003
1005,0.038
1006,0.056
1007,0.032
1008,0.102
1009,-0.007
1010,0.022
1011,0.226
1012,0.038
1013,0.04
1014,0.143
1015,0.026
1016,0.143
1017,0.012
1018,0.003
1019,0.032
1020,0.134
1021,0.001
1022,0.051
1023,0.094
1024,0.03
1025,0.039
1026,0.05
1027,0.05
1028,0.023
1029,0.067
1030,0.04
1031,0.125
1032,-0.006
1033,-0.005
1034,0.028
1035,0.273
1036,0.024
1037,0.036
1038,0.25
1039,0.104
1040,0.333
1041,-0.007
1042,-0.007
1043,-0.002
1044,0.105
1045,0.001
1046,-0.002
1047,0.023
1048,0.041
1049,0.003
1050,-0.003
1051,0.015
1052,0.133
1053,0.004
1054,0.028
1055,0.018
1056,0.13
1057,-0.005
1058,0.032
1059,0.154
1060,0.019
1061,0.002
1062,0.009
1063,0.25
1064,0.012
1065,0.013
1066,-0.004
1067,0.041
1068,0.009
1069,0
1070,-0.002
1071,0.035
1072,-0.013
1073,0.006
1074,0.047
1075,0.182
1076,-0.004
1077,0.021
1078,0.005
1079,0.25
1080,-0.004
1081,-0.012
1082,0.022
1083,0.04
1084,0.051
1085,0.003
1086,0.025
1087,0.002
1088,0.02
1089,0.027
1090,-0.01
1091,0.017
1092,0.027
1093,-0.013
1094,0.029
1095,-0.01
1096,0.028
1097,0.008
1098,0.021
1099,0.041
1100,0.013
1101,0.044
1102,-0.006
1103,0.015
1104,0.022
1105,-0.004
1106,0.004
1107,0.041
1108,0.013
1109,0.013
1110,0.026
1111,-0.018
1112,0.006
1113,-0.002
1114,0.027
1115,-0.007
1116,0.009
1117,-0.005
1118,0.016
1119,0.025
1120,0.002
1121,-0.008
1122,0.011
1123,0.03
1124,0.039
1125,0.002
1126,-0.01
1127,0.006
1128,-0.013
1129,0.018
1130,-0.008
1131,0.012
1132,0.01
1133,0.025
1134,0.029
1135,-0.022
1136,0
1137,-0.006
1138,0.011
1139,0.025
1140,0.011
1141,-0.011
1142,-0.012
1143,0.017
1144,0
1145,0.008
1146,0.033
1147,0.044
1148,0.04
1149,0.008
1150,0.007
1151,-0.007
1152,0.048
1153,0.011
1154,0.013
1155,0.011
1156,0.006
1157,0.05
1158,0.042
1159,0.03
1160,0.015
1161,0.001
1162,-0.011
1163,0.062
1164,0.005
1165,0.011
1166,0.009
1167,0.019
1168,0.013
1169,0.03
1170,0.011
1171,0.031
1172,0.021
1173,-0.007
1174,0.026
1175,0.059
1176,0.051
1177,0.003
1178,-0.011
1179,0.011
1180,0.001
1181,0.019
1182,0.024
1183,-0.004
1184,0.011
1185,0.043
1186,0.006
1187,0.002
1188,-0.004
1189,0.015
1190,-0.006
1191,-0.005
1192,0.04
1193,0.008
1194,0.021
1195,0.007
1196,0.057
1197,0.062
1198,0.022
1199,0.003
1200,0.008
1201,0.018
1202,0.028
1203,0.005
1204,0.023
1205,0.061
1206,0.01
1207,0.01
1208,0.049
1209,0
1210,0.033
1211,0.041
1212,0.023
1213,0.042
1214,0.003
1215,0.002
1216,-0.008
1217,0.007
1218,0.036
1219,0.032
1220,0.027
1221,0.028
1222,0.018
1223,0.013
1224,0.024
1225,0.045
1226,0.002
1227,0.006
1228,0.06
1229,0.003
1230,0.027
1231,0.033
1232,0.014
1233,0.021
1234,0.037
1235,0.043
1236,0.022
1237,0.01
1238,0.005
1239,0.018
1240,-0.008
1241,0.01
1242,0.046
1243,0.044
1244,0.009
1245,0.029
1246,-0.001
1247,0.031
1248,0.049
1249,-0.007
1250,-0.004
1251,0.05
1252,-0.009
1253,0.021
1254,0.05
1255,0.017
1256,0.012
1257,0.021
1258,0.058
1259,0.006
1260,0.004
1261,0
1262,0.012
1263,0.02
1264,-0.007
1265,0.021
1266,0.039
1267,-0.001
1268,0.014
1269,0.055
1270,0.001
1271,0.031
1272,0.019
1273,0.017
1274,0.021
1275,0.022
1276,0
1277,0.018
1278,0.046
1279,0.014
1280,0.005
1281,0.02
1282,0.062
1283,0.036
1284,0.059
1285,-0.001
1286,0.025
1287,-0.015
1288,0.014
1289,0.009
1290,0.027
1291,0.024
1292,0.061
1293,0.005
1294,0.017
1295,0.067
1296,-0.003
1297,0.003
1298,0.024
1299,0.007
1300,0.023
1301,-0.002
1302,-0.005
1303,0.022
1304,0.031
1305,0.016
1306,0.004
1307,0.06
1308,0.014
1309,0.007
1310,0.034
1311,0.003
1312,0.01
1313,0.043
1314,0.008
1315,0.016
1316,0.076
1317,0.012
1318,0.013
1319,0.03
1320,0.006
1321,0.057
1322,0.004
1323,-0.008
1324,0.006
1325,0.022
1326,0.015
1327,0.006
1328,0.006
1329,0.055
1330,0.006
1331,0.071
1332,0.015
1333,0.007
1334,0.068
1335,-0.003
1336,0.002
1337,0.052
1338,0.009
1339,0.002
1340,0.037
1341,-0.017
1342,0.012
1343,0.066
1344,0
1345,0.016
1346,0.023
1347,0.02
1348,0.078
1349,0.068
1350,0.005
1351,0.005
1352,0.065
1353,0.024
1354,0.03
1355,0.09
1356,0.018
1357,0.003
1358,0.04
1359,0.005
1360,0.004
1361,-0.004
1362,-0.009
1363,0.004
1364,0.072
1365,0
1366,-0.001
1367,0.027
1368,-0.003
1369,0.015
1370,0.035
1371,-0.007
1372,0.007
1373,0.046
1374,0.018
1375,0.009
1376,0.014
1377,0.066
1378,0.016
1379,0.065
1380,0.006
1381,0.022
1382,0.051
1383,-0.008
1384,0.003
1385,0.042
1386,0.001
1387,0.04
1388,0.048
1389,0
1390,0.061
1391,-0.003
1392,0.009
1393,0.079
1394,0.007
1395,0.018
1396,0.062
1397,-0.003
1398,0.024
1399,0.036
1400,-0.003
1401,0.005
1402,0.08
1403,0.005
1404,0.01
1405,0.046
1406,0.021
1407,0.013
1408,0.073
1409,0.01
1410,0.012
1411,0.054
1412,-0.003
1413,0.016
1414,0.047
1415,0.014
1416,0.04
1417,0.007
1418,0.012
1419,0.034
1420,-0.004
1421,0.006
1422,0.033
1423,0.004
1424,0.014
1425,0.053
1426,0.027
1427,0.026
1428,0.06
1429,-0.001
1430,0.034
1431,0
1432,0.006
1433,0.026
1434,-0.012
1435,-0.009
1436,0.279
1437,-0.005
1438,0.023
1439,0.014
1440,0
1441,0.036
1442,0.016
1443,0.014
1444,0.033
1445,0.019
1446,0.007
1447,0.082
1448,-0.006
1449,0.037
1450,0.021
1451,0.062
1452,0.03
1453,0
1454,0.045
1455,0.012
1456,0.064
1457,0.028
1458,0.002
1459,0.043
1460,-0.005
1461,0.01
1462,0.044
1463,0.002
1464,0.001
1465,0.037
1466,0.013
1467,0.011
1468,0.046
1469,0.012
1470,0.049
1471,0.004
1472,0.027
1473,0.039
1474,-0.016
1475,-0.01
1476,0.035
1477,0.013
1478,0.061
1479,-0.002
1480,0.009
1481,0.033
1482,0.022
1483,0.035
1484,0.042
1485,0.004
1486,-0.007
1487,0.057
1488,0.044
1489,-0.012
1490,0.041
1491,0.018
1492,0.012
1493,0.054
1494,0.015
1495,0.006
1496,0.015
1497,-0.009
1498,-0.014
1499,0.02
1500,0.001
1501,0.033
1502,0.056
1503,0.007
1504,0.045
1505,-0.015
1506,0.015
1507,0.016
1508,0
1509,-0.016
1510,0.042
1511,-0.002
1512,0.003
1513,0.055
1514,0.037
1515,0.053
1516,-0.002
1517,-0.001
1518,0.021
1519,0.002
1520,0.001
1521,0.046
1522,-0.012
1523,-0.012
1524,0.038
1525,-0.004
1526,0.026
1527,0.211
1528,0.003
1529,-0.004
1530,0.046
1531,-0.002
1532,0.006
1533,-0.014
1534,-0.007
1535,0.002
1536,0.012
1537,-0.005
1538,0.052
1539,0.002
1540,0.019
1541,0.036
1542,0.003
1543,0.017
1544,0.133
1545,-0.008
1546,0.008
1547,0.016
1548,-0.014
1549,0.108
1550,0.002
1551,-0.001
1552,0.099
1553,-0.007
1554,0.016
1555,0.022
1556,0.012
1557,0.026
1558,0.039
1559,-0.011
1560,-0.008
1561,0.002
1562,0.002
1563,-0.009
1564,0.037
1565,0.013
1566,-0.002
1567,0.055
1568,0
1569,-0.005
1570,0.004
1571,0
1572,-0.011
1573,-0.005
1574,0.029
1575,0.103
1576,-0.011
1577,-0.003
1578,0.017
1579,-0.009
1580,0.002
1581,0.048
1582,0.022
1583,0.004
1584,-0.009
1585,0.007
1586,0
1587,0.021
1588,-0.001
1589,-0.004
1590,0.034
1591,0.006
1592,0.002
1593,0.182
1594,0.001
1595,-0.004
1596,0.063
1597,0.011
1598,-0.009
1599,0.029
1600,0.006
1601,0.098
1602,0.001
1603,-0.01
1604,-0.021
1605,0.051
1606,-0.016
1607,0.006
1608,0.071
1609,0.002
1610,0.006
1611,-0.017
1612,-0.016
1613,-0.005
1614,0.006
1615,0.03
1616,-0.007
1617,0.006
1618,0
1619,-0.006
1620,0.004
1621,0.006
1622,-0.006
1623,-0.005
1624,0
1625,0.025
1626,0.041
1627,0.005
1628,-0.005
1629,0.088
1630,0.004
1631,0.197
1632,0.159
1633,0.011
1634,-0.02
1635,0.029
1636,-0.009
1637,0.03
1638,0.013
1639,0.011
1640,0.023
1641,0.016
1642,0.004
1643,0
1644,0.05
1645,0.011
1646,0.107
1647,-0.002
1648,-0.009
1649,0.005
1650,0.053
1651,0.01
1652,-0.004
1653,0.158
1654,-0.002
1655,0.004
1656,0.023
1657,0.009
1658,0.012
1659,0.039
