"SC_ID","value"
1,52
2,39
3,53
4,53
5,49
6,60
7,42
8,55
9,55
10,55
11,44
12,38
13,35
14,42
15,42
16,44
17,35
18,32
19,39
20,30
21,33
22,32
23,26
24,38
25,38
26,35
27,34
28,34
29,23
30,36
31,31
32,34
33,33
34,28
35,33
36,30
37,27
38,33
39,26
40,22
41,26
42,27
43,50
44,24
45,28
46,26
47,25
48,60
49,47
50,33
51,32
52,32
53,16
54,20
55,16
56,27
57,24
58,34
59,27
60,34
61,30
62,38
63,39
64,39
65,37
66,40
67,43
68,50
69,50
70,38
71,38
72,47
73,53
74,58
75,98
76,29
77,31
78,51
79,52
80,51
81,47
82,54
83,52
84,44
85,52
86,36
87,37
88,34
89,34
90,32
91,27
92,31
93,39
94,39
95,47
96,41
97,33
98,41
99,59
100,54
101,49
102,53
103,55
104,35
105,35
106,35
107,36
108,54
109,39
110,48
111,22
112,25
113,32
114,27
115,38
116,51
117,40
118,46
119,34
120,40
121,42
122,43
123,38
124,37
