"SC_ID","value"
1,190
2,910
3,856
4,41
5,559
6,71
7,1229
8,1011
9,222
10,879
11,867
12,617
13,175
14,1308
15,898
16,592
17,224
18,1295
19,892
20,205
21,819
22,911
23,616
24,24
25,1214
26,858
27,135
28,179
29,1204
30,170
31,1373
32,832
33,315
34,188
35,968
36,678
37,88
38,1306
39,850
40,302
41,182
42,722
43,850
44,938
45,195
46,851
47,155
48,1505
49,822
50,554
51,141
52,1310
53,1174
54,616
55,147
56,967
57,787
58,527
59,193
60,850
61,867
62,966
63,1
64,894
65,738
66,213
67,761
68,749
69,160
70,976
71,840
72,618
73,203
74,1240
75,874
76,614
77,125
78,1142
79,893
80,615
81,166
82,1028
83,997
84,745
85,189
86,863
87,549
88,179
89,707
90,134
91,186
92,949
93,824
94,302
95,166
96,694
97,1081
98,611
99,187
100,945
101,889
102,690
103,13
104,946
105,1132
106,905
107,180
108,839
109,573
110,191
111,955
112,868
113,141
114,193
115,973
116,804
117,165
118,983
119,832
120,569
121,231
122,1185
123,806
124,559
125,3
126,1127
127,856
128,851
129,180
130,1035
131,841
132,301
133,177
134,870
135,978
136,36
137,996
138,779
139,546
140,179
141,1203
142,182
143,193
144,531
145,1082
146,536
147,179
148,965
149,902
150,545
151,141
152,793
153,561
154,187
155,1024
156,1058
157,1011
158,191
159,99
160,193
161,804
162,193
163,152
164,691
165,567
166,75
167,532
168,789
169,602
170,172
171,1044
172,811
173,719
174,188
175,1006
176,602
177,189
178,295
179,169
180,1035
181,946
182,60
183,983
184,824
185,279
186,191
187,1081
188,1100
189,157
190,933
191,76
192,848
193,130
194,826
195,537
196,192
197,965
198,808
199,160
200,936
201,812
202,52
203,1045
204,876
205,512
206,180
207,939
208,1072
209,1037
210,41
211,963
212,139
213,950
214,784
215,597
216,146
217,1018
218,105
219,102
220,968
221,188
222,48
223,1074
224,920
225,501
226,193
227,1176
228,860
229,678
230,186
231,1163
232,802
233,749
234,171
235,541
236,789
237,81
238,1026
239,564
240,31
241,793
242,599
243,129
244,1165
245,830
246,598
247,2
248,475
249,812
250,593
251,158
252,1071
253,965
254,169
255,947
256,520
257,746
258,42
259,1052
260,1188
261,173
262,474
263,917
264,63
265,444
266,185
267,181
268,963
269,812
270,507
271,104
272,658
273,168
274,87
275,350
276,524
277,4
278,1017
279,812
280,615
281,184
282,1051
283,847
284,137
285,651
286,818
287,603
288,170
289,1212
290,540
291,22
292,968
293,799
294,718
295,168
296,848
297,588
298,180
299,924
300,785
301,172
302,942
303,1077
304,815
305,147
306,967
307,792
308,289
309,32
310,760
311,810
312,562
313,121
314,1032
315,794
316,20
317,326
318,944
319,399
320,32
321,1129
322,1003
323,473
324,55
325,1002
326,811
327,288
328,69
329,925
330,798
331,584
332,139
333,1016
334,1035
335,168
336,126
337,826
338,535
339,37
340,933
341,458
342,516
343,180
344,375
345,806
346,498
347,17
348,110
349,148
350,1024
351,1080
352,292
353,90
354,1259
355,794
356,629
357,38
358,805
359,510
360,70
361,1238
362,477
363,37
364,824
365,1157
366,22
367,947
368,785
369,548
370,50
371,1064
372,850
373,566
374,82
375,914
376,320
377,184
378,952
379,808
380,1241
381,161
382,988
383,159
384,907
385,591
386,997
387,95
388,707
389,26
390,919
391,786
392,515
393,134
394,1016
395,58
396,797
397,226
398,1182
399,147
400,774
401,540
402,36
403,262
404,14
405,969
406,904
407,246
408,170
409,234
410,806
411,258
412,12
413,1129
414,826
415,476
416,65
417,798
418,798
419,4
420,777
421,133
422,111
423,776
424,61
425,128
426,1020
427,445
428,769
429,2
430,775
431,780
432,30
433,902
434,347
435,1127
436,134
437,1136
438,778
439,3
440,777
441,626
442,131
443,1015
444,803
445,601
446,15
447,904
448,773
449,725
450,31
451,795
452,465
