"SC_ID","value"
1,-0.062
2,0.031
3,-0.031
4,0
5,-0.094
6,0
7,0.024
8,-0.016
9,0.038
10,0.047
11,0.023
12,-0.077
13,-0.04
14,0.029
15,-0.001
16,-0.075
17,0.083
18,0.035
19,-0.005
20,0
21,0.065
22,0
23,-0.017
24,1
25,0.042
26,0.012
27,0.333
28,0
29,0.038
30,0
31,0.033
32,-0.027
33,0.077
34,0
35,0.023
36,0.019
37,0
38,0.042
39,-0.009
40,0.086
41,0
42,0.076
43,0.014
44,-0.013
45,0.062
46,-0.011
47,0.083
48,0.04
49,-0.032
50,-0.064
51,0
52,0.053
53,0.027
54,-0.086
55,0.1
56,0.027
57,0.035
58,-0.12
59,-0.077
60,0.068
61,-0.02
62,-0.014
63,0
64,-0.014
65,-0.024
66,-0.047
67,0.051
68,0.007
69,0.091
70,0.027
71,-0.022
72,-0.081
73,0.062
74,0.034
75,-0.026
76,-0.038
77,0
78,-0.009
79,-0.005
80,-0.05
81,0.056
82,0.006
83,0.015
84,0
85,0.083
86,0
87,-0.091
88,-0.032
89,0.074
90,0.5
91,-0.071
92,0.031
93,-0.022
94,0.12
95,0
96,0.017
97,-0.009
98,-0.043
99,0.077
100,0.026
101,-0.012
102,0.041
103,0
104,0.016
105,0.023
106,-0.005
107,0
108,0
109,-0.073
110,0.083
111,0.029
112,0
113,0.5
114,0
115,0.035
116,-0.015
117,0.091
118,0.034
119,-0.02
120,-0.086
121,0
122,0.013
123,-0.023
124,-0.042
125,0
126,-0.01
127,-0.016
128,-0.009
129,0.071
130,-0.002
131,0.01
132,0.133
133,0.067
134,0.002
135,0.012
136,0
137,0
138,-0.013
139,0.042
140,0.154
141,-0.008
142,0.6
143,0.071
144,0.014
145,0.014
146,-0.106
147,0.071
148,0.032
149,0.056
150,0.042
151,0
152,-0.006
153,-0.112
154,0.154
155,-0.006
156,0.021
157,-0.019
158,0.103
159,0.5
160,0.077
161,-0.023
162,0.143
163,0
164,0.06
165,-0.103
166,0
167,0.042
168,0.002
169,-0.06
170,0
171,-0.013
172,-0.016
173,0.015
174,-0.037
175,-0.009
176,-0.058
177,0.071
178,0.103
179,0
180,0.008
181,-0.032
182,0.5
183,0.007
184,-0.022
185,0.077
186,0
187,-0.028
188,0
189,0.154
190,0.024
191,0
192,0.006
193,0.2
194,-0.002
195,-0.052
196,0
197,0.019
198,-0.02
199,0.091
200,0.025
201,-0.004
202,0
203,-0.018
204,-0.032
205,-0.127
206,0.067
207,0.008
208,-0.017
209,0
210,0
211,0.033
212,0
213,0.024
214,0.002
215,-0.053
216,0.091
217,0.042
218,1
219,0.167
220,0.02
221,0.133
222,0
223,0.002
224,-0.029
225,-0.14
226,0
227,0.008
228,0.005
229,0.022
230,0.133
231,0.005
232,0
233,0.025
234,0.077
235,0.072
236,0.007
237,0
238,-0.003
239,-0.087
240,0
241,0.009
242,-0.065
243,0
244,0.001
245,0.004
246,-0.067
247,1
248,0.089
249,-0.004
250,-0.059
251,0.077
252,0.006
253,-0.003
254,0.067
255,0.019
256,0.205
257,0.008
258,0.5
259,-0.026
260,0.002
261,0.067
262,0.246
263,-0.017
264,0.25
265,0.235
266,0.667
267,0.067
268,0.013
269,0.016
270,-0.103
271,0.125
272,0.038
273,1
274,0
275,0.15
276,-0.047
277,0
278,0.005
279,-0.002
280,-0.07
281,0.067
282,0.005
283,0.007
284,0.167
285,0.077
286,0.003
287,-0.066
288,0.071
289,0.011
290,0.367
291,0
292,0.013
293,-0.005
294,-0.028
295,0.067
296,0.006
297,-0.043
298,0.059
299,0.002
300,0.005
301,0.056
302,-0.024
303,-0.007
304,-0.018
305,0.167
306,-0.024
307,0.006
308,0.125
309,0
310,0.083
311,-0.018
312,-0.039
313,0.2
314,0.011
315,-0.005
316,0
317,0.176
318,-0.018
319,0.063
320,0
321,-0.012
322,0.055
323,0.022
324,-0.2
325,-0.034
326,-0.014
327,0.17
328,-0.167
329,-0.002
330,0.018
331,-0.025
332,0.167
333,-0.036
334,0.017
335,0.5
336,0.091
337,0.016
338,-0.053
339,0.333
340,0.012
341,0.167
342,-0.057
343,0.048
344,0.095
345,-0.004
346,-0.086
347,0
348,1
349,0.154
350,0.009
351,-0.015
352,0.1
353,0.25
354,-0.005
355,0.016
356,-0.035
357,-0.333
358,-0.005
359,-0.062
360,0
361,0.023
362,-0.114
363,0
364,0.016
365,-0.017
366,0
367,0.006
368,0.02
369,-0.053
370,0
371,-0.014
372,-0.016
373,0.011
374,0.25
375,-0.007
376,0.037
377,0.042
378,-0.026
379,0.026
380,-0.009
381,0.045
382,0.01
383,0.105
384,0.002
385,0.292
386,-0.011
387,0.111
388,-0.035
389,0
