"SC_ID","value"
1,12
2,10
3,6
4,14
5,9
6,13
7,13
8,11
9,11
10,11
11,11
12,10
13,8
14,7
15,6
16,7
17,8
18,7
19,8
20,7
21,7
22,7
23,8
24,14
25,17
26,15
27,7
28,7
29,5
30,16
31,4
32,17
33,13
34,16
35,16
36,18
37,12
38,16
39,18
40,19
41,20
42,20
43,23
44,18
45,12
46,12
47,14
48,23
49,22
50,17
51,17
52,17
53,10
54,11
55,10
56,12
57,12
58,15
59,12
60,13
61,12
62,16
63,15
64,16
65,20
66,19
67,21
68,24
69,24
70,23
71,15
72,17
73,21
74,20
75,22
76,5
77,12
78,6
79,6
80,6
81,9
82,9
83,10
84,7
85,10
86,7
87,9
88,18
89,6
90,4
91,5
92,5
93,16
94,20
95,23
96,24
97,6
98,22
99,25
100,9
101,11
102,7
103,8
104,7
105,6
106,11
107,12
108,23
109,21
110,24
111,15
112,18
113,17
114,19
115,21
116,17
117,17
118,24
119,6
120,17
121,18
122,17
123,23
124,19
