"SC_ID","value"
1,28
2,25
3,16
4,6
5,20
6,11
7,24
8,15
9,49
10,26
11,20
12,28
13,17
14,27
15,31
16,26
17,48
18,29
19,29
20,46
21,25
22,27
23,31
24,3
25,18
26,26
27,13
28,42
29,30
30,34
31,14
32,15
33,22
34,45
35,27
36,17
37,17
38,19
39,4
40,23
41,42
42,28
43,15
44,12
45,42
46,3
47,30
48,18
49,14
50,13
51,21
52,19
53,29
54,32
55,22
56,23
57,28
58,9
59,30
60,29
61,25
62,39
63,2
64,28
65,14
66,15
67,20
68,14
69,31
70,16
71,3
72,35
73,38
74,14
75,21
76,41
77,20
78,35
79,27
80,34
81,21
82,53
83,21
84,19
85,40
86,14
87,19
88,18
89,22
90,12
91,25
92,24
93,-1
94,20
95,25
96,25
97,9
98,41
99,39
100,18
101,26
102,28
103,4
104,19
105,19
106,37
107,18
108,15
109,26
110,42
111,18
112,27
113,10
114,40
115,22
116,15
117,35
118,21
119,23
120,27
121,12
122,17
123,-5
124,17
125,3
126,31
127,26
128,35
129,35
130,48
131,23
132,22
133,41
134,20
135,22
136,13
137,18
138,14
139,31
140,37
141,20
142,15
143,44
144,27
145,12
146,11
147,32
148,19
149,16
150,33
151,29
152,27
153,13
154,41
155,22
156,14
157,60
158,41
159,7
160,42
161,-8
162,44
163,32
164,18
165,14
166,20
167,29
168,13
169,37
170,34
171,24
172,26
173,18
174,19
175,22
176,40
177,34
178,23
179,36
180,14
181,20
182,19
183,21
184,8
185,25
186,17
187,31
188,49
189,32
190,24
191,22
192,21
193,28
194,13
195,13
196,32
197,19
198,4
199,34
200,23
201,19
202,14
203,24
204,22
205,10
206,34
207,35
208,13
209,9
210,16
211,22
212,29
213,23
214,29
215,39
216,35
217,22
218,16
219,28
220,32
221,44
222,17
223,26
224,14
225,7
226,16
227,10
228,23
229,30
230,41
231,25
232,34
233,23
234,44
235,25
236,6
237,20
238,35
239,16
240,11
241,32
242,40
243,29
244,13
245,34
246,39
247,1
248,28
249,14
250,41
251,43
252,27
253,11
254,30
255,23
256,33
257,15
258,8
259,29
260,43
261,37
262,22
263,49
264,22
265,26
266,28
267,31
268,41
269,32
270,13
271,27
272,17
273,24
274,21
275,29
276,12
277,1
278,37
279,13
280,39
281,30
282,37
283,15
284,31
285,28
286,10
287,48
288,26
289,39
290,22
291,7
292,44
293,8
294,35
295,27
296,4
297,40
298,27
299,20
300,37
301,27
302,18
303,0
304,28
305,26
306,24
307,28
308,21
309,17
310,25
311,8
312,39
313,25
314,35
315,3
316,14
317,29
318,2
319,36
320,17
321,26
322,19
323,31
324,18
325,23
326,18
327,31
328,18
329,20
330,32
331,45
332,21
333,19
334,16
335,23
336,23
337,24
338,21
339,16
340,19
341,20
342,16
343,25
344,22
345,24
346,15
347,13
348,22
349,22
350,33
351,-3
352,28
353,18
354,13
355,32
356,38
357,15
358,21
359,14
360,17
361,14
362,-2
363,14
364,20
365,39
366,14
367,25
368,38
369,32
370,17
371,35
372,22
373,56
374,15
375,18
376,35
377,29
378,23
379,34
380,46
381,21
382,58
383,22
384,22
385,9
386,38
387,7
388,49
389,11
390,18
391,37
392,14
393,18
394,16
395,11
396,23
397,17
398,53
399,23
400,38
401,19
402,11
403,22
404,5
405,16
406,17
407,19
408,27
409,24
410,26
411,20
412,5
413,30
414,17
415,-1
416,15
417,38
418,44
419,1
420,37
421,18
422,15
423,38
424,21
425,24
426,36
427,3
428,54
429,1
430,38
431,85
432,11
433,18
434,6
435,31
436,24
437,21
438,40
439,2
440,37
441,40
442,21
443,0
444,21
445,80
446,7
447,19
448,34
449,41
450,10
451,26
452,2
453,7
454,19
455,88
456,13
457,24
458,25
459,3
460,17
461,43
462,42
463,10
464,13
465,56
466,9
467,18
468,63
469,19
470,-4
471,15
472,16
473,38
474,6
475,32
476,5
477,65
478,9
479,30
480,18
481,16
482,15
483,37
484,4
485,12
486,14
487,4
488,30
489,13
490,5
491,15
492,22
493,39
494,2
495,19
496,13
497,12
498,12
499,24
500,10
501,27
502,3
503,5
504,17
505,42
506,62
507,3
508,25
509,16
510,3
511,21
512,37
513,14
514,4
515,23
516,17
517,43
518,7
519,32
520,7
521,2
522,25
523,9
524,12
525,2
526,12
527,22
528,39
529,13
530,27
531,88
532,2
533,24
534,19
535,4
536,-4
537,22
538,8
539,52
540,2
541,10
542,52
543,2
544,6
545,10
546,44
547,6
548,34
549,17
550,0
551,17
552,78
553,1
554,32
555,7
556,49
557,0
558,44
559,33
560,11
561,44
562,12
563,20
564,3
565,-6
566,23
567,-10
568,6
569,17
570,20
571,31
572,29
573,35
574,17
575,42
576,2
577,32
578,2
579,26
580,12
581,9
582,26
583,10
584,60
585,28
586,-5
587,21
588,8
589,22
590,28
591,19
592,68
593,13
594,28
595,27
596,14
597,47
598,32
599,3
600,53
601,16
602,32
603,11
604,32
605,13
606,34
607,44
608,16
609,27
610,14
611,28
612,25
613,12
614,41
615,53
616,33
617,27
618,16
619,5
620,32
621,23
622,22
623,35
624,46
625,23
626,42
627,13
628,6
629,3
630,80
631,0
632,11
633,45
634,40
635,23
636,1
637,22
638,32
639,32
640,18
641,27
642,35
643,29
644,6
645,7
646,-6
647,18
648,39
649,2
650,48
651,24
652,20
653,3
654,8
655,13
656,10
657,20
658,13
659,28
660,9
661,28
662,58
663,0
664,33
665,0
666,15
667,40
668,1
669,52
670,30
671,24
672,5
673,69
674,31
675,34
676,3
677,56
678,42
679,37
680,3
681,18
682,2
683,16
684,8
685,1
686,28
687,1
688,23
689,6
690,70
691,15
692,28
693,37
694,21
695,17
696,7
697,36
698,13
699,-3
700,14
701,38
702,10
703,24
704,7
705,8
706,23
707,0
708,22
709,-4
710,43
711,44
712,7
713,2
714,40
715,18
716,63
717,3
718,-1
719,37
720,22
721,1
722,1
723,31
724,5
725,45
726,1
727,19
728,38
729,-5
730,9
731,37
732,28
733,39
734,7
735,-4
736,12
737,27
738,0
739,2
740,20
741,20
742,0
743,0
744,29
745,14
746,10
747,29
748,4
749,-1
750,15
751,30
752,11
753,48
754,1
755,32
756,21
757,11
758,1
759,22
760,49
761,18
762,18
763,0
764,23
765,27
766,22
767,10
768,12
769,28
770,63
771,2
772,43
773,19
774,19
775,26
776,12
777,6
778,55
779,13
780,12
781,12
782,49
783,13
784,10
785,26
786,28
787,-3
788,10
789,20
790,11
791,23
792,60
793,13
794,17
795,45
796,24
797,8
798,66
799,12
800,24
801,56
802,29
803,26
804,13
805,21
806,24
807,71
808,13
809,24
810,1
811,1
812,41
813,40
814,24
815,7
816,2
817,26
818,42
819,24
820,39
821,6
822,62
823,26
824,24
825,9
826,45
827,25
828,12
829,23
830,3
831,38
832,7
833,50
834,29
835,17
836,22
837,12
838,29
839,26
840,40
841,24
842,4
843,-1
844,-5
845,27
846,25
847,23
848,76
849,44
850,38
851,51
852,13
853,37
854,8
855,55
856,1
857,-6
858,70
859,11
860,24
861,24
862,54
863,4
864,33
865,25
866,63
867,24
868,36
869,16
870,42
871,1
872,22
873,14
874,41
875,32
876,6
877,21
878,2
879,37
880,22
881,29
882,4
883,56
884,45
885,18
886,82
887,19
888,36
889,25
890,22
891,15
892,21
893,73
894,0
895,14
896,21
897,20
898,34
899,15
900,55
901,4
902,30
903,55
904,18
905,19
906,19
907,14
908,40
909,19
910,31
911,35
912,11
913,15
914,2
915,31
916,18
917,26
918,42
919,31
920,21
921,18
922,32
923,28
924,17
925,39
926,3
927,31
928,41
929,2
930,21
931,28
932,27
933,26
934,17
935,13
936,31
937,29
938,24
939,15
940,81
941,30
942,11
943,27
944,1
945,26
946,24
947,19
948,0
949,26
950,1
951,34
952,21
953,65
954,28
955,5
956,27
957,1
958,24
959,35
960,2
961,17
962,44
963,13
964,28
965,26
966,14
967,14
968,33
969,12
970,32
971,96
972,1
973,29
974,21
975,58
976,11
977,105
978,10
979,32
980,15
981,85
982,8
983,21
984,9
985,70
986,7
987,21
988,57
989,21
990,12
991,93
992,2
993,16
994,9
995,58
996,4
997,13
998,8
999,81
1000,18
1001,30
1002,15
1003,2
1004,11
1005,27
1006,2
1007,23
1008,16
1009,15
1010,25
1011,4
1012,23
1013,28
1014,1
1015,84
1016,0
1017,19
1018,31
1019,60
1020,16
1021,40
1022,48
1023,8
1024,20
1025,55
1026,1
1027,25
1028,21
1029,1
1030,31
1031,1
1032,6
1033,15
1034,63
1035,1
1036,19
1037,91
1038,2
1039,20
1040,2
1041,13
1042,5
1043,36
1044,2
1045,17
1046,30
1047,61
1048,23
1049,20
1050,27
1051,22
1052,2
1053,21
1054,17
1055,53
1056,2
1057,16
1058,102
1059,2
1060,27
1061,31
1062,14
1063,2
1064,27
1065,21
1066,25
1067,26
1068,23
1069,30
1070,10
1071,31
1072,26
1073,26
1074,46
1075,2
1076,20
1077,22
1078,38
1079,2
1080,15
1081,5
1082,64
1083,30
1084,25
1085,12
1086,62
1087,33
1088,28
1089,27
1090,14
1091,22
1092,65
1093,-6
1094,26
1095,22
1096,27
1097,30
1098,20
1099,66
1100,21
1101,94
1102,11
1103,23
1104,75
1105,11
1106,5
1107,61
1108,42
1109,32
1110,30
1111,-4
1112,9
1113,20
1114,26
1115,23
1116,24
1117,23
1118,51
1119,25
1120,29
1121,15
1122,19
1123,27
1124,101
1125,23
1126,18
1127,53
1128,20
1129,24
1130,21
1131,46
1132,22
1133,67
1134,23
1135,3
1136,23
1137,25
1138,29
1139,30
1140,19
1141,3
1142,8
1143,8
1144,20
1145,20
1146,29
1147,43
1148,90
1149,19
1150,23
1151,41
1152,27
1153,27
1154,62
1155,29
1156,21
1157,104
1158,25
1159,29
1160,66
1161,28
1162,11
1163,82
1164,3
1165,75
1166,27
1167,33
1168,7
1169,28
1170,7
1171,25
1172,60
1173,26
1174,87
1175,21
1176,99
1177,18
1178,6
1179,70
1180,15
1181,32
1182,32
1183,11
1184,23
1185,78
1186,28
1187,33
1188,44
1189,19
1190,24
1191,43
1192,27
1193,28
1194,87
1195,21
1196,45
1197,23
1198,21
1199,52
1200,27
1201,29
1202,30
1203,32
1204,23
1205,91
1206,23
1207,27
1208,89
1209,20
1210,28
1211,81
1212,31
1213,70
1214,28
1215,32
1216,28
1217,19
1218,18
1219,56
1220,64
1221,29
1222,85
1223,38
1224,20
1225,39
1226,35
1227,16
1228,66
1229,10
1230,24
1231,30
1232,21
1233,21
1234,78
1235,27
1236,80
1237,17
1238,29
1239,5
1240,28
1241,12
1242,39
1243,26
1244,27
1245,77
1246,28
1247,27
1248,44
1249,38
1250,22
1251,82
1252,-4
1253,23
1254,29
1255,47
1256,24
1257,80
1258,23
1259,14
1260,55
1261,13
1262,31
1263,26
1264,38
1265,20
1266,78
1267,11
1268,32
1269,47
1270,27
1271,14
1272,24
1273,38
1274,19
1275,87
1276,18
1277,15
1278,38
1279,27
1280,18
1281,84
1282,26
1283,9
1284,53
1285,20
1286,16
1287,11
1288,20
1289,26
1290,65
1291,23
1292,11
1293,18
1294,18
1295,62
1296,22
1297,19
1298,20
1299,36
1300,25
1301,31
1302,-11
1303,14
1304,68
1305,20
1306,18
1307,46
1308,22
1309,39
1310,31
1311,18
1312,30
1313,68
1314,24
