"SC_ID","value"
1,0.067
2,0.04
3,0.024
4,0.061
5,0.025
6,0.067
7,0.03
8,0.01
9,0.092
10,0.043
11,0.024
12,0.036
13,0.045
14,0.031
15,0.042
16,0.033
17,0.09
18,0.036
19,0.04
20,0.094
21,0.042
22,0.038
23,0.04
24,0.048
25,0.021
26,0.028
27,0.081
28,0.097
29,0.039
30,0.088
31,0.014
32,0.017
33,0.054
34,0.102
35,0.054
36,0.016
37,0.084
38,0.02
39,0.005
40,0.057
41,0.097
42,0.052
43,0.018
44,0.009
45,0.091
46,0.004
47,0.085
48,0.016
49,0.02
50,0.016
51,0.07
52,0.02
53,0.032
54,0.041
55,0.067
56,0.045
57,0.037
58,0.011
59,0.07
60,0.046
61,0.037
62,0.026
63,0.5
64,0.037
65,0.013
66,0.037
67,0.037
68,0.014
69,0.085
70,0.029
71,0.004
72,0.044
73,0.078
74,0.014
75,0.028
76,0.053
77,0.071
78,0.044
79,0.038
80,0.043
81,0.058
82,0.083
83,0.025
84,0.017
85,0.088
86,0.015
87,0.023
88,0.048
89,0.041
90,0.074
91,0.061
92,0.051
93,-0.001
94,0.05
95,0.068
96,0.048
97,0.01
98,0.052
99,0.086
100,0.035
101,0.034
102,0.032
103,0.108
104,0.039
105,0.02
106,0.027
107,0.048
108,0.018
109,0.033
110,0.094
111,0.034
112,0.039
113,0.055
114,0.09
115,0.044
116,0.021
117,0.093
118,0.037
119,0.034
120,0.035
121,0.028
122,0.018
123,-0.006
124,0.021
125,0.375
126,0.039
127,0.038
128,0.027
129,0.083
130,0.072
131,0.028
132,0.056
133,0.097
134,0.028
135,0.016
136,0.135
137,0.034
138,0.018
139,0.047
140,0.087
141,0.022
142,0.06
143,0.096
144,0.071
145,0.013
146,0.014
147,0.078
148,0.035
149,0.024
150,0.05
151,0.093
152,0.036
153,0.016
154,0.092
155,0.04
156,0.016
157,0.039
158,0.092
159,0.051
160,0.093
161,-0.01
162,0.096
163,0.097
164,0.031
165,0.017
166,0.111
167,0.074
168,0.016
169,0.046
170,0.084
171,0.041
