"SC_ID","value"
1,815
2,3208
3,2728
4,146
5,1897
6,253
7,4183
8,3908
9,988
10,3138
11,2783
12,2029
13,765
14,4350
15,2972
16,1977
17,973
18,4158
19,2893
20,932
21,2883
22,2940
23,1967
24,89
25,4230
26,2810
27,356
28,787
29,3883
30,689
31,4714
32,2673
33,1008
34,838
35,3093
36,2525
37,321
38,4493
39,2722
40,1016
41,795
42,2541
43,2806
44,3472
45,821
46,2723
47,604
48,5096
49,2675
50,1931
51,494
52,4362
53,3756
54,2052
55,540
56,3089
57,2608
58,1845
59,828
60,2965
61,2733
62,3699
63,8
64,2964
65,2716
66,914
67,2436
68,2673
69,632
70,3145
71,2693
72,2057
73,858
74,4332
75,2879
76,2007
77,450
78,3738
79,2883
80,2046
81,722
82,3308
83,3294
84,2788
85,837
86,2789
87,1888
88,774
89,2249
90,361
91,789
92,3036
93,2662
94,999
95,731
96,2507
97,3546
98,2029
99,817
100,3036
101,2949
102,2409
103,53
104,3021
105,3720
106,3425
107,772
108,2723
109,1933
110,816
111,3077
112,2749
113,393
114,834
115,3142
116,2651
117,657
118,3165
119,2626
120,1918
121,982
122,4158
123,2618
124,1934
125,14
126,3714
127,2692
128,3196
129,735
130,3359
131,2752
132,995
133,752
134,2823
135,3647
136,147
137,3221
138,2484
139,1841
140,737
141,4033
142,548
143,821
144,1906
145,3563
146,1864
147,778
148,3066
149,2846
150,1849
151,526
152,2649
153,1940
154,795
155,3292
156,3460
157,3862
158,806
159,280
160,832
161,2599
162,823
163,568
164,2230
165,1949
166,282
167,1871
168,2537
169,2050
170,704
171,3380
172,2623
173,2601
174,810
175,3241
176,1976
177,816
178,986
179,693
180,3569
181,3119
182,234
183,3170
184,2671
185,950
186,828
187,3516
188,4100
189,635
190,2962
191,290
192,2678
193,503
194,2690
195,1883
196,821
197,3086
198,2647
199,641
200,2970
201,2677
202,198
203,3376
204,2888
205,1770
206,790
207,3205
208,3562
209,3841
210,164
211,3046
212,549
213,3037
214,2627
215,2035
216,587
217,3244
218,322
219,369
220,3088
221,797
222,191
223,3538
224,3044
225,1737
226,826
227,3976
228,2769
229,2439
230,777
231,3939
232,2625
233,2787
234,701
235,1861
236,2574
237,302
238,3324
239,1946
240,130
241,2639
242,2018
243,516
244,3903
245,2627
246,2055
247,14
248,1608
249,2670
250,2021
251,643
252,3515
253,3479
254,743
255,3029
256,1233
257,2629
258,162
259,3404
260,4440
261,738
262,1214
263,3456
264,243
265,895
266,569
267,780
268,3060
269,2586
270,1758
271,436
272,2132
273,509
274,358
275,1069
276,1845
277,25
278,3264
279,2654
280,2090
281,787
282,3416
283,2732
284,568
285,2192
286,2626
287,2085
288,722
289,4080
290,1253
291,104
292,3073
293,2557
294,2599
295,716
296,2748
297,2054
298,741
299,2996
300,2559
301,722
302,3080
303,3579
304,2922
305,607
306,3170
307,2608
308,961
309,144
310,2551
311,2638
312,1983
313,493
314,3335
315,2613
316,107
317,937
318,3118
319,1447
320,141
321,3701
322,3215
323,1788
324,254
325,3231
326,2637
327,1029
328,297
329,2969
330,2549
331,2039
332,586
333,3266
334,3333
335,515
336,514
337,2610
338,1928
339,161
340,3020
341,1236
342,1816
343,752
344,1310
345,2625
346,1729
347,86
348,347
349,625
350,3296
351,3549
352,1013
353,375
354,4159
355,2552
356,2234
357,182
358,2604
359,1828
360,284
361,4081
362,1635
363,174
364,2600
365,4255
366,112
367,3039
368,2576
369,1960
370,213
371,3479
372,2724
373,2201
374,351
375,3015
376,1188
377,769
378,3134
379,2577
380,4674
381,695
382,3123
383,681
384,2966
385,1241
386,3675
387,379
388,2474
389,129
390,3027
391,2592
392,1851
393,576
394,3188
395,263
396,2716
397,447
398,4499
399,627
400,2570
401,1925
402,170
403,778
404,71
405,3105
406,2939
407,796
408,731
409,745
410,2603
411,811
412,58
413,3694
414,2686
415,1632
416,264
417,2555
418,3026
419,29
420,2556
421,402
422,477
423,2541
424,213
425,565
426,3323
427,844
428,2704
429,20
430,2513
431,3139
432,141
433,2946
434,645
435,4179
436,602
437,3742
438,2533
439,21
440,2512
441,2250
442,611
443,3232
444,2624
445,2376
446,75
447,2951
448,2566
449,2582
450,146
451,2605
452,1607
453,203
454,2984
455,2471
456,442
457,3039
458,1024
459,35
460,2951
461,2565
462,2049
463,143
464,1320
465,2710
466,308
467,2573
468,4437
469,531
470,3610
471,424
472,483
473,3234
474,2564
475,1202
476,335
477,3060
478,75
479,2959
480,440
481,3214
482,2755
483,3546
484,43
485,1292
486,1823
487,235
488,3513
489,1804
490,165
491,3076
492,2548
493,2434
494,177
495,2983
496,2701
497,117
498,370
499,2966
500,367
501,1105
502,37
503,1652
504,441
505,2499
506,4532
507,144
508,720
509,138
510,242
511,2999
512,2551
513,1704
514,193
515,3005
516,1920
517,2836
518,229
519,2431
520,1656
521,68
522,750
523,431
524,1912
525,45
526,274
527,3111
528,2192
529,281
530,2461
531,2843
532,26
533,3099
534,2545
535,67
536,2994
537,718
538,165
539,4068
540,52
541,1368
542,2943
543,16
544,3134
545,2097
546,3210
547,140
548,2940
549,2589
550,108
551,1548
552,3418
553,79
554,3253
555,301
556,3723
557,113
558,2943
559,2537
560,1752
561,801
562,2445
563,581
564,3451
565,1775
566,662
567,3130
568,2541
569,178
570,2940
571,2418
572,740
573,3176
574,2430
575,2807
576,20
577,1453
578,48
579,2582
580,1758
581,36
582,3029
583,2568
584,2848
585,704
586,3166
587,2401
588,1904
589,579
590,3381
591,3141
592,1904
593,292
594,3336
595,2344
596,181
597,836
598,3044
599,2826
600,2969
601,174
602,3569
603,2491
604,1185
605,74
606,2417
607,2356
608,789
609,744
610,345
611,789
612,3335
613,1468
614,2426
615,999
616,2372
617,2342
618,544
619,656
620,852
621,751
622,2898
623,675
624,2942
625,529
626,823
627,149
628,3038
629,1333
630,1758
631,20
632,2559
633,2494
634,828
635,2376
636,67
637,2896
638,2480
639,572
640,2847
641,2381
642,1216
643,741
644,3079
645,269
646,1810
647,745
648,2912
649,2561
650,2295
651,697
652,2409
653,1857
654,54
655,1352
656,1963
657,563
658,2521
659,821
660,3088
661,2506
662,2414
663,18
664,3003
665,1156
666,2082
667,728
668,2819
669,3128
670,479
671,1096
672,2557
673,2327
674,592
675,3089
676,2730
677,2362
678,827
679,2633
