"SC_ID","value"
1,151
2,644
3,612
4,4
5,451
6,10
7,885
8,920
9,149
10,616
11,608
12,475
13,157
14,960
15,672
16,458
17,141
18,957
19,651
20,141
21,608
22,658
23,454
24,2
25,892
26,592
27,52
28,117
29,908
30,76
31,1029
32,562
33,219
34,121
35,685
36,614
37,13
38,975
39,603
40,233
41,115
42,546
43,618
44,850
45,103
46,604
47,51
48,1170
49,605
50,457
51,28
52,1021
53,836
54,485
55,34
56,688
57,579
58,440
59,147
60,628
61,615
62,844
63,0
64,683
65,648
66,206
67,527
68,651
69,57
70,722
71,596
72,482
73,109
74,946
75,669
76,464
77,23
78,858
79,645
80,483
81,144
82,745
83,751
84,669
85,134
86,599
87,450
88,162
89,485
90,55
91,141
92,686
93,590
94,230
95,146
96,526
97,792
98,476
99,122
100,681
101,681
102,585
103,1
104,678
105,848
106,782
107,161
108,599
109,446
110,110
111,699
112,613
113,60
114,136
115,711
116,605
117,64
118,718
119,593
120,443
121,225
122,935
123,579
124,459
125,0
126,851
127,604
128,738
129,83
130,755
131,607
132,233
133,98
134,652
135,897
136,4
137,708
138,526
139,441
140,87
141,924
142,89
143,116
144,386
145,820
146,444
147,135
148,691
149,623
150,447
151,33
152,609
153,461
154,109
155,713
156,796
157,886
158,106
159,39
160,129
161,571
162,118
163,42
164,472
165,461
166,11
167,391
168,544
169,483
170,72
171,733
172,594
173,620
174,164
175,703
176,456
177,134
178,236
179,79
180,791
181,727
182,8
183,709
184,595
185,230
186,157
187,743
188,963
189,66
190,648
191,11
192,602
193,42
194,592
195,447
196,129
197,687
198,590
199,67
200,648
201,590
202,9
203,724
204,673
205,423
206,132
207,680
208,829
209,933
210,6
211,685
212,48
213,667
214,605
215,483
216,55
217,728
218,48
219,16
220,691
221,103
222,7
223,809
224,724
225,419
226,153
227,902
228,634
229,599
230,97
231,879
232,601
233,677
234,73
235,403
236,562
237,11
238,750
239,460
240,5
241,579
242,477
243,45
244,888
245,592
246,483
247,1
248,354
249,590
250,478
251,62
252,802
253,822
254,125
255,662
256,93
257,609
258,5
259,708
260,1038
261,97
262,150
263,792
264,7
265,17
266,91
267,122
268,682
269,579
270,426
271,36
272,438
273,78
274,23
275,260
276,444
277,1
278,736
279,582
280,497
281,120
282,772
283,631
284,56
285,463
286,558
287,489
288,103
289,909
290,99
291,4
292,685
293,547
294,603
295,115
296,641
297,487
298,121
299,655
300,580
301,116
302,677
303,841
304,681
305,72
306,695
307,599
308,225
309,5
310,537
311,586
312,483
313,44
314,752
315,580
316,8
317,203
318,748
319,341
320,4
321,835
322,721
323,413
324,14
325,667
326,584
327,240
328,17
329,652
330,571
331,496
332,74
333,672
334,758
335,78
336,53
337,587
338,465
339,4
340,660
341,198
342,440
343,120
344,275
345,579
346,421
347,4
348,42
349,85
350,741
351,820
352,224
353,22
354,949
355,572
356,532
357,5
358,574
359,442
360,12
361,937
362,401
363,5
364,589
365,990
366,4
367,675
368,595
369,476
370,7
371,783
372,576
373,504
374,18
375,662
376,277
377,111
378,680
379,576
380,1033
381,115
382,700
383,106
384,650
385,68
386,866
387,27
388,598
389,8
390,665
391,570
392,445
393,75
394,656
395,7
396,586
397,3
398,984
399,81
400,563
401,465
402,3
403,159
404,2
405,645
406,642
407,149
408,103
409,161
410,575
411,154
412,2
413,834
414,573
415,398
416,11
417,571
418,716
419,6
420,583
421,48
422,44
423,576
424,22
425,65
426,745
427,15
428,661
429,2
430,566
431,704
432,2
433,649
434,4
435,973
436,77
437,843
438,586
439,1
440,564
441,530
442,81
443,678
444,574
445,547
446,1
447,652
