"SC_ID","value"
1,0.048
2,-0.002
3,-0.05
4,0.25
5,-0.045
6,0.1
7,-0.012
8,-0.029
9,0.085
10,0.002
11,-0.05
12,-0.044
13,0.04
14,-0.013
15,-0.08
16,-0.055
17,0.09
18,-0.005
19,-0.05
20,0.098
21,-0.022
22,-0.04
23,-0.038
24,0.5
25,-0.011
26,-0.032
27,0.078
28,0.1
29,-0.011
30,0.11
31,-0.004
32,-0.055
33,0.079
34,0.088
35,-0.018
36,-0.062
37,0.067
38,-0.015
39,-0.061
40,0.07
41,0.093
42,-0.025
43,-0.027
44,-0.005
45,0.08
46,-0.06
47,0.096
48,-0.015
49,-0.037
50,-0.044
51,0.032
52,-0.013
53,0.045
54,-0.06
55,0.05
56,-0.018
57,-0.034
58,-0.045
59,0.056
60,-0.022
61,-0.045
62,-0.031
63,0
64,-0.054
65,-0.05
66,0.025
67,0.076
68,-0.001
69,0.107
70,0.003
71,-0.063
72,-0.047
73,0.076
74,-0.006
75,-0.055
76,-0.027
77,0.08
78,-0.024
79,-0.047
80,-0.037
81,0.035
82,-0.01
83,-0.034
84,-0.036
85,0.07
86,-0.041
87,-0.045
88,0.038
89,0.074
90,0.094
91,0.051
92,-0.008
93,-0.062
94,0.053
95,0.035
96,0.035
97,-0.027
98,-0.027
99,0.077
100,-0.013
101,-0.053
102,0.035
103,0
104,-0.003
105,0.026
106,-0.027
107,0.038
108,-0.04
109,-0.052
110,0.108
111,0.003
112,-0.035
113,0.067
114,0.069
115,-0.007
116,-0.016
117,0.095
118,0.005
119,-0.062
120,-0.047
121,0.036
122,0.012
123,-0.06
124,-0.072
125,1
126,-0.028
127,-0.05
128,-0.035
129,0.101
130,-0.02
131,-0.022
132,0.052
133,0.086
134,-0.049
135,0.019
136,0.5
137,-0.022
138,-0.057
139,0.051
140,0.071
141,-0.006
142,0.107
143,0.044
144,0.043
145,0.019
146,-0.043
147,0.03
148,-0.014
149,0.05
150,0.053
151,0.086
152,-0.006
153,-0.051
154,0.077
155,-0.023
156,0.03
157,-0.018
158,0.101
159,0.079
160,0.065
161,-0.058
162,0.052
163,0.095
164,0.067
165,-0.053
166,0.083
167,0.03
168,-0.055
169,-0.045
170,0.085
171,-0.02
172,-0.016
173,-0.067
174,0.043
175,-0.026
176,-0.026
177,0.046
178,0.056
179,0.11
180,0.007
181,-0.053
182,0.111
183,-0.012
184,-0.062
185,0.095
186,0.038
187,-0.02
188,-0.034
189,0.113
190,-0.012
191,0.083
192,-0.045
193,0.095
194,-0.039
195,-0.054
196,0.048
197,-0.003
198,-0.059
199,0.094
200,-0.009
201,-0.033
202,0.111
203,-0.02
204,-0.043
205,-0.057
206,0.031
207,0.035
208,-0.002
209,-0.062
210,0.143
211,-0.021
212,0.085
213,0.004
214,-0.002
215,-0.043
216,0.074
217,0.044
218,0.163
219,0.059
220,-0.022
221,0.059
222,0.286
223,-0.029
224,-0.041
225,-0.043
226,0.046
227,-0.025
228,-0.043
229,0.036
230,0.042
231,0.005
232,-0.003
233,0.024
234,0.054
235,0.044
236,-0.069
237,0.25
238,-0.039
239,-0.041
240,0.2
241,-0.027
242,-0.038
243,0.091
244,-0.027
245,-0.064
246,-0.053
247,0
248,0.061
249,-0.038
250,-0.038
251,0.063
252,-0.034
253,-0.06
254,0.049
255,-0.01
256,0.078
257,-0.059
258,0.2
259,-0.009
260,-0.03
261,0.064
262,0.043
263,-0.012
264,0.125
265,0.136
266,0.181
267,0.042
268,-0.018
269,-0.052
270,-0.059
271,0.054
272,0.064
273,0.188
274,0.087
275,0.077
276,-0.068
277,1
278,-0.033
279,-0.041
280,-0.05
281,0.051
282,-0.038
283,-0.051
284,0.091
285,0.034
286,-0.041
287,-0.059
288,0.059
289,0.004
290,0.074
291,0.25
292,-0.012
293,-0.058
294,-0.036
295,0.061
296,-0.053
297,-0.06
298,0.067
299,-0.016
300,-0.007
301,0.069
302,-0.035
303,-0.011
304,-0.035
305,0.057
306,-0.033
307,-0.003
308,0.068
309,0.2
310,0.038
311,-0.063
312,-0.052
313,0.095
314,-0.036
315,-0.064
316,0.111
317,0.077
318,-0.058
319,0.07
320,0.25
321,-0.036
322,0.054
323,0.029
324,0
325,-0.028
326,-0.06
327,0.091
328,-0.053
329,-0.023
330,-0.056
331,-0.047
332,0.027
333,-0.043
334,0.044
335,0.186
336,0.038
337,-0.055
338,-0.047
339,0.25
