"SC_ID","value"
1,0.1
2,0.014
3,0.022
4,0
5,0.048
6,0
7,0.008
8,0.018
9,0.2
10,0.02
11,-0.013
12,-0.04
13,0.222
14,0.009
15,0.039
16,-0.077
17,0.167
18,0.022
19,0.037
20,0.128
21,0.016
22,0.072
23,-0.089
24,0
25,0.012
26,-0.004
27,0.333
28,0.2
29,0.028
30,0.227
31,0.008
32,-0.019
33,0.07
34,0.194
35,0.009
36,0.072
37,0
38,0.016
39,-0.027
40,0.071
41,0.231
42,0.026
43,-0.013
44,0.016
45,0.333
46,-0.03
47,0.111
48,0.03
49,0.008
50,-0.091
51,0
52,0.022
53,0.04
54,-0.01
55,0.167
56,0.014
57,0.014
58,0
59,0.308
60,0.027
61,0.025
62,0.006
63,0
64,-0.004
65,0.049
66,0.75
67,0.052
68,0.036
69,0.143
70,0.001
71,-0.031
72,-0.02
73,0.25
74,0.009
75,-0.002
76,-0.051
77,0
78,0.025
79,0.038
80,-0.052
81,0
82,0.012
83,0.039
84,0.036
85,0.119
86,-0.032
87,0.05
88,0.4
89,0.06
90,0
91,0.167
92,0.02
93,-0.033
94,0.079
95,0.111
96,0.039
97,0.019
98,-0.047
99,0.139
100,-0.007
101,-0.007
102,-0.034
103,0
104,0.006
105,0.052
106,0.038
107,0.4
108,0
109,-0.093
110,0.117
111,-0.001
112,0.02
113,0
114,0.125
115,0.037
116,0.024
117,0.037
118,0.02
119,0.039
120,-0.038
121,1
122,0.025
123,-0.065
124,-0.038
125,0
126,0.027
127,0.021
128,0.026
129,0.061
130,0.008
131,-0.003
132,0.075
133,0.179
134,0.037
135,0.003
136,0
137,0.031
138,-0.014
139,-0.016
140,0.156
141,0.036
142,0.2
143,0.171
144,0.044
145,0.045
146,0.029
147,0.375
148,-0.004
149,0.074
150,0.013
151,0.4
152,0.032
153,-0.036
154,0.143
155,0.03
156,0.052
157,-0.003
158,0.161
159,0
160,0.182
161,-0.084
162,0.182
163,0.048
164,0.026
165,-0.034
166,0
167,0.084
168,-0.004
169,-0.056
170,0.069
171,0.034
172,0.031
173,0.091
174,0.4
175,0.035
176,-0.068
177,0.1
178,0.109
179,0.116
180,0.027
181,0.009
182,0
183,0.029
184,-0.06
185,0.14
186,0.364
187,0.021
188,0.016
189,0.171
190,-0.005
191,0.167
192,0.023
193,0.057
194,-0.009
195,-0.073
196,0.111
197,0.03
198,-0.056
199,0.2
200,0.006
201,0.014
202,0
203,0.022
204,0.006
205,-0.071
206,0
207,0.034
208,0.016
209,0.031
210,0
211,0.006
212,0.167
213,0.023
214,-0.007
215,-0.06
216,0.227
217,0.041
218,0.333
219,0.037
220,0.017
221,0.15
222,0
223,0.043
224,0.025
225,0
226,0.188
227,0.053
228,0.051
229,-0.015
230,0.184
