"SC_ID","value"
1,3
2,3
3,3
4,2
5,1
6,2
7,2
8,1
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,2
22,2
23,2
24,4
25,5
26,4
27,3
28,3
29,2
30,4
31,2
32,3
33,3
34,4
35,4
36,4
37,3
38,4
39,4
40,4
41,5
42,5
43,5
44,4
45,3
46,3
47,3
48,5
49,5
50,4
51,2
52,3
53,2
54,1
55,2
56,2
57,1
58,1
59,1
60,1
61,2
62,3
63,3
64,3
65,4
66,3
67,3
68,3
69,3
70,4
71,3
72,4
73,5
74,6
75,6
76,2
77,1
78,1
79,1
80,3
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,3
89,2
90,2
91,2
92,2
93,3
94,3
95,3
96,3
97,2
98,3
99,5
100,2
101,2
102,3
103,3
104,2
105,2
106,3
107,3
108,6
109,5
110,4
111,4
112,3
113,3
114,4
115,4
116,4
117,2
118,4
119,2
120,4
121,4
122,4
123,4
124,3
