"SC_ID","value"
1,0.182
2,-0.043
3,-0.157
4,0
5,-0.211
6,0
7,-0.058
8,-0.054
9,0.273
10,-0.047
11,-0.168
12,-0.134
13,0.167
14,-0.055
15,-0.09
16,-0.348
17,0.182
18,-0.073
19,-0.08
20,0.167
21,-0.041
22,-0.096
23,-0.283
24,0
25,-0.046
26,-0.197
27,0.25
28,0.188
29,-0.078
30,0.235
31,-0.047
32,-0.184
33,0.059
34,0.278
35,-0.072
36,-0.217
37,0
38,-0.042
39,-0.181
40,0.058
41,0.235
42,-0.033
43,-0.172
44,-0.028
45,0.286
46,-0.176
47,0.143
48,-0.042
49,-0.137
50,-0.357
51,0
52,-0.064
53,0.017
54,-0.108
55,0.333
56,-0.081
57,-0.152
58,-0.375
59,0.25
60,-0.025
61,-0.108
62,-0.057
63,0
64,-0.098
65,-0.021
66,0.111
67,0.016
68,-0.014
69,0.125
70,-0.053
71,-0.191
72,-0.11
73,0.25
74,-0.028
75,-0.078
76,-0.051
77,0
78,-0.047
79,-0.104
80,-0.132
81,0.143
82,-0.052
83,-0.101
84,-0.131
85,0.148
86,-0.185
87,-0.167
88,0.222
89,0.022
90,0.2
91,0.154
92,-0.089
93,-0.217
94,0.044
95,0.222
96,-0.023
97,-0.099
98,-0.081
99,0.13
100,-0.07
101,-0.115
102,0.007
103,0
104,-0.065
105,-0.007
106,-0.048
107,0.286
108,-0.179
109,-0.357
110,0.128
111,-0.08
112,-0.085
113,0
114,0.16
115,-0.078
116,-0.132
117,0.075
118,-0.054
119,-0.129
120,-0.316
121,0.6
122,-0.023
123,-0.286
124,-0.333
125,0
126,-0.029
127,-0.111
128,-0.13
129,0.071
130,-0.016
131,-0.146
132,0.078
133,0.176
134,-0.071
135,-0.007
136,0
137,-0.092
138,-0.207
139,0.037
140,0.167
141,-0.046
142,0.1
143,0.12
144,-0.031
145,-0.011
146,-0.316
147,0.25
148,-0.051
149,0.036
150,0.034
151,0
152,-0.157
153,-0.347
154,0.143
155,-0.084
156,0.011
157,-0.059
158,0.174
159,0
160,0.143
161,-0.308
162,0.143
163,0.065
164,0.018
165,-0.327
166,0
167,0.008
168,-0.207
169,-0.268
170,0.068
171,-0.071
172,-0.119
173,-0.214
174,0.3
175,-0.088
176,-0.184
177,0.167
178,0.089
179,0.118
180,-0.026
181,-0.108
182,0
183,-0.076
184,-0.261
185,0.157
186,0.3
187,-0.087
188,-0.098
189,0.172
190,-0.058
191,0.25
192,-0.081
