"SC_ID","value"
1,0.281
2,0.03
3,-0.026
4,0.214
5,-0.152
6,0.143
7,0.031
8,0
9,0.369
10,0.036
11,-0.027
12,-0.023
13,0.227
14,0.027
15,-0.005
16,-0.021
17,0.244
18,0.026
19,-0.004
20,0.255
21,0.039
22,-0.004
23,-0.014
24,0.25
25,0.026
26,-0.007
27,0.278
28,0.269
29,0.024
30,0.414
31,0.014
32,-0.035
33,0.085
34,0.325
35,0.029
36,-0.017
37,0.169
38,0.026
39,-0.057
40,0.07
41,0.295
42,0.043
43,-0.009
44,0.008
45,0.457
46,-0.064
47,0.246
48,0.014
49,-0.044
50,-0.07
51,0.089
52,0.017
53,0.035
54,-0.036
55,0.327
56,0.03
57,0.01
58,-0.131
59,0.386
60,0.038
61,-0.011
62,0.011
63,0
64,-0.023
65,-0.04
66,0.886
67,0.05
68,0.005
69,0.285
70,0.001
71,-0.055
72,-0.027
73,0.421
74,0.021
75,0.001
76,-0.02
77,0.158
78,-0.009
79,-0.004
80,-0.042
81,0.31
82,0.026
83,-0.006
84,-0.029
85,0.202
86,-0.033
87,-0.158
88,0.395
89,0.059
90,0.26
91,0.287
92,-0.007
93,-0.058
94,0.075
95,0.263
96,0.024
97,-0.009
98,-0.033
99,0.197
100,-0.005
101,-0.028
102,0.042
103,0
104,-0.014
105,0.039
106,0.019
107,0.417
108,-0.041
109,-0.013
110,0.166
111,-0.007
112,-0.011
113,0.167
114,0.194
115,-0.012
116,-0.05
117,0.118
118,0.013
119,-0.024
120,-0.03
121,1.151
122,0.019
123,-0.056
124,-0.088
125,0
126,-0.012
127,-0.025
128,-0.009
129,0.109
130,0.021
131,-0.019
132,0.078
133,0.255
134,0.003
135,0.018
136,0.167
137,0.008
138,-0.016
139,0.069
140,0.245
141,-0.003
142,0.12
143,0.247
144,0.05
145,0.037
146,-0.127
147,0.56
148,-0.004
149,0.073
150,0.067
151,0.442
152,-0.024
153,-0.066
154,0.193
155,0.014
156,0.056
157,0.015
158,0.199
159,0.189
160,0.255
161,-0.065
162,0.259
163,0.121
164,0.065
165,-0.063
166,0.154
167,0.073
168,-0.016
169,-0.04
170,0.125
171,0.015
172,-0.021
173,-0.026
174,0.495
175,0.009
176,-0.017
177,0.212
178,0.108
179,0.141
180,0.017
181,-0.026
182,0.194
183,-0.003
184,-0.06
185,0.167
186,0.422
187,0.003
188,-0.004
189,0.223
190,-0.007
191,0.228
192,0.002
193,0.14
194,-0.047
195,-0.078
196,0.309
197,-0.016
198,-0.054
199,0.276
200,-0.011
201,-0.027
202,0.308
203,0.013
204,-0.007
205,-0.176
206,0.235
207,0.026
208,-0.006
209,-0.014
210,0.2
211,0.011
212,0.26
213,-0.017
214,-0.001
215,-0.042
216,0.278
217,0.054
218,0.151
219,0.133
220,0.02
221,0.246
222,0.286
223,-0.005
224,-0.006
225,-0.189
226,0.248
227,0.014
228,0
229,0.05
230,0.252
231,0.016
232,-0.01
233,0.044
234,0.284
235,0.118
236,-0.045
237,0.141
238,0.015
239,-0.058
240,0.167
241,-0.009
242,-0.052
243,0.247
244,0.005
245,-0.003
246,-0.045
247,0
248,0.151
249,-0.04
250,-0.052
251,0.284
252,-0.002
253,0.004
254,0.315
255,-0.016
256,0.114
257,-0.017
258,0.167
259,-0.001
260,-0.001
261,0.312
262,0.087
263,0.015
264,0.156
265,0.07
266,0.173
267,0.295
268,0.019
269,0.003
270,-0.162
271,0.243
272,0.052
273,0.202
274,0.089
275,0.283
276,-0.17
277,0
278,0.035
279,-0.039
280,-0.036
281,0.383
282,0.016
283,0.006
284,0.305
285,0.08
286,-0.031
287,-0.047
288,0.522
289,0.026
290,0.085
291,0.143
292,0.025
293,-0.039
294,-0.003
295,0.547
296,0.01
297,-0.06
298,0.367
299,-0.028
300,-0.004
301,0.413
302,-0.029
303,0.01
304,-0.007
305,0.329
306,-0.021
307,0.005
308,0.101
309,0.25
310,0.055
311,-0.063
312,-0.041
313,0.566
314,0.03
315,-0.053
316,0.308
317,0.453
318,-0.013
319,0.133
320,0.5
321,0
322,0.048
323,0.094
324,0.176
325,-0.017
326,-0.062
327,0.193
328,0.11
329,-0.019
330,-0.001
331,-0.036
332,0.464
333,-0.032
334,0.046
335,0.204
336,0.573
337,0.008
338,-0.045
339,0.296
340,-0.029
341,0.195
342,-0.107
343,0.343
344,0.19
345,-0.028
346,-0.165
347,1.2
348,0.31
349,0.302
350,0.039
351,-0.03
352,0.104
353,0.235
354,0.004
355,0.001
356,-0.045
357,0.308
358,-0.037
359,-0.157
360,0.263
361,0.023
362,-0.143
363,0.109
364,0.009
365,-0.008
