"SC_ID","value"
1,151
2,165
3,171
4,181
5,158
6,194
7,171
8,188
9,188
10,188
11,165
12,151
13,137
14,142
15,140
16,145
17,137
18,131
19,136
20,124
21,126
22,128
23,128
24,129
25,119
26,114
27,121
28,121
29,124
30,112
31,129
32,119
33,118
34,108
35,126
36,121
37,123
38,122
39,117
40,111
41,122
42,128
43,149
44,126
45,127
46,122
47,120
48,158
49,153
50,134
51,130
52,126
53,116
54,118
55,115
56,120
57,119
58,117
59,122
60,118
61,122
62,117
63,127
64,120
65,124
66,120
67,141
68,143
69,143
70,136
71,136
72,134
73,171
74,173
75,245
76,126
77,131
78,168
79,168
80,168
81,152
82,165
83,175
84,148
85,167
86,129
87,127
88,139
89,127
90,129
91,125
92,125
93,126
94,126
95,141
96,144
97,123
98,132
99,160
100,171
101,172
102,162
103,164
104,122
105,126
106,117
107,114
108,150
109,139
110,173
111,119
112,112
113,116
114,112
115,140
116,135
117,133
118,158
119,127
120,129
121,126
122,128
123,136
124,143
