"SC_ID","value"
1,59
2,67
3,-48
4,2
5,-81
6,8
7,89
8,45
9,119
10,96
11,-34
12,-52
13,62
14,76
15,-29
16,-69
17,82
18,27
19,-16
20,69
21,113
22,-20
23,-56
24,1
25,124
26,-16
27,11
28,65
29,8
30,99
31,74
32,-44
33,81
34,75
35,-5
36,-90
37,17
38,129
39,-54
40,63
41,65
42,100
43,-22
44,33
45,140
46,-62
47,46
48,67
49,-50
50,-88
51,21
52,32
53,144
54,-55
55,61
56,-1
57,-4
58,-87
59,101
60,69
61,-44
62,36
63,0
64,-87
65,-71
66,91
67,117
68,63
69,63
70,4
71,-50
72,-62
73,137
74,68
75,-54
76,-58
77,29
78,-12
79,-20
80,-69
81,46
82,17
83,-54
84,-48
85,86
86,-59
87,-91
88,73
89,118
90,11
91,94
92,-5
93,-57
94,59
95,50
96,99
97,-65
98,-53
99,63
100,-4
101,-99
102,92
103,0
104,-28
105,160
106,63
107,75
108,-45
109,-55
110,60
111,-3
112,-24
113,10
114,73
115,14
116,-28
117,40
118,15
119,-44
120,-55
121,151
122,48
123,-51
124,-97
125,0
126,-2
127,-50
128,-2
129,46
130,18
131,-29
132,57
133,61
134,-15
135,78
136,3
137,3
138,-19
139,96
140,55
141,3
142,26
143,91
144,94
145,139
146,-88
147,101
148,-5
149,165
150,117
151,67
152,6
153,-93
154,63
155,10
156,146
157,68
158,78
159,5
160,84
161,-61
162,84
163,38
164,79
165,-88
166,15
167,100
168,-29
169,-76
170,43
171,35
172,-24
173,-82
174,122
175,4
176,-49
177,47
178,80
179,43
180,42
181,-85
182,10
183,5
184,-53
185,108
186,118
187,17
188,20
189,65
190,-34
191,19
192,-27
193,32
194,-43
195,-88
196,68
197,-9
198,-60
199,53
200,-39
201,-32
202,4
203,36
204,-56
205,-98
206,72
207,112
208,18
209,-84
210,2
211,-12
212,43
213,-32
214,-11
215,-72
216,48
217,101
218,18
219,22
220,-20
221,75
222,4
223,2
224,-60
225,-95
226,90
227,23
228,-15
229,116
230,72
231,68
232,2
233,93
234,70
235,156
236,-59
237,15
238,7
239,-103
240,1
241,-18
242,-68
243,38
244,3
245,-52
246,-94
247,0
248,164
249,-38
250,-70
251,65
252,-12
253,-49
254,91
255,-39
256,27
257,-80
258,2
259,30
260,40
261,80
262,29
263,89
264,14
265,18
266,38
267,66
268,-26
269,-41
270,-98
271,33
272,46
273,32
274,21
275,126
276,-105
277,0
278,19
279,-37
280,-86
281,93
282,11
283,-26
284,54
285,145
286,-59
287,-96
288,89
289,130
290,33
291,1
292,-17
293,-47
294,-56
295,130
296,-26
297,-104
298,79
299,-38
300,-13
301,100
302,-41
303,45
304,-64
305,55
306,-25
307,4
308,71
309,9
310,140
311,-69
312,-91
313,56
314,19
315,-58
316,3
317,113
318,-77
319,122
320,8
321,-8
322,102
323,136
324,16
325,24
326,-59
327,128
328,17
329,-53
330,-46
331,-82
332,61
333,1
334,131
335,38
336,72
337,-39
338,-102
339,10
340,-27
341,120
342,-89
343,69
344,177
345,-33
346,-89
347,3
348,28
349,57
350,30
351,-63
352,81
353,31
354,26
355,-31
356,-107
357,11
358,-50
359,-100
360,23
361,79
362,-82
363,15
364,-42
365,-35
366,10
367,-41
368,19
369,-98
370,13
371,-6
372,-47
373,163
374,31
375,-50
376,112
377,131
378,-34
379,-43
380,166
381,58
382,15
383,61
384,-53
385,32
386,4
387,36
388,-100
389,6
390,-63
391,-26
392,-99
393,45
394,-10
395,11
396,165
397,15
398,146
399,57
400,-27
401,-93
402,8
403,94
404,0
405,0
406,67
407,53
408,77
409,105
410,-38
411,51
412,0
413,5
414,-57
415,-84
416,13
417,-34
418,11
419,0
420,8
421,22
422,41
423,-19
424,11
425,51
426,14
427,28
428,-106
429,0
430,-11
431,203
432,2
433,-73
434,20
435,-12
436,89
437,-5
438,11
439,0
440,-17
441,-89
442,95
443,20
444,-60
445,212
446,0
447,-77
448,-17
449,-107
450,5
451,-59
452,-72
453,11
454,-55
455,209
456,41
457,141
458,77
459,0
460,-73
461,-25
462,-62
463,5
464,60
465,-86
466,17
467,-64
468,167
469,52
470,29
471,14
472,30
473,23
474,-73
475,136
476,16
477,13
478,1
479,-51
480,21
481,-51
482,79
483,-3
484,1
485,59
486,-99
487,12
488,-8
489,-98
490,3
491,-3
492,-51
493,-95
494,3
495,-35
496,60
497,2
498,25
499,-40
500,15
501,101
502,1
503,-60
504,35
505,18
506,185
507,3
508,100
509,4
510,7
511,-5
512,-28
513,-70
514,4
515,-4
516,32
517,8
518,13
519,-24
520,-67
521,0
522,111
523,18
524,-100
525,0
526,11
527,-63
528,-73
529,8
530,152
531,218
532,0
533,-57
534,-60
535,0
536,-29
537,44
538,4
539,82
540,0
541,58
542,-85
543,0
544,-1
545,32
546,26
547,1
548,-29
549,-63
550,0
551,34
552,179
553,0
554,-2
555,3
556,57
557,1
558,-24
559,-31
560,-112
561,83
562,-24
563,94
564,37
565,-106
566,99
567,2
568,-71
569,12
570,-7
571,-12
572,101
573,4
574,-18
575,21
576,0
577,111
578,0
579,-64
580,-94
581,1
582,-46
583,-58
584,-67
585,91
586,-2
587,-9
588,-100
589,67
590,-21
591,118
592,195
593,2
594,-16
595,-19
596,7
597,55
598,-24
599,14
600,-71
601,6
602,69
603,71
604,123
605,5
606,-23
607,8
608,33
609,127
610,12
611,210
612,11
613,34
614,0
615,68
616,158
617,-20
618,29
619,35
620,63
621,126
622,-17
623,42
624,-24
625,28
626,52
627,10
628,-48
629,41
630,206
631,1
632,56
633,-47
634,101
635,0
636,1
637,-38
638,-38
639,37
640,-17
641,-10
642,105
643,159
644,-15
645,1
646,-107
647,71
648,-31
649,-53
650,26
651,116
652,-15
653,-101
654,1
655,24
656,-96
657,82
658,38
659,90
660,-2
661,-56
662,111
663,0
664,-18
665,56
666,-92
667,68
668,95
669,-75
670,34
671,174
672,-67
673,44
674,38
675,-22
676,98
677,146
678,93
679,183
680,-61
681,12
682,0
683,-33
684,-86
685,0
686,-6
687,0
688,-3
689,15
690,190
691,29
692,134
693,120
694,17
695,-30
696,36
697,71
698,10
699,-25
700,52
701,-62
702,0
