"SC_ID","et"
1,784
2,821
3,912
4,908
5,812
6,977
7,837
8,940
9,940
10,940
11,812
12,741
13,676
14,724
15,721
16,747
17,676
18,635
19,684
20,594
21,616
22,622
23,607
24,669
25,642
26,601
27,583
28,583
29,560
30,590
31,602
32,619
33,609
34,569
35,645
36,625
37,613
38,627
39,606
40,575
41,630
42,653
43,775
44,625
45,615
46,594
47,584
48,828
49,776
50,667
51,629
52,612
53,514
54,533
55,505
56,559
57,547
58,561
59,577
60,578
61,592
62,579
63,603
64,574
65,596
66,574
67,648
68,671
69,669
70,618
71,634
72,636
73,815
74,861
75,1219
76,582
77,611
78,874
79,867
80,881
81,778
82,850
83,885
84,759
85,854
86,644
87,644
88,682
89,597
90,602
91,575
92,583
93,599
94,588
95,655
96,645
97,583
98,608
99,839
100,874
101,866
102,861
103,877
104,583
105,592
106,592
107,581
108,787
109,721
110,828
111,591
112,583
113,604
114,584
115,674
116,666
117,620
118,765
119,597
120,601
121,596
122,603
123,618
124,646
