"SC_ID","pr"
1,1070
2,1121
3,1252
4,1243
5,1121
6,1358
7,1152
8,1301
9,1301
10,1301
11,1115
12,1013
13,925
14,988
15,985
16,1025
17,925
18,879
19,938
20,807
21,844
22,851
23,833
24,890
25,824
26,789
27,795
28,795
29,765
30,761
31,819
32,813
33,794
34,732
35,846
36,821
37,810
38,824
39,796
40,744
41,820
42,860
43,1035
44,828
45,834
46,801
47,784
48,1109
49,1051
50,901
51,854
52,826
53,688
54,713
55,676
56,750
57,734
58,758
59,774
60,780
61,798
62,775
63,818
64,776
65,793
66,770
67,883
68,906
69,907
70,836
71,868
72,856
73,1119
74,1180
75,1679
76,794
77,830
78,1202
79,1194
80,1210
81,1071
82,1165
83,1222
84,1040
85,1180
86,881
87,881
88,932
89,815
90,819
91,785
92,797
93,813
94,795
95,891
96,873
97,796
98,817
99,1124
100,1199
101,1185
102,1187
103,1209
104,796
105,809
106,781
107,767
108,1049
109,957
110,1133
111,776
112,760
113,792
114,761
115,905
116,902
117,848
118,1037
119,815
120,806
121,800
122,810
123,836
124,864
