"SC_ID","et"
1,754
2,792
3,886
4,870
5,790
6,954
7,812
8,917
9,917
10,917
11,784
12,712
13,651
14,697
15,696
16,724
17,651
18,621
19,662
20,571
21,598
22,603
23,587
24,623
25,570
26,545
27,561
28,561
29,537
30,527
31,575
32,567
33,555
34,509
35,591
36,570
37,570
38,573
39,552
40,514
41,564
42,591
43,717
44,577
45,584
46,560
47,549
48,770
49,735
50,629
51,594
52,575
53,481
54,499
55,472
56,526
57,514
58,532
59,544
60,545
61,559
62,535
63,570
64,537
65,547
66,531
67,618
68,634
69,636
70,581
71,604
72,592
73,769
74,814
75,1163
76,559
77,588
78,851
79,844
80,857
81,756
82,827
83,863
84,733
85,832
86,626
87,622
88,650
89,572
90,576
91,554
92,561
93,566
94,551
95,624
96,607
97,561
98,569
99,779
100,851
101,836
102,839
103,854
104,560
105,568
106,544
107,535
108,728
109,661
110,786
111,543
112,527
113,553
114,530
115,623
116,620
117,587
118,722
119,572
120,559
121,553
122,560
123,581
124,604
