"SC_ID","value"
1,31
2,17
3,26
4,9
5,21
6,13
7,16
8,19
9,19
10,19
11,14
12,12
13,13
14,16
15,18
16,21
17,13
18,17
19,15
20,15
21,18
22,17
23,15
24,26
25,27
26,22
27,16
28,16
29,12
30,26
31,11
32,24
33,23
34,27
35,21
36,20
37,19
38,21
39,21
40,23
41,23
42,25
43,27
44,28
45,17
46,20
47,22
48,30
49,31
50,26
51,18
52,18
53,10
54,9
55,9
56,11
57,10
58,15
59,13
60,14
61,15
62,16
63,19
64,19
65,22
66,25
67,27
68,32
69,32
70,29
71,19
72,28
73,24
74,28
75,28
76,13
77,18
78,25
79,24
80,24
81,24
82,27
83,21
84,17
85,20
86,19
87,19
88,22
89,13
90,12
91,14
92,14
93,19
94,23
95,29
96,31
97,15
98,29
99,31
100,24
101,16
102,31
103,33
104,15
105,13
106,20
107,22
108,28
109,27
110,28
111,25
112,23
113,25
114,24
115,21
116,23
117,19
118,26
119,13
120,29
121,27
122,28
123,29
124,34
