"SC_ID","value"
1,167
2,199
3,357
4,54
5,348
6,87
7,168
8,264
9,154
10,152
11,368
12,314
13,139
14,191
15,310
16,330
17,165
18,259
19,326
20,158
21,151
22,329
23,326
24,30
25,154
26,377
27,124
28,147
29,301
30,124
31,185
32,387
33,102
34,155
35,323
36,279
37,103
38,164
39,371
40,118
41,153
42,151
43,372
44,279
45,131
46,369
47,146
48,190
49,360
50,338
51,133
52,250
53,184
54,305
55,147
56,302
57,378
58,340
59,155
60,143
61,346
62,219
63,1
64,335
65,333
66,166
67,173
68,231
69,145
70,274
71,375
72,303
73,136
74,149
75,294
76,331
77,131
78,331
79,328
80,320
81,178
82,341
83,342
84,337
85,122
86,385
87,345
88,158
89,178
90,126
91,171
92,358
93,374
94,110
95,161
96,145
97,335
98,338
99,143
100,312
101,368
102,266
103,17
104,351
105,249
106,232
107,169
108,369
109,324
110,111
111,306
112,339
113,137
114,129
115,327
116,363
117,103
118,270
119,351
120,324
121,151
122,167
123,376
124,332
125,2
126,331
127,344
128,238
129,101
130,271
131,369
132,110
133,152
134,311
135,247
136,50
137,329
138,381
139,253
140,142
141,235
142,131
143,120
144,198
145,243
146,337
147,169
148,298
149,181
150,175
151,141
152,361
153,332
154,141
155,332
156,276
157,257
158,103
159,109
160,148
161,378
162,148
163,100
164,169
165,333
166,101
167,176
168,378
169,317
170,107
171,332
172,360
173,305
174,138
175,332
176,334
177,171
178,102
179,105
180,184
181,357
182,81
183,363
184,372
185,98
186,139
187,368
188,293
189,96
190,350
191,82
192,349
193,84
194,371
195,334
196,188
197,358
198,374
199,146
200,352
201,367
202,70
203,366
204,296
205,337
206,125
207,159
208,346
209,265
210,54
211,294
212,145
213,356
214,361
215,290
216,134
217,234
218,78
219,81
220,295
221,146
222,65
223,358
224,357
225,339
226,124
227,241
228,333
229,214
230,148
231,176
232,364
233,259
234,135
235,176
236,376
237,97
238,303
239,325
240,41
241,367
242,330
243,136
244,267
245,342
246,289
247,2
248,144
249,366
250,334
251,131
252,355
253,269
254,121
255,357
256,195
257,320
258,63
259,369
260,220
261,137
262,186
263,245
264,65
265,181
266,139
267,152
268,318
269,352
270,334
271,111
272,165
273,138
274,69
275,165
276,339
277,3
278,280
279,365
280,330
281,161
282,350
283,344
284,139
285,138
286,375
287,273
288,142
289,181
290,195
291,31
292,277
293,378
294,298
295,157
296,313
297,308
298,134
299,356
300,366
301,146
302,360
303,301
304,295
305,146
306,364
307,361
308,116
309,40
310,138
311,367
312,320
313,130
314,349
315,372
316,25
317,207
318,339
319,206
320,45
321,246
322,182
323,161
324,81
325,370
326,366
327,107
328,92
329,351
330,341
331,321
332,128
333,372
334,261
335,120
336,123
337,351
338,315
339,52
340,356
341,170
342,335
343,164
344,115
345,362
346,332
347,21
348,103
349,130
350,348
351,369
352,124
353,107
354,195
355,349
356,309
357,61
358,365
359,304
360,96
361,172
362,347
363,39
364,351
365,296
366,23
367,333
368,322
369,311
370,78
371,367
372,376
373,209
374,111
375,359
376,169
377,164
378,368
379,347
380,204
381,136
382,296
383,169
384,356
385,231
386,278
387,122
388,322
389,37
390,365
391,363
392,300
393,126
394,371
395,97
396,137
397,185
398,199
399,156
400,364
401,309
402,62
403,191
404,21
405,372
406,236
407,93
408,115
409,193
410,362
411,131
412,16
413,268
414,373
415,344
416,94
417,346
418,262
419,4
420,365
421,101
422,114
423,364
424,71
425,166
426,337
427,214
428,328
429,2
430,352
431,215
432,59
433,357
434,164
435,287
436,177
437,301
438,325
439,3
440,351
441,295
442,133
443,373
444,365
445,190
446,24
447,355
448,364
449,314
450,55
451,371
452,310
453,75
454,368
455,199
456,111
457,156
458,121
459,7
460,355
461,358
462,330
463,44
464,203
465,298
466,95
467,368
468,176
469,132
470,339
471,101
472,146
473,339
474,378
475,123
476,100
477,306
478,22
479,356
480,153
481,377
482,264
483,244
484,10
485,294
486,322
487,83
488,305
489,325
490,59
491,372
492,361
493,292
494,65
495,371
496,257
497,44
498,108
499,361
500,180
501,101
502,8
503,332
504,129
505,348
506,179
507,55
508,188
509,52
510,88
511,369
512,357
513,334
514,70
515,371
516,245
517,243
518,81
519,343
520,346
521,18
522,172
523,172
524,329
525,9
526,92
527,377
528,326
529,96
530,165
531,197
532,4
533,378
534,366
535,19
536,280
537,84
538,59
539,180
540,10
541,273
542,309
543,1
544,372
545,264
546,191
547,41
548,357
549,366
550,28
551,232
552,250
553,18
554,320
555,160
556,197
557,32
558,355
559,355
560,334
561,157
562,352
563,134
564,337
565,332
566,134
567,372
568,372
569,55
570,371
571,362
572,110
573,280
574,357
575,274
576,3
577,162
578,10
579,370
580,317
581,6
582,378
583,364
584,315
585,144
586,377
587,360
588,309
589,116
590,363
591,252
592,139
593,93
594,361
595,353
596,63
597,157
598,329
599,291
600,314
601,58
602,198
603,228
604,112
605,14
606,352
607,278
608,151
609,161
610,89
611,144
612,315
613,226
614,275
615,167
616,178
617,352
618,129
619,203
620,127
621,138
622,368
623,137
624,357
625,80
626,133
627,44
628,381
629,273
630,149
631,4
632,281
633,203
634,118
635,346
636,18
637,359
638,350
639,96
640,367
641,355
642,134
643,159
644,380
645,159
646,306
647,157
648,359
649,367
650,193
651,168
652,320
653,308
654,11
655,235
656,290
657,134
658,284
659,163
660,377
661,361
662,151
663,3
664,328
665,241
666,268
667,97
668,280
669,328
670,136
671,119
672,365
673,205
674,101
675,294
676,267
677,143
678,132
679,189
680,368
681,64
682,2
683,381
684,320
685,7
686,331
687,7
688,371
689,184
690,111
691,140
692,189
693,145
694,68
695,381
696,218
697,111
698,86
699,377
700,280
701,251
702,17
703,319
704,368
705,324
706,152
707,10
708,368
709,318
710,147
711,354
712,221
713,319
714,129
715,380
716,159
717,10
718,375
719,251
720,163
721,295
722,2
723,317
724,366
725,96
726,1
727,367
728,149
729,373
730,183
731,254
732,163
733,192
734,366
735,305
736,6
737,349
738,307
739,3
740,383
741,260
742,292
743,8
744,381
745,364
746,275
747,118
748,369
749,295
750,155
751,331
752,142
753,200
754,12
755,338
756,287
757,275
758,2
759,203
760,109
761,167
762,368
763,282
764,132
765,79
766,365
767,295
768,72
769,351
770,221
771,2
772,359
773,359
774,109
775,90
776,369
777,257
778,134
779,73
780,359
781,292
782,237
783,121
784,232
785,115
786,139
787,369
788,180
789,112
790,360
791,287
792,175
793,123
794,291
795,241
796,90
797,366
798,198
799,50
800,346
801,261
802,136
803,360
804,112
805,378
806,360
807,217
808,43
809,224
810,292
811,3
812,109
813,117
814,363
815,238
816,2
817,366
818,270
819,156
820,176
821,334
822,254
823,100
824,163
825,168
826,100
827,165
828,363
829,116
830,20
831,319
832,202
833,143
834,114
835,368
836,280
837,350
838,170
