"SC_ID","value"
1,0.012
2,0.035
3,0.036
4,0.043
5,0.031
6,0.027
7,0.033
8,0.022
9,-0.03
10,0.043
11,0.039
12,0.034
13,-0.016
14,0.035
15,0.037
16,0.036
17,-0.037
18,0.04
19,0.036
20,-0.03
21,0.043
22,0.032
23,0.036
24,0.042
25,0.043
26,0.029
27,0.01
28,0.013
29,0.038
30,-0.041
31,0.047
32,0.035
33,0.015
34,-0.031
35,0.036
36,0.033
37,0.023
38,0.033
39,0.036
40,0.024
41,-0.023
42,0.043
43,0.042
44,0.021
45,-0.082
46,0.036
47,-0.011
48,0.044
49,0.033
50,0.031
51,0.019
52,0.041
53,0.032
54,0.035
55,-0.045
56,0.036
57,0.039
58,0.031
59,-0.086
60,0.043
61,0.037
62,0.025
63,0.667
64,0.034
65,0.03
66,-0.155
67,0.036
68,0.017
69,-0.023
70,0.032
71,0.035
72,0.035
73,-0.071
74,0.036
75,0.038
76,0.032
77,0.019
78,0.036
79,0.035
80,0.034
81,0.021
82,0.039
83,0.041
84,0.03
85,-0.006
86,0.035
87,0.031
88,-0.03
89,0.036
90,0.028
91,-0.069
92,0.03
93,0.039
94,0.008
95,0.015
96,0.037
97,0.035
98,0.034
99,-0.015
100,0.035
101,0.031
102,0.012
103,0.103
104,0.03
105,0.027
106,0.029
107,0.004
108,0.036
109,0.036
110,-0.018
111,0.035
112,0.035
113,0.029
114,0
115,0.026
116,0.039
117,0.015
118,0.039
119,0.033
120,0.033
121,-0.163
122,0.034
123,0.036
124,0.031
125,0.286
126,0.036
127,0.035
128,0.035
129,0.008
130,0.038
131,0.039
132,0.014
133,0.005
134,0.037
135,0.032
136,0.072
137,0.034
138,0.033
139,0.008
140,0
141,0.047
142,0.057
143,-0.063
144,0.015
145,0.027
146,0.032
147,-0.041
148,0.029
149,0.026
150,-0.01
151,-0.035
152,0.04
153,0.031
154,-0.005
155,0.034
156,0.017
157,0.022
158,-0.006
159,0.022
160,-0.009
161,0.035
162,-0.009
163,0.031
164,0.021
165,0.032
166,0.033
167,0.008
168,0.032
169,0.036
170,0.007
171,0.035
172,0.036
173,0.033
174,-0.121
175,0.03
176,0.031
177,0
178,0.014
179,0.012
180,0.035
181,0.031
182,0.049
183,0.031
184,0.036
185,0
186,-0.114
187,0.043
188,0.034
189,-0.013
190,0.031
191,0.028
192,0.035
193,0.017
194,0.036
195,0.031
196,-0.037
197,0.034
198,0.036
199,-0.011
200,0.033
201,0.04
202,0.043
203,0.044
204,0.034
205,0.032
206,-0.035
207,0.036
208,0.031
209,0.032
210,0.076
211,0.042
212,0
213,0.032
214,0.036
215,0.04
216,0.006
217,0.01
218,0.043
219,0.019
220,0.042
221,0.009
222,0.066
223,0.04
224,0.034
225,0.032
226,-0.104
227,0.043
228,0.035
229,-0.009
230,0.005
231,0.039
232,0.039
233,0.016
234,-0.032
235,-0.043
236,0.032
237,0.026
238,0.039
239,0.032
240,0.077
241,0.039
242,0.031
243,0.012
244,0.046
245,0.035
246,0.036
247,0.286
248,-0.052
249,0.04
250,0.034
251,-0.023
252,0.032
253,0.02
254,-0.108
255,0.032
256,0.018
257,0.033
258,0.04
259,0.039
260,0.041
261,-0.058
262,0.023
263,0.025
264,0.034
265,0.045
266,0.042
267,-0.04
268,0.034
269,0.036
270,0.035
271,0.029
272,0.04
273,0.049
274,0.04
275,-0.015
276,0.031
277,0.214
278,0.04
279,0.037
280,0.031
281,-0.004
282,0.041
283,0.036
284,-0.005
285,0.014
286,0.033
287,0.035
288,-0.095
289,0.006
290,0.039
291,0.075
292,0.043
293,0.035
294,0.029
295,-0.037
296,0.037
297,0.034
298,-0.06
299,0.036
300,0.035
301,-0.021
302,0.039
303,0.024
304,0.032
305,0.005
306,0.043
307,0.033
308,-0.016
309,0.061
310,0.017
311,0.036
312,0.032
313,-0.034
314,0.041
315,0.033
316,0.08
317,0.005
318,0.035
319,-0.032
320,0.071
321,0.041
322,0.032
323,-0.053
324,0.062
325,0.04
326,0.033
327,-0.007
328,0.042
329,0.036
330,0.035
331,0.032
332,-0.055
333,0.043
334,0.023
335,0.044
336,-0.059
337,0.032
338,0.033
339,0.041
340,0.035
341,-0.023
342,0.031
343,-0.057
344,0.007
345,0.037
346,0.032
347,0.136
348,0.058
349,-0.051
350,0.045
351,0.031
352,-0.023
353,0.024
354,0.043
355,0.037
356,0.034
357,0.074
358,0.037
359,0.031
360,0.039
361,0.038
362,0.031
363,0.056
364,0.035
365,0.032
366,0.118
367,0.036
368,0.031
369,0.03
370,0.09
371,0.038
372,0.029
373,-0.018
374,0
375,0.039
376,-0.041
377,-0.028
378,0.039
379,0.035
380,0.028
381,-0.011
382,0.033
383,-0.034
384,0.033
385,0.018
386,0.027
387,-0.036
388,0.032
389,0.079
390,0.043
391,0.037
392,0.032
393,-0.064
394,0.036
395,0.038
396,0.045
397,0.051
398,0.033
399,-0.087
400,0.04
401,0.034
402,0.064
403,-0.025
404,0.073
405,0.044
406,0.036
407,0.007
408,-0.155
409,-0.008
410,0.037
411,-0.02
412,0.086
413,0.042
414,0.032
415,0.031
416,0.02
417,0.035
418,0.025
419,0
