"SC_ID","value"
1,602
2,694
3,1338
4,148
5,1330
6,233
7,653
8,940
9,582
10,600
11,1371
12,1138
13,516
14,757
15,1152
16,1320
17,577
18,1016
19,1206
20,574
21,594
22,1217
23,1298
24,96
25,611
26,1387
27,309
28,527
29,1126
30,398
31,778
32,1404
33,354
34,545
35,1187
36,1126
37,267
38,648
39,1399
40,381
41,515
42,588
43,1394
44,1051
45,449
46,1385
47,394
48,806
49,1322
50,1338
51,339
52,998
53,698
54,1114
55,382
56,1120
57,1411
58,1318
59,512
60,574
61,1272
62,848
63,10
64,1227
65,1397
66,641
67,651
68,822
69,389
70,1054
71,1370
72,1120
73,481
74,606
75,1115
76,1319
77,332
78,1296
79,1219
80,1263
81,594
82,1211
83,1214
84,1404
85,428
86,1400
87,1347
88,609
89,658
90,320
91,482
92,1323
93,1374
94,349
95,544
96,590
97,1396
98,1360
99,478
100,1145
101,1382
102,908
103,62
104,1286
105,853
106,920
107,619
108,1363
109,1286
110,400
111,1117
112,1267
113,340
114,471
115,1298
116,1343
117,318
118,1010
119,1301
120,1286
121,561
122,669
123,1388
124,1311
125,17
126,1290
127,1296
128,1017
129,321
130,1027
131,1367
132,383
133,491
134,1156
135,921
136,152
137,1309
138,1389
139,828
140,458
141,972
142,375
143,432
144,662
145,845
146,1310
147,563
148,1066
149,669
150,650
151,375
152,1363
153,1325
154,472
155,1335
156,975
157,911
158,356
159,275
160,506
161,1394
162,485
163,292
164,631
165,1325
166,265
167,621
168,1384
169,1240
170,331
171,1331
172,1347
173,1214
174,530
175,1337
176,1354
177,568
178,377
179,364
180,689
181,1313
182,224
183,1326
184,1402
185,373
186,536
187,1374
188,1194
189,310
190,1268
191,224
192,1301
193,261
194,1369
195,1299
196,582
197,1313
198,1367
199,418
200,1299
201,1355
202,205
203,1349
204,1131
205,1323
206,461
207,631
208,1344
209,1125
210,176
211,1063
212,386
213,1319
214,1333
215,1184
216,397
217,772
218,233
219,220
220,1064
221,491
222,201
223,1295
224,1324
225,1303
226,469
227,887
228,1232
229,744
230,482
231,691
232,1355
233,895
234,433
235,561
236,1388
237,252
238,1063
239,1296
240,141
241,1349
242,1319
243,364
244,1030
245,1298
246,1178
247,18
248,503
249,1310
250,1330
251,410
252,1430
253,988
254,405
255,1320
256,478
257,1241
258,169
259,1370
260,968
261,458
262,500
263,878
264,177
265,444
266,378
267,551
268,1142
269,1303
270,1288
271,325
272,622
273,373
274,211
275,550
276,1336
277,30
278,1019
279,1344
280,1336
281,545
282,1209
283,1295
284,411
285,514
286,1375
287,1123
288,506
289,694
290,481
291,112
292,1029
293,1395
294,1146
295,446
296,1172
297,1247
298,457
299,1309
300,1359
301,462
302,1298
303,1078
304,1169
305,447
306,1335
307,1319
308,376
309,135
310,535
311,1365
312,1256
313,406
314,1215
315,1371
316,110
317,615
318,1269
319,673
320,146
321,990
322,687
323,624
324,222
325,1366
326,1349
327,410
328,235
329,1316
330,1283
331,1276
332,452
333,1372
334,886
335,341
336,390
337,1337
338,1253
339,153
340,1293
341,588
342,1293
343,519
344,470
345,1318
346,1281
347,98
348,274
349,435
350,1214
351,1394
352,410
353,299
354,832
355,1305
356,1245
357,180
358,1321
359,1278
360,241
361,693
362,1273
363,143
364,1354
365,1164
366,113
367,1217
368,1264
369,1242
370,208
371,1458
372,1390
373,753
374,297
375,1293
376,572
377,466
378,1347
379,1307
380,790
381,457
382,1073
383,505
384,1314
385,624
386,1034
387,326
388,1296
389,138
390,1320
391,1322
392,1257
393,429
394,1390
395,236
396,548
397,434
398,781
399,467
400,1352
401,1233
402,163
403,519
404,81
405,1365
406,791
407,330
408,435
409,546
410,1319
411,397
412,68
413,1013
414,1390
415,1301
416,237
417,1305
418,962
419,37
420,1363
421,289
422,375
423,1342
424,209
425,492
426,1175
427,571
428,1314
429,24
430,1323
431,787
432,154
433,1324
434,392
435,1130
436,495
437,1097
438,1289
439,26
440,1327
441,1152
442,409
443,1391
444,1321
445,724
446,85
447,1319
448,1357
449,1259
450,141
451,1371
452,1154
453,181
454,1326
455,736
456,326
457,625
458,414
459,46
460,1315
461,1327
462,1321
463,141
464,693
465,1317
466,246
467,1334
468,688
469,420
470,1224
471,280
472,455
473,1201
474,1407
475,471
476,283
477,1106
478,83
479,1297
480,425
481,1449
482,873
483,1035
484,52
485,791
486,1275
487,205
488,1131
489,1291
490,162
491,1408
492,1324
493,1176
494,170
495,1341
496,842
497,126
498,320
499,1285
500,361
501,391
502,43
503,1248
504,394
505,1290
506,716
507,154
508,547
509,146
510,230
511,1377
512,1312
513,1263
514,192
515,1360
516,769
517,998
518,209
519,1287
520,1286
521,77
522,529
523,363
524,1330
525,53
526,257
527,1432
528,1328
529,280
530,599
531,706
532,31
533,1376
534,1338
535,78
536,1060
537,292
538,163
539,713
540,60
541,782
542,1253
543,18
544,1404
545,835
546,761
547,145
548,1303
549,1334
550,114
551,726
552,908
553,85
554,1125
555,348
556,754
557,115
558,1332
559,1293
560,1298
561,547
562,1331
563,424
564,1245
565,1277
566,415
567,1406
568,1386
569,162
570,1395
571,1309
572,387
573,1037
574,1365
575,956
576,25
577,576
578,57
579,1374
580,1260
581,49
582,1385
583,1362
584,1282
585,500
586,1410
587,1333
588,1305
589,422
590,1364
591,863
592,543
593,309
594,1372
595,1338
596,176
597,550
598,1201
599,1079
600,1286
601,167
602,811
603,767
604,424
605,84
606,1313
607,950
608,559
609,499
610,235
611,342
612,1116
613,675
614,984
615,569
616,630
617,1349
618,391
619,557
620,405
621,468
622,1340
623,408
624,1339
625,255
626,457
627,141
628,1456
629,746
630,552
631,28
632,1034
633,828
634,417
635,1280
636,75
637,1329
638,1267
639,289
640,1333
641,1302
642,478
643,406
644,1442
645,339
646,1272
647,617
648,1321
649,1362
650,756
651,431
652,1241
653,1239
654,67
655,712
656,1157
657,428
658,1076
659,530
660,1387
661,1302
662,627
663,25
664,1198
665,622
666,1092
667,324
668,991
669,1333
670,371
671,458
672,1364
673,832
674,304
675,1076
676,889
677,581
678,454
679,667
680,1364
681,188
682,17
683,1442
684,1264
685,48
686,1174
687,49
688,1372
689,504
690,428
691,412
692,734
693,525
694,191
695,1405
696,704
697,386
698,282
699,1397
700,1019
701,1092
702,76
703,1133
704,1381
705,1287
706,446
707,52
708,1391
709,1257
710,481
711,1330
712,774
713,1272
714,448
715,1419
716,642
717,51
718,1394
719,1081
720,477
721,1207
722,20
723,1119
724,1370
725,369
726,17
727,1391
728,479
729,1396
730,494
731,1090
732,513
733,673
734,1372
735,1237
736,48
737,1281
738,1217
739,26
740,1416
741,859
742,1202
743,43
744,1398
745,1347
746,1115
747,323
748,1388
749,1203
750,546
751,1182
752,444
753,739
754,54
755,1219
756,919
757,1120
758,17
759,762
760,387
761,615
762,1406
763,571
764,488
765,242
766,1355
767,1198
768,188
769,1291
770,855
771,20
772,1363
773,1313
774,289
775,260
776,1412
777,552
778,490
779,206
780,1298
781,1067
782,1040
783,340
784,905
785,354
786,511
787,1398
788,656
789,325
790,1336
791,918
792,663
793,409
794,983
795,1026
796,259
797,1374
798,791
799,141
800,1307
801,967
802,409
803,1328
804,292
805,1432
806,1334
807,892
808,129
809,910
810,1209
811,23
812,401
813,419
814,1355
815,1030
816,17
817,1313
818,1114
819,471
820,666
821,1328
822,931
823,260
824,546
825,589
826,391
827,417
828,1374
829,477
830,83
831,1148
832,425
833,499
834,354
835,1366
836,969
837,1411
838,499
839,1439
840,447
841,499
842,1193
843,29
844,1388
845,379
846,508
847,1319
848,727
849,479
850,1142
851,719
852,601
853,1418
854,1392
855,1200
856,17
857,1406
858,656
859,290
860,1388
861,1325
862,974
863,78
864,1351
865,1243
866,975
867,208
868,1151
869,1148
870,1314
871,31
872,1406
873,1296
874,431
875,1468
876,459
877,1220
878,18
879,1379
880,878
881,494
882,1404
883,628
884,437
885,539
886,670
887,360
888,1412
889,1305
890,227
891,222
892,1127
893,658
894,8
895,1407
896,830
897,174
898,1171
899,552
900,759
901,44
902,1257
903,887
904,159
905,1404
906,1154
907,1182
908,418
909,1419
910,1263
911,1155
912,235
913,1317
914,26
915,1460
916,1340
917,462
918,424
919,682
920,1275
921,1229
922,503
923,1308
924,1289
925,427
926,34
927,724
928,422
929,30
930,651
931,935
932,375
933,322
934,1351
935,1389
936,428
937,509
938,1365
939,1374
940,655
941,400
942,398
943,345
944,24
945,612
946,1328
947,1183
948,15
949,1169
950,24
951,1161
952,947
953,1051
954,462
955,1352
956,400
957,16
958,1400
959,1377
960,14
961,1425
962,475
963,172
964,1299
965,504
966,1340
967,123
968,1375
969,111
970,546
971,791
972,13
973,1275
974,1049
975,1175
976,186
977,1105
978,124
979,561
980,1368
981,758
982,86
983,1392
984,1376
985,570
986,80
987,1129
988,1155
989,246
990,1328
991,883
992,35
993,1440
994,382
995,1077
996,27
997,1352
998,320
999,900
1000,179
1001,557
1002,444
1003,33
1004,1397
1005,448
1006,21
1007,638
1008,143
1009,1417
1010,973
1011,45
1012,678
1013,435
1014,8
1015,733
1016,8
1017,1375
1018,1325
1019,681
1020,134
1021,1415
1022,558
1023,67
1024,400
1025,515
1026,22
1027,566
1028,541
1029,16
1030,484
1031,10
1032,1387
1033,1339
1034,977
1035,17
1036,477
1037,937
1038,13
1039,172
1040,11
1041,1426
1042,374
1043,1382
1044,24
1045,1329
1046,1325
1047,896
1048,524
1049,1228
1050,1361
1051,377
1052,20
1053,1247
1054,513
1055,998
1056,30
1057,1360
1058,906
1059,19
1060,576
1061,1326
1062,214
1063,18
1064,1382
1065,1313
1066,1380
1067,444
1068,1344
1069,1342
1070,301
1071,532
