"SC_ID","value"
1,0.096
2,0.099
3,0.096
4,0
5,0.096
6,-0.333
7,0.092
8,-0.054
9,-0.016
10,0.087
11,0.102
12,0
13,0
14,0.073
15,0.118
16,0.133
17,-0.147
18,0.103
19,0.113
20,-0.145
21,0.089
22,0.103
23,0.123
24,0
25,0.098
26,0.091
27,0.154
28,0.098
29,0.09
30,0.219
31,0.111
32,0.098
33,0.067
34,-0.164
35,0.104
36,0.087
37,0
38,0.094
39,0.099
40,0.029
41,-0.17
42,0.076
43,0.107
44,0.053
45,0
46,0.108
47,-0.261
48,0.106
49,0.079
50,0.151
51,-0.273
52,0.1
53,-0.057
54,0.015
55,-0.195
56,0.106
57,0.101
58,0.119
59,0.02
60,0.103
61,0.085
62,-0.068
63,0
64,0.1
65,0.127
66,0.019
67,0.092
68,-0.023
69,-0.346
70,0.116
71,0.096
72,0.019
73,0
74,0.101
75,0.112
76,0.117
77,0.273
78,0.097
79,0.107
80,0.109
81,0.149
82,0.105
83,0.093
84,0.131
85,0.135
86,0.098
87,0.109
88,0.055
89,0.07
90,0.444
91,-0.023
92,0.094
93,0.09
94,0.037
95,0.094
96,0.075
97,0.083
98,0.112
99,-0.132
100,0.103
101,0.097
102,0.007
103,0
104,0.098
105,-0.039
106,-0.045
107,-0.127
108,0.106
109,0.113
110,-0.125
111,0.106
112,0.095
113,0
114,0.05
115,0.087
116,0.096
117,-0.25
118,0.114
119,0.087
120,0.12
121,-0.239
122,0.08
123,0.076
124,0.136
125,0
126,0.096
127,0.086
128,0.117
129,-0.154
130,0.113
131,0.103
132,0
133,-0.167
134,0.112
135,0
136,0
137,0.087
138,0.08
139,0.009
140,-0.146
141,0.109
142,0.026
143,-0.091
144,0.075
145,-0.02
146,0.12
147,0.089
148,0.098
149,-0.121
150,-0.026
151,-0.167
152,0.105
153,0.146
154,-0.14
155,0.091
156,-0.095
157,0.025
158,-0.038
159,0.375
160,0.025
161,0.084
162,0.051
163,-0.111
164,0.068
165,0.15
166,-0.2
167,0.053
168,0.111
169,0.083
170,-0.167
171,0.087
172,0.1
173,0.081
174,0.158
175,0.091
176,0.1
177,-0.14
178,0
179,-0.062
180,0.107
181,0.105
182,-0.25
183,0.094
184,0.1
185,0.021
186,0.156
187,0.085
188,0.13
189,0
190,0.094
191,-0.2
192,0.093
193,-0.1
194,0.101
195,0.133
196,-0.111
197,0.092
198,0.091
199,-0.175
200,0.097
201,0.103
202,-0.25
203,0.084
204,0.095
205,0.119
206,-0.106
207,0.096
208,0.078
209,0.08
210,0
211,0.102
212,-0.258
213,0.096
214,0.083
215,0.113
216,0.125
217,0.05
218,0.5
219,-0.143
220,0.107
221,0.024
222,-0.333
223,0.099
224,0.119
225,0.104
226,0.132
227,0.065
228,0.106
229,-0.008
230,0.026
231,0.037
232,0.094
233,0.046
234,-0.174
235,-0.05
236,0.109
237,-0.25
238,0.111
239,0.172
240,-0.5
241,0.095
242,0.089
243,-0.273
244,0.109
245,0.098
246,0.121
247,1
248,-0.063
249,0.109
250,0.111
251,-0.163
252,0.087
253,0.03
254,-0.062
255,0.1
256,0.154
257,0.086
258,0
259,0.087
260,0.123
261,-0.102
262,0.103
263,0.037
264,-0.2
265,0.049
266,0.1
267,0.18
268,0.102
269,0.103
270,0.13
271,0.273
272,0.038
273,0.556
274,-0.143
275,0.008
276,0.117
277,0
278,0.119
279,0.108
280,0.139
281,-0.169
282,0.097
283,0.103
284,-0.226
285,0.019
286,0.112
287,0.126
288,0.276
289,0.079
290,0.349
291,0
292,0.109
293,0.116
294,0.116
295,-0.059
296,0.094
297,0.112
298,0.076
299,0.105
300,0.086
301,-0.145
302,0.094
303,0.043
304,0.112
305,-0.071
306,0.092
307,0.089
308,0
309,0
310,0.073
311,0.11
312,0.11
313,-0.022
314,0.096
315,0.102
316,0
317,0.062
318,0.116
319,-0.021
320,0
321,0.105
322,-0.069
323,-0.084
324,0.167
325,0.091
326,0.126
327,0.019
328,-0.308
329,0.102
330,0.109
331,0.127
332,0.085
333,0.093
334,-0.06
335,0.5
336,0.278
337,0.101
338,0.152
339,0
340,0.108
341,-0.024
342,0.096
343,-0.012
344,-0.03
345,0.105
346,0.113
347,-0.333
348,1
349,0.033
350,0.097
351,0.107
352,-0.021
353,-0.25
354,0.107
355,0.114
356,0.119
357,-0.25
358,0.124
359,0.111
360,0.091
361,0.053
362,0.054
363,-0.25
364,0.096
365,0.09
366,-0.25
367,0.1
368,0.092
369,0.165
370,-0.333
371,0.082
372,0.112
373,-0.041
374,0.037
375,0.108
376,-0.013
377,-0.26
378,0.094
379,0.12
380,-0.057
381,-0.21
382,0.105
383,-0.128
384,0.102
385,0.07
386,-0.03
387,-0.075
388,0.132
389,0
390,0.1
391,0.095
392,0.127
393,0
394,0.079
395,-0.286
396,0.081
397,0.092
398,0.031
399,-0.014
400,0.102
401,0.145
402,0
403,0.01
404,0
405,0.09
406,-0.011
407,0.105
408,0.284
409,-0.035
410,0.109
411,0
412,0
413,0.103
414,0.112
415,0.073
416,-0.056
417,0.124
418,-0.06
419,0
420,0.105
421,0.5
422,0.178
423,0.083
424,1
425,0.093
426,0.104
427,0.019
428,0.142
429,0
430,0.11
431,0.007
432,-0.2
433,0.103
434,0.036
435,0.095
436,-0.128
437,0.098
438,0.093
439,-0.5
440,0.115
441,0.085
442,-0.315
443,0.083
444,0.118
445,-0.019
446,0
447,0.101
448,0.105
449,0.139
450,0
451,0.107
452,0.075
453,0
454,0.1
455,-0.017
456,-0.091
457,0.091
458,-0.07
459,0
460,0.101
461,0.101
462,0.136
463,0
464,0.018
465,0.161
466,-0.143
467,0.119
468,-0.022
469,-0.292
470,0.1
471,0
472,0.196
473,0.101
474,0.108
475,0
476,-0.043
477,0.099
478,0
479,0.097
480,0.156
481,0.093
482,-0.033
483,0.02
484,0
485,0.086
486,0.124
487,0
488,0.091
489,0.113
490,0
491,0.092
492,0.119
493,0.12
494,0
495,0.097
496,0.016
497,1
498,0.188
499,0.099
500,0.1
501,0
502,0
503,0.069
504,-0.077
505,0.096
506,-0.067
507,0
508,0.027
509,1
510,-0.133
511,0.101
512,0.11
513,0.069
514,-0.111
515,0.088
516,0.02
517,-0.026
518,-0.083
519,0.099
520,0.063
521,0
522,0.03
523,0.03
524,0.154
525,1
526,0.087
527,0.098
528,0.179
529,0.036
530,0.082
531,-0.062
532,1
533,0.105
534,0.117
535,0
536,0.105
537,0.067
538,0
539,0
540,0
541,0.032
542,0.144
543,0.333
544,0.101
545,0.055
546,0.024
547,0.111
548,0.093
549,0.115
550,0.083
551,0.062
552,0.037
553,0.1
554,0.108
555,0.349
556,-0.007
557,0
558,0.104
559,0.108
560,0.142
561,0.136
562,0.111
563,-0.275
564,0.105
565,0.097
566,-0.316
567,0.097
568,0.117
569,-0.25
570,0.087
571,0.075
572,0.196
573,0.117
574,0.099
575,-0.019
576,0
577,-0.067
578,0
579,0.119
580,0.108
581,0
582,0.104
583,0.107
584,0.14
585,-0.234
586,0.093
587,0.077
588,0.111
589,0.305
590,0.091
591,-0.038
592,-0.013
593,0
594,0.087
595,0.097
596,0
597,-0.14
598,0.098
599,0.113
600,0.15
601,-0.5
602,0.107
603,0.017
604,0
605,-0.333
606,0.092
607,-0.02
608,0.055
609,0
610,1
611,0.367
612,0.092
613,0.036
614,-0.017
615,-0.125
616,0.04
617,0.104
618,-0.135
619,0.032
620,-0.032
621,-0.227
622,0.097
623,-0.211
624,0.103
625,0.333
626,-0.167
627,-0.25
628,0.084
629,0.018
630,-0.063
631,0
632,0.11
633,0.08
634,-0.093
635,0.085
636,0.5
637,0.113
638,0.109
639,-0.2
640,0.101
641,0.095
642,-0.163
643,0.098
644,0.088
645,0.525
646,0.129
647,0.174
648,0.11
649,0.12
650,0
651,-0.067
652,0.103
653,0.127
654,0.25
655,0.05
656,0.121
657,-0.279
658,0.11
659,0.067
660,0.087
661,0.11
662,0.08
663,0
664,0.107
665,0.02
666,0.135
667,-0.059
668,-0.057
669,0.129
670,-0.31
671,-0.066
672,0.114
673,0.057
674,-0.2
675,0.11
676,-0.063
677,0.037
678,0.108
679,0.089
680,0.108
681,1
682,0
683,0.085
684,0.092
685,0.2
686,0.092
687,0
688,0.087
689,0.126
690,-0.014
691,-0.062
692,0.012
693,-0.151
694,-0.167
695,0.097
696,0.026
697,0.125
698,0.037
699,0.098
700,0.108
701,0.143
702,-1
703,0.099
704,0.121
705,0.115
706,0.153
707,0.077
708,0.097
709,0.137
710,0.024
711,0.11
712,-0.046
713,0.156
714,0.108
715,0.11
716,0.056
717,0
718,0.087
719,0.128
720,-0.214
721,0.167
722,0
723,0.11
724,0.13
725,0
726,0
727,0.097
728,0.083
729,0.094
730,0.01
731,0.131
732,0.012
733,0.086
734,0.115
735,0.171
736,0
737,0.097
738,0.145
739,0
740,0.102
741,-0.07
742,0.165
743,0.182
744,0.093
745,0.119
746,0.139
747,-0.333
748,0.122
749,0.157
750,-0.128
751,0.094
752,0
753,0.05
754,0
755,0.096
756,-0.063
757,0.139
758,0
759,0.054
760,-0.088
761,-0.113
762,0.081
763,0.241
764,-0.029
765,-0.125
766,0.094
767,0.148
768,-0.25
769,0.1
770,0.059
771,1
772,0.105
773,0.121
774,0.2
775,0
776,0.084
777,0.172
778,-0.035
779,0
780,0.098
781,0.103
782,0.113
783,-0.156
784,0.057
785,0.333
786,0.215
787,0.091
788,0.04
789,-0.049
790,0.104
791,-0.016
792,-0.008
793,0.429
794,0.025
795,0.121
796,-0.25
797,0.119
798,0.07
799,-0.333
800,0.103
801,0.006
802,-0.108
803,0.108
804,-0.167
805,0.094
806,0.115
807,0.072
808,-0.333
809,0.103
810,0.121
811,0
812,0.02
813,-0.067
814,0.102
815,0.131
816,0
817,0.088
818,0.093
819,0.099
820,0.062
821,0.126
822,0.052
823,1.526
824,0.009
825,-0.048
826,0
827,0.036
828,0.099
829,0.063
830,0
831,0.113
832,0.104
833,-0.04
834,0.569
835,0.085
836,0.034
837,0.113
838,-0.165
839,0.115
840,-0.074
841,0.106
842,0.165
843,0.125
844,0.088
845,-0.074
846,-0.021
847,0.107
848,0.041
849,0.056
850,0.108
851,0.059
852,0.071
853,0.107
854,0.123
855,0.068
856,0
857,0.099
858,0.06
859,0
860,0.092
861,0.11
862,0.094
863,0
864,0.091
865,0.083
866,-0.087
867,-0.167
868,0.112
869,0.086
870,0.106
871,0
872,0.105
873,0.094
874,-0.095
875,0.101
876,0.205
877,0.16
878,0
879,0.111
880,0
881,0.057
882,0.088
883,-0.025
884,-0.211
885,-0.069
886,0.023
887,0.359
888,0.114
889,0.116
890,0
891,-0.059
892,0.073
893,-0.013
894,0
895,0.103
896,0.081
897,0
898,0.107
899,0.009
900,-0.048
901,0
902,0.087
903,0.066
904,-0.2
905,0.099
906,0.107
907,0.157
908,-0.087
909,0.104
910,0.073
911,0.159
912,-0.133
913,0.104
914,0
915,0.112
916,0.116
917,-0.103
918,-0.119
919,-0.036
920,0.102
921,0.161
922,-0.033
923,0.096
924,0.095
925,-0.094
926,0
927,0.064
928,0.036
929,0
930,0.016
931,-0.011
932,-0.071
933,-0.333
934,0.107
935,0.121
936,-0.117
937,-0.209
938,0.105
939,0.112
940,0.03
941,0.22
942,0.147
943,0.571
944,0
945,0.067
946,0.118
947,0.158
948,0.25
949,0.112
950,0.25
951,0.115
952,0.041
953,0.024
954,0.039
955,0.085
956,0.19
957,0.5
958,0.103
959,0.111
960,0
961,0.105
962,-0.047
963,-0.167
964,0.097
965,-0.203
966,0.094
967,0
968,0.105
969,0
970,0
971,-0.092
972,0
973,0.105
974,-0.088
975,0.076
976,-0.125
977,0.065
978,-0.333
979,0.01
980,0.113
981,0.028
982,0
983,0.1
984,0.116
985,0
986,1
987,0.097
988,0.048
989,-0.3
990,0.089
991,-0.054
992,0
993,0.101
994,0.22
995,0.082
996,0
997,0.095
998,0.323
999,0.027
1000,-0.25
1001,0
1002,0
1003,0
1004,0.093
1005,0
1006,0
1007,-0.017
1008,-0.333
1009,0.104
1010,0.053
1011,0
1012,0.019
1013,0.037
1014,0
1015,0.032
1016,0
1017,0.108
1018,0.117
1019,0.044
1020,-0.333
1021,0.111
1022,-0.031
1023,-0.5
1024,0.026
1025,0.023
1026,0
1027,-0.031
1028,-0.031
1029,0
1030,0.036
1031,0
1032,0.086
1033,0.121
1034,0.106
1035,0
1036,0.021
1037,-0.072
1038,0
1039,0
1040,0
1041,0.125
1042,0.276
1043,0.138
1044,0
1045,0.11
1046,0.127
1047,-0.016
1048,-0.043
1049,0.1
1050,0.131
1051,-0.087
1052,0
1053,0.1
1054,0
1055,0.096
1056,0
1057,0.129
1058,-0.04
1059,0
1060,0.126
1061,0.113
1062,0
1063,0
1064,0.082
1065,0.094
1066,0.143
1067,0.08
1068,0.09
1069,0.121
1070,0.167
1071,0.111
1072,0.088
1073,0.098
1074,-0.016
1075,0
1076,0.105
1077,0.087
1078,0.117
1079,0
1080,0.103
1081,0.275
1082,0.127
1083,0.389
1084,0.038
1085,0.054
1086,0.079
1087,0.098
1088,0.083
1089,0.018
1090,0.083
1091,0.07
1092,0.022
1093,0.107
1094,0.059
1095,0.099
1096,0.088
1097,0.095
1098,-0.016
1099,-0.037
1100,0.107
1101,-0.03
1102,0.097
1103,0
1104,0.108
1105,0.098
1106,0.359
1107,-0.015
1108,0.108
1109,0.107
1110,-0.11
1111,0.104
1112,0.333
1113,0.087
1114,0.045
1115,0.139
1116,0.115
1117,0.133
1118,0.11
1119,-0.014
1120,0.113
1121,0.127
1122,0.106
1123,0.034
1124,0.073
1125,0.073
1126,0.124
1127,0.109
1128,0.081
1129,0.096
1130,0.136
1131,0.109
1132,0.072
1133,0.027
1134,0.019
1135,0.042
1136,0.135
1137,0.098
1138,0.121
1139,-0.13
1140,0.103
1141,0.382
1142,0.143
1143,0
1144,0.092
1145,0.079
1146,-0.062
1147,0.082
1148,0.032
1149,0.109
1150,0.08
1151,0.119
1152,-0.028
1153,0.12
1154,0.112
1155,0.089
1156,0.011
1157,-0.04
1158,-0.008
1159,0.033
1160,0.119
1161,0.088
1162,0.037
1163,0.028
1164,0.316
1165,0.104
1166,0.107
1167,0.083
1168,0
1169,-0.042
1170,-0.25
1171,0
1172,0.032
1173,0.099
1174,0.112
1175,0.056
1176,0.04
1177,0.099
1178,0.208
1179,0.107
1180,0.068
1181,0.1
1182,-0.113
1183,0.081
1184,0.087
1185,0.023
1186,0.108
1187,0.064
1188,0.115
1189,0.104
1190,0.014
1191,0.116
1192,-0.031
1193,0
1194,0.047
1195,0.092
1196,-0.115
1197,0.01
1198,0.085
1199,0.117
1200,0.096
1201,0.111
1202,-0.116
1203,0.105
1204,0
1205,0.019
1206,0.104
1207,0.112
1208,-0.015
1209,0.11
1210,0.031
1211,0.024
1212,0.093
1213,0.033
1214,0.102
1215,0.056
1216,0.112
1217,0.094
1218,-0.029
1219,0.056
1220,0.103
1221,0.04
1222,0
1223,0.1
1224,-0.017
1225,0
1226,0.111
1227,0.162
1228,0.069
1229,0.107
1230,-0.039
1231,0
1232,0.096
1233,0.071
1234,0.034
1235,-0.008
1236,0.105
1237,0.108
1238,0.081
1239,1
1240,0.09
1241,0.122
1242,-0.169
1243,0
1244,0.103
1245,0.083
1246,0.091
1247,-0.009
1248,-0.075
1249,0.106
1250,0.062
1251,0.019
1252,0.096
1253,0.087
1254,-0.2
1255,0.107
1256,0.101
1257,0.066
1258,-0.04
1259,0.078
1260,0.118
1261,0.109
1262,0.104
1263,0.269
1264,0.108
1265,0
1266,0.051
1267,0.095
1268,0.106
1269,-0.065
1270,0.1
1271,-0.051
1272,-0.1
1273,0.112
1274,0.021
1275,0.037
1276,0.095
1277,0.077
1278,-0.163
1279,0.084
1280,0.094
1281,0.064
1282,-0.015
1283,0.286
1284,0.032
1285,0.104
1286,0.025
