"SC_ID","value"
1,0.062
2,0.064
3,0.047
4,0.069
5,0.063
6,0.044
7,0.073
8,0.062
9,0.062
10,0.062
11,0.073
12,0.054
13,0.05
14,0.059
15,0.058
16,0.061
17,0.05
18,0.054
19,0.056
20,0.052
21,0.04
22,0.048
23,0.051
24,0.07
25,0.116
26,0.091
27,0.043
28,0.043
29,0.051
30,0.125
31,0.045
32,0.105
33,0.098
34,0.108
35,0.087
36,0.096
37,0.071
38,0.096
39,0.096
40,0.124
41,0.118
42,0.112
43,0.095
44,0.107
45,0.089
46,0.09
47,0.088
48,0.094
49,0.081
50,0.089
51,0.08
52,0.083
53,0.114
54,0.136
55,0.143
56,0.136
57,0.155
58,0.118
59,0.12
60,0.091
61,0.091
62,0.074
63,0.115
64,0.108
65,0.138
66,0.15
67,0.159
68,0.155
69,0.164
70,0.159
71,0.142
72,0.151
73,0.115
74,0.058
75,0.055
76,0.037
77,0.111
78,0.056
79,0.052
80,0.05
81,0.059
82,0.059
83,0.065
84,0.062
85,0.06
86,0.044
87,0.05
88,0.078
89,0.044
90,0.036
91,0.047
92,0.045
93,0.116
94,0.152
95,0.168
96,0.159
97,0.044
98,0.142
99,0.092
100,0.058
101,0.06
102,0.055
103,0.048
104,0.035
105,0.044
106,0.079
107,0.088
108,0.095
109,0.098
110,0.116
111,0.1
112,0.106
113,0.105
114,0.107
115,0.13
116,0.138
117,0.135
118,0.106
119,0.044
120,0.165
121,0.164
122,0.162
123,0.159
124,0.159
