"SC_ID","value"
1,257
2,149
3,328
4,76
5,376
6,122
7,154
8,278
9,254
10,147
11,330
12,347
13,184
14,178
15,289
16,360
17,236
18,242
19,300
20,226
21,147
22,304
23,354
24,54
25,143
26,364
27,110
28,243
29,259
30,184
31,186
32,365
33,138
34,218
35,274
36,323
37,138
38,154
39,358
40,130
41,215
42,150
43,332
44,292
45,199
46,330
47,174
48,195
49,319
50,375
51,163
52,233
53,162
54,339
55,159
56,269
57,336
58,374
59,193
60,146
61,316
62,253
63,6
64,318
65,388
66,197
67,144
68,243
69,165
70,273
71,332
72,340
73,220
74,144
75,281
76,363
77,162
78,301
79,304
80,350
81,242
82,277
83,262
84,386
85,176
86,366
87,379
88,227
89,145
90,120
91,163
92,283
93,330
94,121
95,205
96,143
97,306
98,381
99,196
100,281
101,345
102,259
103,37
104,289
105,191
106,287
107,255
108,327
109,358
110,170
111,279
112,330
113,115
114,202
115,277
116,324
117,139
118,253
119,320
120,359
121,201
122,153
123,360
124,373
125,11
126,296
127,337
128,273
129,133
130,257
131,327
132,146
133,211
134,289
135,294
136,82
137,283
138,359
139,250
140,190
141,230
142,134
143,173
144,133
145,192
146,371
147,235
148,254
149,161
150,197
151,156
152,327
153,374
154,193
155,285
156,234
157,275
158,153
159,102
160,223
161,362
162,212
163,134
164,144
165,372
166,134
167,125
168,363
169,355
170,143
171,277
172,327
173,353
174,180
175,283
176,377
177,243
178,141
179,170
180,148
181,344
182,116
183,270
184,354
185,141
186,185
187,274
188,319
189,147
190,278
191,114
192,333
193,121
194,328
195,374
196,241
197,282
198,330
199,171
200,293
201,323
202,107
203,271
204,284
205,369
206,189
207,142
208,313
209,336
210,95
211,262
212,163
213,305
214,327
215,323
216,174
217,184
218,103
219,107
220,259
221,217
222,106
223,300
224,350
225,369
226,142
227,198
228,302
229,215
230,212
231,160
232,327
233,250
234,180
235,110
236,362
237,124
238,255
239,371
240,79
241,327
242,378
243,162
244,238
245,337
246,324
247,12
248,110
249,321
250,377
251,171
252,338
253,304
254,141
255,302
256,157
257,357
258,83
259,277
260,238
261,187
262,135
263,251
264,92
265,137
266,155
267,212
268,285
269,322
270,368
271,146
272,156
273,158
274,106
275,129
276,379
277,22
278,248
279,323
280,382
281,240
282,265
283,328
284,183
285,144
286,359
287,307
288,186
289,162
290,157
291,63
292,255
293,366
294,332
295,171
296,291
297,350
298,154
299,299
300,335
301,182
302,275
303,258
304,336
305,195
306,279
307,323
308,122
309,75
310,122
311,353
312,363
313,170
314,269
315,358
316,62
317,182
318,332
319,214
320,81
321,235
322,163
323,198
324,107
325,273
326,353
327,149
328,106
329,330
330,335
331,363
332,183
333,276
334,224
335,149
336,162
337,339
338,358
339,82
340,276
341,166
342,372
343,165
344,134
345,322
346,367
347,57
348,123
349,162
350,268
351,340
352,127
353,130
354,201
355,322
356,348
357,95
358,323
359,372
360,111
361,167
362,376
363,81
364,339
365,333
366,66
367,307
368,339
369,355
370,102
371,340
372,365
373,227
374,124
375,277
376,185
377,168
378,279
379,338
380,222
381,178
382,261
383,173
384,322
385,173
386,314
387,129
388,370
389,74
390,278
391,323
392,365
393,170
394,295
395,109
396,140
397,113
398,218
399,154
400,326
401,350
402,85
403,118
404,49
405,273
406,172
407,140
408,125
409,120
410,321
411,146
412,42
413,233
414,366
415,377
416,102
417,340
418,290
419,19
420,334
421,137
422,150
423,331
424,102
425,194
426,257
427,162
428,368
429,16
430,323
431,236
432,79
433,304
434,109
435,326
436,163
437,235
438,344
439,17
440,326
441,327
442,152
443,300
444,329
445,242
446,50
447,302
448,332
449,349
450,70
451,358
452,321
453,80
454,277
455,220
456,144
457,142
458,130
459,24
460,299
461,319
462,384
463,82
464,169
465,380
466,115
467,327
468,198
469,165
470,290
471,127
472,191
473,267
474,366
475,164
476,127
477,263
478,51
479,299
480,181
481,352
482,202
483,309
484,32
485,223
486,367
487,97
488,249
489,368
490,85
491,304
492,323
493,326
494,85
495,278
496,198
497,60
498,129
499,275
500,94
501,136
502,27
503,364
504,158
505,335
506,191
507,79
508,120
509,69
510,105
511,301
512,323
513,372
514,95
515,278
516,187
517,301
518,97
519,330
520,378
521,47
522,139
523,98
524,380
525,33
526,107
527,352
528,382
529,117
530,132
531,238
532,19
533,325
534,328
535,47
536,243
537,120
538,80
539,191
540,35
541,219
542,343
543,8
544,303
545,188
546,202
547,76
548,306
549,330
550,61
551,188
552,264
553,46
554,248
555,86
556,211
557,62
558,327
559,317
560,379
561,238
562,330
563,162
564,309
565,375
566,153
567,301
568,362
569,84
570,303
571,346
572,121
573,251
574,338
575,304
576,18
