"SC_ID","value"
1,-0.023
2,0.09
3,0.122
4,0.125
5,0.143
6,0.138
7,0.083
8,-0.004
9,-0.137
10,0.112
11,0.125
12,0.123
13,0.184
14,0.11
15,0.134
16,0.164
17,0.138
18,0.141
19,0.134
20,0.139
21,0.106
22,0.129
23,0.156
24,0.091
25,0.104
26,0.129
27,0.231
28,-0.059
29,0.135
30,-0.252
31,0.141
32,0.134
33,-0.019
34,0.148
35,0.129
36,0.153
37,0.12
38,0.091
39,0.118
40,0.098
41,0.131
42,0.079
43,0.132
44,0.033
45,-0.27
46,0.127
47,0.099
48,0.143
49,0.122
50,0.154
51,0.109
52,0.146
53,0.038
54,0.116
55,0.068
56,0.131
57,0.132
58,0.138
59,0.113
60,0.083
61,0.123
62,0.036
63,4
64,0.127
65,0.147
66,0.049
67,0.07
68,0.048
69,0.113
70,0.14
71,0.117
72,0.134
73,-0.231
74,0.101
75,0.134
76,0.148
77,0
78,0.138
79,0.133
80,0.166
81,-0.006
82,0.128
83,0.131
84,0.152
85,-0.132
86,0.13
87,0.126
88,0.141
89,0.068
90,0.203
91,0.058
92,0.113
93,0.117
94,0.124
95,-0.024
96,0.089
97,0.143
98,0.154
99,0.179
100,0.136
101,0.124
102,0.108
103,0.211
104,0.124
105,0.04
106,0.083
107,-0.029
108,0.122
109,0.161
110,0.171
111,0.136
112,0.129
113,0.205
114,-0.097
115,0.121
116,0.115
117,0.2
118,0.139
119,0.121
120,0.154
121,-0.344
122,0.084
123,0.108
124,0.142
125,1.333
126,0.135
127,0.124
128,0.158
129,0.202
130,0.139
131,0.119
132,0.123
133,0.149
134,0.13
135,0.037
136,0.34
137,0.126
138,0.123
139,0.11
140,0.144
141,0.151
142,0.19
143,0.19
144,0.106
145,0.058
146,0.136
147,-0.152
148,0.137
149,0
150,0.114
151,0.093
152,0.127
153,0.156
154,0.165
155,0.131
156,-0.004
157,-0.004
158,-0.073
159,0.231
160,-0.117
161,0.122
162,-0.131
163,0.186
164,0.071
165,0.156
166,0.186
167,0.119
168,0.127
169,0.161
170,0.192
171,0.125
172,0.136
173,0.13
174,0.103
175,0.128
176,0.155
177,0.154
178,-0.057
179,0.155
180,0.098
181,0.131
182,0.203
183,0.118
184,0.115
185,-0.112
186,0.103
187,0.118
188,0.164
189,-0.088
190,0.134
191,0.111
192,0.134
193,0.12
194,0.121
195,0.146
196,0.115
197,0.122
198,0.112
199,0.097
200,0.133
201,0.117
202,0.229
203,0.119
204,0.133
205,0.13
206,0.169
207,0.133
208,0.126
209,0.142
210,0.345
211,0.134
212,0.085
213,0.131
214,0.121
215,0.165
216,-0.086
217,-0.013
218,0.253
219,0.112
220,0.137
221,-0.113
222,0.308
223,0.134
224,0.134
225,0.129
226,0.141
227,0.092
228,0.134
229,0.099
230,-0.093
231,0.073
232,0.123
233,0.09
234,0.173
235,0.071
236,0.13
237,0.151
238,0.138
239,0.15
240,0.349
241,0.116
242,0.141
243,0.106
244,0.14
245,0.125
246,0.17
247,1
248,0.093
249,0.125
250,0.156
251,0.156
252,0.135
253,0.056
254,0.154
255,0.128
256,-0.104
257,0.137
258,0.125
259,0.124
260,0.176
261,0.14
262,0.011
263,0.029
264,0.094
265,0.136
266,0.165
267,0.152
268,0.137
269,0.124
270,0.135
271,-0.052
272,0.067
273,0.104
274,0.118
275,0.101
276,0.139
277,1
278,0.141
279,0.125
280,0.151
281,-0.096
282,0.134
283,0.126
284,0.172
285,0.007
286,0.142
287,0.175
288,0.11
289,0.06
290,-0.088
291,0.219
292,0.142
293,0.13
294,0.154
295,-0.28
296,0.129
297,0.169
298,0.096
299,0.131
300,0.128
301,-0.204
302,0.127
303,0.074
304,0.155
305,-0.063
306,0.125
307,0.121
308,0.124
309,0.22
310,0.129
311,0.133
312,0.157
313,0.173
314,0.134
315,0.118
316,0.296
317,-0.005
318,0.135
319,0.102
320,0.174
321,0.143
322,0.044
323,0.104
324,0.123
325,0.129
326,0.131
327,-0.06
328,0.169
329,0.133
330,0.131
331,0.156
332,0.14
333,0.128
334,0.008
335,0.068
336,0.071
337,0.124
338,0.146
339,0.154
340,0.123
341,-0.103
342,0.137
343,0.077
344,0.008
345,0.129
346,0.135
347,0.375
348,0.18
349,0.154
350,0.135
351,0.13
352,0.148
353,0.204
354,0.15
355,0.128
356,0.162
357,0.279
358,0.134
359,0.148
360,0.054
361,0.11
362,0.136
363,0.325
364,0.13
365,0.152
366,0.68
367,0.134
368,0.136
369,0.161
370,0.224
371,0.127
372,0.13
373,0.105
374,0
375,0.124
376,0.105
377,-0.306
378,0.127
379,0.137
380,0.039
381,-0.128
382,0.14
383,-0.131
384,0.128
385,0.082
386,0.054
387,-0.074
388,0.145
389,0.342
390,0.125
391,0.126
392,0.142
393,0.128
394,0.118
395,0.12
396,0.08
397,0.146
398,0.046
399,0.075
400,0.134
401,0.145
402,0.131
403,0.052
404,0.261
405,0.123
406,0.026
407,-0.093
408,0.089
409,0.105
410,0.138
411,0.094
412,0.333
413,0.14
414,0.139
415,0.134
416,0.1
417,0.138
418,0.046
419,0.167
420,0.148
421,0.184
422,0.096
423,0.128
424,0.515
425,0.083
426,0.139
427,0.094
428,0.156
429,0.25
430,0.139
431,0.112
432,0.155
433,0.131
434,0.098
435,0.145
436,-0.193
437,0.139
438,0.138
439,0.2
440,0.136
441,0.181
442,-0.194
443,0.117
444,0.14
445,-0.026
446,0.28
447,0.135
448,0.136
449,0.169
450,0.17
451,0.126
452,0.135
453,0.069
454,0.133
455,0.138
456,-0.096
457,0.09
458,0.142
459,0.556
460,0.132
461,0.134
462,0.152
463,0.289
464,0.083
465,0.168
466,0.087
467,0.136
468,0.057
469,-0.112
470,0.122
471,0.153
472,0.102
473,0.138
474,0.14
475,-0.132
476,0.082
477,0.139
478,0.391
479,0.129
480,-0.014
481,0.132
482,0.008
483,0.05
484,0.7
485,0.023
486,0.137
487,0.025
488,0.136
489,0.148
490,0.155
491,0.123
492,0.141
493,0.168
494,0.047
495,0.132
496,0.02
497,0.488
498,0.075
499,0.126
500,0.213
501,-0.127
502,0.333
503,0.132
504,-0.109
505,0.132
506,0.067
507,0.036
508,0.12
509,0.46
510,0.059
511,0.121
512,0.146
513,0.126
514,0.029
515,0.12
516,0.067
517,0.025
518,0.025
519,0.133
520,0.128
521,0.158
522,0.006
523,0.192
524,0.153
525,0.3
526,0.088
527,0.129
528,0.163
529,0.096
530,0.115
531,0.046
532,0.4
533,0.129
534,0.136
535,0.095
536,0.137
537,0.024
538,0.086
539,0.078
540,0.167
541,0.072
542,0.172
543,0.5
544,0.126
545,0.046
546,0.074
547,0.093
548,0.125
549,0.133
550,0.069
551,0.083
552,0.098
553,0.158
554,0.14
555,0.324
556,0.066
557,0.061
558,0.126
559,0.129
560,0.138
561,-0.122
562,0.13
563,-0.151
564,0.127
565,0.142
566,-0.186
567,0.126
568,0.132
569,0.291
570,0.123
571,0.118
572,0.061
573,0.141
574,0.125
575,0.015
576,0.75
577,0.11
578,0.364
579,0.135
580,0.142
581,1.429
582,0.124
583,0.142
584,0.152
585,-0.114
586,0.124
587,0.128
588,0.156
589,0.091
590,0.132
591,0.02
592,-0.055
593,0.077
594,0.129
595,0.13
596,0.387
597,0.162
598,0.135
599,0.129
600,0.152
601,0.241
602,0.143
603,0.004
604,-0.153
605,0.938
606,0.133
607,-0.007
608,0.179
609,-0.041
610,0.163
611,-0.432
612,0.132
613,0.103
614,0.011
615,0.145
616,0.067
617,0.13
618,0.134
619,0.104
620,0.137
621,-0.166
622,0.127
623,0.158
624,0.129
625,0.167
626,0.185
627,0.156
628,0.126
629,0.041
630,0.162
631,0
632,0.123
633,0.171
634,0.19
635,0.132
636,0.1
637,0.127
638,0.128
639,0.213
640,0.125
641,0.129
642,0.156
643,-0.178
644,0.118
645,0.367
646,0.143
647,0.135
648,0.127
649,0.139
650,0.063
651,0.056
652,0.13
653,0.14
654,0.538
655,0.095
656,0.163
657,-0.13
658,0.125
659,0.089
660,0.116
661,0.132
662,0.108
663,0.2
664,0.133
665,0.045
666,0.172
667,-0.049
668,0.004
669,0.166
670,0.176
671,-0.053
672,0.139
673,0.134
674,0.204
675,0.137
676,-0.004
677,0.12
678,-0.146
679,0.128
680,0.139
681,0.222
682,1.5
683,0.12
684,0.137
685,0.25
686,0.132
687,0.111
688,0.123
689,0.18
690,-0.068
691,-0.071
692,0.095
693,0.122
694,0.045
695,0.126
696,0.065
697,-0.009
698,0.082
699,0.119
700,0.123
701,0.175
702,0.824
703,0.134
704,0.138
705,0.149
706,0.051
707,-0.077
708,0.118
709,0.138
710,-0.1
711,0.132
712,0.036
713,0.141
714,-0.176
715,0.12
716,0.051
717,0.25
718,0.122
719,0.166
720,-0.157
721,0.149
722,0.333
723,0.134
724,0.139
725,-0.132
726,0.5
727,0.122
728,-0.087
729,0.125
730,0.115
731,0.168
732,0.058
733,0.121
734,0.136
735,0.154
736,1.429
737,0.137
738,0.146
739,1
740,0.125
741,0.015
742,0.154
743,0
744,0.107
745,0.137
746,0.162
747,0.142
748,0.144
749,0.152
750,-0.23
751,0.132
752,0.091
753,0.031
754,0.067
755,0.129
756,-0.035
757,0.159
758,0.333
759,0.11
760,0.176
761,0.012
762,0.122
763,-0.043
764,-0.178
765,0.171
766,0.114
767,0.152
768,0.129
769,0.128
770,0.037
771,1
772,0.13
773,0.139
774,0.17
775,0.022
776,0.121
777,-0.031
778,0.143
779,0.164
780,0.127
781,0.132
782,0.172
783,0.092
784,0.079
785,0.009
786,0.093
787,0.116
788,0.056
789,0.193
790,0.127
791,-0.028
792,0.052
793,0.056
794,-0.047
795,0.16
796,0.184
797,0.145
798,0.092
799,0.204
800,0.126
801,-0.004
802,0.09
803,0.127
804,0.083
805,0.121
806,0.13
807,0.121
808,0.205
809,0.153
810,0.15
811,0.75
812,-0.096
813,0.148
814,0.132
815,0.157
816,2
817,0.122
818,0.155
819,0.006
820,0.034
821,0.137
822,0
823,-0.383
824,0.012
825,0.069
826,-0.056
827,-0.13
828,0.129
829,0.146
830,0.091
831,0.13
832,0.262
833,0.154
834,-0.375
835,0.119
836,0.004
837,0.14
838,-0.16
839,0.137
840,0.198
841,0.163
842,0.156
843,0
844,0.115
845,0.164
846,0.113
847,0.133
848,0.032
849,-0.067
850,0.131
851,0.117
852,0.011
853,0.12
854,0.144
855,0.133
856,1
857,0.12
858,0.104
859,0.126
860,0.122
861,0.139
862,0.16
863,0.125
864,0.122
865,0.133
866,-0.014
867,0.104
868,0.129
869,0.124
870,0.147
871,0.2
872,0.135
873,0.14
874,0.195
875,0.132
876,-0.005
877,0.154
878,1
879,0.131
880,0.051
881,0.031
882,0.122
883,-0.086
884,0.162
885,-0.006
886,0.08
887,0.075
888,0.13
889,0.141
890,0.392
891,0.12
892,0.124
893,-0.048
894,1
895,0.124
896,0.107
