"SC_ID","value"
1,15
2,10
3,34
4,3
5,12
6,3
7,14
8,-10
9,11
10,12
11,10
12,-22
13,-3
14,15
15,34
16,34
17,20
18,36
19,30
20,19
21,10
22,45
23,35
24,1
25,9
26,18
27,14
28,18
29,42
30,13
31,33
32,-9
33,-6
34,18
35,44
36,-2
37,4
38,12
39,2
40,1
41,18
42,10
43,21
44,-17
45,12
46,15
47,12
48,29
49,6
50,32
51,4
52,37
53,1
54,-3
55,2
56,44
57,22
58,27
59,-2
60,9
61,24
62,-8
63,1
64,35
65,40
66,-19
67,-7
68,-1
69,14
70,46
71,0
72,-9
73,11
74,12
75,31
76,15
77,4
78,48
79,37
80,-3
81,17
82,44
83,54
84,41
85,11
86,16
87,22
88,-6
89,-7
90,16
91,-3
92,42
93,-5
94,2
95,16
96,10
97,49
98,-12
99,10
100,45
101,35
102,-12
103,1
104,47
105,5
106,-3
107,10
108,20
109,20
110,14
111,49
112,24
113,12
114,14
115,31
116,1
117,15
118,42
119,18
120,1
121,-31
122,11
123,-16
124,35
125,1
126,43
127,23
128,46
129,15
130,44
131,22
132,3
133,18
134,32
135,5
136,3
137,46
138,-15
139,-14
140,11
141,41
142,8
143,1
144,0
145,6
146,29
147,15
148,30
149,-4
150,-9
151,10
152,22
153,32
154,10
155,45
156,-7
157,-2
158,14
159,8
160,13
161,-20
162,13
163,15
164,-4
165,32
166,4
167,2
168,-3
169,-8
170,15
171,29
172,19
173,8
174,-22
175,35
176,-11
177,11
178,0
179,15
180,11
181,58
182,4
183,28
184,9
185,-4
186,-21
187,34
188,53
189,16
190,30
191,6
192,24
193,10
194,21
195,35
196,11
197,50
198,-5
199,11
200,60
201,18
202,3
203,30
204,29
205,27
206,3
207,9
208,37
209,21
210,3
211,43
212,10
213,60
214,3
215,12
216,13
217,7
218,11
219,8
220,46
221,15
222,5
223,54
224,60
225,23
226,-18
227,16
228,32
229,-7
230,15
231,7
232,13
233,-9
234,9
235,0
236,-1
237,6
238,48
239,37
240,3
241,16
242,6
243,9
244,38
245,20
246,26
247,0
248,-3
249,25
250,-2
251,11
252,54
253,10
254,-6
255,59
256,4
257,22
258,2
