"SC_ID","value"
1,3
2,7
3,3
4,0
5,-10
6,0
7,14
8,4
9,10
10,4
11,4
12,3
13,3
14,13
15,4
16,-5
17,6
18,13
19,2
20,4
21,8
22,8
23,-3
24,0
25,2
26,-1
27,1
28,4
29,8
30,11
31,8
32,-8
33,4
34,5
35,2
36,-3
37,0
38,1
39,-7
40,2
41,4
42,12
43,-2
44,3
45,15
46,-7
47,1
48,6
49,-1
50,-7
51,-2
52,10
53,16
54,-1
55,4
56,4
57,7
58,-11
59,4
60,10
61,3
62,4
63,0
64,-1
65,1
66,22
67,12
68,1
69,2
70,-3
71,-7
72,0
73,15
74,10
75,-5
76,-6
77,-1
78,4
79,3
80,-2
81,0
82,7
83,-7
84,-3
85,4
86,-11
87,-10
88,5
89,12
90,1
91,1
92,-6
93,-6
94,2
95,2
96,7
97,-8
98,-6
99,1
100,-6
101,-8
102,1
103,0
104,-6
105,12
106,5
107,3
108,-2
109,-8
110,3
111,-7
112,4
113,0
114,1
115,-4
116,2
117,-1
118,3
119,2
120,-10
121,32
122,6
123,-7
124,-10
125,0
126,1
127,2
128,3
129,1
130,8
131,2
132,0
133,3
134,-3
135,1
136,0
137,-2
138,-3
139,1
140,1
141,-4
142,-2
143,1
144,10
145,8
146,-10
147,6
148,3
149,14
150,3
151,5
152,8
153,-8
154,2
155,1
156,12
157,4
158,9
159,0
160,2
161,-12
162,3
163,-1
164,12
165,-8
166,0
167,15
168,-5
169,2
170,0
171,4
172,0
173,-8
174,11
175,3
176,-10
177,-3
178,5
179,2
180,8
181,-5
182,0
183,-3
184,-13
185,10
186,12
187,2
188,-3
189,8
190,1
191,0
192,3
193,1
194,-2
195,-6
196,1
197,-9
198,-8
199,2
200,-3
201,1
202,0
203,5
204,3
205,-9
206,1
207,5
208,-3
209,0
210,0
211,2
212,2
213,-7
214,11
215,-1
216,2
217,19
218,0
219,1
220,6
221,3
222,0
223,-4
224,-7
225,-11
226,9
227,4
228,0
229,4
230,2
231,11
