"SC_ID","value"
1,51
2,-18
3,-127
4,1
5,-134
6,3
7,-36
8,-18
9,89
10,-23
11,-155
12,-95
13,49
14,-51
15,-124
16,-139
17,57
18,-81
19,-100
20,57
21,-13
22,-110
23,-109
24,0
25,-16
26,-166
27,9
28,49
29,-105
30,94
31,-50
32,-137
33,25
34,61
35,-119
36,-101
37,7
38,-26
39,-182
40,22
41,55
42,-13
43,-128
44,4
45,104
46,-198
47,47
48,-78
49,-124
50,-151
51,11
52,-114
53,27
54,-102
55,46
56,-116
57,-77
58,-184
59,83
60,-20
61,-108
62,-28
63,0
64,-168
65,-160
66,136
67,25
68,-1
69,67
70,-101
71,-185
72,-105
73,100
74,-47
75,-145
76,-132
77,14
78,-214
79,-111
80,-125
81,35
82,-174
83,-166
84,-137
85,71
86,-163
87,-157
88,51
89,31
90,6
91,74
92,-81
93,-183
94,21
95,41
96,-55
97,-158
98,-116
99,55
100,-112
101,-170
102,31
103,0
104,-97
105,12
106,-60
107,49
108,-161
109,-128
110,52
111,-113
112,-102
113,5
114,66
115,-89
116,-118
117,40
118,-95
119,-112
120,-133
121,223
122,-104
123,-172
124,-131
125,0
126,-201
127,-107
128,-125
129,31
130,-177
131,-132
132,24
133,55
134,-94
135,18
136,1
137,-121
138,-126
139,37
140,49
141,-172
142,10
143,76
144,-30
145,-3
146,-181
147,79
148,-87
149,54
150,37
151,53
152,-113
153,-168
154,54
155,-137
156,17
157,-20
158,70
159,0
160,75
161,-179
162,67
163,35
164,25
165,-168
166,7
167,1
168,-136
169,-133
170,43
171,-138
172,-106
173,-123
174,97
175,-132
176,-124
177,36
178,43
179,30
180,-126
181,-161
182,4
183,-95
184,-185
185,71
186,89
187,-163
188,-131
189,47
190,-104
191,11
192,-89
193,23
194,-160
195,-140
196,47
197,-118
198,-173
199,42
200,-128
201,-148
202,1
203,-147
204,-128
205,-174
206,58
207,-91
208,-76
209,-128
210,0
211,-106
212,33
213,-134
214,-108
215,-134
216,34
217,19
218,13
219,20
220,-137
221,59
222,2
223,-223
224,-151
225,-166
226,76
227,-152
228,-93
229,31
230,55
231,-117
232,-101
233,25
234,59
235,54
236,-177
237,10
238,-194
239,-156
240,0
241,-134
242,-123
243,24
244,-196
245,-109
246,-161
247,0
248,62
249,-156
250,-136
251,54
252,-225
253,-100
254,78
255,-148
256,33
257,-129
258,0
259,-162
260,-130
261,74
262,25
263,-18
264,14
265,17
266,16
267,49
268,-146
269,-108
270,-160
271,21
272,16
273,15
274,14
275,50
276,-144
277,0
278,-160
279,-152
280,-167
281,62
282,-199
283,-88
284,43
285,28
286,-179
287,-170
288,78
289,-87
290,25
291,0
292,-144
293,-160
294,-120
295,95
296,-86
297,-170
298,69
299,-165
300,-102
301,74
302,-187
303,-69
304,-120
305,58
306,-174
307,-92
308,41
309,5
310,4
311,-220
312,-143
313,53
314,-191
315,-198
316,0
317,45
318,-181
319,43
320,6
321,-218
322,14
323,34
324,8
325,-171
326,-209
327,89
328,10
329,-177
330,-119
331,-148
332,53
333,-185
334,3
335,19
336,61
337,-82
338,-153
339,10
340,-166
341,66
342,-132
343,54
344,71
345,-155
346,-147
347,1
348,11
349,45
350,-191
351,-194
352,60
353,23
354,-193
355,-110
356,-178
357,10
358,-163
359,-154
360,17
361,-77
362,-118
363,13
364,-96
365,-118
366,7
367,-155
368,-75
369,-161
370,7
371,-215
372,-171
373,35
374,19
375,-209
376,47
377,81
378,-178
379,-121
380,13
381,39
382,-146
383,35
384,-189
385,-1
386,-57
387,22
388,-196
389,4
390,-194
391,-129
392,-154
393,32
394,-157
395,4
396,4
397,11
398,1
399,43
400,-123
401,-147
402,3
403,41
404,0
405,-166
406,-22
407,46
408,75
409,45
410,-157
411,55
412,0
413,-219
414,-194
415,-132
416,5
417,-119
418,-38
419,0
420,-111
421,11
422,35
423,-93
424,1
425,42
426,-200
427,-6
428,-198
429,0
430,-98
431,40
432,0
433,-184
434,11
435,-118
436,91
437,-238
438,-81
439,0
440,-108
441,-155
442,89
443,-171
444,-197
445,46
446,0
447,-190
448,-96
449,-203
450,0
451,-198
452,-144
453,1
454,-189
455,41
456,32
457,-10
458,69
459,0
460,-193
461,-127
462,-153
463,0
464,27
465,-188
466,6
467,-199
468,5
469,45
470,-114
471,14
472,22
473,-169
474,-209
475,83
476,8
477,-159
478,0
479,-170
480,7
481,-208
482,-16
483,-66
484,0
485,20
486,-164
487,4
488,-243
489,-169
490,0
491,-164
492,-176
493,-188
494,0
495,-199
496,-34
497,0
498,15
499,-202
500,12
501,80
502,0
503,-115
504,33
505,-77
506,13
507,0
508,38
509,4
510,1
511,-161
512,-117
513,-113
514,0
515,-169
516,5
517,-57
518,2
519,-104
520,-108
521,0
522,44
523,16
524,-128
525,0
526,3
527,-206
528,-170
529,5
530,-2
531,31
532,0
533,-197
534,-183
535,0
536,-154
537,37
538,0
539,-25
540,0
541,24
542,-197
543,0
544,-198
545,-23
546,-66
547,0
548,-158
549,-206
550,0
551,11
552,28
553,0
554,-176
555,3
556,-40
557,0
558,-149
559,-133
560,-182
561,62
562,-97
563,92
564,-90
565,-178
566,93
567,-204
568,-227
569,5
570,-148
571,-72
572,93
573,-137
574,-101
575,-55
576,0
577,42
578,0
579,-218
580,-157
581,0
582,-195
583,-210
584,-171
585,60
586,-209
587,-89
588,-144
589,70
590,-231
591,1
592,44
593,1
594,-216
595,-85
596,4
597,45
598,-145
599,-72
600,-183
601,1
602,-99
603,-1
604,74
605,3
606,-68
607,-53
608,29
609,61
610,15
611,167
612,-190
613,11
614,-53
615,40
616,0
617,-88
618,12
619,16
620,53
621,91
622,-186
623,31
624,-146
625,28
626,47
627,8
628,-209
629,6
630,43
631,0
632,-47
633,-115
634,94
635,-96
636,0
637,-174
638,-130
639,32
640,-175
641,-58
642,93
643,130
644,-195
645,0
646,-199
647,54
648,-157
649,-217
650,-40
651,104
652,-106
653,-185
654,0
655,9
656,-170
657,82
658,-63
659,73
660,-192
661,-171
662,24
663,0
664,-143
665,20
666,-161
667,55
668,16
669,-188
670,22
671,69
672,-226
673,-34
674,35
675,-139
676,18
677,34
678,81
679,14
680,-215
681,12
682,0
683,-185
684,-165
685,0
686,-174
687,0
688,-162
689,2
690,42
691,11
692,-33
693,104
694,12
695,-182
696,18
697,47
698,3
699,-216
700,-40
701,-164
702,0
703,-190
704,-238
705,-158
706,55
707,0
708,-172
709,-217
710,55
711,-144
712,-3
713,-191
714,93
715,-182
716,32
717,0
718,-224
719,-163
720,64
721,-224
722,0
723,-132
724,-238
725,114
726,0
727,-178
728,49
729,-217
730,17
731,-164
732,53
733,17
734,-234
735,-217
736,0
737,-143
738,-193
739,0
740,-195
741,13
742,-228
743,0
744,-155
745,-220
746,-176
747,21
748,-231
749,-222
750,125
751,-197
752,24
753,-41
754,0
755,-149
756,22
757,-181
758,0
759,-115
760,74
761,36
762,-156
763,8
764,92
765,16
766,-154
767,-197
768,3
769,-153
770,37
771,0
772,-151
773,-183
774,12
775,17
776,-151
777,6
778,37
779,1
780,-190
781,-61
782,-173
783,12
784,-16
785,35
786,72
787,-192
788,11
789,40
790,-205
791,18
792,-48
793,17
794,31
795,-164
796,9
797,-232
798,26
799,0
800,-99
801,-52
802,91
803,-161
804,5
805,-187
806,-169
807,-29
808,0
809,-175
810,-213
811,0
812,97
813,112
814,-119
815,-190
816,0
817,-170
818,-150
819,69
820,20
821,-235
822,-57
823,210
824,49
825,31
826,82
827,153
828,-185
829,100
830,0
831,-151
832,1
833,45
834,166
835,-147
836,19
837,-174
838,61
839,-201
840,103
841,54
842,-230
843,0
844,-195
845,57
846,71
847,-168
848,15
849,48
850,-147
851,-54
852,27
853,-194
854,-230
855,-73
856,0
857,-197
858,13
859,16
860,-114
861,-168
862,-94
863,0
864,-80
865,-91
866,-39
867,9
868,-150
869,-61
870,-126
871,0
872,-197
873,-113
874,80
875,-174
876,3
877,-217
878,0
879,-212
880,2
881,62
882,-222
883,48
884,48
885,28
886,25
887,12
888,-213
889,-165
890,5
891,3
892,-51
893,38
894,0
895,-182
896,12
897,6
898,-141
899,28
900,-42
901,0
902,-53
903,-90
904,8
905,-188
906,-80
907,-227
908,95
909,-196
910,-87
911,-214
912,3
913,-127
914,0
915,-200
916,-224
917,62
918,64
919,46
920,-107
921,-256
922,74
923,-173
924,-109
925,124
926,0
927,-54
928,115
929,0
930,39
931,28
932,24
933,25
934,-160
935,-244
936,87
937,138
938,-175
939,-221
940,24
941,120
942,1
943,16
944,0
945,9
946,-166
947,-222
948,0
949,-127
950,0
951,-149
952,19
953,-24
954,104
955,-184
956,28
957,0
958,-112
959,-204
960,0
961,-195
