"SC_ID","value"
1,NA
2,-0.011
3,-0.158
4,NA
5,NA
6,NA
7,-0.002
8,-0.039
9,NA
10,0
11,-0.261
12,-0.462
13,NA
14,-0.003
15,-0.131
16,-0.5
17,NA
18,-0.023
19,-0.158
20,NA
21,0.038
22,-0.115
23,-0.25
24,NA
25,0.006
26,-0.207
27,NA
28,NA
29,-0.032
30,NA
31,-0.013
32,-0.195
33,NA
34,NA
35,-0.092
36,-0.136
37,NA
38,0.017
39,-0.293
40,NA
41,NA
42,0.031
43,-0.25
44,-0.197
45,NA
46,-0.313
47,NA
48,-0.007
49,-0.185
50,0
51,NA
52,-0.027
53,0.015
54,-0.316
55,NA
56,-0.09
57,-0.143
58,-1
59,NA
60,0.007
61,-0.15
62,-0.029
63,NA
64,-0.139
65,-0.162
66,NA
67,-0.047
68,-0.071
69,NA
70,-0.07
71,-0.296
72,-0.353
73,NA
74,0.002
75,-0.145
76,-0.4
77,NA
78,-0.077
79,-0.154
80,-0.5
81,NA
82,-0.1
83,-0.142
84,-0.194
85,NA
86,-0.223
87,NA
88,NA
89,-0.067
90,NA
91,NA
92,-0.083
93,-0.298
94,NA
95,NA
96,-0.006
97,-0.171
98,-0.571
99,NA
100,-0.088
101,-0.165
102,0
103,NA
104,-0.094
105,-0.005
106,-0.062
107,NA
108,-0.257
109,-0.667
110,NA
111,-0.077
112,-0.148
113,NA
114,NA
115,-0.068
116,-0.2
117,NA
118,-0.08
119,-0.18
120,-0.5
121,NA
122,-0.029
123,-0.237
124,-0.5
125,NA
126,-0.082
127,-0.169
128,-0.172
129,NA
130,-0.079
131,-0.231
132,NA
133,NA
134,-0.155
135,-0.034
136,NA
137,-0.107
138,-0.225
139,NA
140,NA
141,-0.05
142,NA
143,NA
144,0
145,-0.025
146,-1
147,NA
148,-0.073
149,0.061
150,1
151,NA
152,-0.182
153,-0.5
154,NA
155,-0.109
156,0.037
157,-0.137
158,NA
159,NA
160,NA
161,-0.273
162,NA
163,NA
164,-0.062
165,-0.5
166,NA
167,0.025
168,-0.151
169,-0.444
170,NA
171,-0.111
172,-0.21
173,-0.172
174,NA
175,-0.113
176,-0.6
177,NA
178,NA
179,NA
180,-0.044
181,-0.156
182,NA
183,-0.082
184,-0.296
185,NA
186,NA
187,-0.118
188,-0.182
189,NA
190,-0.09
191,NA
192,-0.143
193,NA
194,-0.248
195,0
196,NA
197,-0.089
198,-0.282
199,NA
200,-0.102
201,-0.24
202,NA
203,-0.113
204,-0.153
205,NA
206,NA
207,-0.028
208,-0.168
209,-0.146
210,NA
211,-0.08
212,NA
213,-0.099
214,-0.191
215,-0.375
216,NA
217,-0.064
218,NA
219,NA
220,-0.091
221,NA
222,NA
223,-0.087
224,-0.165
225,NA
226,NA
227,-0.05
228,-0.153
229,0.111
230,NA
231,-0.009
232,-0.205
233,0
234,NA
235,0.099
236,-0.204
237,NA
238,-0.077
239,-0.5
240,NA
241,-0.19
242,-0.5
243,NA
244,-0.08
245,-0.186
246,-0.4
247,NA
248,0.14
249,-0.204
250,-0.571
251,NA
252,-0.098
253,-0.103
254,NA
255,-0.107
256,Inf
257,-0.192
258,NA
259,-0.127
260,-0.18
261,NA
262,Inf
263,-0.25
264,NA
265,NA
266,NA
267,NA
268,-0.105
269,-0.179
270,NA
271,NA
272,-0.065
273,NA
274,NA
275,0.857
276,NA
277,NA
278,-0.078
279,-0.25
280,-0.556
281,NA
282,-0.083
283,-0.158
284,NA
285,0.052
286,-0.174
287,-0.4
288,NA
289,0
290,NA
291,NA
292,-0.102
293,-0.175
294,-0.107
295,NA
296,-0.143
297,-0.6
298,NA
299,-0.121
300,-0.194
301,NA
302,-0.119
303,-0.119
304,-0.162
305,NA
306,-0.108
307,-0.187
308,NA
309,NA
310,0.016
311,-0.229
312,-0.667
313,NA
314,-0.087
315,-0.228
316,NA
317,2
318,-0.184
319,NA
320,NA
321,-0.087
322,0
323,Inf
324,NA
325,-0.141
326,-0.22
327,Inf
328,NA
329,-0.12
330,-0.2
331,-0.667
332,NA
333,-0.141
334,0
335,NA
336,NA
337,-0.122
338,-0.5
339,NA
340,-0.124
341,5
342,NA
343,NA
344,0.107
345,-0.194
346,NA
347,NA
348,NA
349,NA
350,-0.077
351,-0.182
352,NA
353,NA
354,-0.072
355,-0.172
356,-0.5
357,NA
358,-0.184
359,-1
360,NA
361,-0.016
362,NA
363,NA
364,-0.141
365,-0.235
366,NA
367,-0.123
368,-0.145
369,-0.333
370,NA
371,-0.111
372,-0.17
373,0
374,NA
375,-0.144
376,NA
377,NA
378,-0.122
379,-0.193
380,0
381,NA
382,-0.095
383,NA
384,-0.149
385,NA
386,-0.014
387,NA
388,-0.529
389,NA
390,-0.129
391,-0.16
392,0
393,NA
394,-0.132
395,NA
396,0.011
397,NA
398,-0.118
399,NA
400,-0.189
401,-0.333
402,NA
403,1.5
404,NA
405,-0.139
406,-0.053
407,NA
408,NA
409,1.6
410,-0.179
411,NA
412,NA
413,-0.089
414,-0.174
415,NA
416,NA
417,-0.189
418,0.068
419,NA
420,-0.188
421,NA
422,NA
423,-0.191
424,NA
425,NA
426,-0.089
427,NA
428,-0.556
429,NA
430,-0.165
431,0
432,NA
433,-0.137
434,NA
435,-0.22
436,NA
437,-0.101
438,-0.164
439,NA
440,-0.172
441,-0.5
442,NA
443,-0.141
444,-0.189
445,0
446,NA
447,-0.159
448,-0.173
449,-0.455
450,NA
451,-0.209
452,NA
453,NA
454,-0.147
455,0
456,NA
457,0
458,NA
459,NA
460,-0.144
461,-0.195
462,-0.5
463,NA
464,Inf
465,-0.5
466,NA
467,-0.207
468,-0.042
469,NA
470,-0.159
471,NA
472,NA
473,-0.082
474,-0.143
475,NA
476,NA
477,-0.105
478,NA
479,-0.149
480,NA
481,-0.179
482,-0.014
483,-0.109
484,NA
485,NA
486,0
487,NA
488,-0.104
489,-1
490,NA
491,-0.135
492,-0.197
493,-0.4
494,NA
495,-0.161
496,-0.065
497,NA
498,NA
499,-0.149
500,NA
501,Inf
502,NA
503,0
504,NA
505,-0.153
506,-0.041
507,NA
508,Inf
509,NA
510,NA
511,-0.138
512,-0.176
513,NA
514,NA
515,-0.152
516,-0.029
517,0.069
518,NA
519,-0.207
520,NA
521,NA
522,4
523,NA
524,-0.5
525,NA
526,NA
527,-0.148
528,-0.5
529,NA
530,0
531,0.2
532,NA
533,-0.132
534,-0.196
535,NA
536,-0.199
537,NA
538,NA
539,-0.101
540,NA
541,NA
542,-0.423
543,NA
544,-0.168
545,-0.171
546,-0.152
547,NA
548,-0.13
549,-0.188
550,NA
551,-0.429
552,0
553,NA
554,-0.088
555,NA
556,-0.091
557,NA
558,-0.141
559,-0.189
560,NA
561,NA
562,-0.103
563,NA
564,-0.174
565,NA
566,NA
567,-0.16
568,-0.218
569,NA
570,-0.141
571,-0.124
572,NA
573,-0.087
574,-0.054
575,0.032
576,NA
577,NA
578,NA
579,-0.206
580,-1
581,NA
582,-0.149
583,-0.14
584,-0.435
585,NA
586,-0.194
587,-0.071
588,0
589,NA
590,-0.107
591,-0.043
592,Inf
593,NA
594,-0.09
595,-0.151
596,NA
597,NA
598,-0.092
599,-0.202
600,-0.444
601,NA
602,-0.043
603,-0.039
604,NA
605,NA
606,-0.13
607,0.333
608,NA
609,3.5
610,NA
611,NA
612,-0.095
613,0
614,0.222
615,NA
616,0.02
617,-0.141
618,NA
619,NA
620,NA
621,NA
622,-0.179
623,NA
624,-0.177
625,NA
626,NA
627,NA
628,-0.223
629,NA
630,NA
631,NA
632,-0.149
633,0
634,NA
635,-0.103
636,NA
637,-0.145
638,-0.159
639,NA
640,-0.188
641,-0.129
642,NA
643,NA
644,-0.203
645,NA
646,-1
