"SC_ID","value"
1,0.45
2,0
3,-0.03
4,0
5,-0.23
6,0
7,0.013
8,0.041
9,0.569
10,0
11,-0.036
12,-0.104
13,0.289
14,0.002
15,0.007
16,-0.171
17,0.19
18,-0.011
19,0.003
20,0.17
21,0.006
22,-0.005
23,-0.156
24,0
25,0.002
26,-0.061
27,0.5
28,0.533
29,-0.018
30,0.717
31,-0.007
32,-0.046
33,0.152
34,0.239
35,-0.033
36,-0.098
37,0
38,0.004
39,-0.095
40,0.072
41,0.238
42,0.034
43,-0.02
44,0.028
45,0.755
46,-0.099
47,0.143
48,-0.006
49,-0.056
50,-0.186
51,-0.048
52,-0.015
53,0.048
54,-0.1
55,0.235
56,-0.025
57,0.03
58,-0.198
59,0.231
60,0.034
61,-0.019
62,0
63,0
64,-0.04
65,-0.094
66,0.973
67,0.047
68,0.031
69,0.224
70,-0.028
71,-0.108
72,-0.103
73,0.698
74,0.015
75,-0.044
76,-0.186
77,0.059
78,-0.059
79,-0.003
80,-0.123
81,0.611
82,-0.04
83,-0.066
84,-0.086
85,0.324
86,-0.082
87,-0.198
88,0.75
89,0.054
90,1
91,0.265
92,-0.031
93,-0.107
94,0.074
95,0.5
96,-0.01
97,-0.057
98,-0.179
99,0.164
100,-0.037
101,-0.068
102,0.062
103,0
104,-0.045
105,0.055
106,-0.016
107,1
108,-0.053
109,-0.185
110,0.125
111,-0.044
112,-0.019
113,0.5
114,0.25
115,-0.021
116,-0.066
117,0.029
118,-0.02
119,-0.03
120,-0.204
121,1.769
122,-0.014
123,-0.101
124,-0.16
125,0
126,-0.057
127,-0.025
128,-0.031
129,0.053
130,-0.029
131,-0.029
132,0.068
133,0.191
134,-0.013
135,0.034
136,0
137,-0.023
138,-0.051
139,0.086
140,0.145
141,-0.047
142,0.125
143,0.156
144,0.023
145,0.036
146,-0.174
147,0.714
148,-0.019
149,0.104
150,0.093
151,0.333
152,-0.07
153,-0.179
154,0.167
155,-0.021
156,0.072
157,0.037
158,0.391
159,0
160,0.451
161,-0.12
162,0.417
163,0.037
164,0.091
165,-0.185
166,1
167,0.066
168,-0.062
169,-0.096
170,0.056
171,-0.019
172,-0.058
173,-0.082
174,0.595
175,-0.021
176,-0.197
177,0.116
178,0.222
179,0.111
180,-0.012
181,-0.075
182,1
183,-0.025
184,-0.117
185,0.301
186,0.605
187,-0.038
188,-0.043
189,0.475
190,-0.03
191,0.286
192,-0.034
193,0.087
194,-0.055
195,-0.18
196,0.241
197,-0.05
198,-0.118
199,0.2
200,-0.07
201,-0.042
202,0
203,-0.021
204,-0.03
205,-0.246
206,0.222
207,-0.022
208,-0.008
209,-0.043
210,0
211,-0.038
212,0.2
213,-0.077
214,-0.054
215,-0.096
216,0.455
217,0.085
218,0.357
219,0.086
220,-0.043
221,0.409
222,0
223,-0.075
224,-0.082
225,-0.259
226,0.361
227,-0.018
228,-0.022
229,0.065
230,0.311
231,-0.004
232,-0.075
233,0.045
234,0.216
235,0.127
236,-0.103
237,0.091
238,-0.048
239,-0.146
240,0
241,-0.036
242,-0.142
243,0.214
244,-0.043
245,-0.035
246,-0.081
247,0
248,0.127
249,-0.049
250,-0.116
251,0.25
252,-0.081
253,-0.013
254,0.259
255,-0.085
256,0.097
257,-0.091
258,0
259,-0.025
260,-0.028
261,0.265
262,0.055
263,-0.038
264,0.1
265,0.044
266,0.182
267,0.379
268,-0.045
269,-0.053
270,-0.232
271,0.385
272,0.077
273,0.357
274,0.053
275,0.152
276,-0.247
277,0
278,-0.035
279,-0.046
280,-0.109
281,1.053
282,-0.055
283,-0.037
284,0.333
285,0.113
286,-0.086
287,-0.103
288,0.75
289,0
290,0.106
291,0
292,-0.032
293,-0.063
294,-0.074
295,0.703
296,-0.035
297,-0.139
298,0.296
299,-0.076
300,-0.051
301,0.512
302,-0.082
303,-0.003
304,-0.061
305,0.464
306,-0.063
307,-0.055
308,0.124
309,0
310,0.052
311,-0.125
312,-0.126
313,1.182
314,-0.052
315,-0.13
316,0
317,0.625
318,-0.094
319,0.132
320,0
321,-0.044
322,0.071
323,0.084
324,1
325,-0.038
326,-0.097
327,0.266
328,0.333
329,-0.096
330,-0.055
331,-0.118
332,0.6
333,-0.044
334,0.066
335,0.25
336,2.714
337,-0.063
338,-0.13
339,0.5
340,-0.074
341,0.201
342,-0.215
343,0.255
344,0.204
345,-0.034
346,-0.237
347,0
348,0.625
349,0.333
350,-0.034
351,-0.09
352,0.135
353,0.667
354,-0.021
355,-0.053
356,-0.125
357,1
358,-0.051
359,-0.194
360,1
361,0.005
