"SC_ID","value"
1,0
2,-27
3,-100
4,0
5,-6
6,0
7,-43
8,-27
9,1
10,-28
11,-107
12,-59
13,0
14,-47
15,-105
16,-43
17,0
18,-61
19,-97
20,0
21,-28
22,-98
23,-37
24,0
25,-30
26,-89
27,0
28,0
29,-82
30,0
31,-47
32,-81
33,4
34,0
35,-88
36,-58
37,0
38,-36
39,-112
40,2
41,0
42,-26
43,-106
44,-27
45,0
46,-118
47,0
48,-38
49,-90
50,-20
51,0
52,-64
53,-19
54,-55
55,0
56,-85
57,-71
58,-19
59,2
60,-26
61,-90
62,-35
63,0
64,-107
65,-83
66,1
67,-12
68,-24
69,0
70,-74
71,-112
72,-56
73,0
74,-29
75,-95
76,-29
77,0
78,-111
79,-101
80,-59
81,0
82,-109
83,-104
84,-79
85,2
86,-89
87,-9
88,0
89,-10
90,0
91,0
92,-81
93,-107
94,4
95,0
96,-44
97,-93
98,-30
99,0
100,-79
101,-111
102,4
103,0
104,-83
105,-20
106,-64
107,0
108,-105
109,-31
110,7
111,-77
112,-92
113,0
114,1
115,-78
116,-90
117,0
118,-77
119,-90
120,-20
121,40
122,-64
123,-97
124,-33
125,0
126,-108
127,-94
128,-116
129,2
130,-102
131,-104
132,5
133,0
134,-93
135,-12
136,0
137,-91
138,-81
139,7
140,0
141,-86
142,0
143,0
144,-33
145,-18
146,-24
147,0
148,-75
149,-5
150,6
151,0
152,-98
153,-27
154,0
155,-95
156,-7
157,-42
158,8
159,0
160,1
161,-97
162,0
163,0
164,-7
165,-28
166,0
167,-15
168,-82
169,-64
170,1
171,-92
172,-93
173,-69
174,0
175,-96
176,-12
177,0
178,8
179,2
180,-63
181,-102
182,0
183,-83
184,-111
185,15
186,0
187,-102
188,-121
189,1
190,-84
191,0
192,-89
193,0
194,-103
195,-30
196,0
197,-82
198,-101
199,0
200,-90
201,-104
202,0
203,-92
204,-92
205,-11
206,1
207,-52
208,-57
209,-91
210,0
211,-79
212,0
213,-89
214,-91
215,-64
216,0
217,-27
218,0
219,0
220,-87
221,0
222,0
223,-114
224,-97
225,-9
226,0
227,-69
228,-92
229,2
230,0
231,-60
232,-92
233,0
234,0
235,-9
236,-99
237,0
238,-107
239,-42
240,0
241,-93
242,-39
243,0
244,-89
245,-92
246,-86
247,0
248,-9
249,-107
250,-47
251,0
252,-122
253,-79
254,1
255,-92
256,1
257,-75
258,0
259,-102
260,-119
261,0
262,3
263,-21
264,0
265,0
266,0
267,0
268,-91
269,-94
270,-23
271,0
272,-14
273,0
274,0
275,-2
276,-11
277,0
278,-96
279,-105
280,-64
281,0
282,-104
283,-91
284,0
285,-14
286,-97
287,-85
288,0
289,-59
290,1
291,0
292,-89
293,-95
294,-84
295,1
296,-84
297,-67
298,0
299,-92
300,-89
301,0
302,-97
303,-48
304,-80
305,0
306,-100
307,-84
308,9
309,0
310,-12
311,-116
312,-50
313,0
314,-104
315,-102
316,0
317,3
318,-106
319,10
320,0
321,-103
322,-19
323,2
324,0
325,-109
326,-119
327,21
328,0
329,-101
330,-95
331,-52
332,0
333,-111
334,-13
335,0
336,0
337,-87
338,-56
339,0
340,-96
341,8
342,-20
343,0
344,-7
345,-109
346,-18
347,0
348,0
349,0
350,-114
351,-107
352,15
353,0
354,-85
355,-98
356,-82
357,0
358,-112
359,-20
360,0
361,-44
362,0
363,0
364,-87
365,-96
366,0
367,-97
368,-78
369,-68
370,0
371,-118
372,-97
373,-2
374,0
375,-106
376,11
377,0
378,-107
379,-98
380,-18
381,0
382,-92
383,0
384,-100
385,0
386,-60
387,0
388,-113
389,0
390,-107
391,-98
392,-36
393,0
394,-104
395,0
396,-11
397,0
398,-26
399,0
400,-98
401,-72
402,0
403,4
404,0
405,-98
406,-24
407,5
408,0
409,3
410,-111
411,8
412,0
413,-102
414,-105
415,-1
416,0
417,-99
418,-50
419,0
420,-94
421,0
422,0
423,-83
424,0
425,0
426,-114
427,0
428,-130
429,0
430,-94
431,-5
432,0
433,-107
434,0
435,-95
436,0
437,-106
438,-83
439,0
440,-97
441,-78
442,0
443,-98
444,-122
445,-3
446,0
447,-106
448,-94
449,-124
450,0
451,-104
452,-13
453,0
454,-107
455,3
456,0
457,-14
458,8
459,0
460,-112
461,-102
462,-66
463,0
464,3
465,-117
466,0
467,-126
468,-29
469,0
470,-79
471,0
472,0
473,-112
474,-109
475,15
476,0
477,-97
478,0
479,-102
480,0
481,-103
482,-18
483,-63
484,0
485,0
486,-34
487,0
488,-122
489,-28
490,0
491,-100
492,-122
493,-115
494,0
495,-115
496,-30
497,0
498,0
499,-110
500,0
501,9
502,0
503,-4
504,0
505,-79
506,-18
507,0
508,2
509,0
510,0
511,-91
512,-105
513,-8
514,0
515,-102
516,-17
517,-60
518,0
519,-87
520,-1
521,0
522,2
523,0
524,-25
525,0
526,0
527,-105
528,-83
529,0
530,-6
531,-4
532,0
533,-98
534,-123
535,0
536,-86
537,3
538,0
539,-58
540,0
541,0
542,-125
543,0
544,-110
545,-24
546,-68
547,0
548,-114
549,-125
550,0
551,6
552,-8
553,0
554,-109
555,0
556,-64
557,0
558,-115
559,-109
560,-16
561,0
562,-86
563,0
564,-65
565,-18
566,0
567,-119
568,-117
569,0
570,-94
571,-71
572,0
573,-94
574,-78
575,-63
576,0
577,9
578,0
579,-112
580,-20
581,0
582,-99
583,-117
584,-115
585,0
586,-108
587,-65
588,-31
589,0
590,-117
591,-13
592,2
593,0
594,-118
595,-82
596,0
597,0
598,-100
599,-57
600,-121
601,0
602,-64
603,-12
604,12
605,0
606,-82
607,-61
608,0
609,2
610,0
611,0
612,-99
613,4
614,-60
615,0
616,-11
617,-82
618,0
619,0
620,5
621,2
622,-111
623,0
624,-106
625,1
626,0
627,0
628,-110
629,1
630,3
631,0
632,-61
633,-75
634,0
635,-72
636,0
637,-118
638,-113
639,0
640,-110
641,-73
642,26
643,0
644,-102
645,0
646,-24
647,0
648,-115
649,-135
650,-62
651,0
652,-83
653,-39
654,0
655,4
656,-87
657,0
658,-82
659,1
660,-98
661,-121
662,-22
663,0
664,-103
665,1
666,-84
667,4
668,-6
669,-125
670,0
671,0
672,-125
673,-45
674,0
675,-92
676,-7
677,2
678,1
679,-11
680,-119
681,0
682,0
683,-98
684,-60
685,0
686,-103
687,0
688,-108
689,0
690,1
691,0
692,-31
693,25
694,0
695,-88
696,2
697,5
698,0
699,-109
700,-50
701,-132
702,0
703,-102
704,-117
705,-38
706,0
707,0
708,-110
709,-61
710,0
711,-108
712,-22
713,-52
714,3
715,-88
716,-30
717,0
718,-116
719,-126
720,0
721,-68
722,0
723,-91
724,-130
725,15
726,0
727,-117
728,0
729,-116
730,0
731,-127
732,0
733,-11
734,-133
735,-80
736,0
737,-107
738,-74
739,0
740,-101
741,-27
742,-83
743,0
744,-80
745,-120
746,-94
747,0
748,-127
749,-92
750,12
751,-111
752,1
753,-31
754,0
755,-105
756,-9
757,-91
758,0
759,-60
760,9
761,0
762,-104
763,0
764,20
765,0
766,-100
767,-76
768,0
769,-119
770,-25
771,0
772,-107
773,-120
774,0
775,0
776,-104
777,0
778,6
779,0
780,-123
781,-73
782,-124
783,0
784,-20
785,2
786,0
787,-111
788,2
789,0
790,-128
791,-15
792,-58
793,0
794,-21
795,-127
796,0
797,-110
798,-29
799,0
800,-79
801,-37
802,2
803,-123
804,0
805,-103
806,-118
807,-43
808,0
809,-97
810,-84
811,0
812,12
813,0
814,-96
815,-88
816,0
817,-105
818,-109
819,0
820,-13
821,-117
822,-38
823,7
824,-3
825,0
826,9
827,0
828,-119
829,8
830,0
831,-99
832,0
833,8
834,0
835,-101
836,-21
837,-52
838,0
839,-105
840,5
841,0
842,-118
843,0
844,-110
845,12
846,0
847,-111
848,-18
849,0
850,-94
851,-42
852,0
853,-100
854,-106
855,-63
856,0
857,-112
858,-23
859,0
860,-91
861,-107
862,-68
863,0
864,-74
865,-77
866,-25
867,0
868,-102
869,-71
870,-73
871,0
872,-107
873,-78
874,0
875,-93
876,0
877,-128
878,0
879,-105
880,-23
881,0
882,-119
883,5
884,0
885,1
886,-16
887,0
888,-102
889,-112
890,0
891,0
892,-55
893,-5
894,0
895,-101
896,-24
897,0
898,-100
899,4
900,-34
901,0
902,-69
903,-56
904,0
905,-105
906,-73
907,-133
908,0
909,-99
910,-68
911,-119
912,0
913,-105
914,0
915,-105
916,-138
917,0
918,2
919,-3
920,-73
921,-130
922,0
923,-104
924,-76
925,1
926,0
927,-38
928,19
929,0
930,-4
931,2
932,0
933,0
934,-109
935,-130
936,1
937,0
938,-87
939,-107
940,-15
941,3
942,0
943,0
944,0
945,-13
946,-109
947,-132
948,0
949,-107
950,0
951,-104
952,-7
953,-38
954,0
955,-106
956,0
957,0
958,-87
959,-126
960,0
961,-103
962,24
963,0
964,-81
965,0
966,-113
967,0
968,-66
969,0
970,5
971,-12
972,0
973,-106
974,-1
975,-70
976,0
977,-27
978,0
979,4
980,-113
981,-8
982,0
983,-91
984,-126
985,3
986,0
987,-57
988,-50
989,0
990,-84
991,-27
992,0
993,-96
994,0
995,-60
996,0
997,-97
998,0
999,-7
1000,0
1001,5
1002,11
1003,0
1004,-103
1005,13
1006,0
1007,3
1008,0
1009,-96
1010,-16
1011,0
1012,-7
1013,18
1014,0
1015,-6
1016,0
1017,-118
1018,-100
1019,3
1020,0
1021,-100
1022,6
1023,0
1024,13
1025,15
1026,0
1027,-9
1028,11
1029,0
1030,30
1031,0
1032,-102
1033,-125
1034,-78
1035,0
1036,13
1037,-13
1038,0
1039,0
1040,0
1041,-92
1042,0
1043,-145
1044,0
1045,-110
1046,-102
1047,-26
1048,0
1049,-79
1050,-101
1051,6
1052,0
1053,-85
1054,7
1055,-98
1056,0
1057,-102
1058,-15
1059,0
1060,-31
1061,-100
1062,0
1063,0
1064,-96
1065,-19
1066,-146
1067,0
1068,-98
1069,-99
1070,0
1071,0
1072,-102
1073,-52
1074,12
1075,0
1076,-100
1077,-20
1078,-127
1079,0
1080,-111
1081,0
1082,-94
1083,0
1084,3
1085,5
1086,-51
1087,-105
1088,-25
1089,18
1090,-100
1091,-1
1092,-10
1093,-125
1094,10
1095,-114
1096,-50
1097,-95
1098,15
1099,10
1100,-50
1101,-4
1102,-103
1103,14
1104,-75
1105,-98
1106,0
1107,3
1108,-98
1109,-75
1110,2
1111,-126
1112,0
1113,-112
1114,2
1115,-169
1116,-97
1117,-102
1118,-95
1119,0
1120,-102
1121,-144
1122,-49
1123,-13
1124,-15
1125,-26
1126,-113
1127,-115
1128,-101
1129,-64
1130,-173
1131,-91
1132,-32
1133,-12
1134,1
1135,0
1136,-145
1137,-103
1138,-90
1139,1
1140,-72
1141,0
1142,0
1143,0
1144,-111
1145,-65
1146,3
1147,-14
1148,-2
1149,-72
1150,-9
1151,-167
1152,0
1153,-66
1154,-98
1155,-98
1156,20
1157,-2
1158,0
1159,-1
1160,-84
1161,-102
1162,0
1163,2
1164,0
1165,-100
1166,-62
1167,-55
1168,0
1169,9
1170,0
1171,-17
1172,-28
1173,-98
1174,-26
1175,1
1176,1
1177,-101
1178,0
1179,-101
1180,-73
1181,-51
1182,0
1183,-87
1184,-5
1185,-3
1186,-66
1187,-28
1188,-160
1189,-94
1190,12
1191,-162
1192,-2
1193,12
1194,-20
1195,-101
1196,0
1197,1
1198,-44
1199,-111
1200,-94
1201,-64
1202,0
1203,-122
1204,12
1205,2
1206,-71
1207,-87
1208,3
1209,-80
1210,-1
1211,2
1212,-14
1213,-2
1214,-105
1215,-1
1216,-145
1217,-64
1218,2
1219,-5
1220,-101
1221,-18
1222,-16
1223,-112
1224,8
1225,9
1226,-105
1227,0
1228,5
1229,-119
1230,-4
1231,0
1232,-83
1233,-1
1234,2
1235,2
1236,-24
1237,-51
1238,-33
1239,0
1240,-99
1241,0
1242,0
1243,-7
1244,-26
1245,-12
1246,-112
1247,-5
1248,0
1249,-117
1250,7
1251,3
1252,-109
1253,-52
1254,0
1255,-101
1256,-39
1257,-17
1258,5
1259,-16
1260,-55
1261,-51
1262,-41
1263,0
1264,-104
1265,8
1266,3
1267,-102
1268,-37
1269,0
1270,-113
1271,2
1272,0
1273,-93
1274,11
1275,-15
1276,-98
1277,-7
1278,0
1279,-93
1280,-36
1281,-18
1282,-3
1283,0
1284,6
1285,-100
1286,8
1287,-123
1288,-94
1289,-24
1290,-20
1291,-3
1292,0
1293,-85
1294,0
1295,2
1296,-104
1297,-42
1298,0
1299,-104
1300,-3
1301,-37
1302,-110
1303,9
1304,-14
1305,-41
1306,-14
1307,0
1308,-30
1309,-50
1310,1
1311,-55
1312,-32
1313,1
1314,-96
1315,-26
1316,3
1317,-108
1318,-16
1319,-7
1320,-20
1321,1
1322,-40
1323,-57
1324,-69
1325,1
1326,-24
1327,-103
1328,-32
1329,0
1330,-119
1331,0
1332,-107
1333,-30
1334,5
1335,-96
1336,-26
1337,4
1338,-93
1339,12
1340,-12
1341,-127
1342,0
1343,0
1344,-53
1345,-56
1346,0
1347,-80
1348,0
1349,0
1350,-95
1351,-52
1352,7
1353,-103
1354,0
1355,0
1356,-15
1357,-46
1358,-6
1359,-68
1360,-23
1361,-55
1362,-104
1363,-34
1364,9
1365,-101
1366,-64
1367,0
1368,-116
1369,1
1370,-9
1371,-113
1372,-29
1373,8
1374,-95
1375,-18
1376,-14
1377,-9
1378,-63
1379,1
1380,-87
1381,0
1382,0
1383,-108
1384,12
1385,0
1386,-59
1387,3
1388,-11
1389,0
1390,2
1391,-80
1392,-2
1393,5
1394,-83
1395,3
1396,7
1397,-109
1398,4
1399,4
1400,-112
1401,-20
1402,0
1403,-122
1404,-56
1405,23
1406,-17
1407,-26
1408,2
1409,-98
1410,-10
1411,0
1412,-87
1413,-20
1414,5
1415,-75
1416,4
1417,-104
1418,-69
1419,0
1420,-108
1421,-30
1422,0
1423,-102
1424,-23
1425,3
1426,-18
1427,0
1428,2
1429,-101
1430,0
1431,-76
1432,3
1433,-4
1434,-108
1435,-36
1436,0
1437,0
1438,-3
1439,-101
1440,-62
1441,0
1442,-95
1443,-75
1444,1
1445,-96
1446,-52
1447,13
1448,0
1449,0
1450,3
1451,0
1452,-2
1453,-58
1454,0
1455,-33
1456,2
1457,-6
1458,-27
1459,1
1460,-105
1461,-34
1462,0
1463,-117
1464,0
1465,1
1466,-92
1467,-39
1468,0
1469,-2
1470,6
1471,-108
1472,0
1473,0
1474,-105
1475,-38
1476,1
1477,-44
1478,0
1479,-85
1480,-62
1481,0
1482,-13
1483,0
1484,0
1485,-114
1486,0
1487,2
1488,0
1489,-43
1490,0
1491,-99
1492,-60
1493,4
1494,-88
1495,-52
1496,0
1497,-125
1498,-41
1499,0
1500,-110
1501,4
1502,2
1503,-102
1504,0
1505,-106
1506,-16
1507,0
1508,-70
1509,-36
1510,0
1511,-117
1512,-87
1513,0
1514,0
1515,9
1516,-102
1517,-97
1518,0
1519,-110
1520,-52
1521,0
1522,-109
1523,-38
1524,0
1525,-100
1526,3
1527,0
1528,-111
1529,-61
1530,0
1531,-110
1532,-34
1533,-132
1534,-92
1535,-50
1536,-102
1537,-47
1538,0
1539,-103
1540,-41
1541,0
1542,-113
1543,-7
1544,0
1545,-98
1546,0
1547,-8
1548,-58
1549,0
1550,-101
1551,-34
1552,0
1553,-97
1554,-8
1555,0
1556,-101
1557,4
1558,5
1559,-102
1560,-27
1561,-54
1562,-107
1563,-20
1564,18
1565,-106
1566,0
1567,0
1568,-143
1569,-57
1570,-68
1571,-145
1572,-36
1573,-107
1574,2
1575,0
1576,-103
1577,-41
1578,-85
1579,-106
1580,-104
1581,5
1582,-88
1583,-46
1584,-125
1585,-109
1586,-36
1587,-15
1588,-100
1589,0
1590,2
1591,-106
1592,0
1593,0
1594,-122
1595,0
1596,1
1597,-109
1598,0
1599,0
1600,-107
1601,0
1602,-125
1603,-103
1604,0
1605,13
1606,1
1607,-102
1608,0
1609,-41
1610,-73
1611,0
1612,-40
1613,-103
1614,-80
1615,-4
1616,-94
1617,-60
1618,-22
1619,0
1620,-67
1621,-75
1622,0
1623,-70
1624,-107
1625,12
1626,-31
1627,-73
1628,-125
1629,0
1630,-78
1631,0
1632,0
1633,-83
1634,-97
1635,0
1636,-102
1637,0
1638,20
1639,-101
1640,14
1641,-88
1642,-85
1643,0
1644,1
1645,-102
1646,0
1647,-58
1648,-106
1649,-77
1650,2
1651,-100
1652,-77
1653,0
1654,-99
1655,-70
1656,-33
1657,-81
1658,-90
1659,8
1660,-103
1661,-11
1662,-114
1663,-96
1664,0
1665,-119
1666,-89
1667,-42
1668,0
1669,-79
1670,-83
1671,0
1672,-94
1673,0
1674,0
1675,-101
1676,-62
1677,-23
1678,-94
1679,-104
1680,3
1681,-78
1682,0
1683,0
1684,-96
1685,-78
1686,0
1687,-98
1688,-96
1689,0
1690,-98
1691,-57
1692,-105
1693,0
1694,0
1695,-29
1696,0
1697,-95
1698,-15
1699,-26
1700,-92
1701,-90
1702,-3
1703,-96
1704,0
1705,-137
1706,-111
1707,-60
1708,-103
1709,2
1710,0
1711,-80
1712,0
1713,-101
1714,-90
1715,0
1716,-100
1717,-75
1718,-58
1719,-84
1720,-32
1721,-53
1722,0
1723,-16
1724,-109
1725,-104
1726,0
1727,-121
1728,-56
1729,4
1730,-118
1731,-112
1732,0
1733,-90
1734,-108
1735,-58
1736,-113
1737,-25
1738,-120
1739,-118
1740,-121
1741,0
1742,-111
1743,-76
1744,-90
1745,-110
1746,-91
1747,0
1748,-102
1749,-2
1750,4
1751,-110
1752,0
1753,1
1754,-2
1755,-109
1756,12
1757,-11
1758,-100
1759,3
1760,10
1761,-41
1762,0
1763,-115
1764,-10
1765,0
1766,-55
1767,-102
1768,10
1769,3
1770,-79
1771,-117
1772,30
1773,-103
1774,0
1775,-154
1776,-101
1777,-42
1778,-53
1779,-104
1780,-114
1781,0
1782,-75
1783,-2
1784,5
1785,-93
1786,-108
1787,1
1788,-102
1789,-111
1790,21
1791,-106
1792,-97
1793,0
1794,-105
1795,-32
1796,-35
1797,-105
1798,0
1799,-121
1800,-113
1801,0
1802,0
1803,-109
1804,-115
1805,-21
1806,7
1807,-103
1808,0
1809,-14
1810,11
1811,7
1812,-29
1813,-7
1814,-100
1815,-124
1816,-31
1817,-111
1818,-57
1819,-161
1820,11
1821,0
1822,-71
1823,-99
1824,-21
1825,-94
1826,0
1827,0
1828,-94
1829,0
1830,5
1831,-99
1832,-44
1833,3
1834,-96
1835,-30
1836,-58
1837,-82
1838,-91
1839,-98
1840,-68
1841,0
1842,-126
1843,-119
1844,-98
1845,10
1846,-9
1847,0
1848,-101
1849,0
1850,-18
1851,-17
1852,-81
1853,-166
1854,-22
1855,-40
1856,-86
1857,-100
1858,-116
1859,0
1860,-38
1861,-119
1862,4
1863,-52
1864,-10
1865,0
1866,-78
1867,0
1868,-124
1869,-131
1870,5
1871,-101
1872,0
1873,-16
1874,-49
1875,-89
1876,-112
1877,-95
1878,-95
1879,-80
1880,-94
1881,-69
1882,-65
1883,-102
1884,-65
1885,0
1886,-126
1887,0
1888,-103
1889,13
1890,0
1891,-93
1892,-66
1893,-60
1894,-126
1895,0
1896,10
1897,-139
1898,-91
1899,0
1900,-54
1901,-113
1902,0
1903,-119
1904,-96
1905,-56
1906,-105
1907,-120
1908,0
1909,-113
1910,15
1911,-38
1912,-112
1913,0
1914,4
1915,-111
1916,12
1917,-103
1918,-22
1919,-116
1920,-31
1921,-99
1922,-1
1923,-88
1924,-99
1925,0
1926,0
1927,-97
1928,0
1929,-50
1930,-87
1931,0
1932,-88
1933,-94
1934,-95
1935,2
1936,-111
1937,0
1938,4
1939,-98
1940,1
1941,-99
1942,0
1943,0
1944,-101
1945,-16
1946,-119
1947,-108
1948,-86
1949,0
1950,7
1951,3
1952,-96
1953,-61
1954,-40
1955,-30
1956,-40
1957,-122
1958,0
1959,-33
1960,-66
1961,-109
1962,5
1963,-66
1964,0
1965,-70
1966,-71
1967,-131
1968,-70
1969,0
1970,-86
1971,-18
1972,10
1973,1
1974,2
1975,-1
1976,0
1977,-72
1978,-75
1979,-6
1980,-108
1981,-3
1982,-25
1983,0
1984,-109
1985,0
1986,-78
1987,0
1988,0
1989,-3
1990,0
1991,4
1992,-84
1993,0
1994,-117
1995,6
1996,-104
1997,0
1998,-96
1999,-37
2000,0
2001,-31
2002,0
2003,-9
2004,0
2005,-63
2006,0
2007,-29
2008,0
2009,-21
2010,-126
2011,-137
2012,-119
2013,0
2014,0
2015,0
2016,-124
2017,-107
2018,-1
2019,-51
2020,-97
2021,-93
2022,-37
2023,-26
2024,-85
2025,0
2026,-111
2027,-150
2028,-41
2029,-38
2030,-105
2031,4
2032,0
2033,-16
2034,-78
2035,0
2036,-148
2037,-30
2038,-131
2039,0
2040,-75
2041,-17
2042,0
2043,-25
2044,-86
2045,0
2046,-88
2047,-8
2048,-3
2049,0
2050,-38
2051,0
2052,6
2053,-57
2054,34
2055,-14
2056,0
2057,0
2058,-8
2059,-115
2060,-82
2061,-9
2062,-110
2063,7
2064,-71
2065,-65
2066,0
2067,-62
2068,-61
2069,0
2070,-12
2071,-40
2072,0
2073,0
2074,-23
2075,0
2076,-10
2077,2
2078,-75
2079,-39
2080,-88
2081,-109
2082,0
2083,-88
2084,-20
2085,0
2086,-108
2087,-102
2088,-33
2089,-22
2090,-45
2091,0
2092,-92
2093,0
2094,19
2095,-126
2096,-11
2097,0
2098,-10
2099,-40
2100,0
2101,-47
2102,12
2103,0
2104,0
2105,0
2106,0
2107,0
2108,-90
2109,-89
2110,0
2111,-48
2112,0
2113,-100
2114,3
2115,-6
2116,-10
2117,-104
2118,-124
2119,20
2120,4
2121,-67
2122,-124
2123,-142
2124,-38
2125,18
2126,-114
2127,-11
2128,-92
2129,-139
2130,0
2131,-133
2132,-100
2133,-159
2134,0
2135,1
2136,-28
2137,-77
2138,-48
2139,10
2140,-125
2141,-59
2142,-5
2143,-20
2144,-7
2145,-24
2146,-18
2147,-5
2148,-74
2149,-58
2150,-79
2151,-21
2152,6
2153,1
2154,-21
2155,-93
2156,-39
2157,-93
2158,-118
2159,13
2160,-113
2161,0
2162,-8
2163,11
2164,-79
2165,-136
2166,-109
2167,11
2168,-19
2169,0
2170,-88
2171,-3
2172,-81
2173,-44
2174,-93
2175,-125
2176,-2
2177,-92
2178,-19
2179,-101
2180,-96
2181,9
2182,0
2183,-124
2184,-99
2185,1
2186,-57
2187,4
2188,-48
2189,-10
2190,-3
2191,-107
2192,-33
2193,0
2194,-104
2195,0
2196,-77
2197,-40
2198,-114
2199,0
2200,-86
2201,-17
2202,0
2203,2
2204,0
2205,-19
2206,-62
2207,-95
2208,-18
2209,2
2210,3
2211,-111
2212,-94
2213,-65
2214,-113
2215,-139
2216,-4
2217,-47
2218,-104
2219,-6
2220,-116
2221,-119
2222,-100
2223,-26
2224,-68
2225,12
2226,-73
2227,-35
2228,-88
2229,2
2230,-89
2231,-100
2232,-39
2233,0
2234,-21
2235,-95
2236,-90
2237,0
2238,3
2239,-108
2240,-63
2241,-92
2242,-153
2243,-95
2244,4
2245,-91
2246,-107
2247,-96
2248,-44
2249,0
2250,13
2251,-78
2252,0
2253,-146
2254,-17
2255,-16
2256,-98
2257,-92
2258,-37
2259,0
2260,-114
2261,-10
2262,-112
2263,-108
2264,-18
2265,-111
2266,27
2267,-96
