"SC_ID","value"
1,0.971
2,-0.022
3,-0.214
4,Inf
5,-0.512
6,3.5
7,-0.035
8,-0.068
9,0.702
10,-0.032
11,-0.263
12,-0.273
13,0.654
14,-0.046
15,-0.16
16,-0.442
17,0.402
18,-0.092
19,-0.152
20,0.43
21,-0.014
22,-0.155
23,-0.407
24,NA
25,-0.031
26,-0.273
27,1.4
28,0.803
29,-0.115
30,0.916
31,-0.053
32,-0.239
33,0.193
34,0.557
35,-0.202
36,-0.253
37,1.667
38,-0.036
39,-0.318
40,0.13
41,0.556
42,-0.004
43,-0.216
44,-0.01
45,0.924
46,-0.336
47,0.629
48,-0.065
49,-0.194
50,-0.495
51,0.417
52,-0.095
53,0.032
54,-0.271
55,0.837
56,-0.194
57,-0.166
58,-0.53
59,0.734
60,-0.006
61,-0.158
62,-0.089
63,NA
64,-0.24
65,-0.338
66,1.632
67,0.116
68,-0.062
69,0.737
70,-0.177
71,-0.323
72,-0.267
73,0.859
74,-0.035
75,-0.202
76,-0.42
77,0.545
78,-0.24
79,-0.168
80,-0.347
81,1.215
82,-0.215
83,-0.257
84,-0.282
85,0.457
86,-0.261
87,-0.509
88,1.429
89,0.133
90,2.429
91,0.822
92,-0.203
93,-0.322
94,0.147
95,0.804
96,-0.104
97,-0.289
98,-0.379
99,0.433
100,-0.195
101,-0.271
102,0.112
103,NA
104,-0.212
105,0.008
106,-0.112
107,1.475
108,-0.27
109,-0.44
110,0.307
111,-0.195
112,-0.152
113,5.333
114,0.468
115,-0.184
116,-0.198
117,0.351
118,-0.153
119,-0.173
120,-0.452
121,1.849
122,-0.097
123,-0.294
124,-0.442
125,NA
126,-0.236
127,-0.164
128,-0.175
129,0.306
130,-0.188
131,-0.232
132,0.183
133,0.56
134,-0.148
135,0.034
136,Inf
137,-0.201
138,-0.267
139,0.259
140,0.447
141,-0.185
142,0.703
143,0.454
144,-0.102
145,-0.017
146,-0.516
147,1.34
148,-0.153
149,0.091
150,0.181
151,1.15
152,-0.258
153,-0.524
154,0.447
155,-0.204
156,0.02
157,-0.064
158,0.426
159,Inf
160,0.601
161,-0.313
162,0.542
163,0.422
164,0.107
165,-0.51
166,2.25
167,0.007
168,-0.288
169,-0.312
170,0.344
171,-0.191
172,-0.212
173,-0.26
174,0.971
175,-0.204
176,-0.438
177,0.492
178,0.288
179,0.298
180,-0.132
181,-0.281
182,3.667
183,-0.176
184,-0.35
185,0.404
186,0.84
187,-0.214
188,-0.159
189,0.497
190,-0.208
191,0.793
192,-0.162
193,0.312
194,-0.271
195,-0.478
196,0.661
197,-0.225
198,-0.319
199,0.49
200,-0.261
201,-0.24
202,Inf
203,-0.197
204,-0.201
205,-0.595
206,0.489
207,-0.129
208,-0.173
209,-0.173
210,Inf
211,-0.18
212,0.504
213,-0.256
214,-0.204
215,-0.323
216,0.66
217,0.036
218,0.879
219,0.362
220,-0.202
221,0.584
222,Inf
223,-0.278
224,-0.285
225,-0.593
226,0.516
227,-0.153
228,-0.162
229,0.073
230,0.556
231,-0.109
232,-0.224
233,0.072
234,0.539
235,0.083
236,-0.335
237,0.806
238,-0.226
239,-0.434
240,NA
241,-0.234
242,-0.389
243,0.62
244,-0.205
245,-0.18
246,-0.31
247,NA
248,0.125
249,-0.256
250,-0.356
251,0.64
252,-0.308
253,-0.148
254,0.541
255,-0.263
256,0.25
257,-0.291
258,1
259,-0.218
260,-0.126
261,0.635
262,0.193
263,-0.055
264,0.58
265,0.22
266,0.841
267,0.988
268,-0.218
269,-0.189
270,-0.552
271,0.586
272,0.088
273,1.407
274,0.309
275,0.227
276,-0.56
277,NA
278,-0.203
279,-0.255
280,-0.367
281,1.311
282,-0.246
283,-0.168
284,0.764
285,0.05
286,-0.329
287,-0.327
288,1.564
289,-0.088
290,0.177
291,NA
292,-0.199
293,-0.323
294,-0.221
295,0.929
296,-0.153
297,-0.367
298,0.669
299,-0.269
300,-0.192
301,0.781
302,-0.265
303,-0.11
304,-0.198
305,0.884
306,-0.248
307,-0.175
308,0.246
309,2.667
310,0.03
311,-0.378
312,-0.355
313,1.878
314,-0.236
315,-0.346
316,NA
317,0.511
318,-0.288
319,0.316
320,2
321,-0.212
322,0.028
323,0.113
324,2.6
325,-0.229
326,-0.352
327,0.413
328,0.857
329,-0.298
330,-0.209
331,-0.358
332,1.29
333,-0.236
334,-0.005
335,0.96
336,2.767
337,-0.184
338,-0.363
339,1.357
340,-0.254
341,0.391
342,-0.508
343,0.58
344,0.221
345,-0.274
346,-0.544
347,Inf
348,1.875
349,0.734
350,-0.207
351,-0.287
352,0.283
353,1
354,-0.159
355,-0.212
356,-0.34
357,2.714
358,-0.288
359,-0.517
360,1.647
361,-0.064
362,-0.606
363,0.8
364,-0.208
365,-0.131
366,2.286
367,-0.235
368,-0.164
369,-0.345
370,14
371,-0.31
372,-0.352
373,0.087
374,1.125
375,-0.288
376,0.424
377,0.761
378,-0.25
379,-0.21
380,-0.001
381,0.473
382,-0.218
383,0.606
384,-0.286
385,0.118
386,-0.063
387,1.526
388,-0.295
389,3.5
390,-0.29
391,-0.243
392,-0.421
393,0.652
394,-0.196
395,1
396,0.044
397,1.923
398,-0.002
399,0.72
400,-0.254
401,-0.34
402,4
403,0.717
404,NA
405,-0.218
406,0.008
407,0.326
408,0.534
409,1.078
410,-0.29
411,0.33
412,NA
413,-0.218
414,-0.376
415,-0.575
416,1.2
417,-0.223
418,-0.058
419,NA
420,-0.234
421,1.031
422,1.225
423,-0.197
424,Inf
425,8.5
426,-0.223
427,0.269
428,-0.266
429,NA
430,-0.203
431,0.063
432,NA
433,-0.27
434,0.343
435,-0.13
436,4.444
437,-0.235
438,-0.193
439,NA
440,-0.223
441,-0.279
442,1.045
443,-0.23
444,-0.327
445,0.134
446,NA
447,-0.302
448,-0.215
449,-0.29
450,NA
451,-0.365
452,-0.562
453,Inf
454,-0.284
455,0.132
456,1.207
457,0.029
458,0.266
459,NA
460,-0.251
461,-0.266
462,-0.354
463,NA
464,0.243
465,-0.251
466,0.556
467,-0.349
468,-0.009
469,1.224
470,-0.154
471,0.557
472,30
473,-0.204
474,-0.408
475,0.399
476,0.733
477,-0.237
478,NA
479,-0.255
480,Inf
481,-0.264
482,0.017
483,-0.061
484,NA
485,0.284
486,-0.492
487,0.5
488,-0.269
489,-0.554
490,NA
491,-0.243
492,-0.326
493,-0.267
494,NA
