"SC_ID","value"
1,116
2,248
3,194
4,2
5,76
6,4
7,338
8,358
9,238
10,184
11,274
12,247
13,146
14,409
15,287
16,101
17,218
18,319
19,276
20,218
21,206
22,246
23,95
24,0
25,324
26,276
27,10
28,156
29,284
30,219
31,473
32,271
33,104
34,199
35,95
36,299
37,12
38,374
39,231
40,122
41,184
42,173
43,273
44,446
45,232
46,242
47,154
48,478
49,266
50,84
51,49
52,395
53,407
54,267
55,100
56,105
57,223
58,78
59,187
60,212
61,253
62,358
63,0
64,228
65,263
66,153
67,191
68,253
69,199
70,134
71,252
72,272
73,229
74,420
75,279
76,88
77,46
78,215
79,254
80,167
81,83
82,152
83,236
84,311
85,270
86,296
87,82
88,84
89,210
90,5
91,174
92,82
93,253
94,119
95,127
96,181
97,173
98,105
99,242
100,104
101,186
102,180
103,0
104,86
105,311
106,543
107,84
108,277
109,92
110,274
111,117
112,247
113,2
114,245
115,120
116,274
117,257
118,174
119,248
120,78
121,197
122,481
123,240
124,110
125,0
126,230
127,232
128,563
129,232
130,204
131,285
132,107
133,198
134,286
135,331
136,1
137,122
138,201
139,124
140,202
141,332
142,22
143,256
144,128
145,215
146,90
147,131
148,183
149,252
150,141
151,100
152,225
153,67
154,227
155,137
156,213
157,365
158,276
159,0
160,232
161,218
162,227
163,204
164,259
165,71
166,11
167,163
168,188
169,225
170,283
171,176
172,244
173,366
174,180
175,133
176,69
177,111
178,130
179,208
180,337
181,182
182,5
183,152
184,214
185,163
186,181
187,195
188,673
189,186
190,111
191,30
192,245
193,163
194,273
195,94
196,117
197,113
198,251
199,160
200,62
201,268
202,1
203,197
204,279
205,52
206,189
207,236
208,180
209,556
210,0
211,157
212,127
213,83
214,268
215,199
216,118
217,405
218,30
219,114
220,153
221,196
222,1
223,180
224,160
225,55
226,222
227,318
228,259
229,192
230,186
231,357
232,254
233,218
234,186
235,245
236,192
237,26
238,198
239,98
240,0
241,262
242,125
243,86
244,271
245,237
246,256
247,0
248,218
249,280
250,156
251,153
252,126
253,582
254,222
255,88
256,257
257,358
258,1
259,209
260,815
261,201
262,264
263,236
264,49
265,158
266,39
267,99
268,130
269,239
270,66
271,72
272,268
273,27
274,95
275,102
276,53
277,0
278,185
279,283
280,167
281,101
282,186
283,232
284,106
285,217
286,222
287,256
288,122
289,364
290,252
291,0
292,158
293,194
294,414
295,170
296,283
297,197
298,168
299,122
300,283
301,158
302,177
303,278
304,468
305,131
306,177
307,291
308,155
309,6
310,227
311,200
312,155
313,72
314,177
315,209
316,0
317,44
318,183
319,121
320,8
321,268
322,372
323,165
324,11
325,229
326,219
327,238
328,25
329,70
330,222
331,152
332,80
333,229
334,183
335,41
336,66
337,222
338,161
339,18
340,155
341,155
342,79
343,135
344,96
345,249
346,64
347,1
348,19
349,103
350,208
351,206
352,256
353,48
354,383
355,216
356,266
357,14
358,264
359,70
360,26
361,412
362,40
363,35
364,197
365,641
366,12
367,125
368,274
369,178
370,8
371,105
372,207
373,212
374,27
375,175
376,131
377,199
378,206
379,215
380,578
381,117
382,154
383,81
384,124
385,139
386,626
387,22
388,364
389,5
390,184
391,249
392,121
393,60
394,280
395,7
396,217
397,8
398,590
399,81
400,236
401,192
402,2
403,57
404,0
405,270
406,332
407,173
408,207
409,33
410,238
411,205
412,0
413,274
414,216
415,52
416,5
417,204
418,523
419,0
420,249
421,23
422,45
423,268
424,2
425,24
426,223
427,35
428,446
429,0
430,215
431,363
432,0
433,153
434,40
435,675
436,78
437,296
438,240
439,0
440,198
441,327
442,146
443,322
444,257
445,222
446,0
447,121
448,251
449,419
450,0
451,207
452,82
453,0
454,206
455,243
456,34
457,317
458,281
459,0
460,179
461,233
462,180
463,0
464,168
465,435
466,7
467,227
468,669
469,63
470,320
471,45
472,6
473,214
474,170
475,212
476,12
477,152
478,0
479,161
480,3
481,289
482,320
483,633
484,0
485,127
486,93
487,3
488,231
489,72
490,0
491,241
492,206
493,417
494,0
495,196
496,392
497,1
498,14
499,239
500,9
501,271
502,0
503,65
504,19
505,245
506,647
507,0
508,26
509,6
510,0
511,228
512,242
513,56
514,0
515,253
516,263
517,511
518,0
519,222
520,33
521,0
522,23
523,19
524,79
525,0
526,2
527,275
528,221
529,6
530,196
531,258
532,0
533,275
534,225
535,0
536,245
537,150
538,0
539,704
540,0
541,148
542,539
543,0
544,259
545,282
546,656
547,0
548,190
549,229
550,0
551,220
552,402
553,0
554,226
555,2
556,656
557,0
558,176
559,256
560,30
561,180
562,179
563,130
564,320
565,61
566,176
567,314
568,164
569,5
570,257
571,232
572,205
573,209
574,151
575,459
576,0
577,170
578,0
579,178
580,38
581,0
582,265
583,181
584,517
585,84
586,286
587,209
588,86
589,121
590,164
591,183
592,190
593,0
594,148
595,185
596,6
597,173
598,182
599,163
600,546
601,2
602,430
603,183
604,225
605,4
606,215
607,386
608,116
609,35
610,43
611,308
612,261
613,228
614,430
615,182
616,171
617,158
618,33
619,16
620,192
621,183
622,232
623,122
624,132
625,111
626,239
627,16
628,268
629,110
630,184
631,0
632,245
633,429
634,298
635,229
636,0
637,195
638,253
639,207
640,235
641,228
642,386
643,264
644,286
645,0
646,51
647,88
648,179
649,246
650,513
651,220
652,204
653,51
654,0
655,188
656,202
657,106
658,287
659,150
660,321
661,247
662,455
663,0
664,215
665,132
666,225
667,222
668,120
669,554
670,84
671,65
672,226
673,466
674,217
675,210
676,172
677,302
678,255
679,174
680,189
681,34
682,0
683,283
684,136
685,0
686,260
687,0
688,231
689,4
690,182
