"SC_ID","value"
1,59
2,-21
3,-46
4,2
5,-179
6,3
7,-26
8,-6
9,100
10,-20
11,-92
12,-71
13,60
14,-41
15,-30
16,-194
17,76
18,-52
19,-29
20,77
21,-13
22,-45
23,-176
24,0
25,-26
26,-133
27,7
28,70
29,-61
30,106
31,-49
32,-94
33,24
34,81
35,-47
36,-68
37,8
38,-26
39,-109
40,23
41,74
42,-10
43,-73
44,23
45,115
46,-121
47,73
48,-46
49,-36
50,-188
51,21
52,-59
53,1
54,-71
55,64
56,-50
57,-47
58,-232
59,89
60,-11
61,-25
62,-11
63,0
64,-69
65,-133
66,105
67,16
68,14
69,97
70,-47
71,-108
72,-71
73,105
74,-23
75,-57
76,-173
77,23
78,-92
79,-41
80,-134
81,46
82,-85
83,-94
84,-104
85,76
86,-106
87,-216
88,56
89,20
90,4
91,83
92,-31
93,-104
94,23
95,57
96,-26
97,-100
98,-146
99,77
100,-49
101,-78
102,22
103,0
104,-44
105,-1
106,-17
107,50
108,-91
109,-186
110,66
111,-48
112,-31
113,2
114,74
115,-33
116,-39
117,74
118,-49
119,-25
120,-183
121,115
122,-42
123,-90
124,-189
125,0
126,-86
127,-30
128,-31
129,58
130,-80
131,-76
132,22
133,77
134,-34
135,31
136,1
137,-38
138,-88
139,26
140,68
141,-72
142,14
143,92
144,-11
145,-5
146,-230
147,79
148,-32
149,11
150,23
151,68
152,-64
153,-224
154,76
155,-40
156,-4
157,13
158,75
159,0
160,81
161,-93
162,74
163,68
164,29
165,-224
166,8
167,10
168,-99
169,-129
170,79
171,-39
172,-39
173,-82
174,96
175,-33
176,-169
177,38
178,31
179,54
180,-45
181,-98
182,4
183,-29
184,-117
185,48
186,88
187,-62
188,-29
189,59
190,-40
191,18
192,-35
193,47
194,-92
195,-187
196,45
197,-52
198,-102
199,57
200,-71
201,-77
202,1
203,-44
204,-58
205,-223
206,68
207,-34
208,-39
209,-59
210,0
211,-53
212,50
213,-58
214,-42
215,-136
216,42
217,26
218,16
219,38
220,-69
221,66
222,1
223,-97
224,-92
225,-219
226,81
227,-46
228,-40
229,20
230,63
231,-46
232,-46
233,21
234,72
235,26
236,-121
237,16
238,-90
239,-209
240,0
241,-68
242,-151
243,37
244,-64
245,-27
246,-156
247,0
248,26
249,-90
250,-161
251,64
252,-112
253,-45
254,84
255,-60
256,60
257,-96
258,1
259,-74
260,-16
261,82
262,37
263,1
264,23
265,41
266,23
267,55
268,-73
269,-36
270,-222
271,31
272,38
273,19
274,28
275,18
276,-205
277,0
278,-86
279,-84
280,-204
281,57
282,-93
283,-46
284,47
285,13
286,-134
287,-148
288,84
289,-30
290,31
291,0
292,-74
293,-124
294,-75
295,80
296,-36
297,-168
