"SC_ID","value"
1,0
2,257
3,174
4,0
5,0
6,0
7,385
8,184
9,1
10,204
11,166
12,107
13,0
14,468
15,278
16,9
17,0
18,436
19,257
20,0
21,227
22,258
23,9
24,0
25,354
26,130
27,0
28,0
29,391
30,0
31,531
32,112
33,25
34,0
35,271
36,98
37,0
38,417
39,156
40,32
41,0
42,189
43,143
44,212
45,0
46,145
47,0
48,557
49,191
50,0
51,0
52,482
53,340
54,119
55,0
56,288
57,110
58,1
59,0
60,233
61,224
62,168
63,0
64,254
65,58
66,0
67,125
68,123
69,0
70,313
71,154
72,116
73,0
74,463
75,277
76,6
77,0
78,304
79,246
80,38
81,0
82,289
83,217
84,61
85,2
86,145
87,0
88,0
89,119
90,0
91,0
92,223
93,145
94,31
95,0
96,213
97,118
98,9
99,0
100,287
101,194
102,53
103,0
104,238
105,252
106,261
107,0
108,152
109,5
110,12
111,300
112,231
113,0
114,1
115,246
116,180
117,1
118,342
119,188
120,1
121,22
122,528
123,149
124,2
125,0
126,306
127,207
128,226
129,2
130,344
131,153
132,35
133,0
134,262
135,194
136,0
137,244
138,82
139,19
140,0
141,412
142,0
143,0
144,116
145,168
146,2
147,0
148,331
149,178
150,45
151,0
152,140
153,3
154,0
155,244
156,145
157,185
158,12
159,0
160,1
161,130
162,0
163,0
164,146
165,4
166,0
167,141
168,78
169,56
170,2
171,256
172,156
173,136
174,0
175,231
176,1
177,0
178,45
179,2
180,381
181,212
182,0
183,252
184,133
185,60
186,0
187,247
188,291
189,1
190,213
191,0
192,213
193,0
194,142
195,2
196,0
197,236
198,137
199,0
200,199
201,133
202,0
203,262
204,270
205,0
206,0
207,293
208,114
209,298
210,0
211,312
212,0
213,218
214,169
215,43
216,0
217,326
218,0
219,0
220,305
221,0
222,0
223,292
224,210
225,0
226,0
227,379
228,237
229,87
230,0
231,421
232,156
233,82
234,0
235,201
236,92
237,0
238,324
239,8
240,0
241,133
242,20
243,0
244,344
245,199
246,63
247,0
248,178
249,159
250,20
251,0
252,217
253,323
254,0
255,212
256,1
257,126
258,0
259,245
260,382
261,0
262,8
263,100
264,0
265,0
266,0
267,0
268,290
269,162
270,0
271,0
272,145
273,0
274,0
275,57
276,0
277,0
278,319
279,144
280,22
281,0
282,283
283,214
284,0
285,223
286,88
287,72
288,0
289,440
290,0
291,0
292,306
293,83
294,151
295,0
296,255
297,40
298,0
299,210
300,144
301,0
302,231
303,206
304,184
305,0
306,237
307,177
308,45
309,0
310,216
311,124
312,17
313,0
314,283
315,109
316,0
317,17
318,229
319,26
320,0
321,343
322,269
323,49
324,0
325,214
326,140
327,75
328,0
329,209
330,176
331,14
332,0
333,219
334,131
335,0
336,0
337,174
338,13
339,0
340,223
341,8
342,1
343,0
344,96
345,140
346,0
347,0
348,0
349,0
350,325
351,190
352,64
353,0
354,457
355,144
356,72
357,0
358,149
359,1
360,0
361,462
362,0
363,0
364,155
365,316
366,0
367,280
368,176
369,23
370,0
371,184
372,87
373,55
374,0
375,216
376,13
377,0
378,224
379,173
380,263
381,0
382,302
383,0
384,226
385,0
386,303
387,0
388,117
389,0
390,207
391,132
392,4
393,0
394,219
395,0
396,231
397,0
398,264
399,0
400,121
401,25
402,0
403,9
404,0
405,206
406,201
407,34
408,0
409,9
410,144
411,18
412,0
413,335
414,91
415,0
416,0
417,168
418,226
419,0
420,132
421,0
422,0
423,138
424,0
425,0
426,309
427,0
428,152
429,0
430,124
431,120
432,0
433,224
434,0
435,333
436,0
437,325
438,152
439,0
440,122
441,105
442,0
443,217
444,144
445,70
446,0
447,201
448,126
449,149
450,0
451,108
452,21
453,0
454,204
455,57
456,0
457,308
458,72
459,0
460,248
461,128
462,31
463,0
464,7
465,141
466,0
467,126
468,325
469,0
470,250
471,0
472,0
473,316
474,75
475,55
476,0
477,283
478,0
479,224
480,0
481,195
482,172
483,271
484,0
485,0
486,3
487,0
488,284
489,1
490,0
491,194
492,129
493,140
494,0
495,190
496,220
497,0
498,0
499,258
500,0
501,81
502,0
503,16
504,0
505,162
506,301
507,0
508,3
509,0
510,0
511,192
512,135
513,0
514,0
515,194
516,104
517,184
518,0
519,151
520,0
521,0
522,4
523,0
524,2
525,0
526,0
527,186
528,55
529,0
530,183
531,93
532,0
533,177
534,120
535,0
536,199
537,19
538,0
539,355
540,0
541,0
542,210
543,0
544,192
545,94
546,299
547,0
548,242
549,120
550,0
551,21
552,118
553,0
554,291
555,0
556,335
557,0
558,248
559,143
560,0
561,0
562,114
563,0
564,249
565,0
566,0
567,225
568,92
569,0
570,189
571,142
572,0
573,301
574,91
575,206
576,0
577,35
578,0
579,108
580,0
581,0
582,157
583,104
584,194
585,0
586,189
587,129
588,5
589,0
590,216
591,122
592,75
593,0
594,210
595,102
596,0
597,0
598,277
599,127
600,216
601,0
602,432
603,88
604,60
605,0
606,129
607,154
608,0
609,6
610,0
611,0
612,262
613,18
614,139
615,0
616,188
617,83
618,0
619,0
620,12
621,0
622,180
623,0
624,200
625,1
626,0
627,0
628,160
629,2
630,52
631,0
632,155
633,151
634,0
635,127
636,0
637,215
638,148
639,0
640,175
641,140
642,75
643,0
644,180
645,0
646,1
647,0
648,214
649,112
650,178
651,0
652,121
653,7
654,0
655,18
656,48
657,0
658,180
659,0
660,195
661,135
662,149
663,0
664,294
665,1
666,56
667,6
668,78
669,193
670,0
671,51
672,139
673,155
674,0
675,281
676,120
677,80
678,0
679,176
680,91
681,0
682,0
683,164
684,22
685,0
686,275
687,0
688,151
689,0
690,61
691,0
692,362
693,59
694,0
695,117
696,14
697,8
698,0
699,183
700,135
701,263
702,0
703,225
704,99
705,7
706,0
707,0
708,161
709,11
710,0
711,215
712,194
713,14
714,2
715,133
716,181
717,0
718,174
719,219
720,0
721,24
722,0
723,275
724,128
725,68
726,0
727,149
728,0
729,175
730,0
731,224
732,0
733,202
734,125
735,37
736,0
737,135
738,38
739,0
740,149
741,173
742,39
743,0
744,138
745,88
746,70
747,0
748,123
749,57
750,6
751,239
752,3
753,96
754,0
755,284
756,84
757,61
758,0
759,275
760,53
761,0
762,190
763,0
764,75
765,0
766,162
767,35
768,0
769,141
770,148
771,0
772,180
773,113
774,0
775,0
776,185
777,0
778,22
779,0
780,228
781,166
782,310
783,0
784,92
785,3
786,0
787,191
788,18
789,0
790,217
791,154
792,251
793,0
794,104
795,311
796,0
797,82
798,123
799,0
800,74
801,92
802,0
803,214
804,0
805,172
806,114
807,141
808,0
809,278
810,57
811,0
812,21
813,0
814,182
815,59
816,0
817,249
818,196
819,0
820,276
821,107
822,101
823,0
824,47
825,42
826,27
827,0
828,212
829,5
830,0
831,272
832,0
833,16
834,0
835,178
836,95
837,21
838,0
839,149
840,2
841,0
842,82
843,0
844,179
845,19
846,0
847,112
848,148
849,0
850,266
851,125
852,0
853,117
854,68
855,124
856,0
857,165
858,148
859,0
860,159
861,100
862,181
863,0
864,156
865,147
866,99
867,0
868,304
869,139
870,61
871,0
872,161
873,81
874,0
875,98
876,0
877,92
878,0
879,146
880,129
881,0
882,164
883,35
884,0
885,40
886,156
887,0
888,112
889,106
890,0
891,0
892,116
893,57
894,0
895,156
896,113
897,0
898,308
899,26
900,111
901,0
902,115
903,185
904,0
905,179
906,174
907,105
908,0
909,133
910,127
911,84
912,0
913,202
914,0
915,91
916,123
917,1
918,1
919,272
920,71
921,85
922,0
923,222
924,86
925,0
926,0
927,307
928,18
929,0
930,69
931,70
932,0
933,0
934,182
935,81
936,1
937,0
938,140
939,79
940,152
941,0
942,0
943,0
944,0
945,200
946,106
947,112
948,0
949,307
950,0
951,271
952,64
953,109
954,0
955,182
956,0
957,0
958,172
959,86
960,0
961,132
962,29
963,0
964,95
965,0
966,164
967,0
968,126
969,0
970,51
971,192
972,0
973,267
974,135
975,115
976,0
977,155
978,0
979,48
980,101
981,91
982,0
983,170
984,125
985,48
986,0
987,155
988,104
989,0
990,182
991,144
992,0
993,136
994,0
995,124
996,0
997,167
998,0
999,65
1000,0
1001,37
1002,51
1003,0
1004,154
1005,14
1006,0
1007,43
1008,0
1009,144
1010,142
1011,0
1012,174
1013,15
1014,0
1015,54
1016,0
1017,181
1018,81
1019,135
1020,0
1021,111
1022,6
1023,0
1024,64
1025,65
1026,0
1027,119
1028,83
1029,0
1030,34
1031,0
1032,162
1033,114
1034,204
1035,0
1036,34
1037,144
1038,0
1039,0
1040,0
1041,88
1042,0
1043,130
1044,0
1045,190
1046,82
1047,88
1048,0
1049,261
1050,74
1051,16
1052,0
1053,245
1054,11
1055,258
1056,0
1057,71
1058,100
1059,0
1060,273
1061,80
1062,0
1063,0
1064,240
1065,11
1066,130
1067,0
1068,223
1069,73
1070,1
1071,0
1072,228
1073,42
1074,14
1075,0
1076,218
1077,11
1078,193
1079,0
1080,197
1081,0
1082,302
1083,0
1084,11
1085,5
1086,175
1087,202
1088,135
1089,22
1090,218
1091,51
1092,66
1093,142
1094,21
1095,139
1096,80
1097,237
1098,97
1099,61
1100,561
1101,101
1102,195
1103,104
1104,286
1105,165
1106,0
1107,32
1108,306
1109,79
1110,2
1111,163
1112,0
1113,248
1114,30
1115,227
1116,276
1117,56
1118,323
1119,0
1120,93
1121,182
1122,562
1123,80
1124,136
1125,372
1126,74
1127,273
1128,182
1129,70
1130,251
1131,320
1132,37
1133,79
1134,47
1135,0
1136,248
1137,202
1138,91
1139,0
1140,395
1141,0
1142,0
1143,0
1144,295
1145,74
1146,3
1147,310
1148,30
1149,315
1150,3
1151,299
1152,39
1153,54
1154,461
1155,255
1156,53
1157,86
1158,92
1159,39
1160,411
1161,241
1162,0
1163,26
1164,0
1165,368
1166,257
1167,63
1168,0
1169,64
1170,0
1171,109
1172,251
1173,161
1174,234
1175,2
1176,17
1177,220
1178,0
1179,483
1180,373
1181,37
1182,0
1183,190
1184,0
1185,34
1186,458
1187,19
1188,282
1189,224
1190,33
1191,314
1192,102
1193,85
1194,234
1195,230
1196,0
1197,3
1198,58
1199,358
1200,242
1201,47
1202,0
1203,231
1204,65
1205,19
1206,490
1207,79
1208,29
1209,392
1210,53
1211,25
1212,272
1213,32
1214,317
1215,0
1216,249
1217,342
1218,59
1219,132
1220,287
1221,59
1222,291
1223,275
1224,71
1225,9
1226,331
1227,0
1228,12
1229,199
1230,63
1231,0
1232,225
1233,0
1234,45
1235,10
1236,237
1237,549
1238,26
1239,0
1240,210
1241,0
1242,0
1243,103
1244,7
1245,237
1246,262
1247,73
1248,0
1249,160
1250,6
1251,10
1252,195
1253,42
1254,0
1255,370
1256,19
1257,159
1258,10
1259,4
1260,142
1261,677
1262,24
1263,0
1264,121
1265,64
1266,53
1267,153
1268,19
1269,0
1270,217
1271,74
1272,0
1273,321
1274,45
1275,151
1276,331
1277,1
1278,0
1279,278
1280,29
1281,201
1282,43
1283,0
1284,5
1285,231
1286,57
1287,233
1288,143
1289,16
1290,139
1291,65
1292,0
1293,293
1294,0
1295,18
1296,207
1297,31
1298,0
1299,310
1300,53
1301,57
1302,179
1303,62
1304,115
1305,382
1306,2
1307,0
1308,339
1309,27
1310,0
1311,505
1312,14
1313,31
1314,228
1315,23
1316,2
1317,278
1318,149
1319,91
1320,6
1321,16
1322,11
1323,101
1324,345
1325,33
1326,119
1327,284
1328,10
1329,0
1330,240
1331,0
1332,287
1333,18
1334,3
1335,130
1336,18
1337,4
1338,280
1339,49
1340,79
1341,138
1342,0
1343,0
1344,523
1345,137
1346,0
1347,237
1348,0
1349,0
1350,213
1351,45
1352,8
1353,351
1354,0
1355,0
1356,345
1357,46
1358,60
1359,456
1360,5
1361,106
1362,159
1363,8
1364,7
1365,144
1366,25
1367,0
1368,168
1369,40
1370,106
1371,204
1372,8
1373,22
1374,289
1375,124
1376,46
1377,90
1378,229
1379,1
1380,397
1381,0
1382,0
1383,172
1384,77
1385,0
1386,47
1387,116
1388,178
1389,0
1390,2
1391,141
1392,44
1393,4
1394,321
1395,51
1396,26
1397,211
1398,45
1399,7
1400,179
1401,4
1402,0
1403,225
1404,91
1405,82
1406,342
1407,46
1408,1
1409,243
1410,101
1411,0
1412,381
1413,23
1414,1
1415,396
1416,4
1417,248
1418,221
1419,0
1420,181
1421,7
1422,0
1423,195
1424,42
1425,2
1426,374
1427,0
1428,1
1429,328
1430,0
1431,475
1432,36
1433,45
1434,187
1435,7
1436,0
1437,0
1438,14
1439,253
1440,29
1441,0
1442,145
1443,345
1444,3
1445,273
1446,162
1447,8
1448,0
1449,0
1450,48
1451,0
1452,264
1453,31
1454,0
1455,78
1456,2
1457,288
1458,4
1459,2
1460,231
1461,45
1462,0
1463,213
1464,0
1465,5
1466,231
1467,96
1468,0
1469,55
1470,7
1471,262
1472,0
1473,0
1474,185
1475,18
1476,2
1477,323
1478,0
1479,155
1480,35
1481,0
1482,332
1483,0
1484,0
1485,181
1486,0
1487,2
1488,0
1489,36
1490,0
1491,242
1492,330
1493,13
1494,219
1495,221
1496,0
1497,235
1498,8
1499,0
1500,192
1501,27
1502,2
1503,473
1504,0
1505,182
1506,117
1507,0
1508,163
1509,17
1510,1
1511,217
1512,72
1513,0
1514,0
1515,20
1516,224
1517,137
1518,0
1519,207
1520,149
1521,0
1522,208
1523,5
1524,1
1525,173
1526,60
1527,0
1528,257
1529,23
1530,0
1531,285
1532,48
1533,122
1534,154
1535,101
1536,284
1537,13
1538,0
1539,275
1540,332
1541,0
1542,347
1543,68
1544,0
1545,128
1546,0
1547,112
1548,73
1549,0
1550,269
1551,6
1552,0
1553,226
1554,70
1555,0
1556,230
1557,33
1558,47
1559,179
1560,3
1561,190
1562,256
1563,3
1564,63
1565,307
1566,0
1567,0
1568,257
1569,86
1570,37
1571,283
1572,3
1573,182
1574,16
1575,0
1576,162
1577,10
1578,536
1579,189
1580,212
1581,18
1582,276
1583,72
1584,99
1585,195
1586,133
1587,115
1588,240
1589,0
1590,2
1591,197
1592,0
1593,0
1594,231
1595,0
1596,0
1597,288
1598,0
1599,0
1600,166
1601,0
1602,269
1603,213
1604,0
1605,37
1606,0
1607,167
1608,0
1609,92
1610,316
1611,0
1612,8
1613,206
1614,119
1615,63
1616,176
1617,157
1618,2
1619,0
1620,155
1621,292
1622,0
1623,42
1624,194
1625,59
1626,168
1627,325
1628,113
1629,0
1630,256
1631,0
1632,0
1633,328
1634,220
1635,0
1636,206
1637,0
1638,91
1639,334
1640,46
1641,104
1642,243
1643,0
1644,22
1645,324
1646,0
1647,82
1648,217
1649,122
1650,1
1651,266
1652,134
1653,0
1654,209
1655,93
1656,133
1657,236
1658,168
1659,56
1660,200
1661,1
1662,365
1663,266
1664,0
1665,84
1666,209
1667,8
1668,0
1669,221
1670,129
1671,0
1672,266
1673,0
1674,0
1675,235
1676,50
1677,115
1678,227
1679,90
1680,25
1681,190
1682,0
1683,0
1684,182
1685,155
1686,0
1687,226
1688,137
1689,0
1690,219
1691,15
1692,280
1693,0
1694,0
1695,79
1696,0
1697,228
1698,88
1699,46
1700,188
1701,86
1702,94
1703,233
1704,0
1705,221
1706,156
1707,19
1708,171
1709,32
1710,0
1711,235
1712,0
1713,207
1714,81
1715,0
1716,218
1717,82
1718,198
1719,244
1720,12
1721,11
1722,0
1723,128
1724,237
1725,97
1726,0
1727,225
1728,35
1729,31
1730,216
1731,167
1732,0
1733,241
1734,74
1735,294
1736,199
1737,9
1738,177
1739,174
1740,133
1741,0
1742,191
1743,159
1744,147
1745,234
1746,74
1747,0
1748,204
1749,38
1750,3
1751,183
1752,0
1753,1
1754,22
1755,163
1756,13
1757,116
1758,176
1759,223
1760,40
1761,143
1762,0
1763,155
1764,5
1765,0
1766,293
1767,157
1768,32
1769,6
1770,137
1771,119
1772,56
1773,200
1774,0
1775,369
1776,180
1777,43
1778,418
1779,202
1780,66
1781,0
1782,97
1783,39
1784,17
1785,148
1786,133
1787,1
1788,199
1789,158
1790,36
1791,142
1792,97
1793,0
1794,190
1795,20
1796,179
1797,214
1798,0
1799,293
1800,203
1801,0
1802,0
1803,154
1804,74
1805,56
1806,7
1807,199
1808,0
1809,275
1810,54
1811,35
1812,13
1813,100
1814,197
1815,103
1816,104
1817,178
1818,103
1819,342
1820,56
1821,0
1822,24
1823,164
1824,293
1825,123
1826,0
1827,0
1828,110
1829,0
1830,30
1831,114
1832,57
1833,2
1834,136
1835,236
1836,85
1837,106
1838,210
1839,146
1840,110
1841,0
1842,111
1843,115
1844,137
1845,71
1846,68
1847,0
1848,137
1849,0
1850,52
1851,244
1852,99
1853,229
1854,258
1855,82
1856,58
1857,157
1858,146
1859,0
1860,274
1861,72
1862,4
1863,280
1864,46
1865,28
1866,228
1867,0
1868,258
1869,117
1870,38
1871,84
1872,0
1873,1
1874,85
1875,156
1876,365
1877,153
1878,164
1879,134
1880,159
1881,149
1882,275
1883,180
1884,61
1885,0
1886,179
1887,0
1888,156
1889,30
1890,0
1891,172
1892,68
1893,86
1894,146
1895,0
1896,53
1897,163
1898,112
1899,0
1900,265
1901,163
1902,0
1903,159
1904,193
1905,24
1906,286
1907,149
1908,0
1909,167
1910,53
1911,12
1912,161
1913,0
1914,7
1915,133
1916,53
1917,92
1918,73
1919,103
1920,25
1921,112
1922,22
1923,289
1924,124
1925,0
1926,0
1927,111
1928,0
1929,116
1930,111
1931,0
1932,124
1933,89
1934,173
1935,2
1936,106
1937,0
1938,3
1939,153
1940,2
1941,108
1942,46
1943,0
1944,129
1945,5
1946,97
1947,127
1948,160
1949,0
1950,7
1951,48
1952,163
1953,246
1954,24
1955,6
1956,69
1957,197
1958,0
1959,37
1960,271
1961,147
1962,8
1963,65
1964,0
1965,127
1966,63
1967,338
1968,65
1969,0
1970,186
1971,170
1972,43
1973,1
1974,19
1975,0
1976,0
1977,397
1978,150
1979,59
1980,107
1981,70
1982,213
1983,0
1984,83
1985,0
1986,138
1987,0
1988,0
1989,29
1990,0
1991,18
1992,211
1993,0
1994,112
1995,65
1996,149
1997,0
1998,156
1999,5
2000,0
2001,370
2002,0
2003,38
2004,0
2005,200
2006,0
2007,109
2008,0
2009,324
2010,109
2011,305
2012,98
2013,0
2014,0
2015,0
2016,111
2017,316
2018,0
2019,80
2020,165
2021,62
2022,137
2023,490
2024,131
2025,0
2026,153
2027,167
2028,79
2029,6
2030,100
2031,55
2032,0
2033,23
2034,356
2035,0
2036,226
2037,54
2038,226
2039,0
2040,104
2041,0
2042,0
2043,108
2044,183
2045,0
2046,191
2047,0
2048,60
2049,0
2050,8
2051,0
2052,15
2053,83
2054,60
2055,5
2056,0
2057,0
2058,0
2059,274
2060,118
2061,0
2062,85
2063,8
2064,145
2065,282
2066,0
2067,494
2068,103
2069,0
2070,50
2071,7
2072,0
2073,0
2074,30
2075,0
2076,4
2077,4
2078,63
2079,217
2080,148
2081,160
2082,0
2083,59
2084,227
2085,0
2086,139
2087,228
2088,29
2089,1
2090,92
2091,0
2092,193
2093,0
2094,27
2095,134
2096,60
2097,0
2098,0
2099,9
2100,0
2101,65
2102,74
2103,0
2104,0
2105,0
2106,0
2107,0
2108,62
2109,146
2110,0
2111,26
2112,0
2113,190
2114,10
2115,73
2116,50
2117,139
2118,115
2119,20
2120,81
2121,19
2122,135
2123,266
2124,51
2125,39
2126,127
2127,1
2128,233
2129,127
2130,0
2131,190
2132,148
2133,210
2134,0
2135,1
2136,50
2137,75
2138,9
2139,20
2140,468
2141,175
2142,0
2143,330
2144,0
2145,41
2146,210
2147,0
2148,108
2149,363
2150,156
2151,57
2152,43
2153,1
2154,85
2155,260
2156,61
2157,409
2158,103
2159,38
2160,104
2161,0
2162,258
2163,75
2164,158
2165,117
2166,157
2167,6
2168,8
2169,0
2170,126
2171,8
2172,115
2173,11
2174,135
2175,203
2176,89
2177,64
2178,5
2179,64
2180,107
2181,159
2182,0
2183,98
2184,79
2185,100
2186,56
2187,15
2188,12
2189,254
2190,0
2191,97
2192,90
2193,0
2194,69
2195,0
2196,160
2197,6
2198,98
2199,0
2200,131
2201,74
2202,0
2203,1
2204,0
2205,2
2206,93
2207,421
2208,4
2209,10
2210,9
2211,74
2212,133
2213,158
2214,147
2215,143
2216,64
2217,9
2218,86
2219,45
2220,115
2221,396
2222,152
2223,108
2224,90
2225,7
2226,102
2227,7
2228,120
2229,10
2230,80
2231,78
2232,31
2233,0
2234,5
2235,137
2236,69
2237,0
2238,9
2239,163
2240,151
2241,127
2242,382
2243,131
2244,56
2245,124
2246,74
2247,140
2248,6
2249,0
2250,9
2251,36
2252,0
2253,155
2254,21
2255,124
2256,127
2257,145
2258,8
2259,0
2260,83
2261,18
2262,408
2263,136
2264,0
2265,90
2266,26
2267,112
2268,80
2269,8
2270,102
2271,66
2272,112
2273,86
2274,1
2275,91
2276,188
2277,136
2278,21
2279,0
2280,45
2281,14
2282,0
2283,47
2284,109
2285,181
2286,114
2287,133
2288,398
2289,119
2290,401
2291,96
2292,261
2293,123
2294,131
2295,122
2296,221
2297,163
2298,15
2299,148
2300,231
2301,140
2302,363
2303,111
2304,9
2305,128
2306,0
2307,110
2308,400
2309,97
2310,28
2311,82
2312,10
2313,149
2314,2
2315,141
2316,387
2317,86
2318,196
2319,126
2320,157
2321,94
2322,130
2323,0
2324,90
2325,3
2326,193
2327,153
2328,318
2329,84
2330,6
2331,105
2332,9
2333,31
2334,14
2335,72
2336,13
2337,90
2338,293
2339,129
2340,2
2341,117
2342,0
2343,69
2344,120
2345,120
2346,106
2347,115
2348,210
2349,143
2350,3
2351,46
2352,80
2353,62
2354,7
2355,109
2356,78
2357,72
2358,60
2359,83
2360,44
2361,98
2362,153
2363,246
2364,64
2365,20
2366,138
2367,125
2368,0
2369,9
2370,1
2371,16
2372,393
2373,75
2374,173
2375,1
2376,362
2377,223
2378,75
2379,2
2380,8
2381,34
2382,75
2383,43
2384,173
2385,13
2386,216
2387,81
2388,254
2389,216
2390,36
2391,184
2392,10
2393,25
2394,43
2395,147
2396,127
2397,12
2398,327
2399,78
2400,218
2401,105
2402,6
2403,16
2404,235
2405,274
2406,259
2407,93
2408,9
2409,161
2410,20
2411,276
2412,54
2413,29
2414,31
2415,73
2416,25
2417,175
2418,216
2419,115
2420,24
2421,201
2422,372
2423,119
2424,282
2425,77
2426,76
2427,141
2428,233
2429,115
2430,2
2431,174
2432,71
2433,16
2434,101
2435,195
2436,14
2437,110
2438,310
2439,175
2440,238
2441,213
2442,16
2443,171
2444,182
2445,220
2446,23
2447,172
2448,49
2449,0
2450,217
2451,145
2452,115
2453,117
2454,139
2455,252
2456,32
2457,219
2458,205
2459,263
2460,295
2461,207
2462,29
2463,0
2464,221
2465,0
2466,244
2467,0
2468,1
2469,64
2470,1
2471,43
2472,0
2473,219
2474,1
2475,203
2476,0
2477,59
2478,1
2479,21
2480,0
2481,56
2482,0
2483,140
2484,0
2485,28
2486,0
2487,142
2488,0
2489,82
2490,0
2491,54
2492,4
2493,128
2494,0
2495,32
2496,0
2497,42
2498,1
2499,224
2500,6
2501,56
2502,0
2503,28
2504,0
2505,132
2506,0
2507,31
2508,0
2509,102
2510,0
2511,57
2512,0
2513,4
2514,0
2515,33
2516,1
2517,14
2518,0
2519,220
2520,0
2521,22
2522,0
2523,8
2524,0
2525,2
2526,0
2527,0
2528,4
2529,0
2530,21
2531,0
2532,0
2533,3
2534,28
2535,14
2536,2
2537,63
2538,41
2539,93
2540,18
2541,45
2542,26
2543,132
2544,48
2545,195
2546,36
2547,197
2548,63
2549,129
2550,54
2551,125
2552,107
2553,46
2554,168
2555,77
2556,196
2557,87
2558,185
2559,130
2560,157
2561,117
2562,131
2563,146
2564,111
2565,74
2566,190
2567,140
2568,233
2569,84
2570,130
2571,126
2572,69
2573,233
2574,92
2575,247
2576,148
2577,91
2578,111
2579,118
2580,61
2581,153
2582,42
2583,34
2584,77
2585,159
2586,92
2587,15
2588,65
2589,178
2590,76
2591,13
2592,123
2593,216
2594,30
2595,31
2596,206
2597,53
2598,168
2599,10
2600,20
2601,211
2602,34
2603,11
2604,20
2605,109
2606,27
2607,7
2608,27
2609,226
2610,192
2611,152
2612,105
2613,56
2614,90
2615,25
2616,118
2617,122
2618,27
2619,111
2620,32
2621,113
2622,45
2623,158
2624,67
2625,139
2626,125
2627,110
2628,114
2629,104
2630,144
2631,147
2632,129
2633,122
2634,139
2635,116
2636,146
2637,124
2638,109
2639,125
2640,0
2641,116
2642,3
2643,4
2644,6
2645,90
2646,50
2647,7
2648,5
2649,3
2650,2
2651,0
2652,139
2653,154
2654,142
2655,184
2656,174
2657,168
2658,122
2659,125
2660,126
2661,118
2662,125
2663,101
2664,125
2665,99
2666,105
2667,70
2668,119
2669,116
2670,126
2671,77
2672,100
2673,107
2674,123
2675,120
