"SC_ID","value"
1,35
2,-21
3,-72
4,2
5,-113
6,3
7,-47
8,-8
9,91
10,-14
11,-137
12,-69
13,42
14,-61
15,-118
16,-103
17,60
18,-69
19,-66
20,63
21,-14
22,-67
23,-58
24,0
25,-42
26,-106
27,9
28,52
29,-86
30,85
31,-88
32,-107
33,27
34,70
35,-112
36,-117
37,6
38,-49
39,-163
40,26
41,60
42,-5
43,-94
44,5
45,101
46,-179
47,34
48,-81
49,-133
50,-107
51,7
52,-91
53,102
54,-49
55,37
56,-131
57,-51
58,-134
59,74
60,-8
61,-59
62,-17
63,0
64,-141
65,-151
66,132
67,66
68,0
69,56
70,-101
71,-160
72,-50
73,100
74,-21
75,-63
76,-91
77,10
78,-199
79,-68
80,-84
81,27
82,-170
83,-95
84,-121
85,63
86,-129
87,-129
88,45
89,74
90,7
91,57
92,-97
93,-156
94,27
95,33
96,-72
97,-99
98,-83
99,49
100,-117
101,-134
102,33
103,0
104,-108
105,69
106,-40
107,44
108,-132
109,-94
110,58
111,-110
112,-60
113,5
114,59
115,-116
116,-108
117,29
118,-103
119,-79
120,-103
121,216
122,-92
123,-133
124,-84
125,0
126,-183
127,-69
128,-112
129,24
130,-149
131,-107
132,28
133,56
134,-74
135,23
136,2
137,-105
138,-66
139,40
140,47
141,-159
142,10
143,69
144,-48
145,48
146,-136
147,65
148,-100
149,106
150,36
151,41
152,-127
153,-152
154,47
155,-109
156,60
157,4
158,69
159,2
160,64
161,-142
162,58
163,28
164,83
165,-152
166,6
167,24
168,-74
169,-77
170,32
171,-111
172,-94
173,-132
174,91
175,-112
176,-78
177,21
178,46
179,30
180,-99
181,-92
182,3
183,-131
184,-159
185,78
186,87
187,-112
188,-130
189,44
190,-116
191,10
192,-69
193,18
194,-124
195,-106
196,33
197,-142
198,-146
199,35
200,-131
201,-106
202,2
203,-124
204,-58
205,-122
206,50
207,-84
208,-13
209,-142
210,1
211,-107
212,28
213,-158
214,-76
215,-81
216,34
217,127
218,13
219,16
220,-128
221,50
222,2
223,-176
224,-81
225,-120
226,75
227,-95
228,-69
229,30
230,47
231,-73
232,-86
233,30
234,57
235,67
236,-124
237,5
238,-164
239,-137
240,0
241,-70
242,-84
243,21
244,-145
245,-81
246,-106
247,0
248,75
249,-125
250,-90
251,50
252,-180
253,-97
254,68
255,-180
256,72
257,-145
258,1
259,-140
260,-103
261,62
262,58
263,-17
264,15
265,32
266,18
267,34
268,-126
269,-74
270,-121
271,18
272,64
273,16
274,14
275,60
276,-110
277,0
278,-149
279,-121
280,-134
281,46
282,-146
283,-74
284,34
285,54
286,-133
287,-133
288,57
289,-84
290,64
291,1
292,-123
293,-97
294,-138
295,82
296,-50
297,-166
298,55
299,-127
300,-58
301,59
302,-178
303,-30
304,-129
305,49
306,-148
307,-60
308,47
309,5
310,37
311,-174
312,-130
313,41
314,-138
315,-154
316,1
317,59
318,-133
319,44
320,7
321,-128
322,69
323,34
324,6
325,-136
326,-159
327,110
328,7
329,-122
330,-76
331,-124
332,39
333,-135
334,35
335,23
336,51
337,-54
338,-155
339,10
340,-181
341,95
342,-108
343,44
344,81
345,-120
346,-115
347,3
348,15
349,33
350,-146
351,-186
352,81
353,21
354,-121
355,-74
356,-176
357,9
358,-134
359,-112
360,13
361,-26
362,-91
363,12
364,-62
365,-132
366,6
367,-121
368,-67
369,-150
370,8
371,-150
372,-119
373,36
374,18
375,-181
376,52
377,74
378,-145
379,-78
380,29
381,32
382,-122
383,36
384,-156
385,25
386,-55
387,18
388,-172
389,5
390,-178
391,-80
392,-97
393,30
394,-115
395,6
396,42
397,22
398,17
399,38
400,-74
401,-142
402,4
403,58
404,0
405,-140
406,25
407,53
408,62
409,67
410,-123
411,60
412,0
413,-124
414,-132
415,-101
416,5
417,-82
418,-35
419,0
420,-72
421,12
422,34
423,-55
424,3
425,35
426,-143
427,31
428,-186
429,0
430,-73
431,44
432,1
433,-128
434,31
435,-105
436,70
437,-151
438,-77
439,0
440,-77
441,-151
442,74
443,-134
444,-151
445,47
446,0
447,-115
448,-60
449,-205
450,0
451,-156
452,-100
453,1
454,-155
455,44
456,30
457,42
458,73
459,0
460,-121
461,-88
462,-156
463,0
464,53
465,-167
466,4
467,-162
468,28
469,39
470,-61
471,14
472,25
473,-142
474,-150
475,79
476,8
477,-122
478,0
479,-94
480,15
481,-252
482,39
483,-61
484,0
485,64
486,-117
487,4
488,-152
489,-130
490,0
491,-146
492,-149
493,-161
494,1
495,-183
496,27
497,2
498,17
499,-147
500,13
501,87
502,0
503,-84
504,31
505,-71
506,38
507,1
508,53
509,5
510,2
511,-151
512,-106
513,-96
514,1
515,-163
516,47
517,-44
518,2
519,-72
520,-84
521,0
522,55
523,29
524,-117
525,0
526,5
527,-218
528,-168
529,5
530,39
531,38
532,0
533,-205
534,-162
535,0
536,-122
537,40
538,0
539,-20
540,0
541,62
542,-176
543,0
544,-141
545,27
546,-61
547,0
548,-91
549,-165
550,0
551,44
552,42
553,0
554,-103
555,6
556,-39
557,0
558,-87
559,-117
560,-142
561,66
562,-70
563,81
564,-64
565,-119
566,80
567,-136
568,-191
569,5
570,-135
571,-17
572,77
573,-113
574,-45
575,-44
576,0
577,47
578,0
579,-184
580,-136
581,0
582,-195
583,-150
584,-155
585,44
586,-164
587,-27
588,-120
589,58
590,-158
591,16
592,46
593,1
594,-162
595,-63
596,5
597,46
598,-109
599,-28
600,-167
601,2
602,-29
603,21
604,80
605,4
606,-48
607,-46
608,27
609,79
610,13
611,161
612,-142
613,48
614,-62
615,41
616,39
617,-67
618,11
619,46
620,58
621,86
622,-181
623,25
624,-105
625,27
626,47
627,8
628,-207
629,36
630,46
631,0
632,-27
633,-121
634,82
635,-33
636,0
637,-117
638,-115
639,26
640,-169
641,-51
642,103
643,112
644,-164
645,0
646,-137
647,47
648,-103
649,-145
650,-59
651,94
652,-45
653,-164
654,0
655,54
656,-141
657,69
658,-45
659,60
660,-155
661,-129
662,37
663,0
664,-104
665,57
666,-148
667,54
668,29
669,-210
670,19
671,105
672,-166
673,-27
674,26
675,-111
676,39
677,43
678,69
679,71
680,-160
681,12
682,0
683,-176
684,-130
685,0
686,-171
687,0
688,-162
689,12
690,44
691,9
692,26
693,112
694,13
695,-157
696,43
697,54
698,6
699,-191
700,-22
701,-156
702,0
703,-139
704,-188
705,-125
706,41
707,0
708,-159
709,-172
710,47
711,-101
712,19
713,-183
714,85
715,-156
716,42
717,0
718,-216
719,-172
720,57
721,-225
722,0
723,-83
724,-193
725,113
726,0
727,-175
728,44
729,-204
730,27
731,-178
732,50
733,70
734,-186
735,-215
736,0
737,-117
738,-177
739,0
740,-165
741,10
742,-232
743,0
744,-94
745,-190
746,-146
747,17
748,-192
749,-227
750,123
751,-162
752,61
753,-43
754,0
755,-79
756,19
757,-149
758,0
759,-71
760,73
761,34
762,-119
763,22
764,106
765,11
766,-144
767,-158
768,5
769,-121
770,52
771,0
772,-111
773,-134
774,14
775,16
776,-110
777,26
778,35
779,1
780,-168
781,-47
782,-165
783,12
784,-7
785,38
786,54
787,-158
788,37
789,32
790,-187
791,25
792,-58
793,22
794,42
795,-168
796,7
797,-216
798,36
799,1
800,-63
801,-62
802,78
803,-106
804,5
805,-152
806,-140
807,14
808,2
809,-125
810,-219
811,0
812,92
813,102
814,-106
815,-148
816,0
817,-173
818,-155
819,55
820,84
821,-187
822,-64
823,191
824,84
825,53
826,81
827,128
828,-178
829,110
830,0
831,-110
832,2
833,44
834,150
835,-104
836,18
837,-147
838,53
839,-173
840,100
841,52
842,-171
843,0
844,-179
845,67
846,53
847,-115
848,43
849,42
850,-122
851,-57
852,24
853,-138
854,-222
855,-78
856,0
857,-182
858,37
859,15
860,-87
861,-125
862,-95
863,0
864,-45
865,-33
866,-49
867,9
868,-97
869,-23
870,-127
871,0
872,-168
873,-52
874,68
875,-108
876,17
877,-129
878,0
879,-161
880,3
881,58
882,-221
883,44
884,41
885,53
886,52
887,17
888,-168
889,-126
890,5
891,4
892,-20
893,39
894,0
895,-126
896,24
897,6
898,-61
899,50
900,-46
901,0
902,-53
903,-74
904,7
905,-134
906,-58
907,-148
908,86
909,-155
910,-36
911,-168
912,2
913,-68
914,0
915,-125
916,-166
917,66
918,62
919,117
920,-49
921,-214
922,64
923,-165
924,-48
925,125
926,0
927,-10
928,108
929,0
930,71
931,27
932,26
933,21
934,-153
935,-217
936,88
937,115
938,-107
939,-178
940,52
941,112
942,7
943,18
944,0
945,65
946,-114
947,-131
948,0
949,-84
950,0
951,-129
952,35
953,0
954,100
955,-158
956,29
957,0
958,-63
959,-145
960,0
961,-153
962,110
963,3
964,-56
965,80
966,-190
967,4
968,-21
969,6
970,66
971,63
972,0
973,-139
974,34
975,-37
976,2
977,-16
978,0
979,61
980,-186
981,11
982,0
983,-70
984,-186
985,63
986,0
987,-53
988,-13
989,8
990,-64
991,-9
992,0
993,-128
994,12
995,-34
996,0
997,-68
998,0
999,12
1000,4
1001,82
1002,31
1003,0
1004,-133
1005,119
1006,0
1007,73
1008,3
1009,-149
1010,8
1011,0
1012,84
1013,124
1014,0
1015,9
1016,0
1017,-155
1018,-117
1019,58
1020,3
1021,-112
1022,51
1023,0
1024,55
1025,72
1026,0
1027,81
1028,53
1029,0
1030,120
1031,0
1032,-138
1033,-152
1034,-25
1035,0
1036,56
1037,47
1038,0
1039,5
1040,0
1041,-128
1042,24
1043,-161
1044,0
1045,-142
1046,-111
1047,10
1048,38
1049,-90
1050,-110
1051,37
1052,0
1053,-125
1054,22
1055,-76
1056,0
1057,-126
1058,8
1059,0
1060,-10
1061,-115
1062,14
1063,0
1064,-118
1065,-48
1066,-192
1067,50
1068,-117
1069,-111
1070,7
1071,60
1072,-132
1073,-32
1074,65
1075,0
1076,-117
1077,-32
1078,-144
1079,0
1080,-167
1081,15
1082,-65
1083,93
1084,61
1085,36
1086,0
1087,-104
1088,5
1089,113
1090,-153
1091,40
1092,16
1093,-191
1094,58
1095,-172
1096,-32
1097,-63
1098,78
1099,53
1100,-96
1101,41
1102,-152
1103,84
1104,-43
1105,-82
1106,6
1107,23
1108,-107
1109,-44
1110,96
1111,-192
1112,2
1113,-174
1114,27
1115,-201
1116,-86
1117,-119
1118,-86
1119,-1
1120,-103
1121,-155
1122,-98
1123,11
1124,40
1125,-18
1126,-122
1127,-161
1128,-112
1129,-40
1130,-212
1131,-144
1132,-13
1133,17
1134,53
1135,9
1136,-186
1137,-168
1138,-62
1139,84
1140,-77
1141,17
1142,14
1143,1
1144,-160
1145,-22
1146,35
1147,84
1148,21
1149,-108
1150,-32
1151,-249
1152,56
1153,-30
1154,-101
1155,-137
1156,77
1157,37
1158,82
1159,31
1160,-80
1161,-135
1162,16
1163,30
1164,2
1165,-144
1166,-99
1167,-42
1168,3
1169,47
1170,6
1171,28
1172,42
1173,-201
1174,4
1175,45
1176,16
1177,-121
1178,11
1179,-140
1180,-116
1181,-65
1182,74
1183,-106
1184,-49
1185,19
1186,-75
1187,-111
1188,-267
1189,-187
1190,50
1191,-230
1192,93
1193,60
1194,16
1195,-112
1196,106
1197,39
1198,-46
1199,-162
1200,-146
1201,-56
1202,73
1203,-98
1204,61
1205,28
1206,-85
1207,-106
1208,23
1209,-145
1210,35
1211,23
1212,17
1213,22
1214,-148
1215,-86
1216,-232
1217,-97
1218,54
1219,43
1220,-128
1221,13
1222,8
1223,-139
1224,63
1225,93
1226,-164
1227,20
1228,49
1229,-148
1230,26
1231,28
1232,-115
1233,-40
1234,29
1235,58
1236,-6
1237,-100
1238,-137
1239,0
1240,-146
1241,15
1242,72
1243,63
1244,-55
1245,43
1246,-182
1247,28
1248,91
1249,-174
1250,50
1251,30
1252,-141
1253,-76
1254,20
1255,-133
1256,-58
1257,-4
1258,67
1259,-48
1260,-58
1261,-106
1262,-61
1263,33
1264,-172
1265,62
1266,40
1267,-130
1268,-61
1269,103
1270,-173
1271,38
1272,27
1273,-130
1274,64
1275,-2
1276,-171
1277,-50
1278,84
1279,-97
1280,-137
1281,-2
1282,63
1283,4
1284,89
1285,-174
1286,59
1287,-204
1288,-120
1289,-67
1290,-3
1291,28
1292,1
1293,-134
1294,31
1295,74
1296,-193
1297,-137
1298,18
1299,-145
1300,26
1301,-47
1302,-163
1303,63
1304,12
1305,-34
1306,-124
1307,78
1308,-17
1309,-78
1310,60
1311,-69
1312,-68
1313,50
1314,-105
1315,-54
1316,40
1317,-144
1318,-5
1319,4
1320,-69
1321,62
1322,-83
1323,-70
1324,-86
1325,29
1326,-22
1327,-122
1328,-127
1329,11
1330,-96
1331,50
1332,-104
1333,-56
1334,105
1335,-146
1336,-76
1337,72
1338,-132
1339,65
1340,8
1341,-202
1342,30
1343,42
1344,-108
1345,-70
1346,27
1347,-115
1348,0
1349,56
1350,-141
1351,-115
1352,79
1353,-119
1354,6
1355,42
1356,92
1357,-126
1358,19
1359,-79
1360,-114
1361,-85
1362,-150
1363,-74
1364,88
1365,-171
1366,-127
1367,15
1368,-168
1369,28
1370,23
1371,-151
1372,-68
1373,84
1374,-105
1375,-1
1376,-6
1377,44
1378,-33
1379,81
1380,-132
1381,7
1382,62
1383,-164
1384,70
1385,65
1386,-156
1387,70
1388,53
1389,32
1390,84
1391,-135
1392,28
1393,76
1394,-134
1395,36
1396,64
1397,-164
1398,35
1399,27
1400,-167
1401,-115
1402,6
1403,-104
1404,-89
1405,135
1406,106
1407,-83
1408,71
1409,-140
1410,-2
1411,68
1412,-130
1413,-103
1414,103
1415,-90
1416,26
1417,-114
1418,-75
1419,18
1420,-177
1421,-148
1422,5
1423,-126
1424,-57
1425,70
1426,54
1427,27
1428,88
1429,-176
1430,19
1431,-153
1432,24
1433,13
