"SC_ID","value"
1,0
2,-0.085
3,-0.299
4,0
5,-0.818
6,0
7,-0.11
8,-0.09
9,3
10,-0.106
11,-0.433
12,-0.336
13,1
14,-0.109
15,-0.275
16,-0.677
17,1
18,-0.143
19,-0.228
20,3
21,-0.122
22,-0.231
23,-0.633
24,0
25,-0.055
26,-0.296
27,0
28,1
29,-0.178
30,1
31,-0.059
32,-0.412
33,0.185
34,1
35,-0.256
36,-0.385
37,0
38,-0.06
39,-0.4
40,0.182
41,1
42,-0.09
43,-0.421
44,-0.027
45,1
46,-0.44
47,0
48,-0.053
49,-0.283
50,-0.694
51,0
52,-0.113
53,0.017
54,-0.273
55,0
56,-0.236
57,-0.285
58,-0.917
59,1
60,-0.072
61,-0.231
62,-0.101
63,0
64,-0.285
65,-0.561
66,1
67,0
68,-0.09
69,0
70,-0.127
71,-0.403
72,-0.294
73,1
74,-0.055
75,-0.249
76,-0.74
77,0
78,-0.242
79,-0.244
80,-0.619
81,0
82,-0.293
83,-0.258
84,-0.543
85,2
86,-0.307
87,-0.857
88,0
89,0
90,0
91,1
92,-0.173
93,-0.418
94,0.188
95,0
96,-0.17
97,-0.372
98,-0.771
99,2
100,-0.139
101,-0.324
102,0.185
103,0
104,-0.17
105,-0.012
106,-0.165
107,1
108,-0.425
109,-0.76
110,0.7
111,-0.14
112,-0.247
113,0
114,2.5
115,-0.171
116,-0.305
117,0.667
118,-0.103
119,-0.264
120,-0.895
121,12.5
122,-0.117
123,-0.375
124,-0.694
125,0
126,-0.254
127,-0.259
128,-0.308
129,0.4
130,-0.247
131,-0.407
132,0.143
133,0
134,-0.215
135,0
136,0
137,-0.223
138,-0.528
139,0.45
140,0
141,-0.185
142,0
143,1
144,-0.209
145,-0.046
146,-0.881
147,0
148,-0.123
149,0.051
150,0.205
151,0
152,-0.402
153,-0.929
154,1
155,-0.26
156,0
157,-0.127
158,0.636
159,0
160,6
161,-0.413
162,3
163,1
164,0.012
165,-0.909
166,0
167,-0.081
168,-0.548
169,-0.514
170,0.2
171,-0.241
172,-0.353
173,-0.34
174,1
175,-0.273
176,-0.824
177,0
178,0.19
179,0.5
180,-0.167
181,-0.33
182,0
183,-0.18
184,-0.459
185,0.283
186,1
187,-0.263
188,-0.252
189,1
190,-0.22
191,0
192,-0.269
193,1
194,-0.441
195,-0.717
196,0
197,-0.202
198,-0.426
199,0
200,-0.244
201,-0.426
202,0
203,-0.244
204,-0.196
205,-0.9
206,1
207,-0.169
208,-0.177
209,-0.207
210,0
211,-0.139
212,0
213,-0.242
214,-0.312
215,-0.581
216,0
217,-0.037
218,1
219,0
220,-0.189
221,1
222,0
223,-0.259
224,-0.299
225,-0.931
226,1
227,-0.177
228,-0.245
229,0.105
230,1
231,-0.122
232,-0.364
233,0.092
234,0
235,-0.005
236,-0.55
237,0
238,-0.268
239,-0.86
240,0
241,-0.369
242,-0.672
243,0
244,-0.217
245,-0.281
246,-0.612
247,0
248,-0.011
249,-0.428
250,-0.686
251,0
252,-0.33
253,-0.177
254,1
255,-0.277
256,1.4
257,-0.352
258,0
259,-0.29
260,-0.196
261,1
262,0.647
263,-0.149
264,0
265,0
266,0
267,0
268,-0.247
269,-0.343
270,-0.854
271,0
272,-0.012
273,0
274,0
275,0.063
276,-0.857
277,0
278,-0.213
279,-0.441
280,-0.736
281,0
282,-0.285
283,-0.26
284,0
285,-0.018
286,-0.49
287,-0.629
288,0
289,-0.108
290,1.667
291,0
292,-0.245
293,-0.527
294,-0.354
295,1
296,-0.217
297,-0.724
298,0
299,-0.289
300,-0.333
301,1
302,-0.284
303,-0.172
304,-0.316
305,0
306,-0.282
307,-0.292
308,0.262
309,0
310,-0.031
311,-0.495
312,-0.746
313,0
314,-0.304
315,-0.503
316,0
317,0.2
318,-0.332
319,0.545
320,0
321,-0.224
322,-0.01
323,0.118
324,0
325,-0.322
326,-0.475
327,0.286
328,0
329,-0.284
330,-0.332
331,-0.725
332,0
333,-0.317
334,-0.022
335,0
336,0
337,-0.33
338,-0.724
339,0
340,-0.291
341,1.167
342,-0.816
343,0
344,-0.009
345,-0.441
346,-0.85
347,0
348,0
349,0
350,-0.283
351,-0.396
352,0.242
353,0
354,-0.152
355,-0.385
356,-0.615
357,0
358,-0.442
359,-0.795
360,0
361,-0.063
362,-1
363,0
364,-0.358
365,-0.203
366,0
367,-0.22
368,-0.314
369,-0.73
370,0
371,-0.342
372,-0.418
373,0.083
374,0
375,-0.299
376,0.909
377,1
378,-0.296
379,-0.336
380,-0.018
381,1
382,-0.243
383,0
384,-0.286
385,0
386,-0.166
387,0
388,-0.464
389,0
390,-0.315
391,-0.386
392,-0.783
393,0
394,-0.284
395,0
396,-0.021
397,0
398,-0.046
399,0
400,-0.4
401,-0.667
402,0
403,0.308
404,0
405,-0.325
406,-0.018
407,0.235
408,0
409,0.467
410,-0.427
411,0.579
412,0
413,-0.222
414,-0.403
415,-0.938
416,0
417,-0.347
418,-0.208
419,0
420,-0.399
421,0
422,0
423,-0.352
424,0
425,0
426,-0.275
427,0
428,-0.462
429,0
430,-0.416
431,0.023
432,0
433,-0.299
434,0
435,-0.203
436,0
437,-0.237
438,-0.37
439,0
440,-0.427
441,-0.476
442,0
443,-0.249
444,-0.427
445,0.026
446,0
447,-0.302
448,-0.387
449,-0.488
450,0
451,-0.524
452,-0.421
453,0
454,-0.329
455,0.094
456,0
457,-0.006
458,0.159
459,0
460,-0.258
461,-0.406
462,-0.707
463,0
464,0.385
465,-0.476
466,0
467,-0.464
468,-0.054
469,0
470,-0.21
471,0
472,0
473,-0.253
474,-0.617
475,0.319
476,0
477,-0.27
478,0
479,-0.289
480,0
481,-0.272
482,0.031
483,-0.19
484,0
485,2
486,-0.783
487,0
488,-0.255
489,-0.811
490,0
491,-0.362
492,-0.476
493,-0.478
494,0
495,-0.402
496,0.02
497,0
498,0
499,-0.283
500,0
501,0.152
502,0
503,-0.533
504,0
505,-0.342
506,-0.026
507,0
508,0.75
509,0
510,0
511,-0.352
512,-0.432
513,-0.96
514,0
515,-0.34
516,-0.024
517,-0.252
518,0
519,-0.353
520,-1
521,0
522,0.556
523,0
524,-0.762
525,0
526,0
527,-0.255
528,-0.647
529,0
530,0.011
531,-0.02
532,0
533,-0.237
534,-0.514
535,0
536,-0.34
537,0.316
538,0
539,-0.111
540,0
541,1.5
542,-0.381
543,0
544,-0.305
545,0.024
546,-0.194
547,0
548,-0.321
549,-0.458
550,0
551,0.114
552,-0.008
553,0
554,-0.249
555,0
556,-0.158
557,0
558,-0.308
559,-0.409
560,-0.971
561,1
562,-0.378
563,0
564,-0.175
565,-0.973
566,0
567,-0.281
568,-0.561
569,0
570,-0.35
571,-0.303
572,0
573,-0.227
574,-0.376
575,-0.26
576,0
577,0.265
578,0
579,-0.529
580,-0.919
581,0
582,-0.261
583,-0.562
584,-0.378
585,0
586,-0.29
587,-0.321
588,-0.816
589,0
590,-0.299
591,0.016
592,0.038
593,0
594,-0.299
595,-0.405
596,0
597,0
598,-0.248
599,-0.241
600,-0.383
601,0
602,-0.101
603,0.058
604,0.278
605,0
606,-0.382
607,-0.304
608,0
609,0.385
610,0
611,0
612,-0.23
613,0.179
614,-0.318
615,2
616,-0.02
617,-0.433
618,0
619,0
620,0.571
621,1
622,-0.398
623,0
624,-0.347
625,1
626,1
627,0
628,-0.304
629,0.4
630,0.151
631,0
632,-0.143
633,-0.37
634,5
635,-0.373
636,0
637,-0.362
638,-0.407
639,0
640,-0.394
641,-0.311
642,0.418
643,1
644,-0.275
645,0
646,-0.957
647,0
648,-0.355
649,-0.543
650,-0.232
651,1
652,-0.361
653,-0.839
654,0
655,0.138
656,-0.664
657,0
658,-0.168
659,1
660,-0.266
661,-0.415
662,-0.061
663,0
664,-0.244
665,0.8
666,-0.696
667,0.833
668,0.061
669,-0.445
670,0
671,0.129
672,-0.498
673,-0.24
674,0
675,-0.237
676,0
677,0.082
678,3
679,0.032
680,-0.577
681,0
682,0
683,-0.317
684,-0.687
685,0
686,-0.225
687,0
688,-0.406
689,0
690,0.048
691,0
692,-0.038
693,0.6
694,0
695,-0.286
696,0.217
697,0.875
698,0
699,-0.315
700,-0.115
701,-0.401
702,0
703,-0.266
704,-0.542
705,-0.789
706,0
707,0
708,-0.434
709,-0.841
710,1
711,-0.332
712,0.005
713,-0.735
714,3.333
715,-0.253
716,-0.08
717,0
718,-0.342
719,-0.443
720,0
721,-0.815
722,0
723,-0.228
724,-0.473
725,0.387
726,0
727,-0.434
728,1
729,-0.336
730,0
731,-0.441
732,0
733,0.028
734,-0.473
735,-0.755
736,0
737,-0.408
738,-0.646
739,0
740,-0.261
741,-0.054
742,-0.766
743,0
744,-0.265
745,-0.606
746,-0.598
747,0
748,-0.468
749,-0.714
750,9.5
751,-0.264
752,0.857
753,-0.233
754,0
755,-0.224
756,0.011
757,-0.613
758,0
759,-0.159
760,0.365
761,0
762,-0.358
763,0
764,0.4
765,0
766,-0.357
767,-0.691
768,0
769,-0.4
770,-0.069
771,0
772,-0.378
773,-0.446
774,0
775,0
776,-0.353
777,0
778,0.435
779,0
780,-0.339
781,-0.244
782,-0.333
783,0
784,-0.035
785,1.333
786,0
787,-0.303
788,0.188
789,0
790,-0.375
791,0.036
792,-0.139
793,0
794,-0.044
795,-0.337
796,0
797,-0.61
798,-0.11
799,0
800,-0.391
801,-0.258
802,4
803,-0.365
804,0
805,-0.333
806,-0.453
807,-0.181
808,0
809,-0.232
810,-0.683
811,0
812,0.857
813,5
814,-0.304
815,-0.621
816,0
817,-0.26
818,-0.413
819,0
820,0.028
821,-0.506
822,-0.264
823,1
824,0.115
825,0.184
826,0.667
827,1
828,-0.357
829,2.8
830,0
831,-0.269
832,0
833,0.8
834,1
835,-0.37
836,-0.028
837,-0.667
838,0
839,-0.382
840,2.5
841,1
842,-0.661
843,0
844,-0.32
845,0.824
846,1
847,-0.444
848,-0.042
849,1
850,-0.257
851,-0.27
852,0
853,-0.31
854,-0.655
855,-0.365
856,0
857,-0.352
858,-0.084
859,0
860,-0.344
861,-0.475
862,-0.296
863,0
864,-0.207
865,-0.309
866,-0.175
867,0
868,-0.245
869,-0.273
870,-0.618
871,0
872,-0.283
873,-0.474
874,3
875,-0.355
876,0
877,-0.678
878,0
879,-0.284
880,-0.075
881,0
882,-0.36
883,0.286
884,0
885,0.163
886,-0.044
887,0
888,-0.326
889,-0.482
890,0
891,0
892,-0.291
893,0.032
894,0
895,-0.364
896,-0.045
897,0
898,-0.225
899,0.27
900,-0.244
901,0
902,-0.245
903,-0.251
904,0
905,-0.33
906,-0.261
907,-0.67
908,1
909,-0.361
910,-0.357
911,-0.651
912,0
913,-0.261
914,0
915,-0.394
916,-0.547
917,1.5
918,6
919,0.045
920,-0.487
921,-0.718
922,0
923,-0.273
924,-0.437
925,6
926,0
927,-0.05
928,1.733
929,0
930,0.103
931,0.084
932,0
933,0
934,-0.348
935,-0.579
936,3
937,1
938,-0.245
939,-0.534
940,-0.04
941,1
942,0
943,0
944,0
945,0
946,-0.447
947,-0.625
948,0
949,-0.251
950,0
951,-0.248
952,0.038
953,-0.203
954,0
955,-0.321
956,0
957,0
958,-0.326
959,-0.618
960,0
961,-0.428
962,1.192
963,0
964,-0.43
965,1
966,-0.355
967,0
968,-0.205
