"SC_ID","value"
1,1.01
2,-0.008
3,-0.214
4,3
5,-0.478
6,1.5
7,-0.034
8,-0.067
9,0.695
10,-0.024
11,-0.285
12,-0.199
13,0.682
14,-0.043
15,-0.15
16,-0.441
17,0.413
18,-0.069
19,-0.164
20,0.427
21,0.018
22,-0.122
23,-0.308
24,0
25,-0.037
26,-0.247
27,1
28,0.762
29,-0.1
30,0.831
31,-0.063
32,-0.221
33,0.177
34,0.566
35,-0.186
36,-0.247
37,1.143
38,-0.041
39,-0.338
40,0.126
41,0.561
42,0.053
43,-0.221
44,-0.01
45,0.867
46,-0.358
47,0.556
48,-0.066
49,-0.2
50,-0.484
51,0.429
52,-0.088
53,0.095
54,-0.219
55,0.847
56,-0.165
57,-0.158
58,-0.546
59,0.76
60,0.043
61,-0.149
62,-0.079
63,0
64,-0.252
65,-0.329
66,1.74
67,0.184
68,-0.028
69,0.651
70,-0.154
71,-0.341
72,-0.205
73,0.824
74,-0.004
75,-0.214
76,-0.365
77,0.517
78,-0.283
79,-0.176
80,-0.281
81,1.369
82,-0.26
83,-0.235
84,-0.268
85,0.418
86,-0.238
87,-0.473
88,1.441
89,0.202
90,1.4
91,0.813
92,-0.195
93,-0.346
94,0.153
95,0.927
96,-0.113
97,-0.279
98,-0.322
99,0.397
100,-0.197
101,-0.281
102,0.099
103,0
104,-0.207
105,0.065
106,-0.093
107,1.475
108,-0.282
109,-0.427
110,0.283
111,-0.179
112,-0.151
113,1.625
114,0.424
115,-0.177
116,-0.206
117,0.311
118,-0.16
119,-0.191
120,-0.431
121,1.866
122,-0.096
123,-0.312
124,-0.395
125,0
126,-0.278
127,-0.173
128,-0.16
129,0.25
130,-0.213
131,-0.243
132,0.157
133,0.523
134,-0.162
135,0.03
136,5
137,-0.162
138,-0.248
139,0.232
140,0.388
141,-0.194
142,0.525
143,0.386
144,-0.113
145,0.042
146,-0.535
147,1.079
148,-0.156
149,0.172
150,0.152
151,1.012
152,-0.268
153,-0.56
154,0.394
155,-0.18
156,0.079
157,-0.041
158,0.385
159,1
160,0.521
161,-0.322
162,0.434
163,0.356
164,0.166
165,-0.552
166,1.2
167,0.029
168,-0.256
169,-0.235
170,0.293
